individual_id,population_id,species,site_id,latitude,longitude,metabolic_rate_joule_day
TRAIND026496,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.63
TRAIND026497,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.1
TRAIND026498,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.48
TRAIND026499,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.8
TRAIND026500,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.29
TRAIND026501,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.27
TRAIND026502,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.09
TRAIND026503,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.34
TRAIND026504,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.47
TRAIND026505,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.28
TRAIND026506,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.34
TRAIND026507,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.84
TRAIND026508,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.09
TRAIND026509,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.49
TRAIND026510,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.57
TRAIND026511,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.78
TRAIND026512,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.29
TRAIND026513,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.9
TRAIND026514,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.89
TRAIND026515,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.89
TRAIND026516,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,0.27
TRAIND026517,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,0.38
TRAIND026518,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.22
TRAIND026519,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.51
TRAIND026520,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.42
TRAIND026521,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.81
TRAIND026522,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.61
TRAIND026523,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.81
TRAIND026524,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.76
TRAIND026525,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.38
TRAIND026526,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,4.07
TRAIND026527,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.44
TRAIND026528,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.37
TRAIND026529,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.67
TRAIND026530,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.86
TRAIND026531,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.19
TRAIND026532,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,0.85
TRAIND026533,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.11
TRAIND026534,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.07
TRAIND026535,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.06
TRAIND026536,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.37
TRAIND026537,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.64
TRAIND026538,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.21
TRAIND026539,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.59
TRAIND026540,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.25
TRAIND026541,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.41
TRAIND026542,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,0.9
TRAIND026543,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.43
TRAIND026544,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.01
TRAIND026545,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,4.38
TRAIND026546,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,4.89
