dataset_id,species,population_id,site_id,location_label,latitude,longitude,individual_id,metabolic_rate,metabolic_rate_unit
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026496,1.63,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026497,3.1,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026498,1.48,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026499,1.8,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026500,3.29,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026501,1.27,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026502,2.09,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026503,1.34,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026504,3.47,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026505,2.28,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026506,2.34,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026507,1.84,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026508,3.09,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026509,1.49,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026510,1.57,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026511,1.78,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026512,2.29,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026513,1.9,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026514,1.89,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026515,1.89,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026516,0.27,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026517,0.38,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026518,1.22,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026519,3.51,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026520,3.42,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026521,2.81,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026522,2.61,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026523,3.81,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026524,2.76,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026525,2.38,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026526,4.07,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026527,2.44,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026528,2.37,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026529,2.67,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026530,2.86,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026531,1.19,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026532,0.85,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026533,1.11,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026534,1.07,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026535,1.06,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026536,1.37,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026537,1.64,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026538,2.21,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026539,1.59,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026540,2.25,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026541,1.41,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026542,0.9,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026543,2.43,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026544,3.01,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026545,4.38,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026546,4.89,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026547,3.16,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026548,4.02,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026549,3.12,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026550,1.94,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026551,2.52,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026552,3.58,Joule/day
TRADAT039,Gammarus_insensibilis,TRAPOP076,TRASIT067,Quarantia_Italy,45.763,13.498,TRAIND026553,3.15,Joule/day
