cohort_order,metadata_rank,species,inat_taxon_id,inat_genus_id,flowering_annotated_observation_count,selected_photographs,candidate_image_pixels_opened,flower_colour_used,literature_classification_used_for_admission
1,1,Ficaria verna,204321,1619104,31982,300,False,False,False
2,3,Lamium purpureum,55851,1538105,17691,300,False,False,False
3,4,Bellis perennis,55563,55564,17182,500,False,False,False
4,6,Geranium robertianum,55925,964908,15745,500,False,False,False
5,8,Trifolium repens,55745,1582396,13391,500,False,False,False
6,9,Trifolium pratense,51875,1582389,12319,500,False,False,False
7,10,Achillea millefolium,52821,1105043,11947,500,False,False,False
8,11,Caltha palustris,56224,1045281,11637,400,False,False,False
9,12,Erodium cicutarium,47687,1438094,11436,500,False,False,False
10,13,Convolvulus arvensis,53021,53022,11115,500,False,False,False
11,14,Cichorium intybus,52913,52914,10401,500,False,False,False
12,17,Claytonia virginica,117434,779780,9651,300,False,False,False
13,18,Aquilegia canadensis,49868,48245,9562,300,False,False,False
14,19,Glechoma hederacea,55830,55831,9462,400,False,False,False
15,20,Prunella vulgaris,52764,52765,9320,400,False,False,False
16,21,Rudbeckia hirta,62741,888920,9288,500,False,False,False
17,22,Cypripedium acaule,47588,904149,9261,300,False,False,False
18,23,Impatiens capensis,47888,1431931,8819,300,False,False,False
19,26,Daucus carota,76610,56727,8340,500,False,False,False
20,27,Lythrum salicaria,61321,58937,8192,300,False,False,False
21,29,Veronica chamaedrys,51610,738332,7678,300,False,False,False
22,30,Tussilago farfara,56222,56223,7656,300,False,False,False
23,31,Trillium ovatum,49463,1413207,7635,300,False,False,False
24,32,Vinca minor,55844,53327,7381,400,False,False,False
25,33,Lunaria annua,55886,55326,7325,300,False,False,False
26,34,Lotus corniculatus,47435,1453363,7279,400,False,False,False
27,35,Veronica persica,55666,1450375,7202,500,False,False,False
28,36,Houstonia caerulea,69752,69749,7099,300,False,False,False
29,37,Taraxacum officinale,47602,967514,6849,500,False,False,False
30,38,Oxalis pes-caprae,53169,1701120,6831,500,False,False,False
31,39,Lamium album,55876,1538107,6825,400,False,False,False
32,40,Mitchella repens,83799,83800,6608,400,False,False,False
33,41,Eschscholzia californica,48225,48226,6535,400,False,False,False
34,42,Lathyrus tuberosus,55729,1393772,6354,300,False,False,False
35,44,Leucanthemum vulgare,56057,1404861,6062,400,False,False,False
36,45,Lamium amplexicaule,55459,1538106,6026,400,False,False,False
37,46,Hesperis matronalis,47697,47698,5786,300,False,False,False
38,47,Anaphalis margaritacea,52833,52834,5778,300,False,False,False
39,48,Passiflora incarnata,51453,1255740,5761,500,False,False,False
40,49,Cirsium vulgare,52989,48561,5727,500,False,False,False
41,50,Arisaema triphyllum,50310,1441600,5694,300,False,False,False
42,52,Silybum marianum,52586,52587,5605,500,False,False,False
43,53,Linaria vulgaris,50790,1441528,5601,400,False,False,False
44,54,Chelidonium majus,55757,55758,5594,400,False,False,False
45,56,Digitalis purpurea,53983,743344,5438,500,False,False,False
46,57,Galanthus nivalis,51606,51607,5423,400,False,False,False
47,58,Commelina erecta,53478,52893,5421,500,False,False,False
48,59,Pulsatilla nuttalliana,881504,1616928,5385,300,False,False,False
49,60,Echium vulgare,56174,56175,5236,500,False,False,False
50,61,Epilobium canum,53051,1655120,5231,400,False,False,False
