condition_id,baseline_state,counterfactual_state,rows
fixed_ev_m0_5,white,white,9127
fixed_ev_m0_5,white,yellow_orange,92
fixed_ev_m0_5,white,red_pink,10
fixed_ev_m0_5,white,blue_purple,90
fixed_ev_m0_5,white,mixed_uncertain,597
fixed_ev_m0_5,yellow_orange,white,62
fixed_ev_m0_5,yellow_orange,yellow_orange,5880
fixed_ev_m0_5,yellow_orange,red_pink,1
fixed_ev_m0_5,yellow_orange,blue_purple,1
fixed_ev_m0_5,yellow_orange,mixed_uncertain,85
fixed_ev_m0_5,red_pink,white,2
fixed_ev_m0_5,red_pink,yellow_orange,9
fixed_ev_m0_5,red_pink,red_pink,1508
fixed_ev_m0_5,red_pink,blue_purple,116
fixed_ev_m0_5,red_pink,mixed_uncertain,212
fixed_ev_m0_5,blue_purple,white,0
fixed_ev_m0_5,blue_purple,yellow_orange,2
fixed_ev_m0_5,blue_purple,red_pink,0
fixed_ev_m0_5,blue_purple,blue_purple,2316
fixed_ev_m0_5,blue_purple,mixed_uncertain,9
fixed_ev_m0_5,mixed_uncertain,white,109
fixed_ev_m0_5,mixed_uncertain,yellow_orange,275
fixed_ev_m0_5,mixed_uncertain,red_pink,112
fixed_ev_m0_5,mixed_uncertain,blue_purple,507
fixed_ev_m0_5,mixed_uncertain,mixed_uncertain,18877
fixed_ev_m1_0,white,white,8082
fixed_ev_m1_0,white,yellow_orange,482
fixed_ev_m1_0,white,red_pink,36
fixed_ev_m1_0,white,blue_purple,441
fixed_ev_m1_0,white,mixed_uncertain,875
fixed_ev_m1_0,yellow_orange,white,119
fixed_ev_m1_0,yellow_orange,yellow_orange,5801
fixed_ev_m1_0,yellow_orange,red_pink,2
fixed_ev_m1_0,yellow_orange,blue_purple,6
fixed_ev_m1_0,yellow_orange,mixed_uncertain,101
fixed_ev_m1_0,red_pink,white,9
fixed_ev_m1_0,red_pink,yellow_orange,38
fixed_ev_m1_0,red_pink,red_pink,1100
fixed_ev_m1_0,red_pink,blue_purple,452
fixed_ev_m1_0,red_pink,mixed_uncertain,248
fixed_ev_m1_0,blue_purple,white,5
fixed_ev_m1_0,blue_purple,yellow_orange,4
fixed_ev_m1_0,blue_purple,red_pink,0
fixed_ev_m1_0,blue_purple,blue_purple,2307
fixed_ev_m1_0,blue_purple,mixed_uncertain,11
fixed_ev_m1_0,mixed_uncertain,white,123
fixed_ev_m1_0,mixed_uncertain,yellow_orange,384
fixed_ev_m1_0,mixed_uncertain,red_pink,125
fixed_ev_m1_0,mixed_uncertain,blue_purple,752
fixed_ev_m1_0,mixed_uncertain,mixed_uncertain,18496
fixed_ev_p0_0,white,white,9916
fixed_ev_p0_0,white,yellow_orange,0
fixed_ev_p0_0,white,red_pink,0
fixed_ev_p0_0,white,blue_purple,0
fixed_ev_p0_0,white,mixed_uncertain,0
fixed_ev_p0_0,yellow_orange,white,0
fixed_ev_p0_0,yellow_orange,yellow_orange,6029
fixed_ev_p0_0,yellow_orange,red_pink,0
fixed_ev_p0_0,yellow_orange,blue_purple,0
fixed_ev_p0_0,yellow_orange,mixed_uncertain,0
fixed_ev_p0_0,red_pink,white,0
fixed_ev_p0_0,red_pink,yellow_orange,0
fixed_ev_p0_0,red_pink,red_pink,1847
fixed_ev_p0_0,red_pink,blue_purple,0
fixed_ev_p0_0,red_pink,mixed_uncertain,0
fixed_ev_p0_0,blue_purple,white,0
fixed_ev_p0_0,blue_purple,yellow_orange,0
fixed_ev_p0_0,blue_purple,red_pink,0
fixed_ev_p0_0,blue_purple,blue_purple,2327
fixed_ev_p0_0,blue_purple,mixed_uncertain,0
fixed_ev_p0_0,mixed_uncertain,white,0
fixed_ev_p0_0,mixed_uncertain,yellow_orange,0
fixed_ev_p0_0,mixed_uncertain,red_pink,0
fixed_ev_p0_0,mixed_uncertain,blue_purple,0
fixed_ev_p0_0,mixed_uncertain,mixed_uncertain,19880
fixed_ev_p0_5,white,white,9809
fixed_ev_p0_5,white,yellow_orange,23
fixed_ev_p0_5,white,red_pink,3
fixed_ev_p0_5,white,blue_purple,0
fixed_ev_p0_5,white,mixed_uncertain,81
fixed_ev_p0_5,yellow_orange,white,49
fixed_ev_p0_5,yellow_orange,yellow_orange,5720
fixed_ev_p0_5,yellow_orange,red_pink,2
fixed_ev_p0_5,yellow_orange,blue_purple,0
fixed_ev_p0_5,yellow_orange,mixed_uncertain,258
fixed_ev_p0_5,red_pink,white,70
fixed_ev_p0_5,red_pink,yellow_orange,8
fixed_ev_p0_5,red_pink,red_pink,1586
fixed_ev_p0_5,red_pink,blue_purple,0
fixed_ev_p0_5,red_pink,mixed_uncertain,183
fixed_ev_p0_5,blue_purple,white,199
fixed_ev_p0_5,blue_purple,yellow_orange,0
fixed_ev_p0_5,blue_purple,red_pink,101
fixed_ev_p0_5,blue_purple,blue_purple,1540
fixed_ev_p0_5,blue_purple,mixed_uncertain,487
fixed_ev_p0_5,mixed_uncertain,white,779
fixed_ev_p0_5,mixed_uncertain,yellow_orange,62
fixed_ev_p0_5,mixed_uncertain,red_pink,151
fixed_ev_p0_5,mixed_uncertain,blue_purple,4
fixed_ev_p0_5,mixed_uncertain,mixed_uncertain,18884
fixed_ev_p1_0,white,white,9787
fixed_ev_p1_0,white,yellow_orange,38
fixed_ev_p1_0,white,red_pink,6
fixed_ev_p1_0,white,blue_purple,0
fixed_ev_p1_0,white,mixed_uncertain,85
fixed_ev_p1_0,yellow_orange,white,293
fixed_ev_p1_0,yellow_orange,yellow_orange,5301
fixed_ev_p1_0,yellow_orange,red_pink,6
fixed_ev_p1_0,yellow_orange,blue_purple,0
fixed_ev_p1_0,yellow_orange,mixed_uncertain,429
fixed_ev_p1_0,red_pink,white,293
fixed_ev_p1_0,red_pink,yellow_orange,18
fixed_ev_p1_0,red_pink,red_pink,1260
fixed_ev_p1_0,red_pink,blue_purple,0
fixed_ev_p1_0,red_pink,mixed_uncertain,276
fixed_ev_p1_0,blue_purple,white,628
fixed_ev_p1_0,blue_purple,yellow_orange,0
fixed_ev_p1_0,blue_purple,red_pink,222
fixed_ev_p1_0,blue_purple,blue_purple,900
