scope,condition_id,species,rows,nonzero_fraction,mean_T_white,mean_white_fraction_change
all,fixed_ev_m0_5,Abronia latifolia,100,0.72,0.0382964073835772,-0.013059067412090118
all,fixed_ev_m0_5,Abronia umbellata,100,0.68,0.233846848979314,-0.059433735822435454
all,fixed_ev_m0_5,Acacia decurrens,100,0.49,0.09125283309517056,-0.028695146933257278
all,fixed_ev_m0_5,Acacia suaveolens,100,0.7,0.34418028687906366,-0.0468715169618542
all,fixed_ev_m0_5,Acacia ulicifolia,100,0.81,0.3421783805733418,-0.05016016587810444
all,fixed_ev_m0_5,Acer platanoides,100,0.35,0.24189674509730574,0.01966371121479532
all,fixed_ev_m0_5,Aciphylla glacialis,100,0.81,0.44468262597799857,-0.052061250375668416
all,fixed_ev_m0_5,Acis autumnalis,100,0.46,0.4769673364258001,-0.004063151985326235
all,fixed_ev_m0_5,Actaea racemosa,100,0.45,0.4599758320380283,-0.026565717773753193
all,fixed_ev_m0_5,Actaea spicata,100,0.55,0.45882394101078805,-0.0016008084093804668
all,fixed_ev_m0_5,Aegopodium podagraria,100,0.82,0.46920136816810426,-0.0027376799906679472
all,fixed_ev_m0_5,Agave deserti,100,0.55,0.08786117209266593,-0.04062096394972186
all,fixed_ev_m0_5,Agrimonia pilosa,100,0.73,0.12632828574882135,-0.01172706668715206
all,fixed_ev_m0_5,Agrostemma githago,100,0.72,0.1859026405428139,-0.03451430483103874
all,fixed_ev_m0_5,Ailanthus altissima,100,0.28,0.43397773517391575,-0.009656330536275553
all,fixed_ev_m0_5,Allium praecox,100,0.76,0.4693705563621756,-0.029922058915446234
all,fixed_ev_m0_5,Allium vineale,100,0.52,0.40386932100309436,-0.008375172549462644
all,fixed_ev_m0_5,Amaryllis belladonna,100,0.44,0.49452860142599603,-0.06682878850133124
all,fixed_ev_m0_5,Amelanchier arborea,100,0.46,0.4710655309509287,-0.0206297057005758
all,fixed_ev_m0_5,Ampelopsis glandulosa,100,0.35,0.34241458905481165,0.03277814754209243
all,fixed_ev_m0_5,Andropogon gerardi,100,0.22,0.21330910149087512,-0.017970706889381925
all,fixed_ev_m0_5,Anemonastrum canadense,100,0.79,0.299097420284184,0.00287558439367222
all,fixed_ev_m0_5,Anemone virginiana,100,0.47,0.4243754112057207,0.05987845030389747
all,fixed_ev_m0_5,Anemonoides quinquefolia,100,0.49,0.44896416137351214,0.0010775046669767102
all,fixed_ev_m0_5,Anthriscus caucalis,100,0.5,0.4590934451519567,0.043910945638996786
all,fixed_ev_m0_5,Aquilegia formosa,100,0.49,0.08158556987334982,-0.02413959854329956
all,fixed_ev_m0_5,Arabidopsis lyrata,100,0.77,0.28840157096650276,-4.044331207165391e-05
all,fixed_ev_m0_5,Arbutus unedo,100,0.26,0.21736286640748176,-0.07072594129431103
all,fixed_ev_m0_5,Arctium minus,100,0.61,0.3783256844866064,-0.04254881059964875
all,fixed_ev_m0_5,Arctostaphylos viscida,100,0.32,0.4232732661849392,-0.04099262097436532
all,fixed_ev_m0_5,Argentina anserina,100,0.81,0.07809875774117069,-0.004523254015904034
all,fixed_ev_m0_5,Arisaema dracontium,100,0.16,0.484731884130727,-0.002282001251023883
all,fixed_ev_m0_5,Artemisia californica,100,0.24,0.3097333757938595,-0.048301436452153734
all,fixed_ev_m0_5,Artemisia vulgaris,100,0.32,0.34980761808670996,-0.02448920157342619
all,fixed_ev_m0_5,Arum cylindraceum,100,0.21,0.3957749871922349,-0.009454089162874992
all,fixed_ev_m0_5,Aruncus dioicus,100,0.19,0.32581165418043967,-0.026537986142755907
all,fixed_ev_m0_5,Arundo donax,100,0.13,0.34328687237532063,-0.030468396980922623
all,fixed_ev_m0_5,Asarum reflexum,100,0.2,0.46183922756551177,-0.005288800659762303
all,fixed_ev_m0_5,Asclepias brachystephana,100,0.57,0.35704769770628086,0.04564727869329017
all,fixed_ev_m0_5,Asclepias texana,100,0.6,0.49616620117552196,-0.003594650752265503
all,fixed_ev_m0_5,Asclepias viridis,100,0.39,0.3553007544822829,0.06477959397640788
all,fixed_ev_m0_5,Bacopa monnieri,100,0.64,0.3873856597180703,0.006444212666515545
all,fixed_ev_m0_5,Banksia spinulosa,100,0.2,0.216856367089222,-0.06834987325389683
all,fixed_ev_m0_5,Baptisia australis,100,0.78,0.4335134045481318,-0.055835314737609706
all,fixed_ev_m0_5,Barbarea orthoceras,100,0.73,0.10666596959875119,-0.007031330638496634
all,fixed_ev_m0_5,Bauhinia variegata,100,0.33,0.2956746988092923,-0.01881150270116256
all,fixed_ev_m0_5,Berberis thunbergii,100,0.35,0.11515134198307916,-0.039113127636923324
all,fixed_ev_m0_5,Bidens frondosa,100,0.56,0.08244275590267501,-0.008178401162428139
all,fixed_ev_m0_5,Bidens pilosa,100,0.63,0.08780035256997401,-0.021524684374204895
all,fixed_ev_m0_5,Bignonia capreolata,100,0.38,0.10935473809897517,-0.03373607187938359
all,fixed_ev_m0_5,Biscutella laevigata,100,0.73,0.17732483355489154,-0.0011382512027313125
all,fixed_ev_m0_5,Blackstonia perfoliata,100,0.65,0.06293038269462073,-0.007866040746970173
all,fixed_ev_m0_5,Borago officinalis,100,0.44,0.51276660909931,-0.08481853300306674
all,fixed_ev_m0_5,Briza media,100,0.72,0.3166075908313324,-0.03619471319992826
all,fixed_ev_m0_5,Brodiaea coronaria,100,0.61,0.26268150093353787,-0.03149941446073234
all,fixed_ev_m0_5,Bromus hordeaceus,100,0.2,0.2691614979618394,-0.034427540740921754
all,fixed_ev_m0_5,Broussonetia papyrifera,100,0.24,0.32118507191015966,-0.03112611433704493
all,fixed_ev_m0_5,Bryonia alba,100,0.39,0.38358287439039657,0.04693100306134873
all,fixed_ev_m0_5,Buddleja davidii,100,0.57,0.30519365268932663,-0.04739071027836614
all,fixed_ev_m0_5,Calochortus concolor,100,0.41,0.06623849263048837,-0.00914127330102397
all,fixed_ev_m0_5,Calochortus macrocarpus,100,0.4,0.4055451707136764,-0.08507991078809292
all,fixed_ev_m0_5,Calochortus plummerae,100,0.52,0.2714109028914823,-0.05823470125709758
all,fixed_ev_m0_5,Calochortus subalpinus,100,0.53,0.24723681638904782,-0.034678440538360986
all,fixed_ev_m0_5,Calochortus venustus,100,0.51,0.3700798864752795,-0.03448470311954658
all,fixed_ev_m0_5,Calycadenia multiglandulosa,100,0.63,0.4907178495971347,0.001159437433520422
all,fixed_ev_m0_5,Calycanthus occidentalis,100,0.43,0.2731966533828354,-0.020586153792924985
all,fixed_ev_m0_5,Campanula cochleariifolia,100,0.82,0.4603520551558942,-0.05568726362478563
all,fixed_ev_m0_5,Campanula giesekiana,100,0.79,0.41138759018718773,-0.0459826276799117
all,fixed_ev_m0_5,Campanula latifolia,100,0.54,0.29880621552738446,-0.04284541825625292
all,fixed_ev_m0_5,Campanula rapunculoides,100,0.62,0.32787445980246904,-0.05344213370205989
all,fixed_ev_m0_5,Campanula scouleri,100,0.39,0.46117505111005497,0.011427150572637771
all,fixed_ev_m0_5,Campanula trachelium,100,0.54,0.3908540500653311,-0.05931386154465682
all,fixed_ev_m0_5,Caragana arborescens,100,0.52,0.11727977729120774,-0.0032906320886713376
all,fixed_ev_m0_5,Cardamine angustata,100,0.37,0.48834574866409264,-0.015209620941921123
all,fixed_ev_m0_5,Carduus acanthoides,100,0.71,0.26712983798012147,-0.055545194241419446
all,fixed_ev_m0_5,Carlina vulgaris,100,0.48,0.23654673925226036,-0.05069193690361095
all,fixed_ev_m0_5,Carpodetus serratus,100,0.61,0.36285432575393983,-0.017322017860282483
all,fixed_ev_m0_5,Castilleja septentrionalis,100,0.37,0.25760875547410345,0.000180293520186392
all,fixed_ev_m0_5,Catharanthus roseus,100,0.67,0.2734569715915913,-0.03139591110061907
all,fixed_ev_m0_5,Celmisia gracilenta,100,0.68,0.24189746893762218,-0.02300452077461819
all,fixed_ev_m0_5,Centaurea solstitialis,100,0.74,0.03690012013678075,-0.018526834651366984
all,fixed_ev_m0_5,Cercis occidentalis,100,0.28,0.15379423878097137,-0.027819926653407174
all,fixed_ev_m0_5,Chaenactis fremontii,100,0.77,0.4306636402424856,-0.027085261034576202
all,fixed_ev_m0_5,Chelone lyonii,99,0.6060606060606061,0.2959974761996365,-0.05615065287380882
all,fixed_ev_m0_5,Chiloglottis valida,100,0.17,0.33864658071405646,-0.029511491558000577
all,fixed_ev_m0_5,Clarkia purpurea,100,0.66,0.10626566019881223,-0.022656139414997188
all,fixed_ev_m0_5,Clarkia tenella,100,0.79,0.1184120895187923,-0.017161256635345217
all,fixed_ev_m0_5,Clematis pitcheri,100,0.41,0.26451727429645183,-0.037437545862949846
all,fixed_ev_m0_5,Cochemiea dioica,100,0.39,0.2863044393848392,-0.04920548054732381
all,fixed_ev_m0_5,Cochlospermum vitifolium,100,0.5,0.03258728971650667,-0.01655301005190103
all,fixed_ev_m0_5,Conopholis alpina,100,0.6,0.2010609729183949,-0.0567153980122146
all,fixed_ev_m0_5,Conradina canescens,100,0.74,0.5385326546844708,-0.055390237996986696
all,fixed_ev_m0_5,Convolvulus elegantissimus,100,0.64,0.47813983865020737,-0.07920702632969026
all,fixed_ev_m0_5,Coreopsis basalis,100,0.67,0.034693258587157515,-0.009230651386924539
all,fixed_ev_m0_5,Corethrogyne filaginifolia,100,0.62,0.34580726800824585,-0.046614905596373775
all,fixed_ev_m0_5,Cornus suecica,100,0.61,0.4878974788545292,0.0033870064858937455
all,fixed_ev_m0_5,Corybas macranthus,100,0.13,0.3072972024089185,0.08232850932351744
all,fixed_ev_m0_5,Cotula australis,100,0.64,0.2722301096824142,-0.0010645443911417342
all,fixed_ev_m0_5,Crepis capillaris,100,0.74,0.056319990818469,-0.007181465582217081
all,fixed_ev_m0_5,Crotalaria retusa,100,0.5,0.12060077194982015,-0.016246307792219417
all,fixed_ev_m0_5,Croton glandulosus,100,0.49,0.5018277568350815,-0.011023738057229806
all,fixed_ev_m0_5,Cypripedium guttatum,100,0.54,0.4373011443623752,0.03541534461715253
all,fixed_ev_m0_5,Daphne cneorum,100,0.75,0.30967040204273244,-0.03983913809951411
all,fixed_ev_m0_5,Datura stramonium,100,0.24,0.4305484738825693,-0.012244679771243182
all,fixed_ev_m0_5,Decodon verticillatus,100,0.54,0.45345550388205047,-0.07683007054715597
all,fixed_ev_m0_5,Delairea odorata,100,0.6,0.06464509586700377,-0.010839579557362948
all,fixed_ev_m0_5,Delphinium glaucum,100,0.5,0.4081841237716197,-0.042741370825004614
all,fixed_ev_m0_5,Delphinium nuttallianum,100,0.52,0.35318782006086236,-0.03263807430515346
all,fixed_ev_m0_5,Delphinium variegatum,100,0.54,0.25537730695722966,-0.019381967931202466
all,fixed_ev_m0_5,Dicentra canadensis,100,0.31,0.5252393206591082,-0.011639338829721648
all,fixed_ev_m0_5,Dillwynia floribunda,100,0.62,0.018897283965155484,-0.014054462743754999
all,fixed_ev_m0_5,Disphyma crassifolium,100,0.54,0.1687859807007701,-0.02703755350859989
all,fixed_ev_m0_5,Distimake dissectus,100,0.54,0.2998542747532909,-0.01880908285544013
all,fixed_ev_m0_5,Draba aizoides,100,0.8,0.020812715164301204,-0.008783839655050007
all,fixed_ev_m0_5,Draba nemorosa,100,0.6,0.14861497752250322,-0.0024517171967543385
all,fixed_ev_m0_5,Dracophyllum secundum,100,0.41,0.35242664304250015,-0.03175336844056049
all,fixed_ev_m0_5,Drosera spatulata,100,0.44,0.3016493284636191,-0.015375945726524934
all,fixed_ev_m0_5,Earina mucronata,100,0.38,0.2741909711284367,-0.07239441677907074
all,fixed_ev_m0_5,Elephantopus tomentosus,100,0.59,0.5500338425257804,-0.061195953664611204
all,fixed_ev_m0_5,Epacris longiflora,100,0.47,0.2604456937967133,-0.02952578475403499
all,fixed_ev_m0_5,Erica arborea,100,0.42,0.5087168949504802,-0.015708955835637556
all,fixed_ev_m0_5,Erica tetralix,100,0.72,0.43038417799494105,-0.07040108196105002
all,fixed_ev_m0_5,Erigeron divergens,100,0.9,0.34704113253970337,-0.03462083245161139
all,fixed_ev_m0_5,Erigeron linearis,100,0.9,0.04102071704291538,-0.015173616701145153
all,fixed_ev_m0_5,Erigeron quercifolius,100,0.9,0.31108159922105216,-0.0501343408876567
all,fixed_ev_m0_5,Erinus alpinus,100,0.91,0.22071623787631942,-0.046204032915848806
all,fixed_ev_m0_5,Eriogonum pyrolifolium,100,0.75,0.43344684222367713,-0.06307075162937317
all,fixed_ev_m0_5,Erythranthe bicolor,100,0.7,0.08768720326303703,-0.016415828581303648
all,fixed_ev_m0_5,Erythranthe dentata,100,0.56,0.0987343294821539,-0.009170477860294334
all,fixed_ev_m0_5,Eucrypta chrysanthemifolia,100,0.47,0.4468360332420036,0.0142588420735781
all,fixed_ev_m0_5,Euonymus americanus,100,0.58,0.28952740428767265,-0.015262401576229042
all,fixed_ev_m0_5,Eupatorium rotundifolium,100,0.51,0.5161208428255492,-0.005788179809998625
all,fixed_ev_m0_5,Euphorbia cyathophora,100,0.45,0.10850746228657739,-0.0343706605870209
all,fixed_ev_m0_5,Euphorbia fendleri,100,0.17,0.2937408362077543,-0.022791710166956983
all,fixed_ev_m0_5,Euphorbia maculata,100,0.23,0.46812183738590185,-0.06414934433923844
all,fixed_ev_m0_5,Euphorbia paralias,100,0.33,0.1981388650018281,-0.044352717287536814
all,fixed_ev_m0_5,Eutrochium fistulosum,100,0.43,0.4770909512930336,-0.03377689171074898
all,fixed_ev_m0_5,Evolvulus alsinoides,100,0.78,0.5299597629838303,-0.06615616246971101
all,fixed_ev_m0_5,Evolvulus nummularius,100,0.54,0.5437309185165732,-0.002922727557047983
all,fixed_ev_m0_5,Falcaria vulgaris,100,0.69,0.47059221012756375,-0.005956619270217884
all,fixed_ev_m0_5,Ficinia nodosa,100,0.6,0.4338883047507266,-0.0765764048111191
all,fixed_ev_m0_5,Filipendula rubra,100,0.5,0.35085752953282395,-0.05319887919694544
all,fixed_ev_m0_5,Florestina tripteris,100,0.76,0.4463247996850303,-0.005746450170230406
all,fixed_ev_m0_5,Freesia leichtlinii,100,0.47,0.26982067094383744,-0.03702795844367533
all,fixed_ev_m0_5,Fritillaria camschatcensis,100,0.37,0.2503486856349935,-0.0143326830206698
all,fixed_ev_m0_5,Fumaria capreolata,100,0.29,0.41981932717327086,-0.014668914790831204
all,fixed_ev_m0_5,Galium aparine,100,0.4,0.3900472314102551,0.026591333520011962
all,fixed_ev_m0_5,Gardenia jasminoides,100,0.46,0.32386997873990814,-0.0004644274535255644
all,fixed_ev_m0_5,Gaylussacia baccata,100,0.28,0.12700932463174905,-0.027655437052800796
all,fixed_ev_m0_5,Gazania rigens,100,0.73,0.028751589029022973,-0.005855358664974583
all,fixed_ev_m0_5,Genista hispanica,100,0.87,0.032718885176288175,-0.00939717852712266
all,fixed_ev_m0_5,Gentiana pneumonanthe,100,0.56,0.3360365532866975,-0.03486824324728868
all,fixed_ev_m0_5,Geobalanus oblongifolius,100,0.5,0.251605207316419,-0.039263776016982166
all,fixed_ev_m0_5,Geranium macrorrhizum,100,0.53,0.2354903143922233,-0.03177235663793435
all,fixed_ev_m0_5,Geranium yeoi,100,0.7,0.12684365323889285,-0.02366174302980908
all,fixed_ev_m0_5,Gilia tricolor,100,0.82,0.4689170208588489,-0.05318310109877885
all,fixed_ev_m0_5,Gladiolus undulatus,100,0.16,0.28659876054781896,-0.04210145405063564
all,fixed_ev_m0_5,Glandularia gooddingii,100,0.81,0.5127093453191953,-0.08272297342586946
all,fixed_ev_m0_5,Glycyrrhiza lepidota,100,0.55,0.2870254912717646,0.021742500791333302
all,fixed_ev_m0_5,Gompholobium huegelii,100,0.67,0.13904776563481197,-0.004342787662893243
all,fixed_ev_m0_5,Goodyera pubescens,100,0.32,0.45215590137238015,-0.003567889316602345
all,fixed_ev_m0_5,Govenia liliacea,100,0.4,0.46388152656408693,-0.027920744932295204
all,fixed_ev_m0_5,Grewia occidentalis,100,0.56,0.401198064002641,-0.0662089699879323
all,fixed_ev_m0_5,Grindelia squarrosa,100,0.71,0.06466757489224717,-0.012599396313707897
all,fixed_ev_m0_5,Guzmania monostachia,100,0.5,0.15105618164483137,-0.014687896711640485
all,fixed_ev_m0_5,Gypsophila repens,100,0.85,0.4831525292532468,-0.009653160304160687
all,fixed_ev_m0_5,Habenaria floribunda,100,0.26,0.4278700021275983,0.023305921140674812
all,fixed_ev_m0_5,Hakea lissocarpha,100,0.32,0.43056856400241705,-0.03688030010252389
all,fixed_ev_m0_5,Hedera helix,100,0.54,0.22905079353196506,-0.04014080262520053
all,fixed_ev_m0_5,Helianthemum nummularium,100,0.63,0.10280405004818027,-0.006901042020827446
all,fixed_ev_m0_5,Helianthus maximiliani,100,0.6,0.021809968997263604,-0.005109776125334785
all,fixed_ev_m0_5,Helichrysum arenarium,100,0.86,0.12339388124804927,-0.025517910722653945
all,fixed_ev_m0_5,Herbertia lahue,100,0.73,0.5511214433665389,-0.11527811016118722
all,fixed_ev_m0_5,Heterotheca grandiflora,100,0.68,0.08570548276645379,-0.03246168948889049
all,fixed_ev_m0_5,Heuchera micrantha,100,0.34,0.3754626012654068,-0.011305133663948787
all,fixed_ev_m0_5,Heuchera rubescens,100,0.46,0.387668760470836,-0.04072676598506353
all,fixed_ev_m0_5,Hibiscus lasiocarpos,100,0.37,0.4075069794094549,-0.04823826693232297
