condition_id,panel,species,n_classifiable,D
baseline,N,Tanacetum corymbosum,74,0.07779401022644272
baseline,N,Tephroseris palustris,69,0.05629069523209407
baseline,N,Tetratheca ciliata,58,0.5820451843043996
baseline,N,Thalictrum dasycarpum,62,0.0931321540062433
baseline,N,Torenia concolor,49,0.14993752603082044
baseline,N,Tradescantia fluminensis,50,0.31999999999999984
baseline,N,Trifolium wormskioldii,45,0.6044444444444443
baseline,N,Utricularia macrorhiza,68,0.0843425605536332
baseline,N,Vaccinium arboreum,42,0.0
baseline,N,Valeriana edulis,60,0.3911111111111112
baseline,N,Viburnum rafinesqueanum,69,0.0
baseline,N,Viola arvensis,63,0.09070294784580502
baseline,N,Volkameria inermis,59,0.20913530594656704
baseline,N,Wedelia hispida,80,0.0
baseline,N,Wurmbea dioica,43,0.08869659275283936
baseline,N,Xyris jupicai,56,0.19132653061224492
baseline,N,Zephyranthes candida,57,0.09972299168975085
baseline,N,Zeuxine strateumatica,42,0.09070294784580502
baseline,P,Acacia ulicifolia,75,0.3036444444444444
baseline,P,Aciphylla glacialis,80,0.13874999999999993
baseline,P,Actaea spicata,63,0.11892164273116657
baseline,P,Aegopodium podagraria,85,0.0
baseline,P,Agrimonia pilosa,72,0.1049382716049383
baseline,P,Agrostemma githago,59,0.5314564780235564
baseline,P,Allium praecox,72,0.12924382716049387
baseline,P,Allium vineale,41,0.48542534205829857
baseline,P,Amelanchier arborea,48,0.19010416666666663
baseline,P,Anemone virginiana,46,0.36389413988657837
baseline,P,Anemonoides quinquefolia,53,0.03702385190459245
baseline,P,Arctium minus,44,0.5754132231404958
baseline,P,Baptisia australis,71,0.2618528069827415
baseline,P,Barbarea orthoceras,71,0.027772267407260465
baseline,P,Biscutella laevigata,71,0.17774251140646702
baseline,P,Brodiaea coronaria,57,0.10156971375807955
baseline,P,Bryonia alba,41,0.5425342058298632
baseline,P,Buddleja davidii,46,0.6039697542533082
baseline,P,Calochortus concolor,41,0.17608566329565734
baseline,P,Calycadenia multiglandulosa,63,0.0
baseline,P,Campanula giesekiana,75,0.17351111111111117
baseline,P,Campanula latifolia,43,0.4348296376419686
baseline,P,Campanula scouleri,42,0.046485260770975145
baseline,P,Carduus acanthoides,57,0.510310864881502
baseline,P,Carlina vulgaris,41,0.5223081499107675
baseline,P,Centaurea solstitialis,75,0.05191111111111102
baseline,P,Chelone lyonii,44,0.3677685950413223
baseline,P,Cochlospermum vitifolium,51,0.11226451364859669
baseline,P,Conopholis alpina,53,0.20078319686721247
baseline,P,Conradina canescens,75,0.07751111111111109
baseline,P,Convolvulus elegantissimus,55,0.5765289256198347
baseline,P,Corethrogyne filaginifolia,48,0.5815972222222223
