scope,condition_id,species,rows,complete_state_disagreement,both_classifiable_rows,morph_flip_joint,mean_hellinger,baseline_classifiable_fraction,counterfactual_classifiable_fraction,morph_flip_rate_both_classifiable,classifiability_change
all,fixed_ev_m0_5,Abronia latifolia,100,0.01,71.0,0.0,0.10515335279960143,0.72,0.71,0.0,-0.010000000000000009
all,fixed_ev_m0_5,Abronia umbellata,100,0.18,38.0,4.0,0.13001074503076196,0.44,0.46,0.10526315789473684,0.020000000000000018
all,fixed_ev_m0_5,Acacia decurrens,100,0.04,44.0,0.0,0.14940061940171884,0.45,0.47,0.0,0.019999999999999962
all,fixed_ev_m0_5,Acacia suaveolens,100,0.06,66.0,1.0,0.10245934579857181,0.7,0.67,0.015151515151515152,-0.029999999999999916
all,fixed_ev_m0_5,Acacia ulicifolia,100,0.14,72.0,4.0,0.11398648070669322,0.75,0.79,0.05555555555555555,0.040000000000000036
all,fixed_ev_m0_5,Acer platanoides,100,0.03,32.0,1.0,0.12420544679755545,0.33,0.33,0.03125,0.0
all,fixed_ev_m0_5,Aciphylla glacialis,100,0.06,76.0,1.0,0.0907725761459327,0.8,0.77,0.013157894736842105,-0.030000000000000027
all,fixed_ev_m0_5,Acis autumnalis,100,0.0,46.0,0.0,0.05041473398556101,0.46,0.46,0.0,0.0
all,fixed_ev_m0_5,Actaea racemosa,100,0.01,45.0,0.0,0.05728541595980659,0.45,0.46,0.0,0.010000000000000009
all,fixed_ev_m0_5,Actaea spicata,100,0.02,62.0,1.0,0.057688198087108095,0.63,0.62,0.016129032258064516,-0.010000000000000009
all,fixed_ev_m0_5,Aegopodium podagraria,100,0.0,85.0,0.0,0.0449181747766119,0.85,0.85,0.0,0.0
all,fixed_ev_m0_5,Agave deserti,100,0.02,53.0,0.0,0.151449009474066,0.54,0.54,0.0,0.0
all,fixed_ev_m0_5,Agrimonia pilosa,100,0.01,72.0,1.0,0.12276853047955252,0.72,0.72,0.013888888888888888,0.0
all,fixed_ev_m0_5,Agrostemma githago,100,0.22,54.0,8.0,0.15216489824347848,0.59,0.63,0.14814814814814814,0.040000000000000036
all,fixed_ev_m0_5,Ailanthus altissima,100,0.07,28.0,3.0,0.12316364169857275,0.31,0.29,0.10714285714285714,-0.020000000000000018
all,fixed_ev_m0_5,Allium praecox,100,0.07,66.0,0.0,0.06429849749777132,0.72,0.67,0.0,-0.04999999999999993
all,fixed_ev_m0_5,Allium vineale,100,0.06,40.0,1.0,0.10350179924955544,0.41,0.44,0.025,0.030000000000000027
all,fixed_ev_m0_5,Amaryllis belladonna,100,0.12,33.0,2.0,0.09806986287189426,0.38,0.38,0.06060606060606061,0.0
all,fixed_ev_m0_5,Amelanchier arborea,100,0.0,48.0,0.0,0.048376411446991806,0.48,0.48,0.0,0.0
all,fixed_ev_m0_5,Ampelopsis glandulosa,100,0.09,29.0,3.0,0.1467903696273399,0.35,0.29,0.10344827586206896,-0.06
all,fixed_ev_m0_5,Andropogon gerardi,100,0.01,24.0,0.0,0.1459187399598128,0.25,0.24,0.0,-0.010000000000000009
all,fixed_ev_m0_5,Anemonastrum canadense,100,0.0,79.0,0.0,0.06856602841589535,0.79,0.79,0.0,0.0
all,fixed_ev_m0_5,Anemone virginiana,100,0.07,43.0,3.0,0.13123016984064523,0.46,0.44,0.06976744186046512,-0.020000000000000018
all,fixed_ev_m0_5,Anemonoides quinquefolia,100,0.01,53.0,0.0,0.05081260030006082,0.53,0.54,0.0,0.010000000000000009
all,fixed_ev_m0_5,Anthriscus caucalis,100,0.01,54.0,0.0,0.10247462612852981,0.54,0.55,0.0,0.010000000000000009
all,fixed_ev_m0_5,Aquilegia formosa,100,0.14,31.0,2.0,0.1602943932418617,0.35,0.39,0.06451612903225806,0.040000000000000036
all,fixed_ev_m0_5,Arabidopsis lyrata,100,0.0,77.0,0.0,0.059523012106377705,0.77,0.77,0.0,0.0
all,fixed_ev_m0_5,Arbutus unedo,100,0.07,21.0,1.0,0.168807632607453,0.25,0.23,0.047619047619047616,-0.01999999999999999
all,fixed_ev_m0_5,Arctium minus,100,0.11,36.0,0.0,0.09461224508033213,0.44,0.39,0.0,-0.04999999999999999
all,fixed_ev_m0_5,Arctostaphylos viscida,100,0.03,24.0,0.0,0.07178302386293667,0.26,0.25,0.0,-0.010000000000000009
all,fixed_ev_m0_5,Argentina anserina,100,0.01,80.0,0.0,0.06762501941740086,0.81,0.8,0.0,-0.010000000000000009
all,fixed_ev_m0_5,Arisaema dracontium,100,0.05,17.0,1.0,0.1240940587515649,0.19,0.19,0.058823529411764705,0.0
all,fixed_ev_m0_5,Artemisia californica,100,0.03,22.0,1.0,0.1247856130137266,0.24,0.22,0.045454545454545456,-0.01999999999999999
all,fixed_ev_m0_5,Artemisia vulgaris,100,0.05,27.0,0.0,0.09517567745318954,0.28,0.31,0.0,0.02999999999999997
all,fixed_ev_m0_5,Arum cylindraceum,100,0.04,21.0,1.0,0.16271090970636343,0.22,0.23,0.047619047619047616,0.010000000000000009
all,fixed_ev_m0_5,Aruncus dioicus,100,0.05,21.0,2.0,0.0861347237407089,0.22,0.23,0.09523809523809523,0.010000000000000009
all,fixed_ev_m0_5,Arundo donax,100,0.01,15.0,0.0,0.08844249659818244,0.16,0.15,0.0,-0.010000000000000009
all,fixed_ev_m0_5,Asarum reflexum,100,0.04,19.0,0.0,0.08394042874814421,0.21,0.21,0.0,0.0
all,fixed_ev_m0_5,Asclepias brachystephana,100,0.08,43.0,1.0,0.11650080918053972,0.44,0.49,0.023255813953488372,0.04999999999999999
all,fixed_ev_m0_5,Asclepias texana,100,0.0,60.0,0.0,0.037013128099621886,0.6,0.6,0.0,0.0
all,fixed_ev_m0_5,Asclepias viridis,100,0.07,34.0,2.0,0.12991389930020864,0.36,0.37,0.058823529411764705,0.010000000000000009
all,fixed_ev_m0_5,Bacopa monnieri,100,0.04,63.0,1.0,0.07503655946683498,0.66,0.63,0.015873015873015872,-0.030000000000000027
all,fixed_ev_m0_5,Banksia spinulosa,100,0.03,19.0,2.0,0.1913372705685599,0.2,0.19,0.10526315789473684,-0.010000000000000009
all,fixed_ev_m0_5,Baptisia australis,100,0.1,68.0,1.0,0.0695688909885495,0.71,0.74,0.014705882352941176,0.030000000000000027
all,fixed_ev_m0_5,Barbarea orthoceras,100,0.01,71.0,1.0,0.09439721021780315,0.71,0.71,0.014084507042253521,0.0
all,fixed_ev_m0_5,Bauhinia variegata,100,0.05,26.0,1.0,0.09532621524150994,0.29,0.27,0.038461538461538464,-0.019999999999999962
all,fixed_ev_m0_5,Berberis thunbergii,100,0.04,33.0,2.0,0.2177319223793597,0.34,0.34,0.06060606060606061,0.0
all,fixed_ev_m0_5,Bidens frondosa,100,0.03,55.0,1.0,0.15810288338639647,0.57,0.55,0.01818181818181818,-0.019999999999999907
all,fixed_ev_m0_5,Bidens pilosa,100,0.0,60.0,0.0,0.12705049959659942,0.6,0.6,0.0,0.0
all,fixed_ev_m0_5,Bignonia capreolata,100,0.04,31.0,0.0,0.17199249432110716,0.34,0.32,0.0,-0.020000000000000018
all,fixed_ev_m0_5,Biscutella laevigata,100,0.03,69.0,0.0,0.10111291621539593,0.71,0.7,0.0,-0.010000000000000009
all,fixed_ev_m0_5,Blackstonia perfoliata,100,0.01,65.0,0.0,0.08700729857614105,0.66,0.65,0.0,-0.010000000000000009
all,fixed_ev_m0_5,Borago officinalis,100,0.12,35.0,2.0,0.09211027046817997,0.39,0.41,0.05714285714285714,0.019999999999999962
all,fixed_ev_m0_5,Briza media,100,0.18,51.0,2.0,0.11668593449298753,0.58,0.6,0.0392156862745098,0.020000000000000018
all,fixed_ev_m0_5,Brodiaea coronaria,100,0.04,57.0,1.0,0.06561828975873249,0.57,0.6,0.017543859649122806,0.030000000000000027
all,fixed_ev_m0_5,Bromus hordeaceus,100,0.04,20.0,0.0,0.12303927394679018,0.24,0.2,0.0,-0.03999999999999998
all,fixed_ev_m0_5,Broussonetia papyrifera,100,0.04,26.0,0.0,0.0980576446925698,0.27,0.29,0.0,0.019999999999999962
all,fixed_ev_m0_5,Bryonia alba,100,0.01,40.0,0.0,0.11111814148034754,0.41,0.4,0.0,-0.009999999999999953
all,fixed_ev_m0_5,Buddleja davidii,100,0.1,41.0,2.0,0.09909777092309857,0.46,0.44,0.04878048780487805,-0.020000000000000018
all,fixed_ev_m0_5,Calochortus concolor,100,0.0,41.0,0.0,0.12062228564108346,0.41,0.41,0.0,0.0
all,fixed_ev_m0_5,Calochortus macrocarpus,100,0.1,29.0,3.0,0.12921916617871024,0.32,0.33,0.10344827586206896,0.010000000000000009
all,fixed_ev_m0_5,Calochortus plummerae,100,0.13,27.0,0.0,0.13616197100946087,0.32,0.35,0.0,0.02999999999999997
all,fixed_ev_m0_5,Calochortus subalpinus,100,0.01,53.0,0.0,0.12091553427380591,0.54,0.53,0.0,-0.010000000000000009
all,fixed_ev_m0_5,Calochortus venustus,100,0.03,49.0,0.0,0.09000568075863821,0.51,0.5,0.0,-0.010000000000000009
all,fixed_ev_m0_5,Calycadenia multiglandulosa,100,0.0,63.0,0.0,0.03352622645390218,0.63,0.63,0.0,0.0
all,fixed_ev_m0_5,Calycanthus occidentalis,100,0.05,35.0,1.0,0.10245626808585796,0.36,0.38,0.02857142857142857,0.020000000000000018
all,fixed_ev_m0_5,Campanula cochleariifolia,100,0.09,70.0,0.0,0.06891381550184394,0.74,0.75,0.0,0.010000000000000009
all,fixed_ev_m0_5,Campanula giesekiana,100,0.05,73.0,0.0,0.08004508119921575,0.75,0.76,0.0,0.010000000000000009
all,fixed_ev_m0_5,Campanula latifolia,100,0.1,41.0,0.0,0.10171733557704192,0.43,0.49,0.0,0.06
all,fixed_ev_m0_5,Campanula rapunculoides,100,0.12,48.0,1.0,0.09556858750311104,0.52,0.55,0.020833333333333332,0.030000000000000027
all,fixed_ev_m0_5,Campanula scouleri,100,0.01,42.0,1.0,0.07410891709646313,0.42,0.42,0.023809523809523808,0.0
all,fixed_ev_m0_5,Campanula trachelium,100,0.12,40.0,0.0,0.0926017722951505,0.43,0.49,0.0,0.06
all,fixed_ev_m0_5,Caragana arborescens,100,0.0,51.0,0.0,0.1160245837190517,0.51,0.51,0.0,0.0
all,fixed_ev_m0_5,Cardamine angustata,100,0.01,36.0,0.0,0.05826518783908843,0.36,0.37,0.0,0.010000000000000009
all,fixed_ev_m0_5,Carduus acanthoides,100,0.17,48.0,2.0,0.1328939724442819,0.57,0.54,0.041666666666666664,-0.029999999999999916
all,fixed_ev_m0_5,Carlina vulgaris,100,0.07,38.0,1.0,0.1578269116297788,0.41,0.41,0.02631578947368421,0.0
all,fixed_ev_m0_5,Carpodetus serratus,100,0.02,59.0,0.0,0.08369287303768419,0.6,0.6,0.0,0.0
