condition_id,panel,species,n_classifiable,spatial_rho
baseline,N,Abronia latifolia,72,-0.0067189323883472445
baseline,N,Abronia umbellata,44,0.058030940352101414
baseline,N,Acacia decurrens,45,-0.027422951624484306
baseline,N,Acacia suaveolens,70,0.002119359847368625
baseline,N,Acis autumnalis,46,-0.06505339175262399
baseline,N,Actaea racemosa,45,0.007275944983744701
baseline,N,Agave deserti,54,0.005660475640448234
baseline,N,Anemonastrum canadense,79,0.16475909029240332
baseline,N,Anthriscus caucalis,54,-0.01818401398575622
baseline,N,Arabidopsis lyrata,77,0.0387806098204746
baseline,N,Argentina anserina,81,-0.0037043174223907313
baseline,N,Asclepias brachystephana,44,-0.016034392768755873
baseline,N,Asclepias texana,60,0.17383720642430275
baseline,N,Bacopa monnieri,66,-0.03153700634958939
baseline,N,Bidens frondosa,57,-0.042671857735146076
baseline,N,Bidens pilosa,60,0.13970587036728835
baseline,N,Blackstonia perfoliata,66,-0.061901327955399224
baseline,N,Briza media,58,0.047168042828178686
baseline,N,Calochortus subalpinus,54,-0.07761349948553489
baseline,N,Calochortus venustus,51,0.0172362019065599
baseline,N,Campanula cochleariifolia,74,0.07613419146233147
baseline,N,Campanula rapunculoides,52,-0.08888718381491628
baseline,N,Campanula trachelium,43,-0.09447795465349804
baseline,N,Caragana arborescens,51,0.04099553370447141
baseline,N,Carpodetus serratus,60,0.04778691005099891
baseline,N,Catharanthus roseus,62,-0.024612734935174543
baseline,N,Celmisia gracilenta,69,0.12071735651849738
baseline,N,Chaenactis fremontii,76,-0.0825518096806103
baseline,N,Clarkia purpurea,60,0.009373212264469723
baseline,N,Clarkia tenella,69,0.07450326450226351
baseline,N,Coreopsis basalis,67,0.045946154118855456
baseline,N,Cotula australis,60,0.0018384056959103083
baseline,N,Crepis capillaris,72,0.008368275382317231
baseline,N,Crotalaria retusa,52,-0.0770776401237984
baseline,N,Croton glandulosus,54,0.15512900328295817
baseline,N,Daphne cneorum,65,0.13908058944099305
baseline,N,Delphinium variegatum,52,-0.017065367190553054
baseline,N,Draba aizoides,79,-0.020058282676260482
baseline,N,Draba nemorosa,59,0.00026330475977487015
baseline,N,Erinus alpinus,68,0.032605460063306675
baseline,N,Eriogonum pyrolifolium,67,-0.05294459044472938
baseline,N,Eucrypta chrysanthemifolia,50,0.1551173768041472
baseline,N,Euonymus americanus,56,-0.0033924359722971933
baseline,N,Eupatorium rotundifolium,51,0.027719329870719272
baseline,N,Euphorbia cyathophora,41,0.018736610329254635
baseline,N,Evolvulus alsinoides,74,-0.013861605235017116
baseline,N,Evolvulus nummularius,67,0.022109995782649956
baseline,N,Ficinia nodosa,56,0.002404558844327962
baseline,N,Florestina tripteris,77,-0.0007821494263636144
baseline,N,Freesia leichtlinii,46,-0.002618908539352573
baseline,N,Galium aparine,50,-0.08689570546342787
baseline,N,Genista hispanica,87,-0.04273552467565193
baseline,N,Gentiana pneumonanthe,54,-0.07951643065483058
baseline,N,Glandularia gooddingii,66,0.23650338999026602
baseline,N,Glycyrrhiza lepidota,50,0.03588519910411146
baseline,N,Gypsophila repens,85,0.05731801675743224
baseline,N,Hedera helix,50,0.001998567779477207
baseline,N,Helianthemum nummularium,62,0.051647527118212584
baseline,N,Helianthus maximiliani,60,-0.06402611226518769
baseline,N,Helichrysum arenarium,84,-0.02783184289246449
baseline,N,Hypochaeris sessiliflora,58,0.14089694315938425
baseline,N,Ipomoea hederacea,56,-0.04424756580867312
baseline,N,Ixeris chinensis,77,0.10642860778274128
baseline,N,Kallstroemia grandiflora,56,0.15212155481290351
baseline,N,Lagenophora strangulata,55,-0.05484372140556594
baseline,N,Lantana achyranthifolia,67,0.14723334921821268
baseline,N,Linaria canadensis,60,0.01053077709078689
baseline,N,Linaria texana,60,0.22742531339824162
baseline,N,Linum narbonense,53,0.04620181121807376
baseline,N,Lithophragma parviflorum,72,0.06007599016254988
baseline,N,Lobelia siphilitica,50,-0.01616849023459302
baseline,N,Lomatium multifidum,55,0.07339655940769198
baseline,N,Lupinus latifolius,54,0.1212758734419955
baseline,N,Lupinus subcarnosus,72,-0.007806396077322712
baseline,N,Lygodesmia aphylla,50,-0.043430827869998495
baseline,N,Lygodesmia texana,42,0.0338274267953716
baseline,N,Maianthemum dilatatum,59,0.005388730089750161
baseline,N,Malva multiflora,48,-0.05402141978493329
baseline,N,Malva nicaeensis,51,-0.04078846103186874
baseline,N,Matthiola incana,58,-0.03812603795153507
baseline,N,Medicago arborea,58,-0.03108961664633514
baseline,N,Melampyrum cristatum,51,0.007671430279370009
baseline,N,Melampyrum nemorosum,41,-0.011868659927373994
baseline,N,Mentha longifolia,76,-0.014235591650718384
baseline,N,Muscari comosum,44,0.1082152427600722
baseline,N,Mycelis muralis,59,-0.07708447414964359
baseline,N,Myoporum insulare,55,0.10645182228488684
baseline,N,Narcissus assoanus,77,0.026028585716201705
baseline,N,Narcissus deficiens,46,-0.0054089555137517955
baseline,N,Narthecium ossifragum,52,-0.12218097875913209
baseline,N,Nelumbo lutea,52,0.060699568653356795
baseline,N,Oenothera acaulis,60,0.06347269582437744
baseline,N,Opuntia cespitosa,53,0.02931604691071048
baseline,N,Packera sanguisorbae,67,0.00883083119795401
baseline,N,Pancratium illyricum,43,0.07708968445673026
baseline,N,Pectocarya recurvata,42,-0.06576208067312268
baseline,N,Penstemon barbatus,54,-0.007851250093265483
baseline,N,Penstemon heterophyllus,61,-0.053364949563874026
baseline,N,Persicaria attenuata,49,0.14598961643986214
baseline,N,Phacelia fremontii,67,0.09853104075773307
baseline,N,Pholisma arenarium,50,-0.04940875534553136
baseline,N,Pimpinella saxifraga,77,-0.03235174335783637
baseline,N,Pisum sativum,40,-0.06503782288266685
baseline,N,Platycodon grandiflorus,52,-0.013875268920696968
baseline,N,Praxelis clematidea,71,0.047880073316725544
baseline,N,Primula mistassinica,67,0.22433492869362667
baseline,N,Prospero autumnale,46,0.05669467417848548
baseline,N,Rhododendron lapponicum,55,0.07356905715929561
baseline,N,Ribes rubrum,44,-0.04095873893275724
baseline,N,Ricinocarpos pinifolius,75,0.09915304694437398
baseline,N,Rosa californica,43,0.006136022857570502
baseline,N,Rudbeckia fulgida,54,0.03160075647058444
baseline,N,Salvia carduacea,54,0.02181239874398934
baseline,N,Sambucus ebulus,65,0.12348188679279498
baseline,N,Saxifraga tricuspidata,65,0.05370939994918851
baseline,N,Scaevola ramosissima,63,-0.0991819474902692
baseline,N,Senecio hispidulus,45,0.0336763645359025
baseline,N,Senecio pterophorus,74,0.006542379279928878
baseline,N,Senna armata,62,-0.06974378465212303
baseline,N,Senna septemtrionalis,62,0.005898864562843486
baseline,N,Silene colorata,56,0.06711326348801316
baseline,N,Silene nutans,52,-0.06027272464754455
baseline,N,Solanum carolinense,56,-0.10176459114605908
baseline,N,Spergularia marina,55,-0.03958386856378171
baseline,N,Stachys chamissonis,48,-0.011373462231788851
baseline,N,Symphoricarpos albus,41,0.09982552824417296
baseline,N,Symphoricarpos occidentalis,52,0.1475279626376917
baseline,N,Taenidia integerrima,59,0.020264843876678148
baseline,N,Tanacetum corymbosum,74,0.06592487075558975
baseline,N,Tephroseris palustris,69,-0.08689753659249855
baseline,N,Tetratheca ciliata,58,0.02156146465209232
baseline,N,Thalictrum dasycarpum,62,-0.028211922974319
baseline,N,Torenia concolor,49,-0.0595127311597184
baseline,N,Tradescantia fluminensis,50,0.009021018575470822
baseline,N,Trifolium wormskioldii,45,0.06427447789983615
baseline,N,Utricularia macrorhiza,68,0.06885233022512095
baseline,N,Vaccinium arboreum,42,-0.01881337928207938
baseline,N,Valeriana edulis,60,0.08541675490464906
baseline,N,Viburnum rafinesqueanum,69,-0.001712353264626908
baseline,N,Viola arvensis,63,0.019280510426315293
baseline,N,Volkameria inermis,59,-0.040559727713569124
baseline,N,Wedelia hispida,80,-0.07451142003944898
baseline,N,Wurmbea dioica,43,0.0978118253076967
baseline,N,Xyris jupicai,56,-0.012320397641694934
baseline,N,Zephyranthes candida,57,0.07388816323474932
baseline,N,Zeuxine strateumatica,42,-0.08194374960403464
baseline,P,Acacia ulicifolia,75,-0.03989180194651008
baseline,P,Aciphylla glacialis,80,0.03776465449919746
baseline,P,Actaea spicata,63,0.04303615744524217
baseline,P,Aegopodium podagraria,85,-0.042880611480993175
baseline,P,Agrimonia pilosa,72,0.06130367554287271
baseline,P,Agrostemma githago,59,0.01182824377701684
baseline,P,Allium praecox,72,0.27710626067403143
baseline,P,Allium vineale,41,0.029537601421978
baseline,P,Amelanchier arborea,48,0.03137458560960193
baseline,P,Anemone virginiana,46,0.14465157397627335
baseline,P,Anemonoides quinquefolia,53,0.04287279346335266
baseline,P,Arctium minus,44,-0.06656624020146526
baseline,P,Baptisia australis,71,0.0003722444655848077
baseline,P,Barbarea orthoceras,71,-0.03513315918158473
baseline,P,Biscutella laevigata,71,0.11445521645815365
baseline,P,Brodiaea coronaria,57,0.003739974362977794
baseline,P,Bryonia alba,41,0.08808022468459144
baseline,P,Buddleja davidii,46,0.04221523324206026
baseline,P,Calochortus concolor,41,0.03475587044745429
baseline,P,Calycadenia multiglandulosa,63,-0.14318807143123913
baseline,P,Campanula giesekiana,75,0.15314723866814192
baseline,P,Campanula latifolia,43,0.06355076133520163
baseline,P,Campanula scouleri,42,-0.04216901514900608
baseline,P,Carduus acanthoides,57,-0.0665029545241649
baseline,P,Carlina vulgaris,41,-0.037919885100450954
baseline,P,Centaurea solstitialis,75,0.0754220468119085
baseline,P,Chelone lyonii,44,-0.040969681661216735
baseline,P,Cochlospermum vitifolium,51,-0.07306838001189955
baseline,P,Conopholis alpina,53,-0.06260489537953383
baseline,P,Conradina canescens,75,0.0035251146793691913
baseline,P,Convolvulus elegantissimus,55,-0.07964129839826527
baseline,P,Corethrogyne filaginifolia,48,0.059536778710799335
baseline,P,Cornus suecica,61,-0.08993051149049283
baseline,P,Cypripedium guttatum,47,0.04797112658783152
baseline,P,Delairea odorata,59,0.12706950119444516
baseline,P,Delphinium glaucum,43,0.08920073145372942
baseline,P,Delphinium nuttallianum,52,-0.04835167646197853
baseline,P,Dillwynia floribunda,62,-0.0069011139202848695
baseline,P,Disphyma crassifolium,48,0.2671510607145069
baseline,P,Distimake dissectus,53,-0.06374130275838766
baseline,P,Elephantopus tomentosus,52,-0.08143936102515416
baseline,P,Erica arborea,41,-0.07344223861855542
baseline,P,Erica tetralix,51,0.0832677956642025
baseline,P,Erigeron divergens,84,0.02052202989848361
baseline,P,Erigeron linearis,90,0.037009869810668616
baseline,P,Erigeron quercifolius,76,0.19653908068388676
baseline,P,Erythranthe bicolor,68,0.20686807215540282
baseline,P,Erythranthe dentata,58,0.06441391949144169
baseline,P,Eutrochium fistulosum,41,0.13457383833608078
baseline,P,Falcaria vulgaris,69,0.08943339371423364
baseline,P,Filipendula rubra,42,0.055053130587313925
baseline,P,Gardenia jasminoides,45,0.04405737367223911
baseline,P,Gazania rigens,72,0.03359812604244447
