species,D_fresh,D_prior
Acacia ulicifolia,0.3036444444444444,0.332409972299169
Aciphylla glacialis,0.13874999999999993,0.140362121454895
Actaea spicata,0.11892164273116657,0.118921642731167
Aegopodium podagraria,0.0,0.0
Agrimonia pilosa,0.1049382716049383,0.104938271604938
Agrostemma githago,0.5314564780235564,0.574581701673193
Allium praecox,0.12924382716049387,0.117869822485207
Allium vineale,0.48542534205829857,0.477324263038549
Anemone virginiana,0.36389413988657837,0.265927977839335
Anemonoides quinquefolia,0.03702385190459245,0.0798611111111109
Baptisia australis,0.2618528069827415,0.1472
Barbarea orthoceras,0.027772267407260465,0.0277722674072605
Biscutella laevigata,0.17774251140646702,0.177742511406467
Brodiaea coronaria,0.10156971375807955,0.0619803476946335
Bryonia alba,0.5425342058298632,0.542534205829863
Buddleja davidii,0.6039697542533082,0.59599783666847
Calochortus concolor,0.17608566329565734,0.176085663295657
Calycadenia multiglandulosa,0.0,0.0
Campanula giesekiana,0.17351111111111117,0.129855507599925
Campanula latifolia,0.4348296376419686,0.441840277777778
Carduus acanthoides,0.510310864881502,0.333243751679656
Carlina vulgaris,0.5223081499107675,0.5275
Centaurea solstitialis,0.05191111111111102,0.0487500000000001
Chelone lyonii,0.3677685950413223,0.472303206997085
Cochlospermum vitifolium,0.11226451364859669,0.0807291666666665
Conopholis alpina,0.20078319686721247,0.310650887573964
Conradina canescens,0.07751111111111109,0.0281632653061223
Convolvulus elegantissimus,0.5765289256198347,0.582639714625446
Corethrogyne filaginifolia,0.5815972222222223,0.507015306122449
Cornus suecica,0.0,0.0350765306122449
Cypripedium guttatum,0.32775011317338165,0.333648393194707
Delairea odorata,0.0,0.0
Delphinium glaucum,0.2055164954029205,0.201446280991735
Delphinium nuttallianum,0.14423076923076905,0.165925925925926
Dillwynia floribunda,0.0,0.0
Disphyma crassifolium,0.4644097222222222,0.471706654594839
Distimake dissectus,0.29903880384478454,0.222837796244999
Elephantopus tomentosus,0.11020710059171601,0.108727810650888
Erica arborea,0.21891731112433077,0.142011834319526
Erica tetralix,0.6136101499423299,0.63640149937526
Erigeron divergens,0.09183673469387765,0.0918367346938777
Erigeron linearis,0.08493827160493828,0.0886965927528394
Erigeron quercifolius,0.05124653739612173,0.0746219592373438
Erythranthe bicolor,0.05709342560553643,0.0570934256055364
Erythranthe dentata,0.09809750297265163,0.0579193584317219
Eutrochium fistulosum,0.21891731112433077,0.293345405160706
Falcaria vulgaris,0.02856542743121193,0.0285654274312119
Filipendula rubra,0.6360544217687074,0.643664485425342
Gardenia jasminoides,0.12444444444444436,0.121928166351607
Gazania rigens,0.02739197530864179,0.0277722674072605
Geobalanus oblongifolius,0.46875,0.46875
Geranium macrorrhizum,0.5030991735537189,0.524444444444444
Geranium yeoi,0.5817751479289941,0.584026203073822
Gilia tricolor,0.26496528429348865,0.187124081087102
Gompholobium huegelii,0.3673094582185492,0.367309458218549
Grewia occidentalis,0.4918518518518519,0.471655328798186
Grindelia squarrosa,0.027772267407260465,0.0
Guzmania monostachia,0.4245867768595041,0.440493827160494
Herbertia lahue,0.41880151481398975,0.483471074380165
Heterotheca grandiflora,0.05709342560553643,0.0532933008069056
Hippocrepis comosa,0.0,0.0
Ilex glabra,0.06658739595719365,0.0677131425053863
Ipomoea nil,0.5460141582025239,0.554645781416874
Ipomoea pes-caprae,0.6155768429820909,0.551215277777778
Iris sibirica,0.16251154201292717,0.203017832647462
Lantana involucrata,0.19451530612244894,0.194515306122449
Lathyrus aphaca,0.18231463978155849,0.182314639781558
Leucaena leucocephala,0.37023851904592375,0.389837567680133
Leucopogon affinis,0.060546875,0.0596449704142012
Leucopogon microphyllus,0.029405212742259046,0.0289792387543251
Linum usitatissimum,0.3662306777645661,0.366230677764566
Lobelia pedunculata,0.0525931336742147,0.0505987518974531
Lomatium macrocarpum,0.47206611570247936,0.364158163265306
Lupinus havardii,0.09459822628325731,0.126111111111111
Lysimachia europaea,0.0525931336742147,0.0920915712799166
Lysimachia quadrifolia,0.0,0.0592286501377409
Malacothrix saxatilis,0.09033203125,0.0619803476946335
Malva moschata,0.4492702029191884,0.481310074759701
Marah oregana,0.0992865636147443,0.102678571428572
Melaleuca citrina,0.40875000000000006,0.40875
Moricandia arvensis,0.4918639053254438,0.485582057671769
Myosotis latifolia,0.2811834319526627,0.375
Myrtus communis,0.12640045963803503,0.210291824459791
Navarretia heterodoxa,0.43739644970414193,0.437396449704142
Nicotiana longiflora,0.07535563244905807,0.0753556324490581
Olearia arborescens,0.17481789802289294,0.120707596253902
Opuntia humifusa,0.06243496357960443,0.0634238108035474
Ornithogalum umbellatum,0.05629069523209407,0.0562906952320941
Ornithopus compressus,0.14201183431952646,0.142011834319526
Palafoxia texana,0.34244897959183673,0.346145767695862
Pectis papposa,0.0,0.0
Persicaria nepalensis,0.2782401902497027,0.291857027680731
Phlox diffusa,0.2770083102493076,0.22879684418146
Pimelea serpyllifolia,0.315688775510204,0.306158775364898
Portulaca pilosa,0.0840159630329762,0.0592286501377409
Portulaca suffrutescens,0.24732461355529134,0.247324613555291
Prunus ilicifolia,0.2543402777777778,0.254340277777778
Prunus mahaleb,0.06887755102040805,0.0739644970414202
Pseudorchis albida,0.5182291666666666,0.520793950850662
Rafinesquia neomexicana,0.05671077504725908,0.0920915712799166
Ranunculus glacialis,0.35928994082840227,0.330585876587213
Ranunculus lyallii,0.10632810950208293,0.0820408163265305
Ranunculus uncinatus,0.2725797728501893,0.267561983471074
Raphanus raphanistrum,0.4297337278106509,0.483353151010702
Rorippa palustris,0.169921875,0.146132527084908
Rubus pubescens,0.1472,0.0992865636147443
Ruellia metziae,0.02856542743121193,0.0281632653061223
Salvia longispicata,0.5182622068435218,0.5376
Salvia lyrata,0.25580011897679955,0.148404459823145
Sanguinaria canadensis,0.138115393183337,0.207612456747405
Saxifraga tridactylites,0.2991071428571429,0.317307692307692
Schelhammera undulata,0.5590277777777779,0.555907650520598
Senecio mohavensis,0.11692307692307691,0.11524334251607
Senna hebecarpa,0.25350837483024,0.25350837483024
Silene dioica,0.2925347222222221,0.205515088449532
Silene rotundifolia,0.200960219478738,0.200960219478738
Silphium integrifolium,0.06499999999999995,0.0370238519045925
Sisymbrium irio,0.06444444444444453,0.0880473372781063
Symphyotrichum puniceum,0.13078703703703698,0.232570239334027
Symphyotrichum subulatum,0.1699408284023669,0.137975778546713
Taraxacum erythrospermum,0.23111111111111104,0.231111111111111
Tecoma stans,0.1204333585285966,0.035702479338843
Thunbergia grandiflora,0.3829096809085992,0.379664683612764
Thymus praecox,0.5165432098765432,0.556049382716049
Tulipa sylvestris,0.07396449704142016,0.152445369406868
Vernonia gigantea,0.515495867768595,0.516976007243096
Vernonia noveboracensis,0.5022907122032486,0.476739715494041
Veronica alpina,0.37360000000000004,0.356518117451062
Veronica spicata,0.3565051020408163,0.386774317570165
Vicia tetrasperma,0.1512,0.0783007080383175
Vincetoxicum hirundinaria,0.3606557377049181,0.297086368366285
Viola cornuta,0.39800640797436815,0.42085798816568
Viola pedunculata,0.0,0.0
Viola rostrata,0.40830449826989623,0.334993209597103
Viola tricolor,0.5608,0.532892561983471
Viscaria vulgaris,0.24186390532544366,0.316666666666667
