effect_size,imbalance_ratio,missing_fraction,worlds,naive_detection,equal_matched_detection,pair_weighted_matched_detection,species_rho_ttest_detection,fixed_effect_logit_detection,fixed_effect_beta_median,fixed_effect_p_median,equal_rho_median
0.0,1.0,0.0,40,1.0,0.025,0.025,0.05,0.075,0.006724342219862689,0.48719565960107003,-1.625543314849392e-05
0.0,1.0,0.25,40,1.0,0.025,0.025,0.05,0.025,0.0026593399607990806,0.7457790241376008,-0.001127906002962708
0.0,1.0,0.5,40,1.0,0.0,0.025,0.0,0.1,6.273504567072174e-07,1.0,-0.005395252348388927
0.0,4.0,0.0,40,1.0,0.025,0.0,0.025,0.0,6.273504567072174e-07,1.0,-0.004170688058509111
0.0,4.0,0.25,40,1.0,0.0,0.025,0.05,0.025,0.003480997798072724,0.48965972605400543,0.0028404299440313663
0.0,4.0,0.5,40,1.0,0.025,0.0,0.0,0.075,0.020115100401086737,0.4532773950410339,-0.003674353124432539
0.8,1.0,0.0,40,1.0,0.275,0.275,0.35,1.0,0.7703140206944841,5.211898567737979e-05,0.040689950054459315
0.8,1.0,0.25,40,1.0,0.25,0.25,0.175,0.975,0.9281538249216209,3.7063123413831815e-05,0.0413258706342783
0.8,1.0,0.5,40,1.0,0.225,0.2,0.2,0.975,0.9381224563778346,0.0006891254194810151,0.03057776254932011
0.8,4.0,0.0,40,1.0,0.675,0.575,0.7,1.0,0.8238249430247655,2.2415198139174113e-11,0.05276076402007185
0.8,4.0,0.25,40,1.0,0.425,0.325,0.525,1.0,0.8122284431028287,3.3573866545087823e-09,0.046107535694982105
0.8,4.0,0.5,40,1.0,0.35,0.325,0.35,1.0,0.8209162403261775,2.5591864470753055e-06,0.0407384877172437
1.6,1.0,0.0,40,1.0,1.0,1.0,1.0,1.0,1.8268242917398387,3.276153216160821e-16,0.15117839759110469
1.6,1.0,0.25,40,1.0,1.0,0.95,0.975,1.0,1.9596989405213332,7.355555273056967e-13,0.1528978062411518
1.6,1.0,0.5,40,1.0,0.75,0.725,0.8,1.0,1.994173629166383,1.2644322357975496e-09,0.1147547980278622
1.6,4.0,0.0,40,1.0,1.0,1.0,1.0,1.0,1.7143179610199146,2.0040038839785677e-37,0.15261237913801146
1.6,4.0,0.25,40,1.0,1.0,1.0,1.0,1.0,1.7075366047435274,1.781077475989751e-27,0.14683137638194768
1.6,4.0,0.5,40,1.0,1.0,1.0,1.0,1.0,1.768121188225067,1.5653802438452998e-19,0.1435837879570266
2.4,1.0,0.0,40,1.0,1.0,1.0,1.0,1.0,2.634937150828591,2.208510400370889e-26,0.2295128111564206
2.4,1.0,0.25,40,1.0,1.0,1.0,1.0,1.0,2.856672923837297,2.0466353190672684e-21,0.2305038106342111
2.4,1.0,0.5,40,1.0,1.0,1.0,1.0,1.0,3.015130040217594,5.613413987998973e-17,0.24034345364985943
2.4,4.0,0.0,40,1.0,1.0,1.0,1.0,1.0,2.4570739842712532,7.446660589363078e-66,0.2598214211741914
2.4,4.0,0.25,40,1.0,1.0,1.0,1.0,1.0,2.584690792528091,2.043409666470857e-50,0.24815423448921664
2.4,4.0,0.5,40,1.0,1.0,1.0,1.0,1.0,2.650128693386963,1.421638718637077e-34,0.23845945174030175
