species,n_classifiable,D,second_fraction,primary_second_ge_0_10,sensitivity_second_ge_0_20,spatial_observed_rho
Cochlospermum vitifolium,48,0.08072916666666652,0.020833333333333332,False,False,-0.0175116554934734
Coleogyne ramosissima,77,0.07488615280823074,0.03896103896103896,False,False,0.0455717769245181
Coleostephus myconis,79,0.0,0.0,False,False,0.0285414187141639
Collinsia grandiflora,54,0.2297668038408779,0.1111111111111111,True,False,0.1041338947526362
Commelina benghalensis,51,0.5159554017685506,0.29411764705882354,True,True,0.050581291305409
Commelina communis,52,0.20784023668639062,0.09615384615384616,False,False,0.0808119408992423
Commelina diffusa,59,0.47572536627405915,0.3898305084745763,True,True,0.0057622241010852
Conoclinium betonicifolium,73,0.19778570088196656,0.0958904109589041,False,False,0.0313415117606806
Conopholis alpina,52,0.3106508875739644,0.19230769230769232,True,False,-0.0707269278925489
Conospermum caeruleum,57,0.4038165589412126,0.2807017543859649,True,True,0.0525403987214755
Convolvulus elegantissimus,58,0.5826397146254458,0.3793103448275862,True,True,-0.096929275729656
Cornus florida,49,0.21491045397750952,0.12244897959183673,True,False,-0.0029630222630819
Cornus sanguinea,49,0.14993752603082044,0.08163265306122448,False,False,0.0186758876438733
Cornus suecica,56,0.035076530612244916,0.017857142857142856,False,False,-0.0898673180240173
Corydalis aurea,70,0.028163265306122343,0.014285714285714285,False,False,-0.018223767325758
Cotula coronopifolia,82,0.024092801903628835,0.012195121951219513,False,False,0.0141936329087276
Crepis biennis,61,0.03224939532383764,0.01639344262295082,False,False,-0.0074569844715287
Crepis sancta,67,0.05791935843172191,0.029850746268656716,False,False,-0.0614189653085001
Cryptantha barbigera,48,0.2230902777777778,0.10416666666666667,True,False,0.1164187716728742
Cylindropuntia echinocarpa,47,0.19013128112268007,0.10638297872340426,True,False,-0.0596031473258009
Cypripedium guttatum,46,0.33364839319470696,0.13043478260869565,True,False,0.0385712694685867
Dalea candida,74,0.0525931336742147,0.02702702702702703,False,False,-0.0583645627464291
Dampiera stricta,79,0.18426534209261325,0.08860759493670886,False,False,0.1968054690690822
Delphinium glaucum,44,0.20144628099173545,0.11363636363636363,True,False,0.0837242966807565
Delphinium sutherlandii,53,0.10679957280170882,0.05660377358490566,False,False,-0.0291583344536352
Desmanthus illinoensis,66,0.23553719008264462,0.13636363636363635,True,False,0.0360665725514892
Diplacus mephiticus,68,0.5627162629757786,0.4117647058823529,True,True,0.0235571265597107
Diplotaxis tenuifolia,78,0.09730440499671267,0.05128205128205128,False,False,-0.0376892486620117
Disphyma crassifolium,47,0.4717066545948393,0.14893617021276595,True,False,0.2580176479450787
Distimake aegyptius,50,0.07679999999999998,0.04,False,False,0.0105565453221302
Distimake dissectus,57,0.22283779624499866,0.07017543859649122,False,False,0.0935546841302528
Drosera spatulata,43,0.6803677663601947,0.32558139534883723,True,True,0.1573675071283231
Dyssodia pinnata,78,0.0,0.0,False,False,-0.0035775432334954
Echium gaditanum,62,0.28147762747138383,0.11290322580645161,True,False,0.0345909946367437
Echium rosulatum,53,0.4841580633677466,0.32075471698113206,True,True,0.2711843434390857
Ehretia anacua,50,0.0,0.0,False,False,0.0217426759344006
Elephantopus carolinianus,62,0.12278876170655573,0.03225806451612903,False,False,0.1104325521199217
Epacris obtusifolia,41,0.21415823914336696,0.12195121951219512,True,False,-0.0508376505108628
Erechtites hieraciifolius,47,0.4762335898596649,0.3404255319148936,True,True,0.0761016998743585
Erigeron foliosus,50,0.6024,0.24,True,True,-0.052264305395894
Erigeron linearis,86,0.08869659275283936,0.046511627906976744,False,False,0.0514398243753541
Eriodictyon crassifolium,54,0.16803840877914955,0.09259259259259259,False,False,0.0328753721712507
Eriogonum jamesii,66,0.14003673094582192,0.07575757575757576,False,False,0.123774261306428
Eriogonum latifolium,70,0.22408163265306125,0.12857142857142856,True,False,0.1158388134739911
Eriogonum niveum,44,0.0878099173553718,0.022727272727272728,False,False,-0.0077143755098618
Eriophorum vaginatum,45,0.345679012345679,0.2222222222222222,True,True,-0.0613462393888656
Eriophyllum confertiflorum,82,0.0,0.0,False,False,0.0354920111116875
Eryngium planum,51,0.2137639369473281,0.0784313725490196,False,False,0.1373990715167185
Erythranthe dentata,67,0.05791935843172191,0.029850746268656716,False,False,0.0256816792312864
Erythranthe erubescens,45,0.5698765432098767,0.28888888888888886,True,True,-0.0247348358469786
Erythrina humeana,52,0.2921597633136095,0.15384615384615385,True,False,0.2639268112366662
Eschscholzia minutiflora,72,0.0,0.0,False,False,0.10964140950518
Euonymus obovatus,41,0.4997025580011898,0.4878048780487805,True,True,-0.0018307581925839
Eupatorium altissimum,55,0.19438016528925628,0.10909090909090909,True,False,0.071204409289202
Euphorbia cyparissias,85,0.0,0.0,False,False,-0.0079261445312812
Eurybia divaricata,44,0.08677685950413205,0.045454545454545456,False,False,0.1112547415094012
Eutrochium fistulosum,47,0.2933454051607062,0.1276595744680851,True,False,0.1605967876088387
Eutrochium maculatum,47,0.2978723404255319,0.10638297872340426,True,False,-0.0093202484098883
Eysenhardtia texana,46,0.08317580340264641,0.043478260869565216,False,False,-0.0454681611943406
Falcaria vulgaris,69,0.02856542743121193,0.014492753623188406,False,False,0.0929859394925835
Fritillaria pyrenaica,47,0.6889995473064736,0.3617021276595745,True,True,0.1345691627001458
Galinsoga parviflora,64,0.35888671875,0.234375,True,True,0.0344807306979648
Gazania rigens,71,0.027772267407260465,0.014084507042253521,False,False,0.0222827568521331
Gentiana acaulis,71,0.20511803213648072,0.08450704225352113,False,False,-0.0155349084726039
Gentiana parryi,45,0.16493827160493824,0.06666666666666667,False,False,0.0528173979852356
Geranium macrorrhizum,45,0.5244444444444445,0.28888888888888886,True,True,0.0455896369405106
Geranium molle,52,0.6427514792899409,0.2692307692307692,True,True,0.0164008520537438
Geranium richardsonii,56,0.06951530612244883,0.017857142857142856,False,False,0.0686227988116714
Geranium yeoi,63,0.5840262030738221,0.4444444444444444,True,True,0.2009128101090579
Geum canadense,51,0.03844675124951946,0.0196078431372549,False,False,-0.0525975825234279
Geum macrophyllum,67,0.08554243706838949,0.04477611940298507,False,False,-0.0516212109589317
Geum urbanum,65,0.11550295857988169,0.06153846153846154,False,False,0.0392933635487131
Gompholobium huegelii,66,0.3673094582185492,0.24242424242424243,True,True,0.1607089443360443
Goodenia ovata,74,0.0525931336742147,0.02702702702702703,False,False,0.0077298241721977
Grevillea alpina,42,0.5770975056689343,0.40476190476190477,True,True,0.0201253024316169
Grevillea lavandulacea,46,0.12476370510396972,0.021739130434782608,False,False,-0.136659665059295
Guzmania monostachia,45,0.4404938271604938,0.2222222222222222,True,True,0.1033684630560048
Hedypnois rhagadioloides,61,0.03224939532383764,0.01639344262295082,False,False,-0.0021231907415409
Helenium autumnale,81,0.0,0.0,False,False,-0.0131655921941208
