mapping,amplitude,world,both,environment_only,geography_only,neither
confounded,0.5,confounded_shared,0.198,0.06,0.076,0.666
confounded,0.5,environmental_specific,0.018,0.008,0.016,0.958
confounded,0.5,geographic_specific,0.0,0.0,0.012,0.988
confounded,0.5,mixed_specific,0.002,0.004,0.01,0.984
confounded,0.5,no_structure,0.0,0.0,0.0,1.0
confounded,1.0,confounded_shared,0.986,0.012,0.0,0.002
confounded,1.0,environmental_specific,0.014,0.014,0.008,0.964
confounded,1.0,geographic_specific,0.0,0.0,0.0,1.0
confounded,1.0,mixed_specific,0.0,0.0,0.0,1.0
confounded,1.0,no_structure,0.0,0.0,0.0,1.0
confounded,2.0,confounded_shared,1.0,0.0,0.0,0.0
confounded,2.0,environmental_specific,0.008,0.016,0.008,0.968
confounded,2.0,geographic_specific,0.0,0.0,0.0,1.0
confounded,2.0,mixed_specific,0.0,0.0,0.0,1.0
confounded,2.0,no_structure,0.0,0.0,0.0,1.0
harmonic,0.5,environmental_shared,0.0,0.132,0.0,0.868
harmonic,0.5,environmental_specific,0.0,0.034,0.0,0.966
harmonic,0.5,geographic_shared,0.0,0.0,0.454,0.546
harmonic,0.5,geographic_specific,0.0,0.0,0.032,0.968
harmonic,0.5,mixed_specific,0.0,0.0,0.0,1.0
harmonic,0.5,no_structure,0.0,0.0,0.0,1.0
harmonic,1.0,environmental_shared,0.0,0.944,0.0,0.056
harmonic,1.0,environmental_specific,0.0,0.03,0.0,0.97
harmonic,1.0,geographic_shared,0.0,0.0,1.0,0.0
harmonic,1.0,geographic_specific,0.0,0.0,0.036,0.964
harmonic,1.0,mixed_specific,0.0,0.0,0.0,1.0
harmonic,1.0,no_structure,0.0,0.0,0.0,1.0
harmonic,2.0,environmental_shared,0.0,1.0,0.0,0.0
harmonic,2.0,environmental_specific,0.0,0.018,0.0,0.982
harmonic,2.0,geographic_shared,0.0,0.0,1.0,0.0
harmonic,2.0,geographic_specific,0.0,0.0,0.032,0.968
harmonic,2.0,mixed_specific,0.0,0.0,0.0,1.0
harmonic,2.0,no_structure,0.0,0.0,0.0,1.0
