species,inat_taxon_id,total_metadata_records,occupied_cells,cells_ge_2,cells_ge_3,max_records_in_cell,median_records_per_occupied_cell,metadata_rank
Catharanthus roseus,62924,108,45,25,12,16,2.0,1
Chamaenerion angustifolium,564969,129,28,23,16,16,3.0,2
Tridax procumbens,169944,93,36,22,16,11,2.0,3
Ipomoea pes-caprae,60879,80,33,22,11,7,2.0,4
Lantana camara,50333,81,40,19,9,7,1.0,5
Caltha palustris,56224,88,27,19,14,11,3.0,6
Scaevola taccada,363481,65,26,16,9,13,2.0,7
Mimosa pudica,51921,61,23,16,9,7,2.0,8
Gloriosa superba,141177,85,22,16,13,12,3.5,9
Sphagneticola trilobata,246102,51,26,13,6,6,1.5,10
Clitoria ternatea,160759,53,24,13,11,6,2.0,11
Calotropis procera,120917,76,21,13,8,13,2.0,12
Nicotiana glauca,58334,49,19,12,9,7,2.0,13
Oxalis corniculata,53168,51,24,11,8,9,1.0,14
Achillea millefolium,52821,41,19,11,7,5,2.0,15
Calotropis gigantea,67574,50,17,11,6,7,2.0,16
Ficaria verna,204321,50,13,11,8,14,3.0,17
Asystasia intrusa,344320,46,21,10,6,7,1.0,18
Spathoglottis plicata,132672,39,15,10,4,8,2.0,19
Convolvulus arvensis,53021,33,19,9,3,4,1.0,20
Hippobroma longiflora,154827,38,17,9,6,7,2.0,21
Pemphis acidula,425753,36,16,9,6,5,2.0,22
Turnera subulata,327909,44,15,9,6,12,2.0,23
Rubus chamaemorus,153003,28,12,9,5,4,2.0,24
Asclepias curassavica,75602,46,22,8,7,9,1.0,25
Ageratum conyzoides,143422,40,22,8,4,6,1.0,26
Hibiscus tiliaceus,62868,35,20,8,4,5,1.0,27
Trifolium repens,55745,34,20,8,4,5,1.0,28
Commelina benghalensis,76425,37,19,8,3,10,1.0,29
Cyanthillium cinereum,130374,35,18,8,6,5,1.0,30
Parnassia palustris,78352,51,16,8,5,9,1.5,31
Synedrella nodiflora,169500,36,16,8,4,9,1.5,32
Chamaenerion latifolium,564970,67,14,8,8,14,4.0,33
Bidens alba,1095846,35,14,8,6,7,2.0,34
Trifolium pratense,51875,42,22,7,3,12,1.0,35
Delonix regia,62839,31,21,7,3,3,1.0,36
Taraxacum officinale,47602,31,17,7,3,5,1.0,37
Lathyrus tuberosus,55729,40,10,7,5,12,2.5,38
Arundina graminifolia,117504,40,10,7,4,19,2.0,39
Ruellia simplex,126633,19,10,7,1,4,2.0,40
Saxifraga oppositifolia,128880,34,8,7,5,9,4.5,41
Ipomoea cairica,77494,31,22,6,3,3,1.0,42
Eclipta prostrata,76765,31,21,6,3,4,1.0,43
Morinda citrifolia,121022,26,16,6,3,4,1.0,44
Bellis perennis,55563,34,15,6,4,6,1.0,45
Lamium purpureum,55851,33,11,6,6,8,3.0,46
Anaphalis margaritacea,52833,22,11,6,4,4,2.0,47
Veronica persica,55666,21,11,6,3,4,2.0,48
Emilia fosbergii,129103,16,9,6,1,3,2.0,49
Arctostaphylos uva-ursi,68049,21,8,6,4,5,2.5,50
Veronica chamaedrys,51610,19,8,6,3,5,2.0,51
