species,species_index,retained_edge_occurrences,partial_rho_colour_vs_terrain_given_distance
Acacia linifolia,0,5405,-0.023479768931083174
Acacia ulicifolia,1,5271,0.08235802405383615
Aciphylla glacialis,2,5218,-0.07391188980862945
Aconitum delphiniifolium,3,5318,-0.052697319020242495
Aconitum tauricum,4,5483,-0.0063114168104220865
Adoxa moschatellina,5,5469,-0.07536802614381327
Aegopodium podagraria,6,5409,-0.07918211874599486
Agapanthus praecox,7,5339,0.019774691263202197
Ageratina havanensis,8,5907,0.04606344977431385
Agrostemma githago,9,5412,0.06405163334465791
Ajuga genevensis,10,5348,0.033067532333116226
Alchemilla alpina,11,5490,0.15584073961186182
Allium drummondii,12,5615,0.01887948960220367
Allium praecox,13,5343,-0.07665031101752671
Allium schoenoprasum,14,5433,-0.04771751975466116
Allium tuberosum,15,5575,0.019876628454566597
Althaea officinalis,16,5231,-0.06607031750533812
Alyxia buxifolia,17,5214,-0.14530934925160385
Amsinckia tessellata,18,5510,-0.16334970786919434
Anchusa arvensis,19,5295,0.006961506788394231
Andromeda polifolia,20,5196,-0.00719562987482012
Androsace villosa,21,5558,-0.00012288736663987763
Andryala integrifolia,22,5307,0.07838542518541103
Anemone pavonina,23,5449,-0.06479386038539765
Anemonoides blanda,24,5224,-0.014668287638303003
Anemonoides quinquefolia,25,5088,-0.06978280764608323
Antennaria dioica,26,5351,-0.06219116211295619
Aquilegia coerulea,27,5700,0.07090737729466856
Asclepias incarnata,28,5464,0.21726814633269945
Asclepias ovalifolia,29,5300,-0.0008206365311479113
Asclepias perennis,30,5089,0.06286742083553157
Asclepias quadrifolia,31,5054,0.0022795424703763857
Asclepias viridis,32,5315,0.05248681322234617
Astragalus glycyphyllos,33,5439,-0.03146553412551311
Austroflourensia thurifera,34,5280,-0.01632615451216896
Baptisia australis,35,5100,0.08531111687721002
Baptisia tinctoria,36,5216,0.03211675251615867
Barbarea orthoceras,37,5375,0.04729092303005166
Bellis annua,38,5217,-0.036503555232015726
Bidens aristosa,39,5386,0.07498535183476482
Bidens bipinnata,40,5382,0.08849735101946858
Bidens cernua,41,5194,-0.011611534289343138
Biscutella laevigata,42,5660,-0.11234270264725646
Brodiaea coronaria,43,5321,0.032690724801839606
Bryonia alba,44,5585,0.1644422904896855
Buddleja davidii,45,5568,-0.0920799897007293
Bursaria spinosa,46,5009,-0.04246808990895346
Calochortus concolor,47,5407,0.036601297660496177
Calochortus flexuosus,48,5389,0.04409941796416681
Calochortus leichtlinii,49,5152,-0.0449290909678383
Calochortus monophyllus,50,5221,0.16070993557799032
Calycadenia multiglandulosa,51,5304,-0.023991514174421975
Calystegia tuguriorum,52,5242,-0.01878309068639745
Campanula latifolia,53,5579,-0.055866003197269566
Campanula patula,54,5296,0.025932002967462377
