family,correlation,target_block,true_target_effect,replicates,target_holm_power,family_any_discovery_probability,target_one_test_power,holm_power_cost
five_environmental_parent_blocks,0.0,terrain_structure,0.0,100000,0.00992,0.04895,0.049,0.039080000000000004
five_environmental_parent_blocks,0.0,terrain_structure,0.0025,100000,0.04223,0.07951,0.14777,0.10554000000000002
five_environmental_parent_blocks,0.0,terrain_structure,0.005,100000,0.13035,0.16404,0.32832,0.19797
five_environmental_parent_blocks,0.0,terrain_structure,0.0075,100000,0.3013,0.32781,0.56232,0.26102000000000003
five_environmental_parent_blocks,0.0,terrain_structure,0.01,100000,0.53118,0.54859,0.77693,0.24575000000000002
five_environmental_parent_blocks,0.0,terrain_structure,0.015,100000,0.90019,0.9034,0.97423,0.07404
five_environmental_parent_blocks,0.0,terrain_structure,0.02,100000,0.99355,0.99382,0.99926,0.005709999999999993
five_environmental_parent_blocks,0.0,thermal_regime,0.0,100000,0.01015,0.04917,0.05024,0.04009
five_environmental_parent_blocks,0.0,thermal_regime,0.0025,100000,0.05021,0.08747,0.16635,0.11614
five_environmental_parent_blocks,0.0,thermal_regime,0.005,100000,0.1663,0.1987,0.38704,0.22074
five_environmental_parent_blocks,0.0,thermal_regime,0.0075,100000,0.38717,0.41035,0.6534,0.26622999999999997
five_environmental_parent_blocks,0.0,thermal_regime,0.01,100000,0.65369,0.66638,0.85719,0.20350000000000001
five_environmental_parent_blocks,0.0,thermal_regime,0.015,100000,0.95968,0.96129,0.99233,0.03265000000000007
five_environmental_parent_blocks,0.0,thermal_regime,0.02,100000,0.9991,0.99913,0.99994,0.0008400000000000629
five_environmental_parent_blocks,0.0,water_balance,0.0,100000,0.01031,0.04778,0.04959,0.03928
five_environmental_parent_blocks,0.0,water_balance,0.0025,100000,0.04391,0.07992,0.15369,0.10977999999999999
five_environmental_parent_blocks,0.0,water_balance,0.005,100000,0.14092,0.17284,0.34394,0.20302000000000003
five_environmental_parent_blocks,0.0,water_balance,0.0075,100000,0.32378,0.34872,0.58743,0.26365
five_environmental_parent_blocks,0.0,water_balance,0.01,100000,0.56583,0.5812,0.80026,0.23442999999999992
five_environmental_parent_blocks,0.0,water_balance,0.015,100000,0.92096,0.92346,0.98227,0.061309999999999976
five_environmental_parent_blocks,0.0,water_balance,0.02,100000,0.99639,0.99651,0.99961,0.0032200000000000006
five_environmental_parent_blocks,0.0,atmospheric_energy_dryness,0.0,100000,0.01022,0.04992,0.05055,0.04033
five_environmental_parent_blocks,0.0,atmospheric_energy_dryness,0.0025,100000,0.05006,0.08791,0.16505,0.11499000000000001
five_environmental_parent_blocks,0.0,atmospheric_energy_dryness,0.005,100000,0.16386,0.19658,0.3819,0.21804
five_environmental_parent_blocks,0.0,atmospheric_energy_dryness,0.0075,100000,0.37993,0.40356,0.64551,0.26558000000000004
five_environmental_parent_blocks,0.0,atmospheric_energy_dryness,0.01,100000,0.6435,0.65661,0.85211,0.20861000000000007
five_environmental_parent_blocks,0.0,atmospheric_energy_dryness,0.015,100000,0.95615,0.95753,0.99166,0.03550999999999993
five_environmental_parent_blocks,0.0,atmospheric_energy_dryness,0.02,100000,0.9988,0.99885,0.99995,0.0011499999999999844
five_environmental_parent_blocks,0.0,edaphic_regime,0.0,100000,0.00991,0.04904,0.04911,0.0392
five_environmental_parent_blocks,0.0,edaphic_regime,0.0025,100000,0.03198,0.06998,0.12073,0.08875
five_environmental_parent_blocks,0.0,edaphic_regime,0.005,100000,0.08377,0.11927,0.24159,0.15782000000000002
five_environmental_parent_blocks,0.0,edaphic_regime,0.0075,100000,0.18143,0.21281,0.41055,0.22912000000000002
five_environmental_parent_blocks,0.0,edaphic_regime,0.01,100000,0.33263,0.35812,0.59717,0.26454
five_environmental_parent_blocks,0.0,edaphic_regime,0.015,100000,0.69625,0.70776,0.88338,0.18713000000000002
five_environmental_parent_blocks,0.0,edaphic_regime,0.02,100000,0.92822,0.93058,0.98398,0.05575999999999992
five_environmental_parent_blocks,0.25,terrain_structure,0.0,100000,0.01084,0.04688,0.05057,0.039729999999999994
five_environmental_parent_blocks,0.25,terrain_structure,0.0025,100000,0.04346,0.07547,0.14943,0.10597000000000001
five_environmental_parent_blocks,0.25,terrain_structure,0.005,100000,0.13307,0.15789,0.32641,0.19333999999999998
five_environmental_parent_blocks,0.25,terrain_structure,0.0075,100000,0.30022,0.31587,0.56126,0.26104
five_environmental_parent_blocks,0.25,terrain_structure,0.01,100000,0.53008,0.5377,0.77507,0.24499000000000004
five_environmental_parent_blocks,0.25,terrain_structure,0.015,100000,0.89805,0.89872,0.97454,0.07648999999999995
five_environmental_parent_blocks,0.25,terrain_structure,0.02,100000,0.99309,0.9931,0.99908,0.00598999999999994
five_environmental_parent_blocks,0.25,thermal_regime,0.0,100000,0.00988,0.04647,0.04961,0.03973
five_environmental_parent_blocks,0.25,thermal_regime,0.0025,100000,0.05032,0.08203,0.16819,0.11787
five_environmental_parent_blocks,0.25,thermal_regime,0.005,100000,0.1689,0.19204,0.3867,0.2178
five_environmental_parent_blocks,0.25,thermal_regime,0.0075,100000,0.38692,0.39947,0.65082,0.26389999999999997
five_environmental_parent_blocks,0.25,thermal_regime,0.01,100000,0.65035,0.65511,0.85567,0.20532000000000006
five_environmental_parent_blocks,0.25,thermal_regime,0.015,100000,0.95852,0.95867,0.99212,0.03359999999999996
five_environmental_parent_blocks,0.25,thermal_regime,0.02,100000,0.99913,0.99913,0.99997,0.0008400000000000629
