edge_id,cell_i,cell_j,opportunities,transition_count,persistence,species_turnover_jsd_bits,candidate_n_i,candidate_n_j,species_n_i,species_n_j,shared_species,union_species,species_jaccard_similarity
37:55,37,55,200,0,0.0,0.7897295488202282,65,147,40,74,9,105,0.08571428571428572
38:39,38,39,0,0,,1.0,7,17,6,8,0,14,0.0
38:56,38,56,0,0,,1.0,7,10,6,9,0,15,0.0
39:40,39,40,0,0,,,17,0,8,0,0,8,0.0
39:57,39,57,0,0,,,17,0,8,0,0,8,0.0
40:41,40,41,0,0,,,0,200,0,157,0,157,0.0
40:58,40,58,0,0,,,0,0,0,0,0,0,
41:42,41,42,200,0,0.0,0.9458264942285327,200,200,157,169,8,318,0.025157232704402517
41:59,41,59,200,0,0.0,0.9539125173134606,200,200,157,170,7,320,0.021875
42:43,42,43,0,0,,0.971677173381263,200,13,169,11,2,178,0.011235955056179775
42:60,42,60,200,8,0.04,0.8923610402803414,200,200,169,162,16,315,0.050793650793650794
43:44,43,44,0,0,,,13,0,11,0,0,11,0.0
43:61,43,61,0,0,,0.958487376416366,13,200,11,173,3,181,0.016574585635359115
44:45,44,45,0,0,,,0,200,0,159,0,159,0.0
44:62,44,62,0,0,,,0,25,0,16,0,16,0.0
45:46,45,46,200,11,0.055,0.9705174031801189,200,200,159,160,4,315,0.012698412698412698
45:63,45,63,200,10,0.05,0.9814768803900358,200,200,159,154,3,310,0.00967741935483871
46:47,46,47,200,0,0.0,0.9412529131704598,200,200,160,152,8,304,0.02631578947368421
46:64,46,64,200,1,0.005,0.9407001610441463,200,200,160,170,8,322,0.024844720496894408
47:48,47,48,200,35,0.175,0.8748228672232602,200,13,152,12,6,158,0.0379746835443038
47:65,47,65,200,1,0.005,0.8941759963135901,200,200,152,157,16,293,0.05460750853242321
48:49,48,49,0,0,,,13,0,12,0,0,12,0.0
48:66,48,66,200,132,0.66,0.9025908049759807,13,133,12,62,3,71,0.04225352112676056
49:50,49,50,0,0,,,0,200,0,172,0,172,0.0
49:67,49,67,0,0,,,0,22,0,17,0,17,0.0
50:51,50,51,200,4,0.02,0.9432323649150551,200,200,172,156,10,318,0.031446540880503145
50:68,50,68,200,0,0.0,0.992073570197631,200,200,172,121,1,292,0.003424657534246575
51:52,51,52,200,1,0.005,0.9870791100484654,200,200,156,160,2,314,0.006369426751592357
51:69,51,69,200,0,0.0,0.9659885439492006,200,200,156,138,5,289,0.01730103806228374
52:53,52,53,200,66,0.33,0.9757233291314642,200,200,160,148,4,304,0.013157894736842105
52:70,52,70,200,4,0.02,0.9340634171019256,200,200,160,152,10,302,0.033112582781456956
53:71,53,71,200,5,0.025,0.9139499078309468,200,200,148,126,10,264,0.03787878787878788
54:55,54,55,200,0,0.0,0.6990770240593338,105,147,72,74,21,125,0.168
54:71,54,71,200,1,0.005,0.6717107124069267,105,200,72,126,29,169,0.17159763313609466
54:72,54,72,0,0,,0.9010242944290974,105,2,72,2,2,72,0.027777777777777776
55:56,55,56,200,138,0.69,0.7769633037180985,147,10,74,9,7,76,0.09210526315789473
55:73,55,73,0,0,,,147,0,74,0,0,74,0.0
56:57,56,57,0,0,,,10,0,9,0,0,9,0.0
56:74,56,74,0,0,,,10,0,9,0,0,9,0.0
57:58,57,58,0,0,,,0,0,0,0,0,0,
57:75,57,75,0,0,,,0,0,0,0,0,0,
58:59,58,59,0,0,,,0,200,0,170,0,170,0.0
58:76,58,76,0,0,,,0,200,0,103,0,103,0.0
59:60,59,60,200,65,0.325,0.942180907347112,200,200,170,162,9,323,0.02786377708978328
59:77,59,77,200,3,0.015,0.9411209294329455,200,200,170,173,9,334,0.02694610778443114
60:61,60,61,200,24,0.12,0.8746172628073089,200,200,162,173,21,314,0.06687898089171974
60:78,60,78,200,21,0.105,0.8885761552469845,200,200,162,180,18,324,0.05555555555555555
61:62,61,62,200,2,0.01,0.9611247213103734,200,25,173,16,2,187,0.0106951871657754
61:79,61,79,200,1,0.005,0.7285167391404718,200,200,173,143,40,276,0.14492753623188406
62:63,62,63,200,0,0.0,0.9848055483297552,25,200,16,154,1,169,0.005917159763313609
62:80,62,80,200,16,0.08,0.9785699676416839,25,137,16,87,1,102,0.00980392156862745
63:64,63,64,200,2,0.01,0.8722658998208915,200,200,154,170,19,305,0.06229508196721312
63:81,63,81,200,17,0.085,0.9110889640345945,200,200,154,146,12,288,0.041666666666666664
64:65,64,65,200,0,0.0,0.9454010885126165,200,200,170,157,8,319,0.025078369905956112
64:82,64,82,200,0,0.0,0.8662162096130672,200,200,170,156,18,308,0.05844155844155844
65:66,65,66,200,4,0.02,0.9389661643388449,200,133,157,62,6,213,0.028169014084507043
65:83,65,83,200,0,0.0,0.9014278444439476,200,133,157,69,10,216,0.046296296296296294
66:67,66,67,200,190,0.95,0.7431041434002192,133,22,62,17,9,70,0.12857142857142856
66:84,66,84,200,0,0.0,0.6813614730909336,133,94,62,60,19,103,0.18446601941747573
67:68,67,68,200,200,1.0,0.9327139590047867,22,200,17,121,4,134,0.029850746268656716
67:85,67,85,200,145,0.725,0.8602423054429463,22,200,17,119,7,129,0.05426356589147287
68:69,68,69,200,2,0.01,0.9306457797582695,200,200,121,138,7,252,0.027777777777777776
68:86,68,86,200,2,0.01,0.7731814312550195,200,200,121,151,27,245,0.11020408163265306
