frame,eligible_species,pool_rows,shared_species_fraction,signal_amplitude,simulation_replicates,synthetic_null_threshold_95,synthetic_null_calibration_mean,power_ge_threshold,median_concentration_ratio_to_null_mean,q10_concentration_ratio_to_null_mean,q90_concentration_ratio_to_null_mean
actual_classifiable,369,21424,0.0,0.0,100,0.00010035243148063658,8.311667610324289e-05,0.05,0.9712827717475319,0.818102191809559,1.1620072351694508
actual_classifiable,369,21424,0.0,0.5,100,0.00010035243148063658,8.311667610324289e-05,0.42,1.1913812791049843,1.0330472255970549,1.3526624672633507
actual_classifiable,369,21424,0.1,0.5,100,0.00010035243148063658,8.311667610324289e-05,0.33,1.152497982116249,0.9405483310750614,1.3574839841981898
actual_classifiable,369,21424,0.25,0.5,100,0.00010035243148063658,8.311667610324289e-05,0.27,1.1169152415390426,0.9573338119195092,1.3305325141724564
actual_classifiable,369,21424,0.5,0.5,100,0.00010035243148063658,8.311667610324289e-05,0.46,1.1818462880961416,1.0045390468175182,1.430512573114856
actual_classifiable,369,21424,0.75,0.5,100,0.00010035243148063658,8.311667610324289e-05,0.57,1.2834710957493338,1.0502647150473576,1.5547917225104333
actual_classifiable,369,21424,1.0,0.5,100,0.00010035243148063658,8.311667610324289e-05,0.82,1.3495644949168857,1.1231231751624768,1.6570519507318107
actual_classifiable,369,21424,0.0,1.0,100,0.00010035243148063658,8.311667610324289e-05,1.0,2.415381504194582,2.0422159494749494,2.7259244800234295
actual_classifiable,369,21424,0.1,1.0,100,0.00010035243148063658,8.311667610324289e-05,1.0,2.3575906120660295,1.9366512330044447,2.719146005730006
actual_classifiable,369,21424,0.25,1.0,100,0.00010035243148063658,8.311667610324289e-05,1.0,2.4878179265381704,2.0407858015647244,3.08190658946548
actual_classifiable,369,21424,0.5,1.0,100,0.00010035243148063658,8.311667610324289e-05,1.0,2.774717254703708,2.1857146113891486,3.5226177953691673
actual_classifiable,369,21424,0.75,1.0,100,0.00010035243148063658,8.311667610324289e-05,1.0,3.4265203878550823,2.607763327117159,4.569509088261443
actual_classifiable,369,21424,1.0,1.0,100,0.00010035243148063658,8.311667610324289e-05,1.0,4.206016110024662,3.0778778931280475,5.68138731850336
actual_classifiable,369,21424,0.0,2.0,100,0.00010035243148063658,8.311667610324289e-05,1.0,6.3285759782570805,5.215187423828789,7.397889627658231
actual_classifiable,369,21424,0.1,2.0,100,0.00010035243148063658,8.311667610324289e-05,1.0,6.696065455963806,5.65972798564179,7.746030590844889
actual_classifiable,369,21424,0.25,2.0,100,0.00010035243148063658,8.311667610324289e-05,1.0,6.852850243085871,5.484175268510358,8.545764498909914
actual_classifiable,369,21424,0.5,2.0,100,0.00010035243148063658,8.311667610324289e-05,1.0,8.881221634213281,6.428199786813867,10.783993052488611
actual_classifiable,369,21424,0.75,2.0,100,0.00010035243148063658,8.311667610324289e-05,1.0,11.523006642276151,8.615543101391069,14.916037116372914
actual_classifiable,369,21424,1.0,2.0,100,0.00010035243148063658,8.311667610324289e-05,1.0,14.489735072286402,9.911213778538688,19.01702969984552
synthetic_complete_measured,500,50000,0.0,0.0,100,3.633085652078305e-05,2.9230618387808668e-05,0.01,1.027435462790296,0.8438385914209983,1.170392457359321
synthetic_complete_measured,500,50000,0.0,0.5,100,3.633085652078305e-05,2.9230618387808668e-05,0.85,1.4175094784885918,1.201144573099279,1.6782918157010842
synthetic_complete_measured,500,50000,0.1,0.5,100,3.633085652078305e-05,2.9230618387808668e-05,0.85,1.4203457602217173,1.2206260555521145,1.7283213773019692
synthetic_complete_measured,500,50000,0.25,0.5,100,3.633085652078305e-05,2.9230618387808668e-05,0.81,1.4440335093961187,1.1883691412493875,1.6908024258288377
synthetic_complete_measured,500,50000,0.5,0.5,100,3.633085652078305e-05,2.9230618387808668e-05,0.91,1.54837204770151,1.2481171350620923,1.8402950503747468
synthetic_complete_measured,500,50000,0.75,0.5,100,3.633085652078305e-05,2.9230618387808668e-05,0.99,1.7271520156732525,1.3935465292930784,2.119883984530922
synthetic_complete_measured,500,50000,1.0,0.5,100,3.633085652078305e-05,2.9230618387808668e-05,0.99,1.9696334043350414,1.4494008736793036,2.5596014993503897
synthetic_complete_measured,500,50000,0.0,1.0,100,3.633085652078305e-05,2.9230618387808668e-05,1.0,4.864189326504343,4.050169335881729,5.700863074423527
synthetic_complete_measured,500,50000,0.1,1.0,100,3.633085652078305e-05,2.9230618387808668e-05,1.0,4.890436421346944,4.056083799797568,5.65965552134638
synthetic_complete_measured,500,50000,0.25,1.0,100,3.633085652078305e-05,2.9230618387808668e-05,1.0,5.102446648649881,4.108848612103058,6.344738022567618
synthetic_complete_measured,500,50000,0.5,1.0,100,3.633085652078305e-05,2.9230618387808668e-05,1.0,6.170452292933268,4.7150102659128965,7.3732756813118865
synthetic_complete_measured,500,50000,0.75,1.0,100,3.633085652078305e-05,2.9230618387808668e-05,1.0,8.123982014478102,5.584695824186368,9.933600285272506
synthetic_complete_measured,500,50000,1.0,1.0,100,3.633085652078305e-05,2.9230618387808668e-05,1.0,10.757519702944936,7.559838210782311,14.568678240169163
synthetic_complete_measured,500,50000,0.0,2.0,100,3.633085652078305e-05,2.9230618387808668e-05,1.0,16.478997419098985,14.12006917569457,18.89067313193429
synthetic_complete_measured,500,50000,0.1,2.0,100,3.633085652078305e-05,2.9230618387808668e-05,1.0,16.811623095434708,14.985139944177837,19.21902748238566
synthetic_complete_measured,500,50000,0.25,2.0,100,3.633085652078305e-05,2.9230618387808668e-05,1.0,17.957420070906995,15.616241730812307,21.19557254155116
synthetic_complete_measured,500,50000,0.5,2.0,100,3.633085652078305e-05,2.9230618387808668e-05,1.0,22.84353058765595,17.07239784277302,28.162775220260812
synthetic_complete_measured,500,50000,0.75,2.0,100,3.633085652078305e-05,2.9230618387808668e-05,1.0,30.758599771899426,20.11258366258676,40.459216139150634
synthetic_complete_measured,500,50000,1.0,2.0,100,3.633085652078305e-05,2.9230618387808668e-05,1.0,42.98981172845828,28.3959576233533,54.00495488320043
