species,pre_frame_classifiable_photos,climate_complete_cells,climate_complete_classifiable_photos,cell_pairs,spearman_rho,mean_climate_rms_distance,mean_colour_jsd_bits
Ageratum conyzoides,27,18,27,153,-0.21167557932263814,0.9036630405134791,0.04974344856876597
Armeria maritima,10,6,10,15,0.014285714285714285,0.6043322669914978,0.40965250567282224
Arundina graminifolia,23,8,23,28,0.6163108921729612,0.7004083819505974,0.1327738242881284
Asclepias curassavica,23,12,17,66,0.04181191942385972,0.8079192604668867,0.1016124397291495
Asystasia gangetica,10,7,10,21,0.36753246753246754,0.7891265739238408,0.5485872661726771
Bellis perennis,28,13,28,78,-0.030893157475435952,0.7881983374507805,0.11986564309164913
Bidens alba,21,9,18,36,0.16061776061776062,0.8125142658879682,0.047627701412704865
Bistorta vivipara,10,6,10,15,0.025,0.6562123118685634,0.05157138995887299
Caesalpinia pulcherrima,10,7,10,21,0.5194805194805194,1.012073032992856,0.22154711649421208
Calotropis gigantea,26,13,24,78,-0.10588146031184004,0.9577303791997951,0.09177694229206973
Calotropis procera,35,13,33,78,-0.031879512892171114,1.069794937962407,0.07148132604663238
Caltha palustris,64,23,64,253,0.015221170476220116,0.8878162166518849,0.018747384462677357
Catharanthus roseus,65,32,61,496,-0.10808699119792942,1.0218298402830122,0.3610968661124703
Chamaenerion angustifolium,71,23,71,253,0.03322707191245363,0.7825380671182222,0.0923875457507307
Chamaenerion latifolium,34,11,34,55,-0.0494949494949495,0.6037591203956785,0.0887366628732255
Cichorium intybus,13,7,13,21,0.06753246753246753,0.7862700296973508,0.14734412589818047
Cirsium vulgare,11,7,10,21,-0.17272727272727273,0.9148727264811249,0.3675151728307438
Clitoria ternatea,17,11,15,55,0.015007215007215009,0.8447007723425739,0.17936371623785
Commelina benghalensis,24,15,24,105,0.36136222268297746,1.0910136357150455,0.2776622540155219
Commelina communis,14,7,14,21,0.21818181818181817,1.0417734549952253,0.21800126974760037
Commelina diffusa,12,7,12,21,-0.01948051948051948,0.846087208150041,0.09620884890448148
Commelina erecta,16,11,16,55,-0.13059163059163062,0.8767147838537545,0.29800212675827953
Convolvulus arvensis,25,16,25,120,-0.06488645044794779,0.9239404691691055,0.05879773546899345
Crotalaria retusa,17,10,17,45,0.28234519104084316,0.8089700437696749,0.1873636368771509
Cyanthillium cinereum,21,11,17,55,-0.07777777777777779,0.9273039771614704,0.23281319496200623
Echium plantagineum,10,7,10,21,-0.3090909090909091,0.5675613841222978,0.1313584206425959
Geranium robertianum,10,7,10,21,0.2064935064935065,0.584775518582411,0.40886242679721635
Geranium sylvaticum,12,6,12,15,-0.45714285714285713,0.6637171557842242,0.0960549463068972
Gloriosa superba,37,17,34,136,0.034893373407757264,1.1246178577868255,0.19578015373240099
