species,photos,pairs,observed_rho,null_mean_rho,null_q025_rho,null_q975_rho,p_upper_exploratory,p_bh_exploratory,bh_detectable_0_05
Acacia linifolia,48,1128,-0.0128124140862778,0.00317327112453918,-0.11235719854925916,0.15705296132147809,0.538,0.7754765625000001,False
Acacia ulicifolia,76,2850,0.007739762952523,0.0007125523364640942,-0.08547516866422505,0.10844153051393345,0.402,0.7454170854271358,False
Aciphylla glacialis,79,3081,0.0451457224463409,0.00041455295564496816,-0.07476349378202932,0.09802077810721285,0.157,0.5266636363636363,False
Aconitum delphiniifolium,59,1711,0.1575461561615,0.001810386108585248,-0.09957833998809235,0.11909529953794716,0.006,0.13023529411764706,False
Aconitum tauricum,56,1540,-0.0331843264010568,0.001570727420397588,-0.12927546650584332,0.15321937551576048,0.652,0.8382857142857144,False
Adoxa moschatellina,44,946,-0.0371345464578893,-0.0016002640300915442,-0.06977365083674662,0.08205730345073521,0.804,0.9213540372670809,False
Aegopodium podagraria,80,3160,-0.0296918807115217,-0.002604042976282442,-0.07509664529065825,0.09204591495832268,0.706,0.8581677631578947,False
Agapanthus praecox,53,1378,0.0003334043391028,0.0007152585821269365,-0.12371893880990407,0.16437366856586547,0.467,0.7560734693877551,False
Ageratina havanensis,70,2415,0.1004469560541719,-0.0008855572670023844,-0.10839934514865136,0.1307994518234898,0.073,0.4081363636363636,False
Agrostemma githago,53,1378,-0.070036582433975,-0.0005055094943938108,-0.1003696765777251,0.11800768975031063,0.901,0.9692973760932945,False
Ajuga genevensis,49,1176,-0.0404854220290404,-0.0023365669140176914,-0.10574118867525671,0.14181431629757055,0.684,0.8515384615384615,False
Alchemilla alpina,54,1431,-0.009925204154149,0.0004560066808992273,-0.08247120768623872,0.11090870904273438,0.56,0.78793984962406,False
Allium drummondii,63,1953,0.1595947316727739,-0.0005460576240213282,-0.0915259710369806,0.12811346458716935,0.013,0.20856521739130435,False
Allium praecox,65,2080,0.1651522752435775,0.00045120812780592083,-0.11828754092028958,0.14083143503674486,0.013,0.20856521739130435,False
Allium schoenoprasum,50,1225,-0.0365125038596188,-0.00014874596625730747,-0.08707522584890398,0.0990684365100036,0.751,0.899737012987013,False
Allium tuberosum,67,2211,-0.0370237068917901,-0.0017540797316527715,-0.07668452967110459,0.0950907337736222,0.759,0.9046451612903226,False
Althaea officinalis,59,1711,-0.04233034820264,-0.0021024341275603575,-0.13162575312237992,0.15216511550264183,0.69,0.8515384615384615,False
Alyxia buxifolia,45,990,0.0705174093884826,-9.92777744922104e-05,-0.06702764566115098,0.1008798641151495,0.06,0.38842105263157894,False
Amsinckia tessellata,70,2415,-0.0027765984317636,-0.0006060978138015274,-0.12713658795985183,0.16366395331441738,0.489,0.7560734693877551,False
Anchusa arvensis,50,1225,-0.0084429138702789,-0.003096850469372066,-0.09195212277406882,0.11855952168795734,0.502,0.7560734693877551,False
Andromeda polifolia,51,1275,0.1068609281185346,-0.0016150198532116759,-0.07097406939626577,0.08428073491272556,0.009,0.16604999999999998,False
Androsace villosa,78,3003,0.024732912013562,-0.0011242896922306353,-0.09557269373494859,0.10895549665286826,0.3,0.66121387283237,False
Andryala integrifolia,69,2346,0.0238140742457866,0.0013844835141898304,-0.06810218935982985,0.09060830603547579,0.276,0.66121387283237,False
Anemone pavonina,45,990,-0.0362941381277284,3.0485658910272316e-05,-0.1127528867136396,0.1435338044236532,0.679,0.8515384615384615,False
Anemonoides blanda,52,1326,0.0189079112723025,0.0014371598830297098,-0.06848543284434402,0.0884489815482072,0.289,0.66121387283237,False
Anemonoides quinquefolia,48,1128,0.0359641424208979,-0.0016787879008487627,-0.09669302017122416,0.11338349203070158,0.248,0.6470492957746479,False
Antennaria dioica,66,2145,-0.0353052305205098,0.0003411460661273174,-0.10290893198009518,0.12235243957689129,0.707,0.8581677631578947,False
Aquilegia coerulea,44,946,0.0546865833349778,0.0004807773298079619,-0.10998040021959303,0.15859596593408115,0.202,0.5963040000000001,False
Asclepias incarnata,49,1176,0.3522623994191758,0.0002515988017223755,-0.10079802193658967,0.13532010258865923,0.001,0.041,True
Asclepias ovalifolia,58,1653,0.0024742447313884,-0.00021989839225084446,-0.0750918882630432,0.11092282291350102,0.432,0.7501267605633802,False
Asclepias perennis,70,2415,0.0344760647233046,0.0006252418794928832,-0.07094808602901892,0.08248484046948842,0.192,0.588,False
Asclepias quadrifolia,66,2145,0.0229167142895912,0.002349323482010467,-0.0858198178054714,0.11753681436485083,0.315,0.6642,False
Asclepias viridis,40,780,-0.0402749106829817,-0.00020926972056082703,-0.08408745804088331,0.11014327389148838,0.77,0.9101214057507987,False
Astragalus glycyphyllos,42,861,0.0142809322105598,-0.0003864616322009425,-0.07577904039692021,0.10183382355982631,0.355,0.682265625,False
Austroflourensia thurifera,56,1540,0.1017503749259882,0.00038315296114468114,-0.08907420865259948,0.12148413859038874,0.045,0.3464081632653061,False
Baptisia australis,75,2775,0.0584613290446999,0.0006990727475407887,-0.05836064233587133,0.06159740354912895,0.03,0.28384615384615386,False
Baptisia tinctoria,75,2775,0.0013417611779127,0.0010700634595163755,-0.07585670298538606,0.09578939073097553,0.463,0.7560734693877551,False
Barbarea orthoceras,71,2485,-0.0295406681440011,0.001915867708730828,-0.12221327263755007,0.15902799925866654,0.642,0.8308951048951049,False
Bellis annua,80,3160,0.021635993310422,0.0014651271067235708,-0.09098294117916172,0.11257217032172075,0.321,0.6666464088397791,False
Bidens aristosa,78,3003,0.076406484573555,0.00016741462260864114,-0.08951559496614898,0.11422886658738729,0.07,0.40359375000000003,False
Bidens bipinnata,62,1891,0.19135428611403,0.00038950913304006357,-0.13533831577572247,0.17441786566268666,0.02,0.23876470588235296,False
Bidens cernua,64,2016,0.1562545629661276,-0.000957001185292039,-0.10916335886879576,0.1423528558563524,0.014,0.21525000000000002,False
Biscutella laevigata,71,2485,0.1245024302229402,0.00239587461288838,-0.11801578261763379,0.14324301024353572,0.045,0.3464081632653061,False
Brodiaea coronaria,63,1953,0.0665766100078249,-0.0015235304923135076,-0.13365664129131033,0.17255348093039358,0.189,0.588,False
Bryonia alba,41,820,0.0880802246845914,0.002911863354678359,-0.0980861565950609,0.14480088957219783,0.097,0.425435294117647,False
Buddleja davidii,43,903,0.0212324907986466,-0.000619379941884318,-0.0847805404129098,0.10081631759032002,0.3,0.66121387283237,False
Bursaria spinosa,47,1081,0.1056484804752223,0.0005162460068130162,-0.09132894224614593,0.11399975757064497,0.041,0.34384090909090914,False
