species,species_index,retained_edge_occurrences,partial_rho_colour_vs_worldclim_given_distance
Acacia ulicifolia,1,5271,0.01895868345125589
Aciphylla glacialis,2,5218,-0.0988889446121071
Aconitum delphiniifolium,3,5318,-0.07640052134570542
Aconitum tauricum,4,5483,-0.039532804419607194
Adoxa moschatellina,5,5469,-0.09026366635504143
Aegopodium podagraria,6,5409,-0.09140092709984876
Agapanthus praecox,7,5339,0.00467425700239461
Ageratina havanensis,8,5907,0.04450476114800564
Agrostemma githago,9,5412,0.15798199194814802
Ajuga genevensis,10,5348,0.07660986643771132
Alchemilla alpina,11,5490,-0.06729226253868345
Allium drummondii,12,5615,0.02562769797755078
Allium praecox,13,5343,0.2551549072572302
Allium schoenoprasum,14,5433,0.147274743315747
Allium tuberosum,15,5575,0.12478500812990943
Althaea officinalis,16,5231,-0.08503753969915802
Alyxia buxifolia,17,5214,0.09948549665581437
Amsinckia tessellata,18,5510,0.024530136277640772
Anchusa arvensis,19,5295,0.05065721116912966
Andromeda polifolia,20,5196,-0.024121360809958338
Androsace villosa,21,5558,-0.03710584486519279
Andryala integrifolia,22,5307,0.03599688335720748
Anemone pavonina,23,5449,-0.007269663223536903
Anemonoides blanda,24,5224,-0.056407795268848475
Anemonoides quinquefolia,25,5088,-0.0785854467395757
Antennaria dioica,26,5351,0.005847064523644154
Aquilegia coerulea,27,5700,-0.10531523231626555
Asclepias incarnata,28,5464,-0.0019008677290567257
Asclepias ovalifolia,29,5300,0.010035980660318005
Asclepias perennis,30,5089,0.06959254362156093
Asclepias quadrifolia,31,5054,0.019364673874710768
Asclepias viridis,32,5315,-0.042346066697631336
Astragalus glycyphyllos,33,5439,-0.09206294941072869
Austroflourensia thurifera,34,5280,0.06038207054414182
Baptisia australis,35,5100,-0.06911985782868893
Baptisia tinctoria,36,5216,-0.01793293721776701
Barbarea orthoceras,37,5375,-0.03134015475699258
Bellis annua,38,5217,-0.023538277975745373
Bidens aristosa,39,5386,-0.11318658356092157
Bidens bipinnata,40,5250,0.14863142651261893
Bidens cernua,41,5194,0.010805674597953204
Biscutella laevigata,42,5660,0.02528945633720383
Brodiaea coronaria,43,5321,-0.07890911994300956
Bryonia alba,44,5585,0.15718953468309985
Buddleja davidii,45,5568,0.07450712542459001
Bursaria spinosa,46,5009,-0.09918051481950267
Calochortus concolor,47,5407,-0.02287470297161428
Calochortus flexuosus,48,5389,0.06999984294641357
Calochortus leichtlinii,49,5152,-0.05010892877357107
Calochortus monophyllus,50,5221,0.05535302535132318
Calycadenia multiglandulosa,51,5304,-0.170470541358314
Calystegia tuguriorum,52,5242,-0.0506829874999771
Campanula latifolia,53,5579,-0.09806672023228884
Campanula patula,54,5296,0.02438847640456853
Cardamine amara,55,5237,-0.05404984463103586
Cardamine concatenata,56,5077,0.022823825679085186
Cardamine hirsuta,57,5406,-0.04900071948559131
Carlina hispanica,58,5113,-0.08160552610606059
Carlina vulgaris,59,5266,-0.05389050204176376
Carthamus mitissimus,60,4905,-0.013903215751444122
Castilleja exserta,61,5217,-0.051251304576382196
Castilleja foliolosa,62,5079,0.13820343498871762
Centranthus calcitrapae,63,5491,0.09616985750129516
Centrosema virginianum,64,5248,-0.014603489293681758
Cerastium fontanum,65,5156,0.013153339232118555
Chaenorhinum origanifolium,66,4947,-0.0599206288236415
Chelone lyonii,67,5495,-0.021141968142799037
Chondrilla juncea,68,5244,0.09289999433821466
Cipura campanulata,69,5214,-0.12550912609619858
Cistus albidus,70,5297,-0.06545642163798007
Cistus crispus,71,5362,-0.024976006683026963
Clematis virginiana,72,5200,0.03833372941343503
Clinopodium alpinum,73,5315,-0.10827987441762246
Cneoridium dumosum,74,5513,0.0808561636823394
Cochlospermum vitifolium,75,5155,-0.008565344183556095
Coleogyne ramosissima,76,5270,-0.011768531212076284
Coleostephus myconis,77,5498,0.04786292746453212
Collinsia grandiflora,78,5262,0.03386869084882085
Commelina benghalensis,79,5290,0.0070944343851290816
Commelina communis,80,5261,-0.024257757068490652
