species,classifiable_photos,occupied_h1_cells,cell_pairs,observed_geographic_colour_spearman_rho,min_photos_per_cell,max_photos_per_cell,mean_photos_per_cell
Convolvulus arvensis,25,16,120,0.22194860517008713,1,4,1.5625
Cordia subcordata,9,6,15,-0.03571428571428571,1,3,1.5
Crotalaria retusa,17,10,45,-0.17665470110335704,1,5,1.7
Cyanthillium cinereum,21,13,78,0.3198836419215624,1,3,1.6153846153846154
Cypripedium acaule,6,3,3,-0.4999999999999999,1,4,2.0
Cypripedium calceolus,5,3,3,0.4999999999999999,1,3,1.6666666666666667
Dactylis glomerata,7,7,21,-0.1799285577196066,1,1,1.0
Delonix regia,9,9,36,0.11739718311140424,1,1,1.0
Desmodium incanum,9,5,10,0.12727272727272726,1,5,1.8
Desmodium intortum,8,4,6,0.6,1,4,2.0
Desmodium uncinatum,8,6,15,0.29642857142857143,1,2,1.3333333333333333
Digitalis purpurea,5,4,6,-0.14285714285714285,1,2,1.25
Distimake aegyptius,5,4,6,0.49280538030458115,1,2,1.25
Duranta erecta,7,7,21,-0.10721249826632519,1,1,1.0
Echium plantagineum,10,7,21,0.08706954404659135,1,3,1.4285714285714286
Echium vulgare,6,5,10,0.12766016417281356,1,2,1.2
Emilia fosbergii,9,6,15,0.03773659540699707,1,2,1.5
Erigeron karvinskianus,5,3,3,0.4999999999999999,1,3,1.6666666666666667
Erodium cicutarium,7,7,21,0.08701298701298701,1,1,1.0
Erodium moschatum,6,4,6,0.7714285714285715,1,2,1.5
Eulophia cucullata,5,3,3,-0.4999999999999999,1,3,1.6666666666666667
Euploca procumbens,5,3,3,-0.4999999999999999,1,2,1.6666666666666667
Fritillaria camschatcensis,9,3,3,0.9999999999999998,3,3,3.0
Geranium pratense,8,5,10,-0.030303030303030304,1,4,1.6
Geranium robertianum,10,7,21,0.4639377197706435,1,3,1.4285714285714286
Geranium sibiricum,8,6,15,-0.28853231929989326,1,2,1.3333333333333333
Geranium sylvaticum,12,6,15,-0.37478998448135253,1,4,2.0
Glechoma hederacea,7,5,10,-0.006079055436800646,1,2,1.4
Gloriosa superba,37,18,153,0.029192641000568863,1,6,2.0555555555555554
Guettarda speciosa,5,4,6,-0.08571428571428572,1,2,1.25
Hellenia speciosa,6,3,3,0.4999999999999999,2,2,2.0
Hesperis matronalis,6,6,15,-0.025089766895642893,1,1,1.0
Hibiscus tiliaceus,14,11,55,0.18867039816323264,1,3,1.2727272727272727
Hippobroma longiflora,15,10,45,0.014378056518465887,1,2,1.5
Hydrocotyle bonariensis,8,4,6,-0.42857142857142855,1,5,2.0
Impatiens balsamina,6,5,10,0.30063612837852594,1,2,1.2
