stage,photo_id,inclusions
calibration,50234,69
calibration,81886,48
calibration,144154,47
calibration,166971,43
calibration,176194,36
calibration,268758,44
calibration,288641,33
calibration,310619,37
calibration,341969,35
calibration,345076,35
calibration,353812,59
calibration,354428,30
calibration,425582,51
calibration,438782,62
calibration,450972,58
calibration,451872,53
calibration,472888,37
calibration,491644,53
calibration,500275,39
calibration,500284,55
calibration,504811,49
calibration,524485,31
calibration,604848,37
calibration,623137,31
calibration,643037,39
calibration,693701,34
calibration,703065,44
calibration,705980,39
calibration,728163,51
calibration,728421,43
calibration,728645,33
calibration,756349,29
calibration,796736,42
calibration,831188,53
calibration,871221,70
calibration,897684,53
calibration,962354,51
calibration,962445,40
calibration,974080,51
calibration,984089,44
calibration,1057402,54
calibration,1083487,40
calibration,1113926,60
calibration,1134103,49
calibration,1145293,66
calibration,1188786,61
calibration,1203490,61
calibration,1374250,48
calibration,1386968,47
calibration,1409560,27
calibration,1436545,41
calibration,1453448,33
calibration,1464994,55
calibration,1470906,34
calibration,1478572,45
calibration,1528149,31
calibration,1577691,43
calibration,1611513,37
calibration,1668682,50
calibration,1686005,54
calibration,1723156,46
calibration,1727218,53
calibration,1734103,56
calibration,1739269,36
calibration,1767886,58
calibration,1769991,34
calibration,1802987,62
calibration,1808115,48
calibration,1817046,33
calibration,1827040,61
calibration,1875533,50
calibration,1924427,32
calibration,1944266,35
calibration,1959193,41
calibration,1966381,39
calibration,1970610,57
calibration,1978910,38
calibration,1985707,34
calibration,1985713,28
calibration,1996190,50
calibration,2022611,47
calibration,2053303,38
calibration,2053494,43
calibration,2054861,47
calibration,2078386,30
calibration,2092319,47
calibration,2102135,48
calibration,2145828,44
calibration,2172866,71
calibration,2181524,39
calibration,2199903,44
calibration,2201820,28
calibration,2237147,52
calibration,2237297,79
calibration,2241105,56
calibration,2270543,33
calibration,2272906,61
calibration,2282077,35
calibration,2302644,63
calibration,2354308,41
calibration,2358286,66
calibration,2366725,40
calibration,2384590,53
calibration,2441328,24
calibration,2445020,49
calibration,2485753,39
calibration,2503447,31
calibration,2527222,41
calibration,2550002,36
calibration,2557565,30
calibration,2592200,32
calibration,2604430,42
calibration,2659787,30
calibration,2662719,34
calibration,2692634,38
calibration,2708736,47
calibration,2755655,71
calibration,2765527,34
calibration,2835903,41
