component,feature,reference_loading,loading_q10,loading_q50,loading_q90
PC1,main__terrain_structure,0.049814295118456114,-0.02410019189119339,0.04881829023361206,0.11741627007722855
PC1,main__thermal_regime,0.0822935474821811,-0.001506958156824112,0.08509416878223419,0.15405748784542084
PC1,main__water_balance,0.050257107348427976,-0.02384582906961441,0.050827573984861374,0.12011456489562988
PC1,main__atmospheric_energy_dryness,-0.014283887656685007,-0.09469111263751984,-0.011206775903701782,0.0660271942615509
PC1,main__edaphic_regime,0.010407374656177604,-0.044408559799194336,0.010953962802886963,0.06898388266563416
PC1,interaction__atmospheric_energy_dryness_x_edaphic_regime,-0.2790187590377275,-0.3162139058113098,-0.27745431661605835,-0.23001833260059357
PC1,interaction__atmospheric_energy_dryness_x_terrain_structure,-0.32441664604994075,-0.3614303171634674,-0.32183998823165894,-0.28610438108444214
PC1,interaction__edaphic_regime_x_terrain_structure,-0.2778867241581178,-0.3139740824699402,-0.2745708227157593,-0.2270597219467163
PC1,interaction__thermal_regime_x_atmospheric_energy_dryness,-0.32710830877660024,-0.3596380352973938,-0.3254964351654053,-0.28477320075035095
PC1,interaction__thermal_regime_x_edaphic_regime,-0.2790363789050143,-0.3247675895690918,-0.2786428928375244,-0.2122698873281479
PC1,interaction__thermal_regime_x_terrain_structure,-0.3555076835983084,-0.38792115449905396,-0.3534432649612427,-0.31643956899642944
PC1,interaction__thermal_regime_x_water_balance,-0.35050967475687905,-0.37877312302589417,-0.34789350628852844,-0.31185343861579895
PC1,interaction__water_balance_x_atmospheric_energy_dryness,-0.3279164276683112,-0.3598742187023163,-0.3255651593208313,-0.286266565322876
PC1,interaction__water_balance_x_edaphic_regime,-0.2943121186336459,-0.3312482535839081,-0.29287558794021606,-0.23986312747001648
PC1,interaction__water_balance_x_terrain_structure,-0.31517745857076784,-0.3480456471443176,-0.31287091970443726,-0.27570438385009766
PC2,main__terrain_structure,0.34152598847809823,0.1363687515258789,0.32794004678726196,0.4481322765350342
PC2,main__thermal_regime,0.3804322298207976,0.16705821454524994,0.3636171817779541,0.47502970695495605
PC2,main__water_balance,0.34713343014315723,0.14262256026268005,0.32727333903312683,0.4447053074836731
PC2,main__atmospheric_energy_dryness,0.34968827210617137,0.08511783182621002,0.3364599943161011,0.49366214871406555
PC2,main__edaphic_regime,0.13167442986490155,-0.004286010283976793,0.12035660445690155,0.22753651440143585
PC2,interaction__atmospheric_energy_dryness_x_edaphic_regime,-0.19520760668349388,-0.33120447397232056,-0.19553489983081818,-0.006929193157702684
PC2,interaction__atmospheric_energy_dryness_x_terrain_structure,0.24497515756833568,0.09302887320518494,0.2329276204109192,0.3298552930355072
PC2,interaction__edaphic_regime_x_terrain_structure,-0.24727495908161967,-0.370151549577713,-0.2473333477973938,-0.06074339151382446
PC2,interaction__thermal_regime_x_atmospheric_energy_dryness,0.238221497495693,0.12562811374664307,0.2177630066871643,0.3065029978752136
PC2,interaction__thermal_regime_x_edaphic_regime,-0.3065555541418646,-0.43471506237983704,-0.30900970101356506,-0.09034110605716705
PC2,interaction__thermal_regime_x_terrain_structure,0.21294766234017476,0.0967150628566742,0.19373586773872375,0.2800450921058655
PC2,interaction__thermal_regime_x_water_balance,0.10212912935231172,-0.061315469443798065,0.10319584608078003,0.2166881114244461
PC2,interaction__water_balance_x_atmospheric_energy_dryness,0.17346621161484277,0.046419329941272736,0.16400910913944244,0.26010623574256897
PC2,interaction__water_balance_x_edaphic_regime,-0.2753037404030543,-0.4233224391937256,-0.275416761636734,-0.04951886460185051
PC2,interaction__water_balance_x_terrain_structure,0.08282742106118957,-0.05554794520139694,0.07415567338466644,0.18209628760814667
PC3,main__terrain_structure,0.30522654720062636,0.06601279228925705,0.3086155652999878,0.4386436343193054
PC3,main__thermal_regime,0.2878112042659832,0.0444473996758461,0.280528724193573,0.43329811096191406
PC3,main__water_balance,0.2897143399356612,0.05796569585800171,0.2790124714374542,0.4279666543006897
PC3,main__atmospheric_energy_dryness,0.4026833736836897,0.1535881906747818,0.39985111355781555,0.5209833383560181
PC3,main__edaphic_regime,0.12280403302358499,-0.04689359664916992,0.11085555702447891,0.24939830601215363
PC3,interaction__atmospheric_energy_dryness_x_edaphic_regime,0.2945360070650566,0.13668963313102722,0.2741507887840271,0.37128180265426636
PC3,interaction__atmospheric_energy_dryness_x_terrain_structure,-0.20608929001371284,-0.31600096821784973,-0.19385039806365967,-0.0320160873234272
PC3,interaction__edaphic_regime_x_terrain_structure,0.2865916503179612,0.10629797726869583,0.26213836669921875,0.3861069977283478
PC3,interaction__thermal_regime_x_atmospheric_energy_dryness,-0.04865073012427658,-0.19144287705421448,-0.03388661891222,0.11300508677959442
PC3,interaction__thermal_regime_x_edaphic_regime,0.32043718418655365,0.11272338032722473,0.30248594284057617,0.426428884267807
PC3,interaction__thermal_regime_x_terrain_structure,-0.10704468522758774,-0.22946490347385406,-0.0967879444360733,0.043880440294742584
PC3,interaction__thermal_regime_x_water_balance,-0.23424214323183307,-0.29406529664993286,-0.21334415674209595,-0.10558698326349258
PC3,interaction__water_balance_x_atmospheric_energy_dryness,-0.1278274886245861,-0.2302836775779724,-0.1113499253988266,0.01284097135066986
PC3,interaction__water_balance_x_edaphic_regime,0.3542313687838647,0.1485104113817215,0.3349868953227997,0.4430198669433594
PC3,interaction__water_balance_x_terrain_structure,-0.1956495580659231,-0.275057315826416,-0.1838366687297821,-0.07572111487388611
