species,inat_taxon_id,raw_photos,classifiable_photos,global_measurement_evaluable
Melothria pendula,131557,100,52,True
Micranthes petiolaris,357952,100,49,True
Mitchella repens,83799,100,49,True
Moraea flaccida,120416,100,51,True
Muscari armeniacum,57847,100,80,True
Muscari botryoides,56134,100,65,True
Myosotis latifolia,49132,100,76,True
Myosotis laxa,78150,100,65,True
Myosotis sparsiflora,513775,100,74,True
Myrica gale,82203,100,40,True
Myrtus communis,78159,100,67,True
Nabalus altissimus,130951,100,16,False
Nama hispida,359066,100,61,True
Navarretia heterodoxa,57209,100,65,True
Nelumbo nucifera,82814,100,43,True
Nicandra physalodes,78217,100,45,True
Nicotiana longiflora,165704,100,51,True
Nymphaea odorata,51119,100,34,False
Ochna serrulata,165763,100,59,True
Odontites luteus,497526,100,66,True
Olearia lirata,404291,100,68,True
Olsynium biflorum,346964,100,47,True
Omphalodes verna,165840,100,62,True
Orchis mascula,132621,100,36,False
Orchis militaris,131605,100,32,False
Orchis simia,61328,100,28,False
Oreomecon alpina,1473089,100,73,True
Ornithopus compressus,334746,100,52,True
Orobanche gracilis,60027,100,31,False
Oxalis violacea,81796,100,50,True
Oxytropis campestris,154238,100,45,True
Pancratium maritimum,78334,100,26,False
Papaver dubium,55918,100,44,True
Parietaria judaica,57281,100,18,False
Parthenium confertum,166157,100,82,True
Passiflora mixta,51449,100,41,True
Pectis multiseta,273980,100,82,True
Pectis papposa,78362,100,79,True
Pedicularis racemosa,78372,100,35,False
Pedicularis verticillata,166253,100,38,False
Pediomelum argophyllum,166263,100,33,False
Pelargonium grossularioides,78376,100,38,False
Pelargonium luridum,515950,100,32,False
Penstemon speciosus,78422,100,60,True
Pentanema squarrosum,1262449,100,42,True
Persicaria nepalensis,204377,100,61,True
Persicaria pensylvanica,78455,100,72,True
Phlomoides tuberosa,909773,100,63,True
Phlox diffusa,78544,100,78,True
Phlox longifolia,166706,100,71,True
Phlox roemeriana,166722,100,63,True
Physalis peruviana,51988,100,24,False
Phyteuma spicatum,133517,100,31,False
Phytolacca octandra,155483,100,27,False
Pimelea serpyllifolia,526712,100,53,True
Pinguicula vulgaris,121266,100,56,True
Piper excelsum,404899,100,16,False
Piqueria trinervia,289775,100,69,True
Pittosporum revolutum,353972,100,41,True
Plantago coronopus,58960,100,28,False
Plantago media,59779,100,52,True
Plantago ovata,58230,100,31,False
Platanthera chlorantha,54639,100,35,False
Polycalymma stuartii,324403,100,76,True
Polygala comosa,447849,100,43,True
Portulaca suffrutescens,167315,100,58,True
Potentilla concinna,78723,100,82,True
Potentilla indica,243824,100,45,True
Potentilla simplex,82097,100,75,True
Primula elatior,55840,100,58,True
Prunus mahaleb,126808,100,52,True
