species,pre_frame_classifiable_photos,pre_frame_occupied_h1_cells,pre_frame_morph_levels,spatial_cells,classifiable_photos_in_spatial_cells,cell_pairs,geographic_colour_spearman_rho,mean_pairwise_h1_cell_centroid_great_circle_km,mean_colour_jsd_bits
Ageratum conyzoides,27,18,2,18,27,153,0.030064178000615952,8603.871035207743,0.04974344856876597
Armeria maritima,10,6,3,6,10,15,-0.48837287446799194,3726.8911215522317,0.40965250567282224
Arundina graminifolia,23,8,3,8,23,28,-0.010406684624448501,7186.095030781877,0.1327738242881284
Asclepias curassavica,23,13,2,13,23,78,0.14926203814879668,10090.193720482834,0.09436295973497115
Asystasia gangetica,10,7,4,7,10,21,0.5376623376623376,10726.775128375575,0.5485872661726771
Bellis perennis,28,13,2,13,28,78,0.20809775644059006,9096.787935635562,0.11986564309164913
Bidens alba,21,10,2,10,21,45,0.05331312749278191,9620.51443416826,0.042761917108983416
Bistorta vivipara,10,6,2,6,10,15,0.7770842709084756,3360.6230585151834,0.05157138995887299
Caesalpinia pulcherrima,10,7,2,7,10,21,0.04546931061506304,8576.757725066924,0.22154711649421208
Calotropis gigantea,26,15,2,15,26,105,-0.02396895457220809,7184.174983896852,0.08347347256503168
Calotropis procera,35,14,4,14,35,91,-0.13655696784089344,8838.312312765693,0.07627925599868766
Caltha palustris,64,23,2,23,64,253,-0.09884797014336545,5150.338615681895,0.018747384462677357
Catharanthus roseus,65,36,3,36,65,630,-0.029276350977226168,10053.69322914777,0.3666784724192547
Chamaenerion angustifolium,71,23,4,23,71,253,-0.08238635907758879,5161.063553739551,0.0923875457507307
Chamaenerion latifolium,34,11,2,11,34,55,-0.15564591885582205,4328.741938226707,0.0887366628732255
Cichorium intybus,13,7,2,7,13,21,-0.16119604671543084,8860.280277583897,0.14734412589818047
Cirsium vulgare,11,8,4,8,11,28,0.24808327926111967,10971.779296697365,0.47539724455054994
