inat_taxon_id,species,raw_photos,classifiable_photos,evaluable
69855,Lupinus excubitus,100,52,True
69936,Prunus amygdalus,100,39,False
71135,Ambrosia chamissonis,100,25,False
75255,Acacia saligna,100,56,True
75326,Aliciella latifolia,100,43,True
75371,Allium vineale,100,42,True
75427,Amsonia tomentosa,100,63,True
75469,Antennaria racemosa,100,65,True
75573,Arnica latifolia,100,67,True
75602,Asclepias curassavica,100,48,True
75615,Astragalus agrestis,100,41,True
75668,Astragalus nuttallii,100,39,False
75723,Avicennia marina,100,35,False
75756,Berberis nervosa,100,54,True
75766,Bidens laevis,100,62,True
75858,Bouteloua curtipendula,100,19,False
75956,Calycoseris wrightii,100,63,True
76006,Carduus acanthoides,100,61,True
76358,Cirsium undulatum,100,52,True
76435,Coprosma repens,100,23,False
76545,Cuscuta campestris,100,37,False
76563,Cyclospermum leptophyllum,100,41,True
76630,Delphinium nuttallianum,100,45,True
76897,Erigeron annuus,100,80,True
77069,Erysimum concinnum,100,55,True
77206,Galium mollugo,100,72,True
77281,Glebionis segetum,100,79,True
77305,Grindelia squarrosa,100,71,True
77403,Heuchera cylindrica,100,55,True
77408,Heuchera rubescens,100,36,False
77616,Lactuca biennis,100,40,True
77672,Lepidium perfoliatum,100,55,True
77778,Linaria purpurea,100,51,True
77830,Lomatium triternatum,100,92,True
77838,Lotus tenuis,100,72,True
77960,Marah oregana,100,56,True
78245,Oenothera primiveris,100,68,True
78283,Ornithopus pinnatus,100,59,True
78333,Palafoxia arida,100,46,True
78346,Papaver somniferum,100,50,True
78399,Penstemon davidsonii,100,50,True
78451,Persicaria capitata,100,68,True
78452,Persicaria hydropiper,100,18,False
78460,Petalonyx thurberi,100,38,False
78569,Physalis longifolia,100,28,False
78580,Phytolacca icosandra,100,31,False
78590,Pittosporum crassifolium,100,34,False
78824,Ranunculus glaberrimus,100,72,True
78847,Rhododendron columbianum,100,50,True
78872,Romanzoffia sitchensis,100,66,True
78886,Rosa rubiginosa,100,46,True
78887,Rosa woodsii,100,54,True
78955,Salsola australis,100,40,True
79095,Sidalcea sparsifolia,100,52,True
79313,Tagetes minuta,100,50,True
79367,Tiquilia plicata,100,38,False
79499,Viburnum edule,100,63,True
81694,Himantoglossum robertianum,100,29,False
82619,Arisarum vulgare,100,11,False
82664,Lonicera implexa,100,26,False
82688,Erica arborea,100,52,True
82689,Arbutus unedo,100,24,False
82741,Lathyrus clymenum,100,55,True
82853,Cydonia oblonga,100,58,True
82861,Anemone palmata,100,62,True
82875,Ophrys speculum,100,20,False
83357,Glossodia major,100,33,False
83362,Phyllota phylicoides,100,50,True
83395,Pandorea pandorana,100,21,False
83616,Lambertia formosa,100,31,False
83816,Ophrys apifera,100,33,False
84281,Clinopodium vulgare,100,56,True
84344,Centaurea scabiosa,100,42,True
84363,Castanea pumila,100,17,False
84510,Filipendula rubra,100,41,True
84666,Sabatia angularis,100,64,True
84668,Sabatia campestris,100,65,True
84732,Erigeron speciosus,100,59,True
85027,Lilium martagon,100,62,True
85331,Ratibida pinnata,100,51,True
85490,Phryma leptostachya,100,36,False
117309,Erigenia bulbosa,100,63,True
118535,Drimia maritima,100,39,False
118571,Ceanothus fendleri,100,76,True
119099,Jatropha gossypiifolia,100,29,False
119795,Zizia aptera,100,77,True
119807,Lonicera canadensis,100,19,False
119810,Lysimachia lanceolata,100,68,True
119955,Ilex vomitoria,100,38,False
120008,Ludwigia decurrens,100,70,True
120917,Calotropis procera,100,54,True
121635,Ptilotus exaltatus,100,48,True
121785,Tradescantia occidentalis,100,77,True
121932,Astragalus mollissimus,100,24,False
121968,Andropogon gerardi,100,26,False
122521,Monstera deliciosa,100,20,False
122587,Monarda citriodora,100,43,True
123438,Plumeria rubra,100,39,False
124817,Ranunculus auricomus,100,73,True
125103,Houstonia micrantha,100,75,True
125380,Asclepias purpurascens,100,50,True
125675,Glandularia bipinnatifida,100,70,True
125902,Cardamine douglassii,100,61,True
126369,Anemone virginiana,100,57,True
126375,Vaccinium elliottii,100,27,False
126484,Salvia misella,100,48,True
126485,Calycanthus floridus,100,31,False
126558,Phyllodoce glanduliflora,100,31,False
126566,Spathodea campanulata,100,39,False
126617,Xyris ambigua,100,68,True
126633,Ruellia simplex,100,63,True
126702,Stellaria pubera,100,63,True
126869,Ipomoea quamoclit,100,62,True
126887,Berberis aquifolium,100,62,True
126892,Senecio viscosus,100,67,True
126980,Plumbago zeylanica,100,58,True
127010,Nandina domestica,100,44,True
127037,Vernonia gigantea,100,47,True
127059,Conradina canescens,100,70,True
127270,Borrichia frutescens,100,79,True
127279,Canna flaccida,100,54,True
127345,Vicia sepium,100,43,True
127899,Portulaca amilis,100,74,True
128038,Corydalis flavula,100,53,True
128076,Hypericum tetrapetalum,100,70,True
128137,Limodorum abortivum,100,23,False
128652,Salvia coccinea,100,54,True
128715,Thalictrum pubescens,100,71,True
128770,Fritillaria camschatcensis,100,29,False
128805,Gaylussacia baccata,100,21,False
129036,Thunbergia grandiflora,100,43,True
129098,Pedicularis sylvatica,100,41,True
129347,Ilex glabra,100,57,True
129361,Viola hastata,100,62,True
129446,Honckenya peploides,100,46,True
129652,Scutellaria parvula,100,39,False
130045,Galactia elliottii,100,38,False
130545,Bistorta vivipara,100,53,True
130869,Gomphrena serrata,100,63,True
130950,Nabalus albus,100,37,False
131140,Gentiana clusii,100,57,True
131153,Erigeron quercifolius,100,78,True
131637,Rhexia alifanus,100,45,True
131642,Banksia ericifolia,100,28,False
132855,Rubus pubescens,100,58,True
133005,Actaea spicata,100,63,True
133031,Chrysosplenium alternifolium,100,56,True
133064,Linum alpinum,100,65,True
133145,Cruciata glabra,100,35,False
133294,Portulaca pilosa,100,66,True
133350,Impatiens balsamina,100,63,True
133397,Buxus sempervirens,100,33,False
133488,Hippocrepis comosa,100,70,True
133653,Cirsium oleraceum,100,34,False
133665,Voyria aphylla,100,56,True
136384,Verbesina occidentalis,100,52,True
140593,Himantoglossum adriaticum,100,22,False
140836,Caladenia catenata,100,27,False
141634,Leonotis nepetifolia,100,38,False
142279,Symphyotrichum pilosum,100,86,True
142283,Megaskepasma erythrochlamys,100,41,True
142979,Vernonia noveboracensis,100,51,True
143356,Kennedia prostrata,100,64,True
143359,Drosera macrantha,100,53,True
144047,Persicaria virginiana,100,30,False
146622,Loeselia mexicana,100,60,True
148019,Clematis pitcheri,100,26,False
152133,Elephantopus tomentosus,100,52,True
153440,Cercis siliquastrum,100,20,False
153953,Salvia tiliifolia,100,50,True
154224,Lysimachia nemorum,100,64,True
154543,Cunila origanoides,100,48,True
157838,Abutilon fruticosum,100,51,True
158043,Aethusa cynapium,100,73,True
158194,Allium scorodoprasum,100,50,True
158459,Aquilegia brevistyla,100,47,True
158552,Arbutus xalapensis,100,26,False
159273,Blephilia ciliata,100,69,True
159601,Bunias orientalis,100,74,True
159699,Calopogon barbatus,100,45,True
159727,Calystegia spithamaea,100,46,True
160108,Carex sprengelii,100,19,False
160297,Centratherum punctatum,100,46,True
160757,Clinopodium gracile,100,47,True
161429,Cyperus dentatus,100,23,False
161657,Delphinium bicolor,100,51,True
161947,Diplacus puniceus,100,52,True
162093,Drosera brevifolia,100,57,True
162206,Echium italicum,100,37,False
162431,Erica tetralix,100,49,True
163075,Frasera fastigiata,100,40,True
163184,Galium palustre,100,76,True
163229,Gentiana linearis,100,68,True
163256,Geranium caespitosum,100,51,True
163265,Geranium sibiricum,100,74,True
163661,Helleborus viridis,100,19,False
163683,Herbertia lahue,100,66,True
164076,Ipomoea amnicola,100,59,True
164091,Ipomoea nil,100,53,True
164720,Lomatium columbianum,100,61,True
164730,Lomatium geyeri,100,77,True
165190,Matelea edwardsensis,100,42,True
165527,Moricandia arvensis,100,53,True
165669,Nemastylis geminiflora,100,52,True
165759,Nymphoides indica,100,57,True
165891,Opuntia macrorhiza,100,52,True
166061,Palafoxia texana,100,69,True
166852,Physocarpus malvaceus,100,69,True
167316,Portulaca umbraticola,100,49,True
167723,Ranunculus glacialis,100,67,True
168218,Ruellia metziae,100,70,True
168387,Salvia nemorosa,100,41,True
168400,Salvia texana,100,58,True
168725,Scutellaria serrata,100,62,True
168843,Senna lindheimeriana,100,71,True
168976,Silene rotundifolia,100,54,True
168993,Silphium integrifolium,100,53,True
169109,Solidago hispida,100,72,True
169675,Thelesperma filifolium,100,71,True
169752,Thymus praecox,100,45,True
169982,Trigonotis peduncularis,100,73,True
170185,Veronica alpina,100,49,True
170358,Xyris caroliniana,100,67,True
179648,Aphyllanthes monspeliensis,100,76,True
181615,Lycium ferocissimum,100,34,False
181901,Zinnia elegans,100,48,True
183233,Aegiceras corniculatum,100,41,True
183320,Anarrhinum bellidifolium,100,55,True
199181,Gymnadenia rhellicani,100,59,True
200054,Euphorbia serpens,100,16,False
200074,Gonolobus suberosus,100,26,False
200075,Smallanthus uvedalia,100,47,True
204271,Circaea canadensis,100,43,True
204330,Iris domestica,100,39,False
204420,Strophostyles helvola,100,41,True
208571,Themeda triandra,100,16,False
209347,Viola cornuta,100,52,True
209376,Pseudorchis albida,100,46,True
209586,Asphodelus albus,100,43,True
210990,Gardenia jasminoides,100,46,True
245731,Lobelia pedunculata,100,77,True
279747,Roldana barba-johannis,100,54,True
280392,Dyssodia tagetiflora,100,85,True
283656,Hypoxis decumbens,100,69,True
285911,Cobaea scandens,100,21,False
286995,Salvia longispicata,100,50,True
319120,Cynoglossum creticum,100,49,True
320704,Adenostyles alliariae,100,44,True
320809,Hottonia palustris,100,75,True
321030,Kunzea capitata,100,40,True
321032,Bauera rubioides,100,56,True
321090,Caladenia carnea,100,44,True
321094,Cryptostylis erecta,100,14,False
321102,Dillwynia floribunda,100,62,True
321106,Dracophyllum secundum,100,32,False
321203,Patersonia sericea,100,75,True
