frame,mode,world,amplitude,shared_fraction,geography_only,environment_only,both,neither,replicates
complete_same_species,species_and_region,environmental_shared,1.0,0.25,1,0,0,249,250
complete_same_species,species_and_region,environmental_shared,1.0,0.5,0,0,0,250,250
complete_same_species,species_and_region,environmental_shared,1.0,1.0,3,1,0,246,250
complete_same_species,species_and_region,environmental_specific,0.5,0.0,0,0,0,250,250
complete_same_species,species_and_region,environmental_specific,1.0,0.0,1,0,0,249,250
complete_same_species,species_and_region,environmental_specific,2.0,0.0,6,2,0,242,250
complete_same_species,species_and_region,geographic_shared,1.0,0.25,0,0,0,250,250
complete_same_species,species_and_region,geographic_shared,1.0,0.5,0,0,0,250,250
complete_same_species,species_and_region,geographic_shared,1.0,1.0,0,0,0,250,250
complete_same_species,species_and_region,geographic_specific,0.5,0.0,0,0,0,250,250
complete_same_species,species_and_region,geographic_specific,1.0,0.0,0,0,0,250,250
complete_same_species,species_and_region,geographic_specific,2.0,0.0,0,0,0,250,250
complete_same_species,species_and_region,mixed_specific,0.5,0.0,0,0,0,250,250
complete_same_species,species_and_region,mixed_specific,1.0,0.0,0,0,0,250,250
complete_same_species,species_and_region,mixed_specific,2.0,0.0,0,0,0,250,250
complete_same_species,species_and_region,no_structure,0.0,0.0,0,0,0,250,250
complete_same_species,species_only,environmental_shared,1.0,0.25,0,0,0,250,250
complete_same_species,species_only,environmental_shared,1.0,0.5,0,0,0,250,250
complete_same_species,species_only,environmental_shared,1.0,1.0,1,1,0,248,250
complete_same_species,species_only,environmental_specific,0.5,0.0,0,0,0,250,250
complete_same_species,species_only,environmental_specific,1.0,0.0,0,1,0,249,250
complete_same_species,species_only,environmental_specific,2.0,0.0,6,3,1,240,250
complete_same_species,species_only,geographic_shared,1.0,0.25,0,0,0,250,250
complete_same_species,species_only,geographic_shared,1.0,0.5,0,0,0,250,250
complete_same_species,species_only,geographic_shared,1.0,1.0,0,0,0,250,250
complete_same_species,species_only,geographic_specific,0.5,0.0,0,0,0,250,250
complete_same_species,species_only,geographic_specific,1.0,0.0,0,0,0,250,250
complete_same_species,species_only,geographic_specific,2.0,0.0,0,0,0,250,250
complete_same_species,species_only,mixed_specific,0.5,0.0,0,0,0,250,250
complete_same_species,species_only,mixed_specific,1.0,0.0,0,0,0,250,250
complete_same_species,species_only,mixed_specific,2.0,0.0,0,0,0,250,250
complete_same_species,species_only,no_structure,0.0,0.0,0,0,0,250,250
retained,species_and_region,environmental_shared,1.0,0.25,0,0,0,250,250
retained,species_and_region,environmental_shared,1.0,0.5,0,1,0,249,250
retained,species_and_region,environmental_shared,1.0,1.0,0,0,0,250,250
retained,species_and_region,environmental_specific,0.5,0.0,0,0,0,250,250
retained,species_and_region,environmental_specific,1.0,0.0,0,0,0,250,250
retained,species_and_region,environmental_specific,2.0,0.0,3,7,0,240,250
retained,species_and_region,geographic_shared,1.0,0.25,0,0,0,250,250
retained,species_and_region,geographic_shared,1.0,0.5,0,0,0,250,250
retained,species_and_region,geographic_shared,1.0,1.0,0,0,0,250,250
retained,species_and_region,geographic_specific,0.5,0.0,0,0,0,250,250
retained,species_and_region,geographic_specific,1.0,0.0,0,0,0,250,250
retained,species_and_region,geographic_specific,2.0,0.0,0,0,0,250,250
retained,species_and_region,mixed_specific,0.5,0.0,0,0,0,250,250
retained,species_and_region,mixed_specific,1.0,0.0,0,0,0,250,250
retained,species_and_region,mixed_specific,2.0,0.0,0,0,0,250,250
retained,species_and_region,no_structure,0.0,0.0,0,0,0,250,250
retained,species_only,environmental_shared,1.0,0.25,0,0,0,250,250
retained,species_only,environmental_shared,1.0,0.5,0,0,0,250,250
retained,species_only,environmental_shared,1.0,1.0,1,0,0,249,250
retained,species_only,environmental_specific,0.5,0.0,0,0,0,250,250
retained,species_only,environmental_specific,1.0,0.0,0,0,0,250,250
retained,species_only,environmental_specific,2.0,0.0,3,7,1,239,250
retained,species_only,geographic_shared,1.0,0.25,0,0,0,250,250
retained,species_only,geographic_shared,1.0,0.5,0,0,0,250,250
retained,species_only,geographic_shared,1.0,1.0,0,0,0,250,250
retained,species_only,geographic_specific,0.5,0.0,0,0,0,250,250
retained,species_only,geographic_specific,1.0,0.0,0,0,0,250,250
retained,species_only,geographic_specific,2.0,0.0,0,0,0,250,250
retained,species_only,mixed_specific,0.5,0.0,0,0,0,250,250
retained,species_only,mixed_specific,1.0,0.0,0,0,0,250,250
retained,species_only,mixed_specific,2.0,0.0,0,0,0,250,250
retained,species_only,no_structure,0.0,0.0,0,0,0,250,250
