name,status,primary,threshold,pre_frame_species,evaluable_species,evaluable_species_cell_rows,observed_mean_spearman_rho,observed_median_spearman_rho,positive_species_fraction,permutations,seed,p_upper,null_mean,null_median,null_q025,null_q975,nominal_positive,can_rescue_primary
n5_cells3_morphs2,complete_evaluable,False,"{'minimum_classifiable_photos_before_climate_join': 5, 'minimum_occupied_h1_cells_before_climate_join': 3, 'minimum_coarse_morph_levels_before_climate_join': 2}",188,185,1350,0.06566278912846546,0.02290862290862291,0.5405405405405406,999,20260905,0.013,0.00041065890788650485,-0.00014719100531898545,-0.05902881113978598,0.05530435068599101,True,False
n10_cells3_morphs2,complete_evaluable,False,"{'minimum_classifiable_photos_before_climate_join': 10, 'minimum_occupied_h1_cells_before_climate_join': 3, 'minimum_coarse_morph_levels_before_climate_join': 2}",80,79,835,0.06707804283214132,0.024292163532669858,0.5822784810126582,999,20260905,0.014,5.155501324625942e-06,-7.682449091961504e-05,-0.05575741373206158,0.06036287456949327,True,False
n20_cells3_morphs2,complete_evaluable,False,"{'minimum_classifiable_photos_before_climate_join': 20, 'minimum_occupied_h1_cells_before_climate_join': 3, 'minimum_coarse_morph_levels_before_climate_join': 2}",30,30,458,0.03538507643133862,-0.029982960329314294,0.4666666666666667,999,20260905,0.193,0.0007083737775880293,-0.0016832051595322825,-0.06981648960814987,0.07313320707082709,False,False
