species,species_index,occupied_legacy_H1_18x9_cells,mean_pairwise_H1_cell_centroid_great_circle_km,log1p_mean_pairwise_H1_cell_centroid_great_circle_km,partial_rho_colour_vs_worldclim_given_distance
Drosera spatulata,106,5,5625.355975339454,8.635217260304348,0.16706328219832647
Dyssodia pinnata,107,3,2023.493794800687,7.6130749704147584,-0.07669105972307316
Elephantopus carolinianus,111,3,1957.739808928105,7.580056590812078,-0.14621315771001592
Erechtites hieraciifolius,113,9,8060.414716438211,8.994844343229584,0.025552276997902884
Erigeron foliosus,114,3,1957.739808928105,7.580056590812078,-0.15428937149717906
Erigeron linearis,115,3,2216.7976674159395,7.704269940762741,-0.0444639299365441
Eriophorum vaginatum,120,12,4834.661412667373,8.483773195360387,-0.17149813563928065
Eriophyllum confertiflorum,121,3,1957.739808928105,7.580056590812078,-0.12726120730983256
Eryngium planum,122,12,6016.213645810876,8.702379581621882,0.18163460760802103
Euphorbia cyparissias,129,10,5723.702956248678,8.652545941704938,-0.035288973970350426
Eutrochium fistulosum,131,3,1957.739808928105,7.580056590812078,0.022614935398094595
Eutrochium maculatum,132,4,2732.777681435091,7.913439697750444,-0.037830876960737704
Falcaria vulgaris,134,6,2350.2639731266963,7.762708323447851,0.011924878431851577
Galinsoga parviflora,136,30,9504.550573300185,9.159631177842565,-0.11187537356824434
Gazania rigens,137,11,9852.242925996326,9.195555911047096,-0.039632898117852616
Gentiana acaulis,138,3,2197.401811385937,7.695485925984176,-0.00223291647857016
Geranium macrorrhizum,140,10,4922.191715030489,8.501712321724,0.03286868323459625
Geranium molle,141,15,9270.290555583812,9.134677867379484,-0.00921625117980577
Geranium richardsonii,142,5,2522.3061731736684,7.833325294101891,-0.08465633625413098
Geranium yeoi,143,4,11842.961488990417,9.37957343769563,-0.05326272417622018
Geum canadense,144,3,1957.739808928105,7.580056590812078,-0.09411254626623436
Geum macrophyllum,145,12,4889.010750282084,8.494949780888195,-0.041359963293748685
Geum urbanum,146,17,7427.528558489829,8.913083077519076,0.0369513698419456
Goodenia ovata,148,3,1957.7398089281062,7.580056590812078,-0.00558371476715829
Guzmania monostachia,151,4,2083.456365020957,7.642263364034329,-0.15513374077358968
Hedypnois rhagadioloides,152,14,9570.256893651409,9.166519812672748,0.0015957621211779866
Helenium autumnale,153,6,4136.161161025663,8.327765121715617,0.06571923045883094
Helianthus divaricatus,154,3,1957.739808928105,7.580056590812078,-0.05191811980336951
Hibbertia cuneiformis,156,3,3005.2843230354374,8.00846015101482,0.09416699991932323
Homogyne alpina,159,3,2197.401811385937,7.695485925984176,0.03379387792306708
Hyacinthoides non-scripta,160,4,2110.2797424794885,7.655049555638879,0.021817225087758883
Ipomoea cairica,163,14,9457.34214882878,9.15465239814992,-0.10117141669565982
Ipomoea pes-caprae,164,24,10279.855656126407,9.238038770577065,-0.10823197237419534
Jaumea carnosa,166,3,1957.739808928105,7.580056590812078,-0.11025382188297986
Lachenalia reflexa,168,3,6734.592149557254,8.815161006220487,0.06479688224041454
Lamprocapnos spectabilis,169,10,6182.484270778699,8.729637189438066,0.1645140349990743
Lantana involucrata,170,4,2053.089954768245,7.627588184450783,0.07161142758029493
Lathyrus japonicus,171,17,4612.381837460147,8.436716454348602,-0.029265827923716233
Lathyrus palustris,172,15,5360.6462346960825,8.58702634024788,0.1355852481723678
Lathyrus pratensis,173,13,5802.965113520706,8.666296603221145,-0.1069946903871865
Lepidium campestre,174,11,4983.4942046348215,8.514087213784748,0.014298408874378636
Leucaena leucocephala,176,28,9874.745878093725,9.197837118875785,-0.06564422646165935
Ligustrum obtusifolium,179,3,3268.1535514842453,8.09228637762603,0.0029832110639182417
Linum catharticum,180,9,6942.3976910589745,8.845546514539484,-0.03934903004635554
Linum lewisii,181,7,2735.7448268322632,7.914524473723362,0.1787077487787385
Lithospermum canescens,182,5,2375.3951024488388,7.773339955567511,-0.0891352358026289
Lobelia erinus,183,16,9779.5471054337,9.188150702715099,-0.1669639170109621
Loeselia glandulosa,184,4,2053.089954768245,7.627588184450783,-0.1205556426238698
Ludwigia peruviana,185,9,10416.429952877823,9.251235639288192,-0.1305601509054639
Lupinus microcarpus,188,5,6307.582857674733,8.749666343572535,-0.1072820258530011
Lysimachia loeflingii,189,27,10005.232962776483,9.210963474085386,0.018985368287831362
Malacothrix saxatilis,191,3,1957.739808928105,7.580056590812078,0.13926550784802966
Malva moschata,192,10,5498.583005931779,8.612427551242988,-0.032929892312457146
Malva thuringiaca,193,11,3708.232684187202,8.218580310541299,-0.1452102190314887
Mazus miquelii,194,7,7663.516676323031,8.944356733391261,-0.057496354277682085
Mecardonia procumbens,195,10,9575.168179297454,9.167032809666866,-0.031768491357713605
Medicago lupulina,196,26,8974.241161422322,9.10222508334894,0.057198031178968295
Medicago marina,197,3,2197.401811385937,7.695485925984176,-0.011437056917101854
Melaleuca citrina,198,5,6769.842202775605,8.820380760351522,-0.10263322022719744
Melastoma candidum,199,4,4669.872671319713,8.449101200725664,0.08607536871314851
Melastoma malabathricum,200,10,5703.985550109647,8.64909572944628,-0.09117746282370165
Melothria pendula,201,15,9694.231634993592,9.179389459603158,0.07153787774386622
Mitchella repens,203,3,1957.739808928105,7.580056590812078,0.2139261647416707
Moraea flaccida,204,6,6139.434686965395,8.722650814557978,0.043827629882131056
Muscari armeniacum,205,14,8541.266337655845,9.052781630692415,0.07008619709405209
Muscari botryoides,206,11,5860.6958163375575,8.676194229159805,0.008608288002964405
Myosotis latifolia,207,5,9425.557781486903,9.151286280514045,0.01504530142503163
Myosotis laxa,208,13,7847.713021318675,8.968104851006954,0.05514574249386028
Myosotis sparsiflora,209,8,2680.7950930410816,7.8942416601179675,-0.004951156554016605
Myrica gale,210,9,4833.368479521719,8.483505784986733,0.12681715280855854
Myrtus communis,211,6,3000.31259684686,8.006805004243194,0.019100775784912708
Nama hispida,212,4,2013.7953231729025,7.608272892632402,-0.018792783318422695
Nelumbo nucifera,214,20,8221.56014529876,9.014636892758109,0.03459962522624836
Nicandra physalodes,215,27,9555.680083175652,9.164995674098343,-0.029949633000260177
Nicotiana longiflora,216,7,6152.400508771255,8.72476013624755,-0.12188136549145874
Ochna serrulata,217,9,9573.917552522536,9.166902203309167,-0.06706324621079299
Odontites luteus,218,4,2512.1189567384263,7.829279872968588,0.029734545400820482
Omphalodes verna,221,3,2003.7618175430378,7.603280538441201,-0.013043143547594782
Ornithopus compressus,223,11,10196.070558762893,9.229855757901225,0.05967992433041434
Oxalis violacea,224,4,2219.3443271707065,7.705417565168349,0.005818299314967859
Oxytropis campestris,225,9,4755.362438393517,8.467238461465872,0.04236426012093791
Papaver dubium,226,15,7438.7569960357905,8.914593465470583,-0.1972024958832853
Parthenium confertum,227,3,2069.8508374176995,7.635714834377606,-0.020523317596039845
Passiflora mixta,228,3,5875.94781220003,8.678792826566422,-0.08205623546729275
Pentanema squarrosum,232,5,2375.3951024488383,7.773339955567511,0.01564061142355996
Persicaria nepalensis,233,17,8770.811292114671,9.079298596779553,-0.06695340323683602
Persicaria pensylvanica,234,8,4000.5289903286935,8.294431814646206,-0.08017409296356914
Phlomoides tuberosa,235,13,4545.311608846419,8.422071547784064,-0.027642391601734765
Pinguicula vulgaris,240,19,4631.3582597583945,8.440821360769325,-0.0073051524380287475
Piqueria trinervia,241,4,2053.089954768245,7.627588184450783,-0.035616438196469244
Pittosporum revolutum,242,3,2147.6015042360873,7.672572446332768,0.05508340285516466
Plantago media,243,11,3598.1737848847883,8.188459593905412,0.04492053428530363
Polycalymma stuartii,244,4,2013.7953231729034,7.608272892632402,0.017308122080231147
Polygala comosa,245,9,2791.440942539454,7.934671382121495,0.10505717757578374
Potentilla concinna,247,3,2216.7976674159395,7.704269940762741,-0.05343345259325787
Potentilla indica,248,17,9555.487947142672,9.164975569002978,-0.04497465565282091
Potentilla simplex,249,4,2471.3333133198184,7.812917644973457,0.003137753185507037
Primula elatior,250,6,3642.4829944986805,8.200695369746262,0.13488750525041943
Prunus mahaleb,251,8,5659.086063672946,8.641194376677552,0.012330057211190253
Pseudo-fumaria lutea,252,9,4985.258588552101,8.514441125665282,-0.08800458206490173
Pseudognaphalium affine,253,4,3253.5978860415257,8.087824009696876,0.036998950290024334
Pulmonaria obscura,254,6,4002.272659523665,8.294867470468503,-0.030152609267719482
Pyrola elliptica,258,3,2602.579224869101,7.864642402279817,0.03403415165917958
Ranunculus trichophyllus,261,18,6424.866344069239,8.768086740217237,0.05663909859698525
Ranunculus uncinatus,262,3,2216.7976674159395,7.704269940762741,0.04037614965977082
Rhododendron tomentosum,266,16,4635.512769048505,8.44171780426399,0.03973235886745913
Rhynchospora colorata,267,3,2837.0183384193897,7.950861319439558,-0.0008027525231305868
Rorippa palustris,268,26,7887.473750647396,8.973157954145213,0.04270970696119319
Rosa blanda,269,4,2376.4524997095855,7.7737848151283035,-0.019327435358802932
Rosa multiflora,270,8,6151.273439232827,8.72457695740723,2.708842391479697e-05
Rubus chamaemorus,271,16,4344.457238410271,8.376886265398829,-0.022974875656398757
Rubus odoratus,272,4,5816.713113710878,8.668662527717478,-0.014126293664608457
Rubus trivialis,273,4,2013.7953231729025,7.608272892632402,0.1333108113257079
Rudbeckia triloba,274,5,4521.863019637125,8.416900483730073,0.08083523196269772
Sagittaria lancifolia,275,6,2977.620953933719,7.9992157052533575,0.03301976550113105
Sagittaria latifolia,276,7,5405.111357811114,8.595285325553412,-0.11016793219556284
Sairocarpus pusillus,277,3,1957.739808928105,7.580056590812078,0.08794842377416118
Salvia amarissima,278,3,2023.493794800687,7.6130749704147584,-0.02763293867430446
Salvia hispanica,279,16,9571.612862302387,9.16666147354597,0.011556220614061535
Salvia lavanduloides,280,4,2053.089954768245,7.627588184450783,0.02898026890406046
Salvia polystachia,281,4,2053.089954768245,7.627588184450783,0.14123851831069448
Salvia prunelloides,282,3,2023.493794800687,7.6130749704147584,0.058351806594770426
Salvia verticillata,283,7,2735.9329130369274,7.914593197610181,0.036991534348680785
Sambucus mexicana,284,3,1957.739808928105,7.580056590812078,-0.030903081367142773
Satureja montana,286,4,2376.4524997095855,7.7737848151283035,0.03282074565788971
Saxifraga granulata,287,6,2350.2639731266963,7.762708323447851,-0.011145838993813776
Saxifraga tridactylites,288,9,5035.44462154951,8.524455679898779,-0.06531050765355971
Scilla bifolia,289,6,3914.126564158312,8.27260293591215,0.03671511457029474
Scilla luciliae,290,10,5291.129410003731,8.573975978829228,-0.014166903592258735
Scilla verna,291,3,2216.7976674159395,7.704269940762741,0.012104815558687771
Senecio ovatus,293,3,2216.7976674159395,7.704269940762741,0.02849880583244585
Senecio triangularis,294,5,2183.5081126046725,7.689145962096965,-0.13811541300442554
Senecio vernalis,295,7,2600.966889441933,7.864022933949954,0.02979706482245691
Senna artemisioides,297,10,9627.292694048536,9.172461198736743,0.03724327414090134
Sericocarpus linifolius,299,3,1957.739808928105,7.580056590812078,0.01111380632119022
Sideranthus spinulosus,302,4,2485.21514104102,7.818516809372463,0.029942419775519417
Sisymbrium irio,303,20,8725.054552581145,9.074068605392313,0.03584320645962835
Sixalix atropurpurea,304,12,10311.268565513292,9.241089588259063,0.006881140270408961
Solanum crispum,305,4,10449.759178949811,9.254429903457499,-0.01791291868704822
Solanum elaeagnifolium,306,15,9271.940852918904,9.1348558523607,0.07711004992353178
Solanum furcatum,307,5,8802.190147622578,9.08286945154826,0.0011648155079015015
Solanum laxum,308,13,10257.602735084865,9.235871923786409,0.11687066714369453
Solanum lycopersicum,309,28,9654.972913373125,9.175331957613235,0.0855030521760988
Solanum pseudocapsicum,310,18,10074.912786240093,9.217902981841561,0.1245130810960667
Solidago ptarmicoides,311,5,2375.3951024488388,7.773339955567511,-0.022984842844517815
Solidago uliginosa,312,4,2512.1189567384263,7.829279872968588,-0.01279068246063018
Solidago virgaurea,313,11,3683.549174893498,8.211903456540437,0.015539082342982609
Sparaxis tricolor,314,9,10500.293445165127,9.259253713812756,-0.05376741420826058
Sphaeralcea coccinea,316,5,2502.408921391476,7.825408650597518,0.04153580894039869
Stachys palustris,317,13,4627.299355380499,8.439944769752469,-0.10064206494323018
Stevia serrata,318,5,2840.1904795424284,7.951978426260103,0.05757610332705412
Streptosolen jamesonii,319,6,7899.051996210717,8.974624620232278,0.009167279255283768
Stypandra glauca,320,4,3119.155230334411,8.045638032878184,0.049490814909342366
Symphyotrichum puniceum,321,5,2689.2080483585037,7.8973738110024065,0.06851716859856298
Symphyotrichum subulatum,322,20,9241.82050405031,9.131602367412718,-0.040012060812587125
Symphytum officinale,323,11,5020.938664726843,8.521571326326907,-0.011555538789601992
Symplocos tinctoria,324,4,2013.7953231729025,7.608272892632402,-0.049920137929332004
Talinum fruticosum,325,21,9425.559156902282,9.151286426422585,-0.0048574414872287796
Talinum paniculatum,326,21,9691.44223647299,9.179101709916594,0.1921135481897911
Tanacetum vulgare,327,15,5142.169464913166,8.545424795827657,-0.12312368648128047
Taraxacum erythrospermum,328,12,5891.067813215384,8.681362286887534,-0.02223530123873107
Telekia speciosa,329,10,5097.495233722073,8.536700722964591,0.04389811793688853
Thysanocarpus curvipes,331,3,1957.739808928105,7.580056590812078,-0.01533086673444876
Tinantia erecta,333,7,3819.1304302696567,8.248039845067375,-0.07517386381701577
Tithonia tubaeformis,334,7,9660.15602424992,9.175868591293934,0.1322799429804951
Tragopogon porrifolius,336,15,9943.111612174303,9.204735857199793,0.0421398589274744
Trifolium incarnatum,337,13,6982.671781803474,8.851330100682498,-0.228684825106946
Trifolium repens,338,24,9184.990412047573,9.125434821128126,-0.01718846050075323
Tripolium pannonicum,339,10,3664.5109888258726,8.206723028565538,-0.05716739373205476
Trixis inula,341,3,2023.493794800687,7.6130749704147584,0.13881249250893865
Trollius albiflorus,342,4,2110.2797424794885,7.655049555638879,-0.2291348939362077
Turnera subulata,343,16,10127.368105653697,9.223095489068436,0.03686969938600419
Verbascum thapsus,344,20,8945.80705486472,9.09905199397078,-0.17473527079936105
Verbena rigida,345,15,10087.820985194798,9.219183256688149,0.038130114028938976
Veronica cymbalaria,346,11,7910.406732561155,8.976060887245607,-0.06268496425143175
Veronica longifolia,347,14,4856.676657137582,8.488315548503337,0.1024993137047088
Veronica officinalis,348,14,6025.472451425659,8.703917118778534,0.1361860335584244
Veronica polita,349,14,6921.194441099636,8.842488114106981,0.03743459357590872
Veronica prostrata,350,8,2777.2731487671035,7.929584844170737,-0.017198876348556717
Veronica spicata,351,9,2983.4141192953102,8.001158731619311,-0.06717881554444809
Vicia lathyroides,352,8,5066.8628279442555,8.530674474765389,-0.07594700582023586
Viminaria juncea,353,5,2703.155466447801,7.902544930498173,0.23001062169289793
Vincetoxicum hirundinaria,354,8,2777.2731487671035,7.929584844170737,0.0027777068632872464
Viola cucullata,356,3,2197.401811385937,7.695485925984176,0.006301320300072908
Viola hirta,357,10,2993.336299551038,8.004477883170994,0.1255546833451959
Viola lutea,358,3,2602.5792248691005,7.8646424022798165,0.1426676570933256
Viola mirabilis,359,6,2809.7270965387274,7.94119848207358,0.0689963557690235
Viola pedunculata,360,3,1957.739808928105,7.580056590812078,0.046607502591602235
Viola tricolor,362,18,6051.636467974137,8.70824923593087,-0.006242919221412192
Viscaria vulgaris,363,7,2461.1905874580007,7.808806715388402,-0.06530082177059351
Vitex agnus-castus,364,12,6526.963901191777,8.783850366786707,0.06079487456807513
Zephyranthes atamasco,368,4,2013.7953231729025,7.608272892632402,0.03819629403018009
