species,species_index,occupied_legacy_H1_18x9_cells,mean_pairwise_H1_cell_centroid_great_circle_km,log1p_mean_pairwise_H1_cell_centroid_great_circle_km,partial_rho_colour_vs_worldclim_given_distance
Aconitum delphiniifolium,3,5,2332.5877383186594,7.755162164133922,-0.07640052134570542
Adoxa moschatellina,5,14,5215.028484437629,8.55949156456505,-0.09026366635504143
Aegopodium podagraria,6,15,7447.601942911667,8.91578163509394,-0.09140092709984876
Agapanthus praecox,7,10,9704.814500203413,9.180480417913932,0.00467425700239461
Ageratina havanensis,8,3,2837.0183384193897,7.950861319439558,0.04450476114800564
Agrostemma githago,9,8,5292.517205893199,8.574238182159412,0.15798199194814802
Ajuga genevensis,10,7,3968.587356302313,8.286417427801043,0.07660986643771132
Alchemilla alpina,11,7,2461.1905874580007,7.808806715388402,-0.06729226253868345
Allium drummondii,12,4,2013.7953231729025,7.608272892632402,0.02562769797755078
Allium praecox,13,3,1957.739808928105,7.580056590812078,0.2551549072572302
Allium schoenoprasum,14,21,6593.164272697922,8.793940335771763,0.147274743315747
Allium tuberosum,15,20,9352.660944757043,9.143523090542836,0.12478500812990943
Althaea officinalis,16,12,4314.029295305538,8.369859392673053,-0.08503753969915802
Alyxia buxifolia,17,4,2397.379073673748,7.782548402190918,0.09948549665581437
Amsinckia tessellata,18,3,1957.739808928105,7.580056590812078,0.024530136277640772
Anchusa arvensis,19,10,3905.009406215882,8.270271519579111,0.05065721116912966
Andromeda polifolia,20,20,4999.8737240850705,8.517367920967155,-0.024121360809958338
Androsace villosa,21,4,2732.777681435091,7.913439697750444,-0.03710584486519279
Andryala integrifolia,22,3,1957.739808928105,7.580056590812078,0.03599688335720748
Anemonoides blanda,24,11,5285.743297497689,8.572957701528733,-0.056407795268848475
Anemonoides quinquefolia,25,3,1957.739808928105,7.580056590812078,-0.0785854467395757
Antennaria dioica,26,10,3725.200914400901,8.223144471983922,0.005847064523644154
Asclepias incarnata,28,4,2219.3443271707065,7.705417565168349,-0.0019008677290567257
Asclepias ovalifolia,29,3,2216.7976674159395,7.704269940762741,0.010035980660318005
Asclepias perennis,30,4,2013.7953231729025,7.608272892632402,0.06959254362156093
Asclepias quadrifolia,31,3,1957.739808928105,7.580056590812078,0.019364673874710768
Astragalus glycyphyllos,33,7,2735.9329130369274,7.914593197610181,-0.09206294941072869
Baptisia australis,35,4,2219.3443271707065,7.705417565168349,-0.06911985782868893
Barbarea orthoceras,37,9,5579.100321671937,8.626962034007994,-0.03134015475699258
Bellis annua,38,4,2471.3333133198184,7.812917644973457,-0.023538277975745373
Bidens aristosa,39,3,1957.739808928105,7.580056590812078,-0.11318658356092157
Bidens bipinnata,40,10,9806.014040255734,9.19085312704784,0.14863142651261893
Bidens cernua,41,14,5411.430186759454,8.596453473707365,0.010805674597953204
Biscutella laevigata,42,3,2216.7976674159395,7.704269940762741,0.02528945633720383
Bryonia alba,44,6,4267.245764876189,8.35895819391192,0.15718953468309985
Buddleja davidii,45,15,8867.001251909713,9.090204711907788,0.07450712542459001
Bursaria spinosa,46,3,1957.7398089281062,7.580056590812078,-0.09918051481950267
Campanula latifolia,53,8,3376.428669527778,8.124869950300539,-0.09806672023228884
Campanula patula,54,7,2705.177493967842,7.903292399324576,0.02438847640456853
Cardamine amara,55,7,2461.1905874580007,7.808806715388402,-0.05404984463103586
Cardamine concatenata,56,3,1957.739808928105,7.580056590812078,0.022823825679085186
Cardamine hirsuta,57,15,8964.071946443531,9.101091411265651,-0.04900071948559131
Carlina vulgaris,59,5,2375.3951024488383,7.773339955567511,-0.05389050204176376
Castilleja exserta,61,3,1957.739808928105,7.580056590812078,-0.051251304576382196
Castilleja foliolosa,62,3,1957.739808928105,7.580056590812078,0.13820343498871762
Centranthus calcitrapae,63,5,2703.1554664478,7.9025449304981725,0.09616985750129516
Centrosema virginianum,64,8,4008.0989914775637,8.296321804649347,-0.014603489293681758
Cerastium fontanum,65,13,7653.674803957416,8.943071825668506,0.013153339232118555
Chondrilla juncea,68,15,8504.296546007517,9.048444371477554,0.09289999433821466
Cipura campanulata,69,4,2540.3460240898016,7.840449150392889,-0.12550912609619858
Clematis virginiana,72,3,1957.739808928105,7.580056590812078,0.03833372941343503
Clinopodium alpinum,73,3,2197.401811385937,7.695485925984176,-0.10827987441762246
Cochlospermum vitifolium,75,11,4277.210540130837,8.36129010304819,-0.008565344183556095
Coleostephus myconis,77,8,6649.770725291344,8.802488025474235,0.04786292746453212
Commelina benghalensis,79,26,10021.720013944572,9.212609796278173,0.0070944343851290816
Commelina communis,80,12,7996.2661226886785,8.986855027593462,-0.024257757068490652
Commelina diffusa,81,30,10078.590243841203,9.21826789038653,-0.09227965555904791
Conoclinium betonicifolium,82,3,2023.493794800687,7.6130749704147584,-0.0711279735666902
Conopholis alpina,83,5,2351.7075080492937,7.763322075029334,-0.0007274527334033065
Cornus florida,86,4,2013.7953231729025,7.608272892632402,-0.018484831259014678
Cornus sanguinea,87,6,2350.2639731266963,7.762708323447851,-0.0445645217875311
Cornus suecica,88,8,5106.785448629379,8.538521213261152,0.02252650379356044
Corydalis aurea,89,9,2934.7902486058188,7.984731945971809,0.04136386954215007
Cotula coronopifolia,90,21,10018.958048877508,9.21233418789132,-0.06132217177057728
Crepis biennis,91,7,3592.031111030011,8.186751445865347,-0.033692709834590356
Crepis sancta,92,5,2713.6936906030587,7.906434404862574,-0.18814171563861026
Cypripedium guttatum,95,12,3965.053846588851,8.28552688603973,0.03187240519609328
Dalea candida,96,4,2013.7953231729025,7.608272892632402,-0.07781942671557149
Delphinium glaucum,98,5,2183.5081126046725,7.689145962096965,-0.026125852281106504
Desmanthus illinoensis,100,3,1957.739808928105,7.580056590812078,0.057534818595524985
Diplotaxis tenuifolia,102,18,9294.290595358161,9.137263163287951,0.02801484740934124
Disphyma crassifolium,103,9,7689.165977832483,8.947697645860067,-0.10904829595883543
Distimake aegyptius,104,17,8144.239212685903,9.005188889872636,0.06700328473062052
Distimake dissectus,105,11,9702.018808704059,9.180192333465557,-0.021127156121156128
