edge_id,cell_i,cell_j,opportunities,transition_count,persistence
0:1,0,1,0,0,
0:17,0,17,0,0,
0:18,0,18,0,0,
1:2,1,2,0,0,
1:19,1,19,0,0,
2:3,2,3,0,0,
2:20,2,20,0,0,
3:4,3,4,0,0,
3:21,3,21,0,0,
4:5,4,5,0,0,
4:22,4,22,0,0,
5:6,5,6,200,1,0.005
5:23,5,23,200,0,0.0
6:7,6,7,200,61,0.305
6:24,6,24,200,0,0.0
7:8,7,8,0,0,
7:25,7,25,0,0,
8:9,8,9,0,0,
8:26,8,26,0,0,
9:10,9,10,0,0,
9:27,9,27,0,0,
10:11,10,11,0,0,
10:28,10,28,0,0,
11:12,11,12,0,0,
11:29,11,29,0,0,
12:13,12,13,0,0,
12:30,12,30,0,0,
13:14,13,14,0,0,
13:31,13,31,0,0,
14:15,14,15,0,0,
14:32,14,32,0,0,
15:16,15,16,0,0,
15:33,15,33,0,0,
16:17,16,17,131,129,0.9847328244274809
16:34,16,34,131,131,1.0
17:35,17,35,200,0,0.0
18:19,18,19,0,0,
18:35,18,35,200,3,0.015
18:36,18,36,200,28,0.14
19:20,19,20,0,0,
19:37,19,37,0,0,
20:21,20,21,0,0,
20:38,20,38,0,0,
21:22,21,22,0,0,
21:39,21,39,0,0,
22:23,22,23,0,0,
22:40,22,40,0,0,
23:24,23,24,200,0,0.0
23:41,23,41,200,1,0.005
24:25,24,25,0,0,
24:42,24,42,200,3,0.015
25:26,25,26,0,0,
25:43,25,43,0,0,
26:27,26,27,0,0,
26:44,26,44,0,0,
27:28,27,28,200,1,0.005
27:45,27,45,200,5,0.025
28:29,28,29,0,0,
28:46,28,46,200,1,0.005
29:30,29,30,0,0,
29:47,29,47,0,0,
30:31,30,31,0,0,
30:48,30,48,200,200,1.0
31:32,31,32,0,0,
31:49,31,49,0,0,
32:33,32,33,200,0,0.0
32:50,32,50,200,1,0.005
33:34,33,34,200,0,0.0
33:51,33,51,200,1,0.005
34:35,34,35,200,13,0.065
34:52,34,52,200,1,0.005
35:53,35,53,200,9,0.045
36:37,36,37,200,0,0.0
36:53,36,53,200,0,0.0
36:54,36,54,200,0,0.0
37:38,37,38,0,0,
37:55,37,55,200,0,0.0
38:39,38,39,0,0,
38:56,38,56,0,0,
39:40,39,40,0,0,
39:57,39,57,0,0,
40:41,40,41,0,0,
40:58,40,58,0,0,
41:42,41,42,200,0,0.0
41:59,41,59,200,0,0.0
42:43,42,43,0,0,
42:60,42,60,200,8,0.04
43:44,43,44,0,0,
43:61,43,61,0,0,
44:45,44,45,0,0,
44:62,44,62,0,0,
45:46,45,46,200,11,0.055
45:63,45,63,200,10,0.05
46:47,46,47,200,0,0.0
46:64,46,64,200,1,0.005
47:48,47,48,200,35,0.175
47:65,47,65,200,1,0.005
48:49,48,49,0,0,
48:66,48,66,200,132,0.66
49:50,49,50,0,0,
49:67,49,67,0,0,
50:51,50,51,200,4,0.02
50:68,50,68,200,0,0.0
51:52,51,52,200,1,0.005
51:69,51,69,200,0,0.0
52:53,52,53,200,66,0.33
52:70,52,70,200,4,0.02
53:71,53,71,200,5,0.025
54:55,54,55,200,0,0.0
54:71,54,71,200,1,0.005
54:72,54,72,0,0,
55:56,55,56,200,138,0.69
55:73,55,73,0,0,
56:57,56,57,0,0,
56:74,56,74,0,0,
57:58,57,58,0,0,
57:75,57,75,0,0,
58:59,58,59,0,0,
58:76,58,76,0,0,
59:60,59,60,200,65,0.325
59:77,59,77,200,3,0.015
60:61,60,61,200,24,0.12
60:78,60,78,200,21,0.105
61:62,61,62,200,2,0.01
61:79,61,79,200,1,0.005
62:63,62,63,200,0,0.0
62:80,62,80,200,16,0.08
63:64,63,64,200,2,0.01
63:81,63,81,200,17,0.085
64:65,64,65,200,0,0.0
64:82,64,82,200,0,0.0
65:66,65,66,200,4,0.02
65:83,65,83,200,0,0.0
66:67,66,67,200,190,0.95
66:84,66,84,200,0,0.0
67:68,67,68,200,200,1.0
67:85,67,85,200,145,0.725
68:69,68,69,200,2,0.01
68:86,68,86,200,2,0.01
69:70,69,70,200,2,0.01
69:87,69,87,200,4,0.02
70:71,70,71,200,4,0.02
70:88,70,88,200,0,0.0
71:89,71,89,0,0,
72:73,72,73,0,0,
72:89,72,89,0,0,
72:90,72,90,0,0,
73:74,73,74,0,0,
73:91,73,91,0,0,
74:75,74,75,0,0,
74:92,74,92,0,0,
75:76,75,76,0,0,
75:93,75,93,0,0,
76:77,76,77,200,48,0.24
76:94,76,94,200,13,0.065
77:78,77,78,200,9,0.045
77:95,77,95,200,0,0.0
78:79,78,79,200,47,0.235
78:96,78,96,200,7,0.035
79:80,79,80,200,2,0.01
79:97,79,97,200,0,0.0
80:81,80,81,200,25,0.125
80:98,80,98,200,6,0.03
81:82,81,82,200,1,0.005
81:99,81,99,200,3,0.015
82:83,82,83,200,0,0.0
82:100,82,100,200,92,0.46
83:84,83,84,200,0,0.0
83:101,83,101,200,0,0.0
84:85,84,85,200,0,0.0
84:102,84,102,200,4,0.02
85:86,85,86,200,8,0.04
85:103,85,103,200,5,0.025
86:87,86,87,200,0,0.0
86:104,86,104,200,25,0.125
87:88,87,88,200,0,0.0
87:105,87,105,200,0,0.0
88:89,88,89,0,0,
88:106,88,106,200,2,0.01
89:107,89,107,0,0,
90:91,90,91,200,6,0.03
90:107,90,107,200,200,1.0
90:108,90,108,200,53,0.265
91:92,91,92,0,0,
91:109,91,109,200,1,0.005
92:93,92,93,0,0,
92:110,92,110,0,0,
93:94,93,94,200,2,0.01
93:111,93,111,200,1,0.005
94:95,94,95,200,0,0.0
94:112,94,112,200,0,0.0
95:96,95,96,200,2,0.01
95:113,95,113,200,0,0.0
96:97,96,97,200,93,0.465
96:114,96,114,0,0,
97:98,97,98,200,2,0.01
97:115,97,115,0,0,
98:99,98,99,200,14,0.07
98:116,98,116,200,71,0.355
99:100,99,100,200,22,0.11
99:117,99,117,200,100,0.5
100:101,100,101,200,14,0.07
100:118,100,118,200,9,0.045
101:102,101,102,200,1,0.005
101:119,101,119,200,7,0.035
102:103,102,103,200,3,0.015
102:120,102,120,200,0,0.0
103:104,103,104,200,4,0.02
103:121,103,121,200,1,0.005
104:105,104,105,200,5,0.025
104:122,104,122,200,9,0.045
