edge_id,cell_i,cell_j,climate_complete,multivariate_climate_distance,absolute_z_difference_bio1,absolute_z_difference_bio4,absolute_z_difference_bio12,absolute_z_difference_bio15,within_biome,within_realm
0:1,0,1,True,0.25684211033321436,0.08542599734217626,0.17226676052105505,0.11240370441385594,0.4628859989170062,True,True
0:17,0,17,True,0.33454930576417397,0.2048412351455644,0.5857438485958048,0.042507508143627026,0.2466379450060292,True,True
0:18,0,18,True,2.1748347590809765,2.693626309304096,1.9217676415944356,1.2050588603250796,2.553163625372375,False,False
1:2,1,2,True,0.12562740964699043,0.08654419765507759,0.14969248899733612,0.03685354446917244,0.1785302805367509,True,True
1:19,1,19,False,,,,,,False,False
2:3,2,3,True,0.7279075821599335,0.8062040426018977,0.7502302022901901,0.46190854660567526,0.8326031302489151,True,True
2:20,2,20,False,,,,,,False,False
3:4,3,4,True,0.377386637409705,0.4657942547355587,0.3702847622818854,0.2487529455764781,0.3920836333307416,True,True
3:21,3,21,False,,,,,,False,False
4:5,4,5,True,0.8567607600737215,1.2902603937845534,0.8283577433622213,0.159162999615173,0.7482477562977929,True,True
4:22,4,22,False,,,,,,False,False
5:6,5,6,True,0.38583539251458976,0.5090135281158568,0.5414577531926947,0.19944172050996645,0.05854511329002077,True,True
5:23,5,23,True,0.5694787458462378,1.0429842455758165,0.09357463729574282,0.42388929356783567,0.1448091344376865,False,False
6:7,6,7,True,0.4884495294086715,0.17292968538383469,0.302876740014531,0.7753835169886085,0.4811165939476676,True,True
6:24,6,24,True,1.1166864311406917,1.8237022466034767,0.4626389282295,0.8667913028059681,0.8346870773978488,False,False
7:8,7,8,True,0.8258963096599955,0.7198315573359004,0.35606919943214593,1.051016037280103,0.9893641396872785,True,True
7:25,7,25,False,,,,,,False,False
8:9,8,9,True,0.24212851343651517,0.2757114029040566,0.18655502368286872,0.31142963743801466,0.16339184327405953,True,True
8:26,8,26,True,2.1254362942931406,2.1223531285322257,1.11123101906975,2.3866723638364435,2.5757514655261824,False,False
9:10,9,10,True,0.4056317868887885,0.5156855477648215,0.5150654831551997,0.3019676033824853,0.18905056607796944,True,True
9:27,9,27,True,1.2532085890819877,2.1255266093773955,0.7271570888708538,0.3369987444009641,1.059215803413609,False,False
10:11,10,11,True,0.45646265528753793,0.6437565691094409,0.248619364504239,0.2854676651022523,0.5250778286993433,True,True
10:28,10,28,True,1.8550410701483144,2.3183245567785677,1.372714134781644,1.6992585773348896,1.902171634924136,False,False
11:12,11,12,True,0.5574522008161883,0.3687463964987787,0.08437590379040055,0.1315492050072279,1.0404871135049834,True,True
11:29,11,29,True,1.7549364895037018,1.3052094591875627,1.2824724244472245,2.658947632442503,1.3787307804188897,True,True
