species,inat_taxon_id,raw_photos,classifiable_photos,measurement_evaluable
Abutilon theophrasti,60214,100,45,True
Acacia dealbata,53343,100,49,True
Acacia falcata,139914,100,54,True
Acacia fimbriata,83377,100,39,False
Acacia podalyriifolia,75252,100,40,True
Achillea filipendulina,157924,100,75,True
Achillea ptarmica,54055,100,87,True
Acmispon americanus,57049,100,39,False
Aconitum napellus,131201,100,55,True
Aegonychon purpurocaeruleum,546520,100,60,True
Agastache urticifolia,63316,100,53,True
Ageratina occidentalis,75300,100,56,True
Ajuga australis,210141,100,39,False
Ajuga chamaepitys,59259,100,77,True
Allium cirrhosum,1575146,100,34,False
Allium cratericola,59078,100,51,True
Allium roseum,82895,100,53,True
Ambrosia salsola,75413,100,30,False
Amelanchier utahensis,61099,100,38,False
Amsinckia menziesii,55436,100,71,True
Anaphalioides trinervis,399505,100,61,True
Androsace lehmanniana,842358,100,73,True
Angelica sylvestris,158380,100,69,True
Anthemis cotula,52841,100,75,True
Anthoxanthum odoratum,75475,100,22,False
Antigonon leptopus,48380,100,62,True
Aphyllon cooperi,802494,100,23,False
Apocynum cannabinum,58795,100,52,True
Aquilegia vulgaris,51807,100,49,True
Aralia californica,52848,100,57,True
Aralia nudicaulis,119828,100,46,True
Aralia racemosa,119827,100,36,False
Arctium lappa,75501,100,34,False
Arctostaphylos columbiana,75505,100,28,False
Arctostaphylos pungens,58892,100,31,False
Argemone albiflora,127032,100,79,True
Armeria pungens,342019,100,60,True
Arnica cordifolia,75569,100,57,True
Aronia arbutifolia,151797,100,65,True
Aronia melanocarpa,128798,100,62,True
Asclepias fascicularis,56851,100,59,True
Asclepias obovata,158752,100,28,False
Asclepias syriaca,47911,100,50,True
Asimina angustifolia,158766,100,21,False
Asimina parviflora,158769,100,23,False
Astragalus miser,139642,100,53,True
Astragalus missouriensis,158940,100,59,True
Astragalus purshii,59613,100,43,True
Atropa bella-donna,159098,100,32,False
Balduina angustifolia,127348,100,83,True
Balsamorhiza sagittata,62266,100,79,True
Bauhinia galpinii,159197,100,36,False
Bejaria racemosa,126342,100,42,True
Bellardia viscosa,537967,100,62,True
Bellis sylvestris,82627,100,70,True
Berberis repens,133104,100,67,True
Berlandiera lyrata,159213,100,67,True
Berteroa incana,75762,100,84,True
Bituminaria bituminosa,75771,100,44,True
Bloomeria crocea,58357,100,56,True
Boechera breweri,75779,100,47,True
Boykinia occidentalis,68213,100,57,True
Brachyloma daphnoides,210147,100,23,False
Brassica napus,75869,100,72,True
Brassica tournefortii,75870,100,25,False
Burchardia congesta,462071,100,51,True
Byrsonima lucida,159613,100,35,False
Caladenia latifolia,204850,100,46,True
Caladenia leptochila,784963,100,21,False
Caladenia tentaculata,474399,100,19,False
Calliandra eriophylla,75933,100,17,False
Calochortus catalinae,64411,100,50,True
Calochortus tolmiei,50840,100,43,True
Caltha palustris,56224,100,79,True
Camissoniopsis cheiranthifolia,75976,100,55,True
Campanula glomerata,84349,100,51,True
Campanula intercedens,905640,100,58,True
Campanula persicifolia,159764,100,61,True
Campanula punctata,128781,100,37,False
Campanula rotundifolia,62312,100,70,True
Cannabis sativa,75997,100,31,False
Cardamine pratensis,54531,100,82,True
Carduus tenuiflorus,53007,100,58,True
Carica papaya,62811,100,30,False
Cassiope mertensiana,60530,100,79,True
Castanea mollissima,49192,100,25,False
Castilleja coccinea,49342,100,55,True
Castilleja latifolia,57267,100,50,True
Castilleja tenuiflora,143148,100,29,False
Ceanothus cordulatus,62228,100,62,True
Ceanothus integerrimus,62227,100,68,True
Ceanothus pauciflorus,626211,100,53,True
Ceanothus prostratus,76192,100,67,True
Celastrus orbiculatus,64540,100,28,False
Celosia argentea,160259,100,45,True
Centaurea calcitrapa,56865,100,52,True
Centaurea montana,48984,100,52,True
Cephalaria leucantha,334574,100,57,True
Cerastium tomentosum,160347,100,86,True
Chaenorhinum minus,62396,100,24,False
Chaetopappa ericoides,76235,100,88,True
Chamaecrista fasciculata,127907,100,57,True
Chamaecytisus proliferus,1565678,100,29,False
Chenopodium album,58127,100,33,False
Chilopsis linearis,76290,100,43,True
Chylismia cardiophylla,76332,100,61,True
Cichorium intybus,52913,100,59,True
Cirsium vulgare,52989,100,50,True
Cistus salviifolius,76365,100,62,True
Claytonia perfoliata,52994,100,47,True
Claytonia virginica,117434,100,66,True
Clematis aristata,321091,100,25,False
Cleomella arborea,1415102,100,50,True
Cleomella serrulata,1415100,100,47,True
Clerodendrum paniculatum,343901,100,25,False
Clerodendrum trichotomum,67539,100,34,False
Clintonia andrewsiana,51647,100,40,True
Colchicum montanum,334041,100,28,False
Colutea arborescens,76422,100,48,True
Comesperma ericinum,210344,100,42,True
Comesperma volubile,321125,100,70,True
Conium maculatum,52998,100,67,True
Conoclinium coelestinum,119095,100,67,True
Conopholis americana,59980,100,45,True
Coprosma grandifolia,70238,100,24,False
Coreopsis tripteris,123957,100,63,True
Corybas oblongus,401076,100,19,False
Couroupita guianensis,48163,100,19,False
Crataegus marshallii,67818,100,50,True
Crocanthemum canadense,204170,100,72,True
Crocidium multicaule,57524,100,73,True
Crocus nudiflorus,210566,100,48,True
Crocus serotinus,210572,100,39,False
Crocus tommasinianus,55875,100,48,True
Croton californicus,76484,100,38,False
Cyclamen graecum,482866,100,61,True
Cynanchum acutum,438446,100,54,True
Dahlia coccinea,146597,100,43,True
Dalea purpurea,63547,100,35,False
Daphne gnidium,82836,100,50,True
Datura innoxia,161639,100,36,False
Delphinium ajacis,401314,100,50,True
Delphinium californicum,51858,100,49,True
Delphinium parishii,68570,100,57,True
Desmodium canadense,129505,100,21,False
Dianthus hyssopifolius,363514,100,47,True
Digitalis lutea,161899,100,29,False
Dithyrea californica,76672,100,44,True
Drosera rotundifolia,52658,100,31,False
Drymocallis glandulosa,76716,100,50,True
Echinops ritro,162202,100,74,True
Echium asperrimum,497786,100,49,True
Echium creticum,162205,100,61,True
Emilia sonchifolia,121287,100,49,True
Emmenanthe penduliflora,58173,100,45,True
Epidendrum radicans,54890,100,33,False
Epilobium brachycarpum,52971,100,61,True
Epilobium hirsutum,84517,100,63,True
Eranthis hyemalis,56871,100,73,True
Erica carnea,56306,100,57,True
Erigeron philadelphicus,67820,100,89,True
Eriogonum parvifolium,77018,100,57,True
Eriogonum thomasii,77035,100,43,True
Eriophorum virginicum,120356,100,50,True
Erysimum capitatum,50628,100,60,True
Erysimum franciscanum,57402,100,63,True
Erythranthe alsinoides,771843,100,56,True
Erythranthe cardinalis,319974,100,49,True
Erythranthe moschata,453644,100,71,True
Erythranthe verbenacea,544009,100,47,True
Erythrina crista-galli,162718,100,25,False
Erythronium americanum,48240,100,31,False
Escallonia pulverulenta,716435,100,40,True
Eulobus californicus,77107,100,57,True
Eulophia graminea,427629,100,48,True
Euphorbia lathyris,77114,100,27,False
Euphrasia collina,323350,100,69,True
Eurybia conspicua,162879,100,54,True
Euryomyrtus ramosissima,321119,100,72,True
Fagonia laevis,77126,100,39,False
Fouquieria splendens,49325,100,21,False
Frankenia salina,58168,100,63,True
Frasera speciosa,56352,100,26,False
Fritillaria affinis,50618,100,31,False
Funastrum clausum,277459,100,54,True
Gagea lutea,126188,100,50,True
Galium verum,84328,100,61,True
Gavilea longibracteata,739099,100,46,True
Gelsemium sempervirens,83070,100,60,True
Genista hirsuta,338636,100,60,True
Genista sagittalis,139079,100,71,True
Gentiana calycosa,56350,100,60,True
Gentiana sedifolia,338233,100,72,True
Gentianopsis crinita,154320,100,43,True
Gentianopsis thermalis,145732,100,58,True
Geranium incanum,566720,100,69,True
Geranium reuteri,450399,100,43,True
Geranium sylvaticum,85429,100,63,True
Glandularia aristigera,465569,100,67,True
Gomphocarpus physocarpus,281273,100,48,True
Gymnadenia conopsea,131610,100,25,False
Hedychium gardnerianum,52495,100,26,False
Helichrysum stoechas,82641,100,81,True
Heliosperma pusillum,746616,100,81,True
Hemerocallis fulva,126583,100,33,False
Hemizonia congesta,56960,100,79,True
Herissantia crispa,77368,100,53,True
Heteromeles arbutifolia,53405,100,58,True
Hibbertia dentata,321044,100,53,True
Hibbertia hypericoides,145403,100,84,True
Hieracium paniculatum,133237,100,60,True
Hieracium umbellatum,55909,100,73,True
Homalocephala texensis,870496,100,54,True
Houstonia longifolia,69753,100,69,True
Houstonia procumbens,133305,100,70,True
Hovea heterophylla,823796,100,54,True
Hydrangea quercifolia,83156,100,49,True
Hydrocotyle sibthorpioides,128684,100,33,False
Hypericum gentianoides,145367,100,68,True
Hypericum maculatum,163978,100,64,True
Hypoestes aristata,146786,100,35,False
Ilex aquifolium,53856,100,38,False
Impatiens glandulifera,47892,100,60,True
Impatiens walleriana,68185,100,61,True
Indigofera spicata,164063,100,44,True
Ipomoea cordatotriloba,135263,100,50,True
Ipomoea pandurata,119737,100,46,True
Ipomopsis aggregata,52136,100,37,False
Iris latifolia,243782,100,52,True
Iris pumila,57646,100,51,True
Isatis tinctoria,77509,100,60,True
Isocoma menziesii,77511,100,67,True
Itea virginica,83152,100,62,True
Jasione montana,55022,100,65,True
Justicia pilosella,281124,100,51,True
Justicia procumbens,354064,100,51,True
Kniphofia uvaria,56035,100,45,True
Lachenalia lutea,588388,100,35,False
Lachenalia peersii,588412,100,42,True
Lactuca canadensis,53110,100,53,True
Lamium album,55876,100,38,False
Lamium maculatum,55828,100,43,True
Lantana velutina,164426,100,65,True
Layia glandulosa,58003,100,73,True
Leonurus quinquelobatus,603675,100,43,True
Lepidium virginicum,77676,100,56,True
Leptosiphon bicolor,64245,100,67,True
Leschenaultia biloba,1598897,100,56,True
Lespedeza capitata,125186,100,37,False
Lespedeza cuneata,164566,100,35,False
Leucogenes grandiceps,147187,100,76,True
Leucojum vernum,57510,100,62,True
Leucopogon fasciculatus,409552,100,48,True
Leycesteria formosa,127412,100,26,False
Liatris pycnostachya,48691,100,38,False
Ligustrum quihoui,203827,100,70,True
Lilium parvum,59584,100,47,True
Lilium philadelphicum,61253,100,40,True
Linaria alpina,132608,100,65,True
Linaria repens,133252,100,73,True
Linaria vulgaris,50790,100,58,True
Linum trigynum,82892,100,79,True
Lithophragma heterophyllum,53124,100,44,True
Lithotoma axillaris,916270,100,47,True
Lobelia gibbosa,323155,100,43,True
Lobelia puberula,119142,100,48,True
Lobularia maritima,56992,100,84,True
Loeseliastrum matthewsii,58254,100,33,False
Lonicera hispidula,53416,100,26,False
Lotus alpinus,487791,100,61,True
Lotus hirsutus,1154339,100,50,True
Lotus maritimus,989787,100,52,True
Lupinus argenteus,62691,100,66,True
Lupinus bicolor,50614,100,48,True
Lupinus texensis,49564,100,61,True
Lycopus europaeus,133036,100,46,True
Lysiana exocarpi,481922,100,16,False
Lysimachia arvensis,791928,100,55,True
Lythrum salicaria,61321,100,36,False
Macroptilium lathyroides,165060,100,45,True
Madia elegans,56974,100,74,True
Maianthemum stellatum,53268,100,58,True
Medeola virginiana,54924,100,20,False
Medicago polymorpha,53151,100,61,True
Megathyrsus maximus,1064938,100,16,False
Melanthera nivea,131167,100,64,True
Mentha arvensis,58188,100,59,True
Mentzelia albicaulis,58195,100,67,True
Mentzelia involucrata,77999,100,35,False
Metrosideros umbellata,403879,100,33,False
Mikania scandens,119145,100,69,True
Mimosa microphylla,84005,100,54,True
Mimosa pudica,51921,100,59,True
Mitella diphylla,53793,100,58,True
Mitella nuda,144149,100,40,True
Momordica charantia,61369,100,62,True
Monoptilon bellioides,78118,100,84,True
Muehlenbeckia australis,366725,100,38,False
Murdannia graminea,369959,100,53,True
Murdannia keisak,125685,100,52,True
Muscari commutatum,450280,100,66,True
Myosotis discolor,70265,100,47,True
Narcissus bulbocodium,57413,100,63,True
Neltuma odorata,1493155,100,13,False
Noccaea caerulescens,460172,100,83,True
Nuphar advena,82504,100,47,True
Nuphar polysepala,78234,100,49,True
Nymphaea candida,196966,100,46,True
Oclemena acuminata,120181,100,41,True
Oclemena reticulata,126701,100,51,True
Oenanthe sarmentosa,60127,100,64,True
Oenothera pallida,126663,100,67,True
Operculina pteripes,277807,100,34,False
Orchis anthropophora,59322,100,24,False
Oreomecon radicata,1473095,100,75,True
Ornithogalum divergens,483101,100,63,True
Ornithogalum narbonense,82905,100,44,True
Orychophragmus violaceus,359576,100,67,True
Oxalis caprina,361074,100,57,True
Oxalis ciliaris,566867,100,53,True
Oxalis corniculata,53168,100,54,True
Oxalis debilis,61963,100,42,True
Oxalis luteola,119242,100,59,True
Oxalis obtusa,119468,100,55,True
Oxalis pes-caprae,53169,100,60,True
Oxalis tenuifolia,591292,100,53,True
Packera paupercula,127945,100,75,True
Paeonia californica,58223,100,23,False
Paris polyphylla,522961,100,32,False
Parnassia glauca,118761,100,59,True
Parthenium integrifolium,83893,100,79,True
Pasithea caerulea,557708,100,54,True
Pedicularis palustris,118803,100,26,False
Pelargonium capitatum,78375,100,38,False
Penstemon strictus,166444,100,56,True
Pentachondra pumila,178209,100,46,True
Perityle emoryi,78445,100,61,True
Persicaria amphibia,78450,100,55,True
Persicaria longiseta,143803,100,50,True
Petasites frigidus,55780,100,57,True
Petasites japonicus,129038,100,62,True
Phacelia purshii,166605,100,69,True
Phacelia sericea,78524,100,60,True
Phacelia tanacetifolia,58185,100,55,True
Phleum pratense,57190,100,34,False
Phlox divaricata,81705,100,58,True
Pholistoma auritum,55437,100,58,True
Physalis crassifolia,78565,100,57,True
Phyteuma hemisphaericum,117393,100,62,True
Pilosella aurantiaca,711103,100,65,True
Pilosella caespitosa,711086,100,76,True
Pimelea flava,552999,100,66,True
Pistacia lentiscus,82600,100,46,True
Pittosporum bicolor,323279,100,40,True
Plantago lanceolata,53178,100,43,True
Platanthera bifolia,57629,100,33,False
Platanthera elongata,551466,100,23,False
Platanthera transversa,355392,100,27,False
Plectritis macrocera,57287,100,63,True
Pluchea odorata,60146,100,61,True
Podranea ricasoliana,167116,100,40,True
Polemonium californicum,67525,100,61,True
Polygaloides paucifolia,497911,100,48,True
Polymeria calycina,370497,100,58,True
Pontederia crassipes,962637,100,58,True
Porophyllum gracile,78700,100,38,False
Porophyllum ruderale,78701,100,37,False
Potentilla alba,204388,100,72,True
Potentilla norvegica,55732,100,68,True
Potentilla recta,62211,100,66,True
Primula clevelandii,486971,100,46,True
Prosartes hookeri,51071,100,22,False
Prunus avium,61964,100,36,False
Prunus pensylvanica,54833,100,65,True
Psilostrophe cooperi,78771,100,85,True
Psorodendron spinosum,1613594,100,33,False
Ptelea trifoliata,50625,100,33,False
Pterophylla racemosa,1399819,100,25,False
Pterostylis alobula,466838,100,17,False
Pterostylis trullifolia,466837,100,18,False
Pulmonaria officinalis,167599,100,49,True
Pulsatilla nuttalliana,881504,100,62,True
Pulsatilla vulgaris,60786,100,56,True
Ranunculus bulbosus,78820,100,68,True
Ranunculus recurvatus,81802,100,56,True
Ranunculus repens,48229,100,66,True
Rapistrum rugosum,78835,100,80,True
Rhexia mariana,126318,100,51,True
Rhexia virginica,130690,100,51,True
Rhinanthus serotinus,167803,100,39,False
Rhodiola rosea,84436,100,72,True
Rhododendron groenlandicum,180413,100,67,True
Rhus virens,121691,100,50,True
Rhynchosida physocalyx,167843,100,53,True
Ribes malvaceum,54942,100,38,False
Rosa palustris,82302,100,56,True
