model,world,amplitude,shared_fraction,threshold_sd,quantile_975,axis_concentration
linear_logit_joint_train,no_structure,0.0,0.0,0.0,0.0018214464939391,
linear_logit_joint_train,environmental_independent,0.5,0.0,0.0,0.0011909547925229,
linear_logit_joint_train,environmental_independent,1.0,0.0,0.0,0.0008515307002379,
linear_logit_joint_train,environmental_independent,2.0,0.0,0.0,0.0015715633210066,
linear_logit_joint_train,geographic_independent,2.0,0.0,0.0,0.0019732404132717,
linear_logit_joint_train,mixed_independent,2.0,0.0,0.0,0.0019949324748096,
linear_logit_joint_train,environmental_independent_shifted,0.5,0.0,0.5,0.001166670516354,
linear_logit_joint_train,environmental_independent_shifted,1.0,0.0,0.5,0.0011434520170482,
linear_logit_joint_train,environmental_independent_shifted,2.0,0.0,0.5,0.0016902081045424,
linear_logit_joint_train,support_aligned_independent,1.0,0.0,0.5,0.0015841803902125,
linear_logit_joint_train,directionally_clustered_independent,1.0,0.0,0.5,0.001928067926727,2.0
linear_logit_joint_train,nonlinear_independent,1.0,0.0,0.5,0.0011816308806799,
linear_logit_joint_train_intercept_marginal,no_structure,0.0,0.0,0.0,0.0003329398449151,
linear_logit_joint_train_intercept_marginal,environmental_independent,0.5,0.0,0.0,0.0005564099712962,
linear_logit_joint_train_intercept_marginal,environmental_independent,1.0,0.0,0.0,0.0009666023994327,
linear_logit_joint_train_intercept_marginal,environmental_independent,2.0,0.0,0.0,0.0010128869625513,
linear_logit_joint_train_intercept_marginal,geographic_independent,2.0,0.0,0.0,0.0008257734914571,
linear_logit_joint_train_intercept_marginal,mixed_independent,2.0,0.0,0.0,0.0008187012976751,
linear_logit_joint_train_intercept_marginal,environmental_independent_shifted,0.5,0.0,0.5,0.00058323991842,
linear_logit_joint_train_intercept_marginal,environmental_independent_shifted,1.0,0.0,0.5,0.0007773169355238,
linear_logit_joint_train_intercept_marginal,environmental_independent_shifted,2.0,0.0,0.5,0.0007718299872015,
linear_logit_joint_train_intercept_marginal,support_aligned_independent,1.0,0.0,0.5,0.0009399414408777,
linear_logit_joint_train_intercept_marginal,directionally_clustered_independent,1.0,0.0,0.5,0.0011908763265869,2.0
linear_logit_joint_train_intercept_marginal,nonlinear_independent,1.0,0.0,0.5,0.0006295783082756,
saturating_probit_joint_train_intercept_marginal,no_structure,0.0,0.0,0.0,0.000296601006751,
saturating_probit_joint_train_intercept_marginal,environmental_independent,0.5,0.0,0.0,0.0004937497721793,
saturating_probit_joint_train_intercept_marginal,environmental_independent,1.0,0.0,0.0,0.0007728899584929,
saturating_probit_joint_train_intercept_marginal,environmental_independent,2.0,0.0,0.0,0.0010738227115229,
saturating_probit_joint_train_intercept_marginal,geographic_independent,2.0,0.0,0.0,0.0009585510369316,
saturating_probit_joint_train_intercept_marginal,mixed_independent,2.0,0.0,0.0,0.0010438069157261,
saturating_probit_joint_train_intercept_marginal,environmental_independent_shifted,0.5,0.0,0.5,0.0004490356079936,
saturating_probit_joint_train_intercept_marginal,environmental_independent_shifted,1.0,0.0,0.5,0.000725611366043,
saturating_probit_joint_train_intercept_marginal,environmental_independent_shifted,2.0,0.0,0.5,0.0008174329481455,
saturating_probit_joint_train_intercept_marginal,support_aligned_independent,1.0,0.0,0.5,0.0009099619520384,
saturating_probit_joint_train_intercept_marginal,directionally_clustered_independent,1.0,0.0,0.5,0.0010862996919428,2.0
saturating_probit_joint_train_intercept_marginal,nonlinear_independent,1.0,0.0,0.5,0.0007042798383001,
