cell_id,bio1,bio4,bio12,bio15,source_cell_n,realm,biome,z_bio1,z_bio4,z_bio12,z_bio15,complete_macroclimate
0,-32.772507975444505,1072.361677640903,108.80891340128933,96.123736908527,7,Antarctica,Tundra,-2.6416172042675563,1.3323121900741857,-1.2017998832787575,1.3096901843224724,True
1,-31.371445994829504,1000.8028718742763,195.11248275333983,82.62888447561079,7,Antarctica,Tundra,-2.55619120692538,1.1600454295531306,-1.0893961788649016,0.8468041854054662,True
2,-32.7908474504739,938.6213128057522,223.4086358699095,77.42406126581966,6,Antarctica,Tundra,-2.6427354045804576,1.0103529405557945,-1.0525426343957291,0.6682739048687153,True
3,-19.568387451754543,626.9791993559021,578.0620389242462,53.15057620863225,3,Antarctica,Tundra,-1.83653136197856,0.26012273826560445,-0.5906340877900539,-0.16432922538019978,True
4,-27.20782557835731,780.7937559327202,387.0695160173227,64.58127574488817,5,Antarctica,Tundra,-2.3023256167141186,0.6304075005474898,-0.839387033366532,0.2277544079505418,True
5,-6.046412904602529,436.69782771507965,509.2748743478014,42.76706430162997,24,Antarctica,Tundra,-1.0120652229295652,-0.19795024281473145,-0.680224033751359,-0.5204933483472511,True
6,-14.394685374928493,661.616843283463,356.1435122856593,41.060256002468506,9,Antarctica,Tundra,-1.521078751045422,0.34350751037796323,-0.8796657542613254,-0.5790384616372719,True
7,-11.558485446930897,535.8032635518124,951.4830118316747,55.08659824125188,7,Antarctica,Tundra,-1.3481490656615873,0.04063077036343222,-0.10428223727271692,-0.09792186768960434,True
8,-23.364360225196855,683.7127418781838,144.51285069222214,83.93025110337433,4,Antarctica,Tundra,-2.0679806229974877,0.39669996979557814,-1.15529827455282,0.8914422719976742,True
9,-18.84244914134253,606.218658491858,383.62854045593514,79.16676977344768,6,Antarctica,Tundra,-1.7922692200934311,0.21014494611270942,-0.8438686371148053,0.7280504287236147,True
10,-27.300148640382456,820.174448655404,151.77780086963097,73.65524102219916,4,Antarctica,Tundra,-2.3079547678582526,0.7252104292679091,-1.1458362404972906,0.5389998626456453,True
11,-16.74197101516106,716.8991286774299,370.9598870952802,58.347264909998465,4,Antarctica,Tundra,-1.6641981987488117,0.47659106476367014,-0.8603685753950383,0.013922033946301999,True
12,-22.789738354110803,751.948484063566,269.95640151843924,88.68134303712328,7,Antarctica,Tundra,-2.0329445952475904,0.5609669685540707,-0.9919177804022662,1.0544091474512853,True
13,-18.11076068878174,731.9721069335938,257.0,24.72197914123535,1,Antarctica,Tundra,-1.7476564787096969,0.5128769293442195,-1.0087924883370576,-1.139456564991087,True
14,-6.216577719647987,384.1417725922945,353.3589613769733,24.0587952897627,1,Antarctica,Tundra,-1.0224405662326677,-0.32447081934999,-0.8832924158190706,-1.162204388361558,True
16,-17.02120279507485,615.4899081688852,309.77413601841835,60.695745842109396,5,Antarctica,Tundra,-1.6812236077733975,0.23246404619735914,-0.9400582699235294,0.0944771157896679,True
17,-29.41293038134163,829.0464253897841,76.17164671878533,88.93332138504769,11,Antarctica,Tundra,-2.436775969121992,0.7465683414783809,-1.2443073914223846,1.0630522393164432,True
