stage,species,training_inclusions,evaluation_inclusions
calibration,Hedypnois rhagadioloides,135,0
calibration,Helenium autumnale,139,0
calibration,Helianthus divaricatus,0,119
calibration,Hepatica acutiloba,144,0
calibration,Hibbertia cuneiformis,149,0
calibration,Hibiscus denudatus,0,139
calibration,Hofmeisteria fasciculata,133,0
calibration,Homogyne alpina,139,0
calibration,Hyacinthoides non-scripta,137,0
calibration,Hypocalymma robustum,0,124
calibration,Iliamna rivularis,0,136
calibration,Ipomoea cairica,141,0
calibration,Ipomoea pes-caprae,131,0
calibration,Jacobaea adonidifolia,0,116
calibration,Jaumea carnosa,0,135
calibration,Johnstonella angustifolia,143,0
calibration,Lachenalia reflexa,139,0
calibration,Lamprocapnos spectabilis,0,136
calibration,Lantana involucrata,0,139
calibration,Lathyrus japonicus,131,0
calibration,Lathyrus palustris,0,146
calibration,Lathyrus pratensis,0,134
calibration,Lepidium campestre,139,0
calibration,Lepidium fremontii,134,0
calibration,Leucaena leucocephala,0,146
calibration,Leucopogon affinis,0,128
calibration,Leucopogon microphyllus,0,130
calibration,Ligustrum obtusifolium,132,0
calibration,Linum catharticum,0,139
calibration,Linum lewisii,132,0
calibration,Lithospermum canescens,126,0
calibration,Lobelia erinus,130,0
calibration,Loeselia glandulosa,0,142
calibration,Ludwigia peruviana,0,120
calibration,Lupinus arizonicus,126,0
calibration,Lupinus havardii,0,143
calibration,Lupinus microcarpus,128,0
calibration,Lysimachia loeflingii,0,118
calibration,Lysimachia quadrifolia,148,0
calibration,Malacothrix saxatilis,125,0
calibration,Malva moschata,130,0
calibration,Malva thuringiaca,130,0
calibration,Mazus miquelii,0,134
calibration,Mecardonia procumbens,137,0
calibration,Medicago lupulina,146,0
calibration,Medicago marina,0,139
calibration,Melaleuca citrina,0,142
calibration,Melastoma candidum,137,0
calibration,Melastoma malabathricum,0,135
calibration,Melothria pendula,142,0
calibration,Micranthes petiolaris,0,138
calibration,Mitchella repens,124,0
calibration,Moraea flaccida,133,0
calibration,Muscari armeniacum,0,139
calibration,Muscari botryoides,0,141
calibration,Myosotis latifolia,128,0
calibration,Myosotis laxa,0,126
calibration,Myosotis sparsiflora,145,0
calibration,Myrica gale,0,118
calibration,Myrtus communis,0,141
calibration,Nama hispida,137,0
calibration,Navarretia heterodoxa,133,0
calibration,Nelumbo nucifera,0,128
calibration,Nicandra physalodes,0,126
calibration,Nicotiana longiflora,137,0
calibration,Ochna serrulata,148,0
calibration,Odontites luteus,135,0
calibration,Olearia lirata,138,0
calibration,Olsynium biflorum,0,144
calibration,Omphalodes verna,0,128
calibration,Oreomecon alpina,0,142
calibration,Ornithopus compressus,140,0
calibration,Oxalis violacea,0,130
calibration,Oxytropis campestris,0,133
calibration,Papaver dubium,0,132
calibration,Parthenium confertum,137,0
calibration,Passiflora mixta,140,0
calibration,Pectis multiseta,122,0
calibration,Pectis papposa,0,148
calibration,Penstemon speciosus,131,0
calibration,Pentanema squarrosum,146,0
calibration,Persicaria nepalensis,0,114
calibration,Persicaria pensylvanica,130,0
calibration,Phlomoides tuberosa,0,129
calibration,Phlox diffusa,145,0
calibration,Phlox longifolia,131,0
calibration,Phlox roemeriana,137,0
calibration,Pimelea serpyllifolia,136,0
calibration,Pinguicula vulgaris,0,132
calibration,Piqueria trinervia,0,139
calibration,Pittosporum revolutum,133,0
calibration,Plantago media,0,115
calibration,Polycalymma stuartii,134,0
calibration,Polygala comosa,131,0
calibration,Portulaca suffrutescens,0,138
calibration,Potentilla concinna,0,137
calibration,Potentilla indica,132,0
calibration,Potentilla simplex,134,0
calibration,Primula elatior,0,144
calibration,Prunus mahaleb,127,0
calibration,Pseudo-fumaria lutea,139,0
calibration,Pseudognaphalium affine,141,0
calibration,Pulmonaria obscura,133,0
calibration,Pultenaea villosa,0,141
calibration,Purshia stansburyana,0,143
calibration,Pycnanthemum virginianum,0,121
calibration,Pyrola elliptica,136,0
calibration,Ranunculus kuepferi,115,0
calibration,Ranunculus lyallii,128,0
calibration,Ranunculus trichophyllus,134,0
calibration,Ranunculus uncinatus,0,125
calibration,Rhododendron canadense,0,139
calibration,Rhododendron catawbiense,0,129
calibration,Rhododendron pseudochrysanthum,0,150
calibration,Rhododendron tomentosum,147,0
calibration,Rhynchospora colorata,0,133
calibration,Rorippa palustris,0,123
calibration,Rosa blanda,0,132
calibration,Rosa multiflora,137,0
calibration,Rubus chamaemorus,128,0
calibration,Rubus odoratus,0,136
calibration,Rubus trivialis,0,131
calibration,Rudbeckia triloba,0,134
calibration,Sagittaria lancifolia,136,0
calibration,Sagittaria latifolia,0,141
calibration,Sairocarpus pusillus,117,0
calibration,Salvia amarissima,142,0
calibration,Salvia hispanica,0,142
calibration,Salvia lavanduloides,0,132
calibration,Salvia polystachia,136,0
calibration,Salvia prunelloides,135,0
calibration,Salvia verticillata,0,148
calibration,Sambucus mexicana,132,0
calibration,Sanguinaria canadensis,147,0
calibration,Satureja montana,144,0
calibration,Saxifraga granulata,134,0
calibration,Saxifraga tridactylites,0,136
calibration,Scilla bifolia,0,131
calibration,Scilla luciliae,0,141
calibration,Scilla verna,149,0
calibration,Senecio mohavensis,146,0
calibration,Senecio ovatus,0,122
calibration,Senecio triangularis,126,0
calibration,Senecio vernalis,0,146
calibration,Senegalia berlandieri,126,0
calibration,Senna artemisioides,142,0
calibration,Senna hebecarpa,146,0
calibration,Sericocarpus linifolius,134,0
calibration,Sesbania drummondii,0,133
calibration,Sidalcea candida,129,0
calibration,Sideranthus spinulosus,0,138
calibration,Sisymbrium irio,0,135
calibration,Sixalix atropurpurea,0,126
calibration,Solanum crispum,131,0
calibration,Solanum elaeagnifolium,133,0
calibration,Solanum furcatum,0,140
calibration,Solanum laxum,139,0
calibration,Solanum lycopersicum,124,0
calibration,Solanum pseudocapsicum,146,0
calibration,Solidago ptarmicoides,0,139
calibration,Solidago uliginosa,143,0
calibration,Solidago virgaurea,0,143
calibration,Sparaxis tricolor,137,0
calibration,Sphaeralcea ambigua,0,143
calibration,Sphaeralcea coccinea,0,136
calibration,Stachys palustris,139,0
calibration,Stevia serrata,0,130
calibration,Streptosolen jamesonii,0,136
calibration,Stypandra glauca,0,128
calibration,Symphyotrichum puniceum,0,151
calibration,Symphyotrichum subulatum,136,0
calibration,Symphytum officinale,146,0
calibration,Symplocos tinctoria,135,0
calibration,Talinum fruticosum,0,135
calibration,Talinum paniculatum,120,0
calibration,Tanacetum vulgare,0,129
calibration,Taraxacum erythrospermum,0,121
calibration,Telekia speciosa,0,132
calibration,Tetratheca thymifolia,0,133
calibration,Thysanocarpus curvipes,142,0
calibration,Tiarella stolonifera,0,148
calibration,Tinantia erecta,0,136
calibration,Tithonia tubaeformis,122,0
calibration,Trachymene composita,0,133
calibration,Tragopogon porrifolius,0,149
calibration,Trifolium incarnatum,133,0
calibration,Trifolium repens,0,153
calibration,Tripolium pannonicum,0,130
calibration,Triteleia laxa,126,0
calibration,Trixis inula,132,0
calibration,Trollius albiflorus,0,151
calibration,Turnera subulata,123,0
calibration,Verbascum thapsus,0,139
calibration,Verbena rigida,0,119
calibration,Veronica cymbalaria,144,0
calibration,Veronica longifolia,0,138
calibration,Veronica officinalis,0,145
calibration,Veronica polita,0,140
calibration,Veronica prostrata,135,0
calibration,Veronica spicata,133,0
calibration,Vicia lathyroides,0,141
calibration,Viminaria juncea,0,140
calibration,Vincetoxicum hirundinaria,131,0
calibration,Viola blanda,0,147
calibration,Viola cucullata,0,118
calibration,Viola hirta,144,0
calibration,Viola lutea,137,0
calibration,Viola mirabilis,132,0
calibration,Viola pedunculata,0,139
calibration,Viola rostrata,0,137
calibration,Viola tricolor,125,0
calibration,Viscaria vulgaris,139,0
calibration,Vitex agnus-castus,0,143
calibration,Whipplea modesta,140,0
calibration,Wyethia angustifolia,0,128
calibration,Zanthoxylum americanum,122,0
calibration,Zephyranthes atamasco,0,144
evaluation,Acacia linifolia,135,0
evaluation,Acacia ulicifolia,140,0
evaluation,Aciphylla glacialis,0,135
evaluation,Aconitum delphiniifolium,135,0
evaluation,Aconitum tauricum,140,0
evaluation,Adoxa moschatellina,0,129
evaluation,Aegopodium podagraria,0,158
