min_classifiable_photos,min_h1_cells,min_morph_levels,eligible_species,eligible_photos,median_photos_per_eligible_species,median_cells_per_eligible_species
3,2,1,655,4598,5.0,3.0
3,2,2,329,2882,6.0,4.0
3,3,1,497,3996,5.0,4.0
3,3,2,272,2645,6.0,4.0
3,5,1,197,2643,9.0,7.0
3,5,2,133,1979,10.0,7.0
5,2,1,335,3527,7.0,5.0
5,2,2,204,2456,8.0,6.0
5,3,1,303,3326,8.0,5.0
5,3,2,188,2350,8.5,6.0
5,5,1,197,2643,9.0,7.0
5,5,2,133,1979,10.0,7.0
10,2,1,108,2083,15.0,9.0
10,2,2,81,1646,16.0,10.0
10,3,1,106,2060,15.0,9.0
10,3,2,80,1635,16.0,10.0
10,5,1,96,1935,16.0,10.0
10,5,2,74,1557,17.0,10.0
20,2,1,35,1143,28.0,15.0
20,2,2,30,980,26.5,15.0
20,3,1,35,1143,28.0,15.0
20,3,2,30,980,26.5,15.0
20,5,1,34,1123,29.0,15.0
20,5,2,29,960,27.0,15.0
