model,world,amplitude,shared_fraction,threshold_sd,count,replicates,rate,wilson95_low,wilson95_high,threshold,mean_score,mean_train_fraction,axis_concentration,common_threshold
linear_logit_joint_train,no_structure,0.0,0.0,0.0,7,250,0.028,0.013628058600839217,0.05665777612286046,0.0019949324748096,-1.0059256385947298e-05,0.5236583211296922,,
linear_logit_joint_train,environmental_independent,0.5,0.0,0.0,1,250,0.004,0.0007064475340650966,0.02230578556541592,0.0019949324748096,-0.0002594433103441788,0.44593673274426976,,
linear_logit_joint_train,environmental_independent,1.0,0.0,0.0,1,250,0.004,0.0007064475340650966,0.02230578556541592,0.0019949324748096,-0.0007068407561749695,0.3481250915860575,,
linear_logit_joint_train,environmental_independent,2.0,0.0,0.0,7,250,0.028,0.013628058600839217,0.05665777612286046,0.0019949324748096,-0.0008560250295933361,0.2516601815856239,,
linear_logit_joint_train,geographic_independent,2.0,0.0,0.0,7,250,0.028,0.013628058600839217,0.05665777612286046,0.0019949324748096,-0.003169601669203874,0.37991382284709757,,
linear_logit_joint_train,mixed_independent,2.0,0.0,0.0,3,250,0.012,0.0040893198805342975,0.0346807804270196,0.0019949324748096,-0.001197344358071572,0.2944038436171354,,
linear_logit_joint_train,environmental_independent_shifted,0.5,0.0,0.5,1,250,0.004,0.0007064475340650966,0.02230578556541592,0.0019949324748096,-0.00039505068502462625,0.4455899206775248,,
linear_logit_joint_train,environmental_independent_shifted,1.0,0.0,0.5,1,250,0.004,0.0007064475340650966,0.02230578556541592,0.0019949324748096,-0.0009045334613767864,0.3658676588960028,,
linear_logit_joint_train,environmental_independent_shifted,2.0,0.0,0.5,7,250,0.028,0.013628058600839217,0.05665777612286046,0.0019949324748096,-0.0008047047721016564,0.26656487579635346,,
linear_logit_joint_train,support_aligned_independent,1.0,0.0,0.5,3,250,0.012,0.0040893198805342975,0.0346807804270196,0.0019949324748096,-0.0008129885612193721,0.38696986030619057,,
linear_logit_joint_train,directionally_clustered_independent,1.0,0.0,0.5,4,250,0.016,0.006239224570471175,0.04040980934111918,0.0019949324748096,-0.0004880390560128056,0.37184983726900467,2.0,
linear_logit_joint_train,nonlinear_independent,1.0,0.0,0.5,4,250,0.016,0.006239224570471175,0.04040980934111918,0.0019949324748096,-0.0007524613300280364,0.36284784032558526,,
linear_logit_joint_train,environmental_shared_shifted,1.0,0.25,0.5,4,250,0.016,0.006239224570471175,0.04040980934111918,0.0019949324748096,-0.0007571175026010472,0.3684300308936922,,
linear_logit_joint_train,environmental_shared_shifted,1.0,0.5,0.5,18,250,0.072,0.04602556925826497,0.11092853510983557,0.0019949324748096,-0.00029484362203606484,0.4097789536939583,,
linear_logit_joint_train,environmental_shared_shifted,1.0,1.0,0.5,104,250,0.416,0.35662335915134685,0.47791903516388773,0.0019949324748096,0.0016378164488344464,0.5174865025021618,,
linear_logit_joint_train,environmental_shared_shifted,1.0,1.0,1.0,22,250,0.088,0.05883135595378163,0.12963848283046467,0.0019949324748096,-0.00022132932187553472,0.41747104365950677,,
linear_logit_joint_train,environmental_shared_shifted,2.0,1.0,0.5,151,250,0.604,0.5422420845485156,0.6626101891564318,0.0019949324748096,0.0037348681488663608,0.5192044556074868,,
linear_logit_joint_train,environmental_shared_common_offset,1.0,1.0,0.0,21,250,0.084,0.05559603876664466,0.12499486641356522,0.0019949324748096,-0.0018141637001475555,0.5123811876096365,,0.5
linear_logit_joint_train_intercept_marginal,no_structure,0.0,0.0,0.0,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0011908763265869,-0.00010019854889167599,0.497469973597346,,
linear_logit_joint_train_intercept_marginal,environmental_independent,0.5,0.0,0.0,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0011908763265869,-0.00013839604950438965,0.4863926554625485,,
linear_logit_joint_train_intercept_marginal,environmental_independent,1.0,0.0,0.0,5,250,0.02,0.008572324384058198,0.045955643131568594,0.0011908763265869,-0.00033941402533971385,0.44433623175520226,,
linear_logit_joint_train_intercept_marginal,environmental_independent,2.0,0.0,0.0,5,250,0.02,0.008572324384058198,0.045955643131568594,0.0011908763265869,-0.0008113634489846183,0.33444863294682686,,
linear_logit_joint_train_intercept_marginal,geographic_independent,2.0,0.0,0.0,2,250,0.008,0.0021966371203094217,0.02869452958320804,0.0011908763265869,-0.0005810047989771967,0.42977408042509263,,
linear_logit_joint_train_intercept_marginal,mixed_independent,2.0,0.0,0.0,6,250,0.024,0.01104477730613677,0.051362123813526464,0.0011908763265869,-0.0005377910941770207,0.38118424855297417,,
linear_logit_joint_train_intercept_marginal,environmental_independent_shifted,0.5,0.0,0.5,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0011908763265869,-0.00013192433480874088,0.48574807017946275,,
linear_logit_joint_train_intercept_marginal,environmental_independent_shifted,1.0,0.0,0.5,2,250,0.008,0.0021966371203094217,0.02869452958320804,0.0011908763265869,-0.00031269531499508474,0.44868764521464183,,
linear_logit_joint_train_intercept_marginal,environmental_independent_shifted,2.0,0.0,0.5,3,250,0.012,0.0040893198805342975,0.0346807804270196,0.0011908763265869,-0.0006773545281581009,0.3540782377872605,,
linear_logit_joint_train_intercept_marginal,support_aligned_independent,1.0,0.0,0.5,4,250,0.016,0.006239224570471175,0.04040980934111918,0.0011908763265869,-0.0002762458171299132,0.4449044009258919,,
linear_logit_joint_train_intercept_marginal,directionally_clustered_independent,1.0,0.0,0.5,4,250,0.016,0.006239224570471175,0.04040980934111918,0.0011908763265869,-0.0001548336379757371,0.45993508279702505,2.0,
linear_logit_joint_train_intercept_marginal,nonlinear_independent,1.0,0.0,0.5,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0011908763265869,-0.0003932561903475267,0.45489094817958026,,
linear_logit_joint_train_intercept_marginal,environmental_shared_shifted,1.0,0.25,0.5,3,250,0.012,0.0040893198805342975,0.0346807804270196,0.0011908763265869,-0.0002337415333986931,0.457606591362444,,
linear_logit_joint_train_intercept_marginal,environmental_shared_shifted,1.0,0.5,0.5,25,250,0.1,0.06865492898829106,0.14345171060806458,0.0011908763265869,0.0001776227520011111,0.4777450614688179,,
linear_logit_joint_train_intercept_marginal,environmental_shared_shifted,1.0,1.0,0.5,164,250,0.656,0.5951531877270251,0.7121252228303963,0.0011908763265869,0.0017211386026601992,0.579643118705641,,
linear_logit_joint_train_intercept_marginal,environmental_shared_shifted,1.0,1.0,1.0,53,250,0.212,0.16588954792475988,0.26682723258461616,0.0011908763265869,0.0006058277620619797,0.514050774238464,,
linear_logit_joint_train_intercept_marginal,environmental_shared_shifted,2.0,1.0,0.5,250,250,1.0,0.9848667005045553,0.9999999999999998,0.0011908763265869,0.008464594878788197,0.7794104974191465,,
linear_logit_joint_train_intercept_marginal,environmental_shared_common_offset,1.0,1.0,0.0,144,250,0.576,0.5140449538388132,0.6356547846378791,0.0011908763265869,0.0015094630510765928,0.5715040473877053,,0.5
saturating_probit_joint_train_intercept_marginal,no_structure,0.0,0.0,0.0,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0010862996919428,-3.8215286654147866e-05,0.49681961327581986,,
saturating_probit_joint_train_intercept_marginal,environmental_independent,0.5,0.0,0.0,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0010862996919428,-8.719935307292486e-05,0.48926611232409706,,
saturating_probit_joint_train_intercept_marginal,environmental_independent,1.0,0.0,0.0,4,250,0.016,0.006239224570471175,0.04040980934111918,0.0010862996919428,-0.0002950966430856027,0.45258250750324025,,
saturating_probit_joint_train_intercept_marginal,environmental_independent,2.0,0.0,0.0,9,250,0.036,0.019053279530003277,0.06699042240176928,0.0010862996919428,-0.0007845111774039171,0.3536626434753403,,
saturating_probit_joint_train_intercept_marginal,geographic_independent,2.0,0.0,0.0,3,250,0.012,0.0040893198805342975,0.0346807804270196,0.0010862996919428,-0.0004827522548437491,0.44714761604098363,,
saturating_probit_joint_train_intercept_marginal,mixed_independent,2.0,0.0,0.0,8,250,0.032,0.01630236549364963,0.06186240283408649,0.0010862996919428,-0.0004845290648555061,0.40052915359226327,,
saturating_probit_joint_train_intercept_marginal,environmental_independent_shifted,0.5,0.0,0.5,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0010862996919428,-7.395987121415955e-05,0.48989140607452974,,
saturating_probit_joint_train_intercept_marginal,environmental_independent_shifted,1.0,0.0,0.5,1,250,0.004,0.0007064475340650966,0.02230578556541592,0.0010862996919428,-0.0002432664755460066,0.458060817179238,,
saturating_probit_joint_train_intercept_marginal,environmental_independent_shifted,2.0,0.0,0.5,2,250,0.008,0.0021966371203094217,0.02869452958320804,0.0010862996919428,-0.0006552804444610124,0.37362829121980257,,
