deleted_group,removed_cells,retained_cells,removed_opportunity_fraction,status,observed_concentration,mean_null_concentration,concentration_excess,observed_to_null_mean_ratio,excess_change_from_full_domain,positive_excess
FULL_DOMAIN,0,367,0.0,complete_descriptive_only,0.00014981493311530056,0.00012289946817284724,2.691546494245332e-05,1.219004),0.0,True
Afrotropic,10,357,0.008310655698640264,complete_descriptive_only,9.986532028776337e-05,0.00012115736854467454,-2.1292048256911173e-05,0.8242612324728243,-4.8207513199364495e-05,False
Antarctic,0,367,0.0,not_evaluable_no_evaluable_cells,,,,,,
Australasia,40,327,0.05191194577585282,complete_descriptive_only,0.00014665550195607823,0.00012074476945564466,2.5910732500433576e-05,1.214591621648473,-1.0047324420197448e-06,True
Indomalaya,9,358,0.014527668346120169,complete_descriptive_only,0.00014972369191116456,0.00012317236548853293,2.6551326422631633e-05,1.2155623756348655,-3.6413851982168766e-07,True
Nearctic,65,302,0.500629230543104,complete_descriptive_only,0.00018052955022253099,0.00014716521481056778,3.3364335411963204e-05,1.2267134707094571,6.448870469509883e-06,True
Neotropic,25,342,0.029901594359474426,complete_descriptive_only,0.00014169514893395625,0.00011461004353825414,2.708510539570211e-05,1.2363240127709179,1.696404532487883e-07,True
Oceania,1,366,0.00012270755453291252,complete_descriptive_only,0.00014985309706437923,0.00012289480895800272,2.6958288106376518e-05,1.219360672233959,4.282316392319792e-08,True
Palearctic,82,285,0.16322759140851079,complete_descriptive_only,0.00016414606917961712,0.00013377632957522983,3.036973960438729e-05,1.22701728925008,3.4542746619339704e-06,True
UNASSIGNED,135,232,0.23136860631376477,complete_descriptive_only,0.0001559655439227683,0.00011988908633060778,3.607645759216051e-05,1.3009148604830956,9.160992649707189e-06,True
