cell_id,raw_photos,classifiable_photos,mixed_uncertain_photos,mixed_uncertain_fraction,species,top_species,top_species_photos,top_species_fraction
0,0,0,0,,0,,0,
1,0,0,0,,0,,0,
2,0,0,0,,0,,0,
3,0,0,0,,0,,0,
4,0,0,0,,0,,0,
5,200,89,111,0.555,104,Olsynium biflorum,9,0.045
6,87,43,44,0.5057471264367817,37,Oxalis enneaphylla,16,0.1839080459770115
7,33,15,18,0.5454545454545454,18,Acaena magellanica,6,0.18181818181818182
8,0,0,0,,0,,0,
9,0,0,0,,0,,0,
10,0,0,0,,0,,0,
11,0,0,0,,0,,0,
12,0,0,0,,0,,0,
13,0,0,0,,0,,0,
14,0,0,0,,0,,0,
15,0,0,0,,0,,0,
16,42,17,25,0.5952380952380952,9,Pleurophyllum hookeri,12,0.2857142857142857
17,200,79,121,0.605,40,Pleurophyllum speciosum,23,0.115
18,200,69,131,0.655,124,Disphyma papillatum,10,0.05
19,0,0,0,,0,,0,
20,0,0,0,,0,,0,
21,0,0,0,,0,,0,
22,1,0,1,1.0,1,Wahlenbergia tuberosa,1,1.0
23,200,96,104,0.52,168,Lapageria rosea,7,0.035
24,200,98,102,0.51,132,Tillandsia aeranthos,6,0.03
25,0,0,0,,0,,0,
26,1,0,1,1.0,1,Lagenophora nudicaulis,1,1.0
27,200,101,99,0.495,154,Oxalis purpurea,8,0.04
28,200,92,108,0.54,160,Protea cynaroides,5,0.025
29,3,1,2,0.6666666666666666,2,Leptinella plumosa,2,0.6666666666666666
30,9,5,4,0.4444444444444444,7,Pringlea antiscorbutica,2,0.2222222222222222
31,0,0,0,,0,,0,
32,200,91,109,0.545,165,Drosera pallida,4,0.02
33,200,81,119,0.595,143,Caladenia tentaculata,10,0.05
34,200,96,104,0.52,170,Pterostylis nutans,4,0.02
35,200,102,98,0.49,170,Pterostylis banksii,4,0.02
36,43,17,26,0.6046511627906976,37,Scaevola taccada,2,0.046511627906976744
37,65,24,41,0.6307692307692307,40,Metrosideros collina,9,0.13846153846153847
38,7,3,4,0.5714285714285714,6,Metrosideros collina,2,0.2857142857142857
39,17,11,6,0.35294117647058826,8,Asclepias curassavica,9,0.5294117647058824
40,0,0,0,,0,,0,
41,200,98,102,0.51,157,Vachellia caven,8,0.04
42,200,77,123,0.615,169,Asclepias curassavica,5,0.025
43,13,3,10,0.7692307692307693,11,Cereus fernambucensis,2,0.15384615384615385
44,0,0,0,,0,,0,
45,200,90,110,0.55,159,Oxalis obtusa,15,0.075
46,200,87,113,0.565,160,Aloe ferox,7,0.035
47,200,94,106,0.53,152,Lantana camara,6,0.03
48,13,7,6,0.46153846153846156,12,Sphagneticola trilobata,2,0.15384615384615385
49,0,0,0,,0,,0,
50,200,99,101,0.505,172,Drosera menziesii,3,0.015
51,200,91,109,0.545,156,Ptilotus exaltatus,7,0.035
52,200,100,100,0.5,160,Grevillea speciosa,4,0.02
53,200,70,130,0.65,148,Megastylis gigas,6,0.03
54,105,41,64,0.6095238095238096,72,Hedychium flavescens,4,0.0380952380952381
55,147,60,87,0.5918367346938775,74,Metrosideros collina,21,0.14285714285714285
56,10,5,5,0.5,9,Catharanthus roseus,2,0.2
57,0,0,0,,0,,0,
58,0,0,0,,0,,0,
59,200,98,102,0.51,170,Nicotiana glauca,4,0.02
60,200,80,120,0.6,162,Tabebuia aurea,4,0.02
61,200,87,113,0.565,173,Ipomoea asarifolia,4,0.02
62,25,14,11,0.44,16,Nicotiana glauca,4,0.16
63,200,91,109,0.545,154,Orthochilus aurantiacus,6,0.03
64,200,89,111,0.555,170,Gloriosa superba,5,0.025
65,200,91,109,0.545,157,Sphagneticola trilobata,4,0.02
66,133,66,67,0.5037593984962406,62,Scaevola taccada,13,0.09774436090225563
67,22,7,15,0.6818181818181818,17,Scaevola taccada,3,0.13636363636363635
68,200,104,96,0.48,121,Synedrella nodiflora,9,0.045
69,200,89,111,0.555,138,Utricularia chrysantha,8,0.04
70,200,90,110,0.55,152,Pseuderanthemum variabile,7,0.035
71,200,86,114,0.57,126,Ageratum conyzoides,6,0.03
72,2,1,1,0.5,2,Barringtonia asiatica,1,0.5
73,0,0,0,,0,,0,
74,0,0,0,,0,,0,
75,0,0,0,,0,,0,
76,200,84,116,0.58,103,Cordia lutea,21,0.105
77,200,76,124,0.62,173,Thunbergia alata,3,0.015
78,200,81,119,0.595,180,Momordica charantia,3,0.015
79,200,88,112,0.56,143,Turnera subulata,12,0.06
80,137,63,74,0.5401459854014599,87,Mimosa pudica,7,0.051094890510948905
81,200,98,102,0.51,146,Oxalis barrelieri,13,0.065
82,200,89,111,0.555,156,Commelina benghalensis,10,0.05
83,133,66,67,0.5037593984962406,69,Turnera ulmifolia,12,0.09022556390977443
84,94,39,55,0.5851063829787234,60,Gloriosa superba,6,0.06382978723404255
85,200,87,113,0.565,119,Catharanthus roseus,16,0.08
86,200,81,119,0.595,151,Turnera subulata,7,0.035
87,200,90,110,0.55,134,Spathoglottis plicata,8,0.04
88,101,54,47,0.46534653465346537,65,Impatiens hawkeri,9,0.0891089108910891
89,5,3,2,0.4,5,Phragmites karka,1,0.2
90,43,15,28,0.6511627906976745,34,Flaveria trinervia,2,0.046511627906976744
91,200,80,120,0.6,97,Metrosideros polymorpha,20,0.1
92,0,0,0,,0,,0,
93,200,83,117,0.585,143,Salvia lavanduloides,7,0.035
94,200,92,108,0.54,181,Asclepias curassavica,4,0.02
95,200,84,116,0.58,174,Hillia parasitica,4,0.02
96,89,33,56,0.6292134831460674,59,Calotropis procera,8,0.0898876404494382
97,108,45,63,0.5833333333333334,54,Argemone mexicana,9,0.08333333333333333
98,200,70,130,0.65,130,Adansonia digitata,7,0.035
99,200,79,121,0.605,117,Calotropis procera,13,0.065
100,199,105,94,0.4723618090452261,126,Argemone ochroleuca,7,0.035175879396984924
101,200,93,107,0.535,151,Monolluma socotrana,8,0.04
102,200,76,124,0.62,171,Gloriosa superba,8,0.04
103,200,94,106,0.53,140,Gloriosa superba,7,0.035
104,200,87,113,0.565,137,Tridax procumbens,7,0.035
105,200,100,100,0.5,136,Tridax procumbens,11,0.055
106,200,95,105,0.525,128,Mimosa pudica,5,0.025
107,17,9,8,0.47058823529411764,14,Scaevola taccada,3,0.17647058823529413
108,14,8,6,0.42857142857142855,10,Canavalia cathartica,3,0.21428571428571427
109,200,86,114,0.57,118,Sida fallax,8,0.04
110,0,0,0,,0,,0,
111,200,100,100,0.5,167,Calochortus splendens,4,0.02
112,200,107,93,0.465,166,Nothoscordum bivalve,3,0.015
113,200,96,104,0.52,154,Hydrocotyle bonariensis,10,0.05
114,0,0,0,,0,,0,
115,0,0,0,,0,,0,
116,200,90,110,0.55,160,Echium brevirame,4,0.02
117,118,41,77,0.652542372881356,92,Solenostemma arghel,4,0.03389830508474576
118,200,97,103,0.515,138,Hyoscyamus aureus,8,0.04
119,200,83,117,0.585,115,Calotropis procera,12,0.06
120,200,98,102,0.51,154,Calotropis procera,7,0.035
121,200,92,108,0.54,176,Primula strumosa,5,0.025
122,200,86,114,0.57,153,Rhaphiolepis indica,7,0.035
123,200,104,96,0.48,162,Bidens alba,7,0.035
124,9,5,4,0.4444444444444444,8,Leucaena leucocephala,2,0.2222222222222222
125,0,0,0,,0,,0,
126,0,0,0,,0,,0,
127,0,0,0,,0,,0,
128,200,105,95,0.475,168,Eschscholzia californica,5,0.025
129,200,116,84,0.42,173,Fritillaria pudica,4,0.02
130,200,127,73,0.365,146,Trillium grandiflorum,6,0.03
131,200,104,96,0.48,142,Sanguinaria canadensis,6,0.03
132,200,115,85,0.425,95,Kalmia angustifolia,11,0.055
133,200,109,91,0.455,93,Azorina vidalii,17,0.085
134,200,102,98,0.49,179,Ficaria verna,4,0.02
135,200,109,91,0.455,170,Vinca minor,4,0.02
136,200,115,85,0.425,172,Malva sylvestris,4,0.02
137,200,106,94,0.47,162,Lathyrus tuberosus,8,0.04
138,200,130,70,0.35,147,Tulipa patens,7,0.035
139,200,124,76,0.38,148,Viola altaica,20,0.1
140,200,118,82,0.41,165,Rehmannia glutinosa,6,0.03
141,200,118,82,0.41,131,Oenothera rosea,10,0.05
142,200,94,106,0.53,131,Trifolium pratense,12,0.06
143,0,0,0,,0,,0,
144,200,118,82,0.41,100,Kalmia procumbens,14,0.07
145,200,97,103,0.515,114,Fritillaria camschatcensis,13,0.065
146,200,95,105,0.525,124,Chamaenerion angustifolium,16,0.08
147,200,102,98,0.49,133,Pulsatilla nuttalliana,11,0.055
148,200,107,93,0.465,120,Chamaenerion angustifolium,10,0.05
149,200,107,93,0.465,67,Chamaenerion latifolium,14,0.07
150,200,91,109,0.545,100,Chamaenerion latifolium,12,0.06
151,200,105,95,0.475,86,Mertensia maritima,14,0.07
152,200,116,84,0.42,115,Ficaria verna,14,0.07
153,200,109,91,0.455,149,Alliaria petiolata,5,0.025
154,200,122,78,0.39,138,Cichorium intybus,6,0.03
155,200,131,69,0.345,150,Lathyrus tuberosus,12,0.06
156,200,125,75,0.375,133,Tripleurospermum inodorum,6,0.03
157,200,108,92,0.46,149,Tussilago farfara,6,0.03
