species,main__thermal_regime,main__water_balance,main__atmospheric_energy_dryness,main__edaphic_regime,main__terrain_structure,interaction__thermal_regime_x_water_balance,interaction__thermal_regime_x_atmospheric_energy_dryness,interaction__thermal_regime_x_edaphic_regime,interaction__thermal_regime_x_terrain_structure,interaction__water_balance_x_atmospheric_energy_dryness,interaction__water_balance_x_edaphic_regime,interaction__water_balance_x_terrain_structure,interaction__atmospheric_energy_dryness_x_edaphic_regime,interaction__atmospheric_energy_dryness_x_terrain_structure,interaction__edaphic_regime_x_terrain_structure
Acacia linifolia,0.026018071327862595,-0.02872714090100939,-0.028722883806988408,0.10485507855470393,-0.023479768931083174,-0.0015550191499933382,-0.06179630441497974,-0.08853990319167228,0.05648400600470507,-0.005600587690060468,-0.07718828547038824,-0.0689961425167165,-0.002611927275585698,0.010817769725332977,-0.08413433172086895
Acacia ulicifolia,-0.006623884884867314,0.05399981498250532,-0.04696701373416588,0.08667284140237479,0.08235802405383615,0.05146436189519918,-0.019964729175693714,-0.02078682067647737,-0.03350706219307104,0.003461080045045066,0.05009895955558246,0.05067509984168466,0.046713753668166214,-0.020477163093077108,0.10526979881072787
Aciphylla glacialis,-0.03888112737951979,-0.029752793970386677,-0.023064791046238865,-0.05277479740166831,-0.07391188980862945,0.021201688659645605,-0.011833730686818507,-0.00558148941990089,-0.012436122288269206,0.03291995253998986,-0.0467404620072011,-0.007711521172513488,0.0204555415667247,0.014681104809563899,-0.07364904292391562
Aconitum delphiniifolium,-0.10718401171170759,-0.05591771751715317,-0.04735276839699089,0.04239034281736941,-0.052697319020242495,-0.02798744893541278,0.052134468602645846,0.147725970432727,0.07951226350734177,-0.008421216308777763,0.08094097444405335,-0.07546567242837868,0.053548029850302076,0.09797561747471313,0.08860662253788815
Aconitum tauricum,0.04788533274287127,-0.14752125782374675,-0.12010091769920027,-0.1776872380243833,-0.0063114168104220865,-0.026174733502590627,0.06059609706418163,-0.05945602836680674,0.06327369458341116,0.031372728899202534,-0.022977702842856537,0.10132962970999353,-0.03398354633777505,0.0546390370974913,0.03370013577788966
Adoxa moschatellina,-0.017661313907364053,-0.0682186884811079,-0.07718529577308929,0.015766409121806123,-0.07536802614381327,0.01620821319708285,-0.0024242064952830007,-0.10981129955597832,-0.08881896335112835,0.006096259565940286,-0.20325836815587411,0.01989420784465515,-0.10789458656618549,-0.009122346275477677,-0.07072049906768003
Aegopodium podagraria,-0.06299734660471366,-0.03148532574639405,0.05032820258100325,-0.061940616795610234,-0.07918211874599486,-0.0017218948671395371,-0.007339538578148923,0.1168450989162217,-0.01770645411656244,-0.008942068993177014,0.022685535304277978,-0.04983673279300523,0.10352169590283145,0.06663467862220106,0.02277499429182478
Agapanthus praecox,0.030045576555080986,0.006338905514351118,-0.02274247502615607,0.14939215113016632,0.019774691263202197,0.02539634779203069,0.04909402907994688,0.08452350650188357,-0.03134601364244085,-0.12317348023684133,-0.057319428595481156,0.008265267205180305,-0.09514991093989753,-0.013278014253005205,-0.034321813704019294
Ageratina havanensis,0.05825992205464282,0.042142654514436176,-0.08409922501281053,0.07826599650658564,0.04606344977431385,0.09861038400243402,0.00675139840172418,-0.01540788983748949,0.01018582674678286,0.015532217034917271,-0.037937359347049594,0.10013133973688425,-0.08540780022166791,0.05138872723861964,-0.023423462968994717
Agrostemma githago,0.057398507218834736,0.1155243711571353,-0.06162447191141147,-0.07011521755022941,0.06405163334465791,-0.002279278692665292,0.015446631115680147,-0.06513401915994053,-0.08870929869607354,-0.0038983946864474617,0.01170571234497905,-0.011832762668720642,0.01695954402854139,-0.10604424375295399,-0.008041617837045415
