species,photos,pairs,geographic_distance_min_km,geographic_distance_max_km,colour_jsd_min,colour_jsd_max
Acacia linifolia,48,1128,1.3882841658640916,156.06868871263296,9.055359773813388e-07,0.9764170298888756
Acacia ulicifolia,76,2850,15.465933196993973,1875.9800147465185,2.0067854937931453e-07,0.9660385512966314
Aciphylla glacialis,79,3081,0.0982879752367826,193.7852021303619,5.812397632721838e-07,0.8881117994123767
Aconitum delphiniifolium,59,1711,24.311551484186428,5123.226765436888,9.784502909333684e-07,0.7971606893137765
Aconitum tauricum,56,1540,1.6034830397967017,466.9738707433433,0.0001166752105109,1.0
Adoxa moschatellina,44,946,158.30203929538158,10944.95872916579,0.0,1.0
Aegopodium podagraria,80,3160,168.75199516899218,19340.302654138417,0.0,0.3250977198556446
Agapanthus praecox,53,1378,30.154233147763275,19620.42501024094,1.7828207114902437e-05,1.0
Ageratina havanensis,70,2415,1.710856833153006,2975.5175105903413,1.076979006101503e-07,0.2730599159625254
Agrostemma githago,53,1378,84.84331001780176,10346.875574124764,0.0001938878751361,0.9840312247252626
Ajuga genevensis,49,1176,110.82970775099952,9374.600916958176,0.0002722655001995,0.9574963041434584
Alchemilla alpina,54,1431,2.865760051465044,4389.715337688689,5.465138233587028e-08,0.7512415953217662
Allium drummondii,63,1953,5.211928418406357,980.5832027106376,1.5176687791657771e-05,0.9876560156357304
Allium praecox,65,2080,3.002095599469783,427.25715940565846,7.835925346774973e-05,0.9892616286730888
Allium schoenoprasum,50,1225,228.89654421946796,19836.251880096508,0.0010568155127285,0.9074685364460428
Allium tuberosum,67,2211,48.45499853477284,19735.011156654225,5.7483285600359285e-09,0.9538846391078534
Althaea officinalis,59,1711,84.63897516135825,10778.658783399023,9.684511190224162e-05,0.9764323984692972
Alyxia buxifolia,45,990,0.2125524966556445,3458.8529781819766,1.0148099736404736e-08,1.0
Amsinckia tessellata,70,2415,8.121530157938599,1684.9458011678428,0.0,0.8345784806405203
Anchusa arvensis,50,1225,126.97839260395207,10125.718387954936,2.9820400791963263e-05,0.9988090721923658
Andromeda polifolia,51,1275,244.2326589129911,9522.978634532668,0.0002282952994346,0.9560669102734148
Androsace villosa,78,3003,1.3748078903105898,4329.910067385282,2.394412102087228e-06,0.3854156669848496
Andryala integrifolia,69,2346,32.15406765911507,2745.997440745754,0.0,0.9059954034463822
Anemone pavonina,45,990,15.316604511777143,778.0023616345063,0.0006512614158102,0.9988412579389542
Anemonoides blanda,52,1326,112.67245009448014,11506.667807104066,5.487197452534486e-05,1.0
Anemonoides quinquefolia,48,1128,72.91852304043663,2720.0564183662564,0.0,0.9955605950275856
Antennaria dioica,66,2145,118.95412208353976,9541.666071896858,0.0,0.7912934862299295
Aquilegia coerulea,44,946,3.7995224017548295,726.8946063019054,2.257110427699945e-06,1.0
Asclepias incarnata,49,1176,111.65666411730182,4177.906849153719,8.998533077480079e-05,0.8831757657069235
Asclepias ovalifolia,58,1653,1.0610340376900311,1717.4436205703885,1.6618661973559986e-09,0.6522186408214512
Asclepias perennis,70,2415,38.42708416351609,1747.553647928794,0.0,0.353271918668378
Asclepias quadrifolia,66,2145,50.56252285898878,2248.517408047725,6.341659522036063e-07,0.7043745409974471
Asclepias viridis,40,780,56.348566429650965,2135.3158853002988,8.728134872240748e-05,0.9972381523613164
Astragalus glycyphyllos,42,861,66.46094102627141,5375.708972399669,0.0,1.0
Austroflourensia thurifera,56,1540,6.7273178636232975,749.2188414067674,0.0,0.4051331384505943
Baptisia australis,75,2775,66.8902765931568,2638.572188253598,0.0001390975225284,0.83470957949899
Baptisia tinctoria,75,2775,15.086052252640648,1348.4697369558482,0.0,0.2326752142594071
Barbarea orthoceras,71,2485,0.3827017302052531,12074.044821025887,0.0,0.4103180171648394
Bellis annua,80,3160,13.38224644836384,4057.951460203175,4.021028624344317e-07,0.9926858020011567
Bidens aristosa,78,3003,14.36882162116984,2182.2260610445933,0.0,0.7650617487704621
Bidens bipinnata,62,1891,76.85326008394263,17269.8774983607,0.0,1.0
Bidens cernua,64,2016,163.3403160173259,10170.01633913086,0.0,0.3718966484265363
Biscutella laevigata,71,2485,9.337421566249189,2483.469414745902,1.105858937899855e-08,0.7873664613470056
Brodiaea coronaria,63,1953,6.443701879475502,626.4070086997345,5.787377003426797e-05,1.0
Bryonia alba,41,820,3.593719809427616,9933.326919604016,0.0,1.0
Buddleja davidii,43,903,118.03282144945936,19762.58990449459,0.0006713810800614,0.979399494783054
Bursaria spinosa,47,1081,46.7339904766029,1907.5503960143683,4.022321852653317e-07,0.373668772564608
Calochortus concolor,41,820,1.0262756046658166,243.27666099591625,0.0,0.9737522250144864
Calochortus flexuosus,49,1176,10.621667631482776,869.2175577562131,4.8965333189259816e-05,0.9382184464612142
Calochortus leichtlinii,54,1431,10.94781352483828,580.5955680869336,5.2064553117163665e-09,0.8271788954609859
Calochortus monophyllus,55,1485,5.482387202423984,342.276421727739,0.0,0.2442093098837761
Calycadenia multiglandulosa,64,2016,0.0658702070849218,285.2680664356619,2.1629664734221503e-06,0.2239122960341701
Calystegia tuguriorum,49,1176,3.0313751727040685,1313.9805987541529,1.1150040741206376e-08,1.0
Campanula latifolia,48,1128,23.03077438109281,7326.042332386648,0.0001103992441519,1.0
Campanula patula,56,1540,113.79792615859202,4770.696564211329,0.0005772597760109,0.999803192585088
Cardamine amara,67,2211,69.1840083502465,4436.095843640432,9.06210604480552e-11,0.5165749169026643
Cardamine concatenata,43,903,83.52664721156268,2234.459204220479,1.392782392133638e-05,0.6440639339625984
Cardamine hirsuta,56,1540,167.93529959692142,19923.537336484576,0.0,0.9914371588666864
Carlina hispanica,58,1653,17.026259352790845,1519.541740448929,9.795698273593078e-09,0.8366034545453683
Carlina vulgaris,40,780,47.11717251576638,3245.8223382261863,8.050254410594594e-07,1.0
Carthamus mitissimus,44,946,1.6214669515962423,885.1148085320592,0.0008022969129458,1.0
Castilleja exserta,56,1540,12.83531300382964,1530.6785495261963,0.0011523728395758,0.9284183224377274
Castilleja foliolosa,46,1035,9.72340775353819,1015.7815993254974,8.782771863053871e-05,0.8309570346736876
Centranthus calcitrapae,65,2080,55.81236322620381,3983.762515723744,9.777187904519342e-07,0.9719426388099242
Centrosema virginianum,43,903,100.69049267228364,7568.469772030968,0.0,1.0
Cerastium fontanum,57,1596,152.57393753326485,19283.8866200196,1.0848222698197164e-08,0.4943300613302481
Chaenorhinum origanifolium,49,1176,7.214359505840095,1200.8036289470965,0.0025689555929435,0.9131841839015856
Chelone lyonii,49,1176,4.868282140197644,1862.1456558996745,0.0006321861096128,0.9306441723766032
Chondrilla juncea,66,2145,135.8331210098956,18001.335923273138,0.0,0.9298058821982544
Cipura campanulata,54,1431,1.0253811782196218,3929.268832614045,0.0,0.9547100858565116
Cistus albidus,58,1653,37.46519214774659,1895.503065866564,0.0001779830397728,0.9961739982663432
Cistus crispus,64,2016,11.7273414534189,1641.5344795144674,0.0002285988979877,0.9308081139553206
Clematis virginiana,49,1176,101.67096447180184,2790.450293236904,6.39875797849578e-08,0.6096424508079357
Clinopodium alpinum,53,1378,30.98642562538784,2390.801358695294,0.0004700582355847,0.962484417747154
Cneoridium dumosum,50,1225,0.5874705226418345,339.3501730891254,1.176211359653931e-06,0.9252484777431732
Cochlospermum vitifolium,48,1128,42.19009237269979,8576.26018723974,0.0,1.0
Coleogyne ramosissima,77,2926,1.677300071992924,882.2980597471542,2.183575425087278e-12,0.6812201842592447
Coleostephus myconis,79,3081,4.45155250160821,12714.36212483178,0.0,0.3099070098835946
Collinsia grandiflora,54,1431,6.410099471510933,893.0736552260713,0.0001945580654843,0.470069321493237
Commelina benghalensis,51,1275,93.19921655463318,19842.34193538931,9.46282775747899e-05,1.0
Commelina communis,52,1326,159.50705031616195,17035.54439846446,3.4515980476352225e-07,0.7596739100484052
Commelina diffusa,59,1711,248.70559722296363,19832.25950530282,2.971484911095984e-05,0.9317464443669824
Conoclinium betonicifolium,73,2628,0.708073427356516,1338.559843332818,9.633262312827488e-05,0.9741260212178467
Conopholis alpina,52,1326,29.08521899480328,2412.562142871524,1.9527255934977724e-06,0.9405855125477318
Conospermum caeruleum,57,1596,0.0325395943813362,313.9608689361707,4.665165248155044e-05,0.6763456607272711
Convolvulus elegantissimus,58,1653,26.286307354680925,1531.1154641294377,0.0001680416090416,1.0
Cornus florida,49,1176,95.58634281961264,2588.9654389464777,3.1022613872329565e-08,0.9670677369014916
Cornus sanguinea,49,1176,84.72349191557169,3187.0482755427447,4.2767474241889444e-07,0.9992626112484742
Cornus suecica,56,1540,69.78869158055927,9251.016774250453,3.719331682945081e-10,0.4185693000491904
Corydalis aurea,70,2415,111.50679042910504,5336.90180849692,9.76261175241714e-09,0.3998540443058574
Cotula coronopifolia,82,3321,96.6840957242278,19938.027074332236,0.0,0.5088359915882142
Crepis biennis,61,1830,4.37575458232026,8655.12780548525,0.0,0.4078963767044551
Crepis sancta,67,2211,0.5546078205301764,4015.0168466790983,0.0,0.4299497732235137
Cryptantha barbigera,48,1128,0.6203207780402865,749.5449250920454,3.817933109960387e-07,0.976447576565616
