species,outer_appearances,evaluable_appearances,mean_rho,median_rho,q025_rho,q975_rho
Acacia linifolia,135,135,-0.011737202874032734,-0.04444182008249244,-0.1982680960691432,0.2525982495505781
Acacia ulicifolia,135,135,-0.001918926979396654,-0.011667038451276533,-0.1592263380965503,0.19201214204796466
Aciphylla glacialis,136,136,0.04374139846073454,0.02996321519330613,-0.12626855095854822,0.3003210469454614
Aconitum delphiniifolium,136,136,0.1513187933389577,0.1568371189754491,-0.049781084473837306,0.36526897523039714
Aconitum tauricum,135,135,-0.026620145284526376,-0.03264618789556789,-0.1946925778670061,0.17799813670301415
Adoxa moschatellina,136,136,-0.04197054574985128,-0.04587726987368444,-0.13113391450616638,0.059301631342768175
Aegopodium podagraria,136,136,-0.027795792632277917,-0.029510307701028173,-0.16847206659898745,0.13852517371717998
Agapanthus praecox,136,136,0.0006875301856049623,-0.008481937828865357,-0.2072143201143815,0.17464385221343062
Ageratina havanensis,135,135,0.08854063929781147,0.0865733268599072,-0.13590485813136685,0.3688003604123748
Agrostemma githago,136,136,-0.06734227263055492,-0.06864281121652299,-0.2100392779505483,0.13929828935340097
Ajuga genevensis,135,135,-0.0345718604571671,-0.03959724791909967,-0.15195388121263018,0.12406863581291802
Alchemilla alpina,136,136,-0.01314887670876195,-0.027043175128046996,-0.15820812939853998,0.15931079881203883
Allium drummondii,136,136,0.16008632349789373,0.15849659051643072,-0.06640095001902663,0.4054177765530756
Allium praecox,136,136,0.16235293603066284,0.15589759739663295,-0.02969378069956742,0.3805403561259169
Allium schoenoprasum,135,135,-0.03943795886847232,-0.04656580368897812,-0.16166585748839815,0.1045979696186365
Allium tuberosum,136,136,-0.037944260095881845,-0.03957887738543567,-0.15195799271302166,0.10701841864696646
Althaea officinalis,135,135,-0.04205661850314495,-0.05510897663005682,-0.18865645789867339,0.10792277377562584
Alyxia buxifolia,135,135,0.07092277264164223,0.04400792557309504,-0.06077663618032867,0.30489854654087234
Amsinckia tessellata,135,135,-0.0011302755712364328,-0.023038249541868137,-0.17127329667974475,0.24114877074420812
Anchusa arvensis,135,135,-0.007821551163151239,-0.023369943182563746,-0.1283920971713752,0.18007278230480228
Andromeda polifolia,136,136,0.10369737864834555,0.0971232619069489,-0.06579800286055452,0.3127657713218474
Androsace villosa,136,136,0.021269488782010463,0.007606275724214552,-0.16630822256338929,0.21136895467289518
Andryala integrifolia,135,135,0.032053189642011225,0.01404296080515425,-0.11070949625372332,0.23417440422866478
Anemone pavonina,135,135,-0.025796032969114015,-0.040701229513574515,-0.15233607579157318,0.1631242154251248
Anemonoides blanda,135,135,0.010172046365671794,0.0038551877074886175,-0.11343620832185176,0.17589506051341272
Anemonoides quinquefolia,135,135,0.03408852645402295,0.04663101621242267,-0.1827311601710115,0.23785148018242327
Antennaria dioica,136,136,-0.0352903016529832,-0.0472630091808929,-0.2045274617608594,0.21690285924234673
Aquilegia coerulea,136,136,0.05719311144018855,0.05416770547660601,-0.08101405345825297,0.2490926268550959
Asclepias incarnata,135,135,0.3438709954383082,0.3484916479680878,0.13777629063933833,0.5683875482773252
Asclepias ovalifolia,136,136,0.002764623806719345,-0.012508583850551336,-0.12931259212603938,0.2072834792041185
Asclepias perennis,135,135,0.03655198306567668,0.03766046879852336,-0.0939381612845377,0.18319664781500009
Asclepias quadrifolia,135,135,0.03288829014556947,0.017869280531170862,-0.1368292458895931,0.2729939158542081
Asclepias viridis,135,135,-0.02999747445661533,-0.03947127854540365,-0.1455828051804905,0.15079312592126057
Astragalus glycyphyllos,136,136,0.0101875307208369,0.0053781924269661946,-0.09072598832482012,0.1296471982749194
Austroflourensia thurifera,135,135,0.09242524371819572,0.08522009034065253,-0.08004326050160136,0.3250650731100323
Baptisia australis,135,135,0.06306554959566198,0.05805176116556662,-0.08941866008826604,0.2410835990499811
Baptisia tinctoria,135,135,-0.0012285718466595538,-0.007898703440802256,-0.1526386193804685,0.18071167253280485
Barbarea orthoceras,136,136,-0.024253434875713492,-0.038075432810460455,-0.20924217620922655,0.19397542002369658
Bellis annua,135,135,0.025128563766082523,0.008453069847393354,-0.1780952380952381,0.24860160873387663
Bidens aristosa,136,136,0.07267335074271447,0.07700709759760357,-0.1305688025496466,0.28141024705417356
Bidens bipinnata,135,135,0.1768427819695385,0.180108717518031,-0.15121916235688773,0.4872237357605965
Bidens cernua,136,136,0.14583748789298123,0.1481625557891022,-0.08457854524791089,0.4226220888548261
Biscutella laevigata,135,135,0.11552576742742385,0.1110166340808391,-0.11748139983466521,0.36802214961487495
Brodiaea coronaria,135,135,0.061758048735649586,0.056827058921299765,-0.16995070573466828,0.3223662996933871
Bryonia alba,136,136,0.08646096243299732,0.08314100636981406,-0.05214104195917368,0.2806740499184246
Buddleja davidii,136,136,0.024448170009254738,0.0141488100705516,-0.07647456337178024,0.17548408543172941
Bursaria spinosa,135,135,0.10561182219980175,0.10498585031514213,-0.03222436545114969,0.27922213911742716
Calochortus concolor,135,135,0.02255822388806568,0.007768172537651336,-0.12726638927880113,0.23452110838858004
Calochortus flexuosus,135,135,-0.014761517587518019,-0.02212599561731554,-0.18079194495838202,0.15465295000153093
Calochortus leichtlinii,135,135,-0.07897183978626678,-0.08865532067516087,-0.2215146067612312,0.09895121748524896
Calochortus monophyllus,136,136,-0.009851852292893279,-0.015010664987354597,-0.1882935905831074,0.22416597642905006
Calycadenia multiglandulosa,136,136,-0.12441675485294698,-0.12778455737948713,-0.2715309215446995,0.06112248334623645
Calystegia tuguriorum,136,136,0.10273013403028154,0.10411281257244333,-0.08192295748096244,0.3245891780060973
Campanula latifolia,136,136,0.09175181261490581,0.07517928828368148,-0.0649489718523333,0.3216463934705875
Campanula patula,136,136,-0.001739964838695652,-0.015251916877709111,-0.12965266569565276,0.1751011472835667
Cardamine amara,135,135,-0.04128189389510232,-0.045423331452540607,-0.1538434218180705,0.10426904958731911
Cardamine concatenata,136,136,-0.09656162272018205,-0.10990827854977761,-0.2478329331181357,0.07381936516684383
Cardamine hirsuta,135,135,-0.003800743042792637,-0.01247709150712733,-0.18170627266245895,0.21652105831769658
Carlina hispanica,135,135,-0.019454550667924418,-0.025987306836025494,-0.16039514143123956,0.1511465399974632
Carlina vulgaris,136,136,-0.02338130791108402,-0.0214506598083341,-0.18152099270864772,0.12999055229697282
Carthamus mitissimus,135,135,-0.005329032131982809,-0.0034055470263792123,-0.11285046363207046,0.11397227798991373
Castilleja exserta,135,135,0.11811822232201279,0.1027813862754618,-0.04824373324235545,0.3675730338061559
Castilleja foliolosa,135,135,-0.03498465639245163,-0.04941236161958124,-0.11314140499591038,0.10494403548137374
Centranthus calcitrapae,135,135,0.08096000456185387,0.07100211261137136,-0.16630188035533863,0.3208394459097134
Centrosema virginianum,135,135,0.0404198025172651,0.03300688901165114,-0.07399144981821684,0.16673077739462325
Cerastium fontanum,135,135,-0.05157306037377071,-0.058525895891561375,-0.1657450782278559,0.09112082125033354
Chaenorhinum origanifolium,136,136,0.1703771799892916,0.17608506431873752,-0.013326728689087467,0.333047715274224
Chelone lyonii,136,136,-0.005532862543382374,-0.018332917809357602,-0.1273661903449724,0.17384823314831582
Chondrilla juncea,136,136,0.06899548729912586,0.07166870054717947,-0.1450777904621939,0.35653736045794276
Cipura campanulata,135,135,-0.050495113144364286,-0.06468053390640366,-0.19988618479001755,0.14760564283672983
Cistus albidus,136,136,-0.019480548718063512,-0.018378406749858942,-0.1466447532443675,0.1039238585118993
Cistus crispus,136,136,0.08641676565914323,0.07836519746136722,-0.14592042934561536,0.35930642487545217
Clematis virginiana,136,136,0.06806949104616587,0.05444151390693139,-0.06835303791765628,0.274836305423244
Clinopodium alpinum,135,135,0.09296988836255851,0.08872880280981686,-0.1382764940273896,0.36042698368959053
