feature,PC1,PC2,PC3,PC4,PC5
main__terrain_structure,0.049814295118456114,0.34152598847809823,0.30522654720062636,-0.15688528389409412,-0.23319649202977183
main__thermal_regime,0.0822935474821811,0.3804322298207976,0.2878112042659832,-0.028764751504014294,-0.15574681048875028
main__water_balance,0.050257107348427976,0.34713343014315723,0.2897143399356612,0.24597714636120582,0.022075527381397127
main__atmospheric_energy_dryness,-0.014283887656685007,0.34968827210617137,0.4026833736836897,-0.04623126737320416,-0.04822987182810676
main__edaphic_regime,0.010407374656177604,0.13167442986490155,0.12280403302358499,0.4414410994275993,0.7700134846480734
interaction__atmospheric_energy_dryness_x_edaphic_regime,-0.2790187590377275,-0.19520760668349388,0.2945360070650566,-0.29862169244902603,0.15860505038744463
interaction__atmospheric_energy_dryness_x_terrain_structure,-0.32441664604994075,0.24497515756833568,-0.20608929001371284,0.033161085022408394,0.043127224969335846
interaction__edaphic_regime_x_terrain_structure,-0.2778867241581178,-0.24727495908161967,0.2865916503179612,0.2623818464542072,0.08011538044001641
interaction__thermal_regime_x_atmospheric_energy_dryness,-0.32710830877660024,0.238221497495693,-0.04865073012427658,-0.39183289180432157,0.16478190695046976
interaction__thermal_regime_x_edaphic_regime,-0.2790363789050143,-0.3065555541418646,0.32043718418655365,-0.026484007551403448,-0.17205156827827686
interaction__thermal_regime_x_terrain_structure,-0.3555076835983084,0.21294766234017476,-0.10704468522758774,0.32446305049020013,-0.1789691237133504
interaction__thermal_regime_x_water_balance,-0.35050967475687905,0.10212912935231172,-0.23424214323183307,-0.013039124889040476,-0.021620741222216154
interaction__water_balance_x_atmospheric_energy_dryness,-0.3279164276683112,0.17346621161484277,-0.1278274886245861,-0.35646986439792977,0.2860103274824285
interaction__water_balance_x_edaphic_regime,-0.2943121186336459,-0.2753037404030543,0.3542313687838647,0.06849832491980827,-0.05133356793501727
interaction__water_balance_x_terrain_structure,-0.31517745857076784,0.08282742106118957,-0.1956495580659231,0.40802569449998916,-0.3442453370700514
