evaluable_species,observed_mean_spearman_rho,observed_median_spearman_rho,positive_species_fraction,p_upper,null_mean,null_median,null_q025,null_q975,name,primary,nominal_positive,can_rescue_primary
188,0.10792487117306818,0.06484311547944327,0.5851063829787234,0.001,-0.0005056882496091857,-0.00032941016499998886,-0.05346468654143405,0.05304003929571424,n5_cells3_morphs2,False,True,False
80,0.04414935821655809,0.024285066480468957,0.5375,0.06,0.0008972023029764849,0.0012637355134131954,-0.058569389576015665,0.05431209548318375,n10_cells3_morphs2,False,False,False
30,0.045758434380297516,0.02762188418096924,0.5333333333333333,0.093,-0.0015197064619926223,-0.0021386536056673105,-0.06541798436711223,0.06933840858768833,n20_cells3_morphs2,False,False,False
