outer_count,bootstrap_replicates,independent_pair_median_r,independent_pair_q10_r,independent_pair_q90_r,independent_pair_prob_r_ge_0_9,independent_pair_prob_r_ge_0_95,to_frozen_200_median_r,to_frozen_200_q10_r,to_frozen_200_q90_r,to_frozen_200_prob_r_ge_0_9,to_frozen_200_prob_r_ge_0_95
25,2000,0.5906477671196348,0.48682064115846424,0.6880419972398241,0.0,0.0,0.7601539873222833,0.6965264738991104,0.813494955959293,0.0,0.0
50,2000,0.6883959177556707,0.5959464912948477,0.7646593655977618,0.0,0.0,0.8293926766489528,0.7739353757780792,0.8710430768591522,0.0095,0.0
100,2000,0.7937316016702611,0.7114553337481033,0.8543159042449786,0.0065,0.0,0.8933256205042812,0.8459466149016286,0.9243600831650146,0.414,0.001
150,2000,0.8476544766151786,0.775444197999739,0.8930589512337567,0.064,0.0,0.926916951588729,0.8842112277606371,0.9494315278924096,0.8145,0.093
200,2000,0.8836021010454764,0.8292733681520237,0.9221146535288162,0.316,0.0,0.9450506884071461,0.9082770869238918,0.9624325432822288,0.9275,0.3835
