cell_id,taxon_denominator,classifiable_taxa,unclassifiable_taxa,classifiable_fraction,p_white,p_yellow_orange,p_red_pink,p_blue_purple
5,252,107,145,0.4246031746031746,0.4485981308411215,0.3925233644859813,0.11214953271028037,0.04672897196261682
6,37,15,22,0.40540540540540543,0.4666666666666667,0.4,0.06666666666666667,0.06666666666666667
7,18,8,10,0.4444444444444444,0.5,0.5,0.0,0.0
16,9,1,8,0.1111111111111111,0.0,1.0,0.0,0.0
17,48,21,27,0.4375,0.6666666666666666,0.23809523809523808,0.0,0.09523809523809523
18,310,100,210,0.3225806451612903,0.53,0.36,0.08,0.03
22,1,0,1,0.0,,,,
23,1157,558,599,0.4822817631806396,0.4175627240143369,0.43189964157706096,0.08960573476702509,0.06093189964157706
24,831,402,429,0.48375451263537905,0.4900497512437811,0.3383084577114428,0.10945273631840796,0.06218905472636816
26,1,0,1,0.0,,,,
27,1305,577,728,0.4421455938697318,0.42980935875216636,0.3275563258232236,0.16984402079722705,0.07279029462738301
28,1470,647,823,0.44013605442176873,0.46213292117465227,0.3693972179289026,0.11901081916537867,0.04945904173106646
29,2,1,1,0.5,0.0,1.0,0.0,0.0
30,7,5,2,0.7142857142857143,0.0,1.0,0.0,0.0
32,1038,471,567,0.45375722543352603,0.43524416135881105,0.3375796178343949,0.12738853503184713,0.09978768577494693
33,930,400,530,0.43010752688172044,0.455,0.36,0.0875,0.0975
34,1541,730,811,0.4737183646982479,0.46164383561643835,0.37397260273972605,0.08356164383561644,0.08082191780821918
35,1280,581,699,0.45390625,0.6110154905335629,0.25645438898450945,0.08089500860585198,0.05163511187607573
36,37,15,22,0.40540540540540543,0.6,0.26666666666666666,0.13333333333333333,0.0
37,40,17,23,0.425,0.7647058823529411,0.17647058823529413,0.058823529411764705,0.0
38,6,3,3,0.5,0.3333333333333333,0.6666666666666666,0.0,0.0
39,8,5,3,0.625,0.2,0.6,0.2,0.0
41,1344,657,687,0.4888392857142857,0.4155251141552511,0.4018264840182648,0.1111111111111111,0.0715372907153729
42,1937,820,1117,0.4233350542075374,0.4768292682926829,0.3182926829268293,0.13902439024390245,0.06585365853658537
43,11,2,9,0.18181818181818182,1.0,0.0,0.0,0.0
45,1464,668,796,0.4562841530054645,0.3997005988023952,0.3847305389221557,0.13023952095808383,0.08532934131736528
46,1795,797,998,0.44401114206128134,0.45545796737766625,0.36511919698870765,0.12421580928481807,0.05520702634880803
47,594,239,355,0.40235690235690236,0.502092050209205,0.2719665271966527,0.16736401673640167,0.058577405857740586
48,12,6,6,0.5,0.5,0.16666666666666666,0.3333333333333333,0.0
50,1401,653,748,0.4660956459671663,0.41500765696784075,0.3660030627871363,0.11944869831546708,0.0995405819295559
51,1087,503,584,0.46274149034038636,0.3518886679920477,0.40357852882703776,0.11928429423459244,0.12524850894632206
52,1510,657,853,0.43509933774834436,0.4748858447488584,0.3394216133942161,0.0867579908675799,0.0989345509893455
53,582,197,385,0.3384879725085911,0.5025380710659898,0.38071065989847713,0.09137055837563451,0.025380710659898477
54,72,29,43,0.4027777777777778,0.6551724137931034,0.1724137931034483,0.06896551724137931,0.10344827586206896
55,74,27,47,0.36486486486486486,0.6296296296296297,0.1111111111111111,0.14814814814814814,0.1111111111111111
56,9,5,4,0.5555555555555556,0.6,0.0,0.2,0.2
59,1547,690,857,0.4460245636716225,0.45217391304347826,0.3347826086956522,0.1565217391304348,0.05652173913043478
60,1525,602,923,0.3947540983606557,0.4069767441860465,0.3488372093023256,0.15282392026578073,0.09136212624584718
61,1250,490,760,0.392,0.41836734693877553,0.40408163265306124,0.11428571428571428,0.06326530612244897
62,16,12,4,0.75,0.5,0.25,0.08333333333333333,0.16666666666666666
