focal_species,focal_family,focal_genus,control_candidate,control_family,control_genus,match_level,match_rank,control_verification_status,monomorphism_evidence,exclusion_reason
Dactylorhiza sambucina,Orchidaceae,Dactylorhiza,Dactylorhiza abantiana,Orchidaceae,Dactylorhiza,same_genus,1,pending_monomorphism_review,unknown,
Dactylorhiza sambucina,Orchidaceae,Dactylorhiza,Dactylorhiza altobracensis,Orchidaceae,Dactylorhiza,same_genus,2,pending_monomorphism_review,unknown,
Dactylorhiza sambucina,Orchidaceae,Dactylorhiza,Dactylorhiza alutiiqorum,Orchidaceae,Dactylorhiza,same_genus,3,pending_monomorphism_review,unknown,
Dactylorhiza sambucina,Orchidaceae,Dactylorhiza,Dactylorhiza aristata,Orchidaceae,Dactylorhiza,same_genus,4,pending_monomorphism_review,unknown,
Dactylorhiza sambucina,Orchidaceae,Dactylorhiza,Dactylorhiza armeniaca,Orchidaceae,Dactylorhiza,same_genus,5,pending_monomorphism_review,unknown,
Silene littorea,Caryophyllaceae,Silene,Silene abietum,Caryophyllaceae,Silene,same_genus,1,pending_monomorphism_review,unknown,
Silene littorea,Caryophyllaceae,Silene,Silene abyssinica,Caryophyllaceae,Silene,same_genus,2,pending_monomorphism_review,unknown,
Silene littorea,Caryophyllaceae,Silene,Silene acutidentata,Caryophyllaceae,Silene,same_genus,3,pending_monomorphism_review,unknown,
Silene littorea,Caryophyllaceae,Silene,Silene acutifolia,Caryophyllaceae,Silene,same_genus,4,pending_monomorphism_review,unknown,
Silene littorea,Caryophyllaceae,Silene,Silene adelphiae,Caryophyllaceae,Silene,same_genus,5,pending_monomorphism_review,unknown,
Linanthus parryae,Polemoniaceae,Linanthus,Linanthus arenicola,Polemoniaceae,Linanthus,same_genus,1,pending_monomorphism_review,unknown,
Linanthus parryae,Polemoniaceae,Linanthus,Linanthus bellus,Polemoniaceae,Linanthus,same_genus,2,pending_monomorphism_review,unknown,
Linanthus parryae,Polemoniaceae,Linanthus,Linanthus bernardinus,Polemoniaceae,Linanthus,same_genus,3,pending_monomorphism_review,unknown,
Linanthus parryae,Polemoniaceae,Linanthus,Linanthus bigelovii,Polemoniaceae,Linanthus,same_genus,4,pending_monomorphism_review,unknown,
Linanthus parryae,Polemoniaceae,Linanthus,Linanthus bigelowii,Polemoniaceae,Linanthus,same_genus,5,pending_monomorphism_review,unknown,
Gymnadenia rhellicani,Orchidaceae,Gymnadenia,Gymnadenia abelii,Orchidaceae,Gymnadenia,same_genus,1,pending_monomorphism_review,unknown,
Gymnadenia rhellicani,Orchidaceae,Gymnadenia,Gymnadenia alpina,Orchidaceae,Gymnadenia,same_genus,2,pending_monomorphism_review,unknown,
Gymnadenia rhellicani,Orchidaceae,Gymnadenia,Gymnadenia archiducis-joannis,Orchidaceae,Gymnadenia,same_genus,3,pending_monomorphism_review,unknown,
Gymnadenia rhellicani,Orchidaceae,Gymnadenia,Gymnadenia austriaca,Orchidaceae,Gymnadenia,same_genus,4,pending_monomorphism_review,unknown,
Gymnadenia rhellicani,Orchidaceae,Gymnadenia,Gymnadenia bicolor,Orchidaceae,Gymnadenia,same_genus,5,pending_monomorphism_review,unknown,
Raphanus sativus,Brassicaceae,Raphanus,Raphanus albus,Brassicaceae,Raphanus,same_genus,1,pending_monomorphism_review,unknown,
Raphanus sativus,Brassicaceae,Raphanus,Raphanus arvense,Brassicaceae,Raphanus,same_genus,2,pending_monomorphism_review,unknown,
Raphanus sativus,Brassicaceae,Raphanus,Raphanus cheiranthifolius,Brassicaceae,Raphanus,same_genus,3,pending_monomorphism_review,unknown,
Raphanus sativus,Brassicaceae,Raphanus,Raphanus confusus,Brassicaceae,Raphanus,same_genus,4,pending_monomorphism_review,unknown,
Raphanus sativus,Brassicaceae,Raphanus,Raphanus niger,Brassicaceae,Raphanus,same_genus,5,pending_monomorphism_review,unknown,
Raphanus raphanistrum,Brassicaceae,Raphanus,Raphanus albus,Brassicaceae,Raphanus,same_genus,1,pending_monomorphism_review,unknown,
Raphanus raphanistrum,Brassicaceae,Raphanus,Raphanus arvense,Brassicaceae,Raphanus,same_genus,2,pending_monomorphism_review,unknown,
Raphanus raphanistrum,Brassicaceae,Raphanus,Raphanus cheiranthifolius,Brassicaceae,Raphanus,same_genus,3,pending_monomorphism_review,unknown,
Raphanus raphanistrum,Brassicaceae,Raphanus,Raphanus confusus,Brassicaceae,Raphanus,same_genus,4,pending_monomorphism_review,unknown,
Raphanus raphanistrum,Brassicaceae,Raphanus,Raphanus niger,Brassicaceae,Raphanus,same_genus,5,pending_monomorphism_review,unknown,
Anemone coronaria,Ranunculaceae,Anemone,Anemone acuta,Ranunculaceae,Anemone,same_genus,1,pending_monomorphism_review,unknown,
Anemone coronaria,Ranunculaceae,Anemone,Anemone afghanica,Ranunculaceae,Anemone,same_genus,2,pending_monomorphism_review,unknown,
Anemone coronaria,Ranunculaceae,Anemone,Anemone airei,Ranunculaceae,Anemone,same_genus,3,pending_monomorphism_review,unknown,
Anemone coronaria,Ranunculaceae,Anemone,Anemone altaica,Ranunculaceae,Anemone,same_genus,4,pending_monomorphism_review,unknown,
Anemone coronaria,Ranunculaceae,Anemone,Anemone amurensis,Ranunculaceae,Anemone,same_genus,5,pending_monomorphism_review,unknown,
Iris lutescens,Iridaceae,Iris,Iris acutiloba,Iridaceae,Iris,same_genus,1,pending_monomorphism_review,unknown,
Iris lutescens,Iridaceae,Iris,Iris adriatica,Iridaceae,Iris,same_genus,2,pending_monomorphism_review,unknown,
Iris lutescens,Iridaceae,Iris,Iris afghanica,Iridaceae,Iris,same_genus,3,pending_monomorphism_review,unknown,
