priority_tier,rank,canonical_name,family,n_works,max_score,total_score,n_title_matches,n_context_matches,best_title,best_doi,best_openalex_id,best_match_evidence,review_status
B,178,Bulbophyllum occultum,Orchidaceae,1,12,12,1,0,Spatial patterns of AFLP diversity in Bulbophyllum occultum (Orchidaceae) indicate long-term refugial isolation in Madagascar and long-distance colonization effects in La Réunion,10.1038/hdy.2016.1,https://openalex.org/W2278649468,Spatial patterns of AFLP diversity in Bulbophyllum occultum (Orchidaceae) indicate long-term refugial isolation in Madagascar and long-distance colonization effects in La Réunion,unreviewed
B,179,Bupleurum chinense,Apiaceae,1,12,12,1,0,"Integrated metabolomics and transcriptomics analysis of roots of Bupleurum chinense and B. scorzonerifolium, two sources of medicinal Chaihu",10.1038/s41598-022-27019-8,https://openalex.org/W4312220125,"Integrated metabolomics and transcriptomics analysis of roots of Bupleurum chinense and B. scorzonerifolium, two sources of medicinal Chaihu",unreviewed
B,180,Camellia sinensis,Theaceae,1,12,12,1,0,Biosynthesis and the Transcriptional Regulation of Terpenoids in Tea Plants (Camellia sinensis),10.3390/ijms24086937,https://openalex.org/W4363677493,Biosynthesis and the Transcriptional Regulation of Terpenoids in Tea Plants (Camellia sinensis),unreviewed
B,181,Ceropegia lodarensis,Apocynaceae,1,12,12,1,0,Evaluating the Efficacy of Three DNA Barcodes in Identifying the Medicinal Species Ceropegia lodarensis (Lavranos) Bruyns (Apocynaceae),10.21608/ejbo.2023.189298.2235,https://openalex.org/W4385456851,Evaluating the Efficacy of Three DNA Barcodes in Identifying the Medicinal Species Ceropegia lodarensis (Lavranos) Bruyns (Apocynaceae),unreviewed
B,182,Chrysanthemum morifolium,Asteraceae,1,12,12,1,0,Characterization of in vitro haploid and doubled haploid Chrysanthemum morifolium plants via unfertilized ovule culture for phenotypical traits and DNA methylation pattern,10.3389/fpls.2014.00738,https://openalex.org/W1965817165,Characterization of in vitro haploid and doubled haploid Chrysanthemum morifolium plants via unfertilized ovule culture for phenotypical traits and DNA methylation pattern,unreviewed
B,183,Cryptocarya moschata,Lauraceae,1,12,12,1,0,Estrutura genética intrapopulacional em Cryptocarya moschata Nees (Lauraceae),10.1590/s0100-84042004000300008,https://openalex.org/W2106664753,Estrutura genética intrapopulacional em Cryptocarya moschata Nees (Lauraceae),unreviewed
B,184,Cunninghamia lanceolata,Cupressaceae,1,12,12,1,0,Profiling of Widely Targeted Metabolomics for the Identification of Secondary Metabolites in Heartwood and Sapwood of the Red-Heart Chinese Fir (Cunninghamia Lanceolata),10.3390/f11080897,https://openalex.org/W3064052193,Profiling of Widely Targeted Metabolomics for the Identification of Secondary Metabolites in Heartwood and Sapwood of the Red-Heart Chinese Fir (Cunninghamia Lanceolata),unreviewed
B,185,Delphinium occidentale,Ranunculaceae,1,12,12,1,0,Pollination Ecology and Breeding System of Delphinium Occidentale,10.13001/uwnpsrc.1993.3155,https://openalex.org/W814389185,Pollination Ecology and Breeding System of Delphinium Occidentale,unreviewed
B,186,Dendrobium nobile,Orchidaceae,1,12,12,1,0,Transcriptome and metabolome analysis reveals the effect of flavonoids on flower color variation in Dendrobium nobile Lindl.,10.3389/fpls.2023.1220507,https://openalex.org/W4386086422,Transcriptome and metabolome analysis reveals the effect of flavonoids on flower color variation in Dendrobium nobile Lindl.,unreviewed
B,187,Diospyros celebica,Ebenaceae,1,12,12,1,0,"Phenotypic and Estimated Genetic Variability in Endemic Diospyros celebica Bakh. and Widely-spread D. blancoi A.Dc. Cultivated at Purwodadi Botanic Garden, Indonesia",10.4308/hjb.31.4.781-792,https://openalex.org/W4393947745,"Phenotypic and Estimated Genetic Variability in Endemic Diospyros celebica Bakh. and Widely-spread D. blancoi A.Dc. Cultivated at Purwodadi Botanic Garden, Indonesia",unreviewed
B,188,Drosera citrina,Droseraceae,1,12,12,1,0,When three become two: Drosera coalara links Drosera citrina with Drosera nivea,10.55360/cpn491.tk924,https://openalex.org/W3034073342,When three become two: Drosera coalara links Drosera citrina with Drosera nivea,unreviewed
B,189,Drosera coalara,Droseraceae,1,12,12,1,0,When three become two: Drosera coalara links Drosera citrina with Drosera nivea,10.55360/cpn491.tk924,https://openalex.org/W3034073342,When three become two: Drosera coalara links Drosera citrina with Drosera nivea,unreviewed
B,190,Epidendrum ibaguense,Orchidaceae,1,12,12,1,0,"Research Article Chromosome variations and diversity of Epidendrum ibaguense Lindl. (Orchidaceae) on the Tepequém's Tepuy, Roraima, Brazil.",10.4238/gmr16039754,https://openalex.org/W2760229352,"Research Article Chromosome variations and diversity of Epidendrum ibaguense Lindl. (Orchidaceae) on the Tepequém's Tepuy, Roraima, Brazil.",unreviewed
B,191,Erythronium dens-canis,Liliaceae,1,12,12,1,0,The white flowering dog's-tooth-violet ( Erythronium dens-canis L.) on Požeška Gora,10.46232/glashbod.13.2.3,https://openalex.org/W7125580814,The white flowering dog's-tooth-violet ( Erythronium dens-canis L.) on Požeška Gora,unreviewed
B,192,Gleditsia triacanthos,Fabaceae,1,12,12,1,0,"Comparative genetic structure of two co-occurring tree species, Maclura pomifera (Moraceae) and Gleditsia triacanthos (Leguminosae)",10.1038/hdy.1991.99,https://openalex.org/W2060520514,"Comparative genetic structure of two co-occurring tree species, Maclura pomifera (Moraceae) and Gleditsia triacanthos (Leguminosae)",unreviewed
B,193,Heliamphora tatei,Sarraceniaceae,1,12,12,1,0,Recruitment of Sugar Transport and Scent Volatile Genes for Prey Attraction in the Nectar Spoon of Heliamphora tatei,10.1111/ede.70009,https://openalex.org/W4410705724,Recruitment of Sugar Transport and Scent Volatile Genes for Prey Attraction in the Nectar Spoon of Heliamphora tatei,unreviewed
B,194,Hesperantha coccinea,Iridaceae,1,12,12,1,0,"Pollinator-driven divergence among populations of a self-fertilizing lily, Hesperantha coccinea (Iridaceae).",,https://openalex.org/W3176877967,"Pollinator-driven divergence among populations of a self-fertilizing lily, Hesperantha coccinea (Iridaceae).",unreviewed
B,195,Hibiscus mutabilis,Malvaceae,1,12,12,1,0,"A High-Quality, Chromosome-Level Genome Provides Insights Into Determinate Flowering Time and Color of Cotton Rose (Hibiscus mutabilis)",10.3389/fpls.2022.818206,https://openalex.org/W4212871416,"A High-Quality, Chromosome-Level Genome Provides Insights Into Determinate Flowering Time and Color of Cotton Rose (Hibiscus mutabilis)",unreviewed
B,196,Impatiens balfourii,Balsaminaceae,1,12,12,1,0,The ability of seeds to float with water currents contributes to the invasion success of Impatiens balfourii and I. glandulifera,10.1007/s10265-020-01212-0,https://openalex.org/W3040342042,The ability of seeds to float with water currents contributes to the invasion success of Impatiens balfourii and I. glandulifera,unreviewed
B,197,Impatiens noli,Balsaminaceae,1,12,12,1,0,"Demonstration of pollinator‐mediated competition between two native Impatiens species, Impatiens noli‐tangere and I. textori (Balsaminaceae)",10.1002/ece3.1431,https://openalex.org/W1972754098,"Demonstration of pollinator‐mediated competition between two native Impatiens species, Impatiens noli‐tangere and I. textori (Balsaminaceae)",unreviewed
B,198,Impatiens noli-tangere,Balsaminaceae,1,12,12,1,0,"Demonstration of pollinator-mediated competition between two native Impatiens species, Impatiens noli-tangere and I. textori (Balsaminaceae)",,https://openalex.org/W7075680009,"Demonstration of pollinator-mediated competition between two native Impatiens species, Impatiens noli-tangere and I. textori (Balsaminaceae)",unreviewed
B,199,Impatiens pallida,Balsaminaceae,1,12,12,1,0,Spatial autocorrelation of genotypes in populations of Impatiens pallida and Impatiens capensis,10.1038/hdy.1989.90,https://openalex.org/W2030805890,Spatial autocorrelation of genotypes in populations of Impatiens pallida and Impatiens capensis,unreviewed
B,200,Ipomoea asarifolia,Convolvulaceae,1,12,12,1,0,Ecologia da polinização de Ipomoea asarifolia (Ders.) Roem. & Schult. (Convolvulaceae) na região semi-árida de Pernambuco,10.1590/s0102-33062003000300003,https://openalex.org/W2033326417,Ecologia da polinização de Ipomoea asarifolia (Ders.) Roem. & Schult. (Convolvulaceae) na região semi-árida de Pernambuco,unreviewed
B,201,Lathyrus odoratus,Fabaceae,1,12,12,1,0,The molecular basis for an ancient colour mutant in sweet pea ( Lathyrus odoratus ),10.1139/cjps-2017-0238,https://openalex.org/W2765624042,The molecular basis for an ancient colour mutant in sweet pea ( Lathyrus odoratus ),unreviewed
B,202,Lathyrus sylvestris,Fabaceae,1,12,12,1,0,THE EVOLVING GENETIC HISTORY OF A POPULATION OF LATHYRUS SYLVESTRIS : EVIDENCE FROM TEMPORAL AND SPATIAL GENETIC STRUCTURE,10.1111/j.1558-5646.1996.tb03567.x,https://openalex.org/W2319956756,THE EVOLVING GENETIC HISTORY OF A POPULATION OF LATHYRUS SYLVESTRIS : EVIDENCE FROM TEMPORAL AND SPATIAL GENETIC STRUCTURE,unreviewed
B,203,Lotus corniculatus,Fabaceae,1,12,12,1,0,"Variation in the colour of the keel petals in Lotus corniculatus L. 3. Pollination, herbivory and seed production",10.1038/hdy.1986.93,https://openalex.org/W1993223755,"Variation in the colour of the keel petals in Lotus corniculatus L. 3. Pollination, herbivory and seed production",unreviewed
B,204,Macadamia integrifolia,Proteaceae,1,12,12,1,0,Comprehensive Transcriptome and Metabolome Analysis Reveals the Potential Mechanism Influencing Flower Color Formation in Macadamia integrifolia,10.3390/horticulturae11111347,https://openalex.org/W4416066215,Comprehensive Transcriptome and Metabolome Analysis Reveals the Potential Mechanism Influencing Flower Color Formation in Macadamia integrifolia,unreviewed
B,205,Maclura pomifera,Moraceae,1,12,12,1,0,"Comparative genetic structure of two co-occurring tree species, Maclura pomifera (Moraceae) and Gleditsia triacanthos (Leguminosae)",10.1038/hdy.1991.99,https://openalex.org/W2060520514,"Comparative genetic structure of two co-occurring tree species, Maclura pomifera (Moraceae) and Gleditsia triacanthos (Leguminosae)",unreviewed
B,206,Metrosideros bartlettii,Myrtaceae,1,12,12,1,0,"Cross-pollination and pollen storage to assist conservation of Metrosideros bartlettii (Myrtaceae), a critically endangered tree from Aotearoa New Zealand",10.1071/pc21054,https://openalex.org/W4214645924,"Cross-pollination and pollen storage to assist conservation of Metrosideros bartlettii (Myrtaceae), a critically endangered tree from Aotearoa New Zealand",unreviewed
B,207,Paeonia ostii,Paeoniaceae,1,12,12,1,0,Extensive Transcriptome Changes Underlying the Flower Color Intensity Variation in Paeonia ostii,10.3389/fpls.2015.01205,https://openalex.org/W2269328582,Extensive Transcriptome Changes Underlying the Flower Color Intensity Variation in Paeonia ostii,unreviewed
B,208,Paeonia suffruticosa,Paeoniaceae,1,12,12,1,0,Chlorophyllase (PsCLH1) and light-harvesting chlorophyll a/b binding protein 1 (PsLhcb1) and PsLhcb5 maintain petal greenness in Paeonia suffruticosa ‘Lv Mu Yin Yu’,10.1016/j.jare.2024.09.003,https://openalex.org/W4402252606,Chlorophyllase (PsCLH1) and light-harvesting chlorophyll a/b binding protein 1 (PsLhcb1) and PsLhcb5 maintain petal greenness in Paeonia suffruticosa ‘Lv Mu Yin Yu’,unreviewed
B,209,Panicum miliaceum,Poaceae,1,12,12,1,0,Phenotypic Variation of 933 Broomcorn Millet (Panicum miliaceum L.) Germplasm Resources,10.3390/plants14162536,https://openalex.org/W4413381290,Phenotypic Variation of 933 Broomcorn Millet (Panicum miliaceum L.) Germplasm Resources,unreviewed
B,210,Platycodon grandiflorus,Campanulaceae,1,12,12,1,0,"PlgMYBR1, an R2R3-MYB transcription factor, plays as a negative regulator of anthocyanin biosynthesis in Platycodon grandiflorus",10.1007/s13205-023-03490-6,https://openalex.org/W4319073464,"PlgMYBR1, an R2R3-MYB transcription factor, plays as a negative regulator of anthocyanin biosynthesis in Platycodon grandiflorus",unreviewed
B,211,Polygonatum cyrtonema,Asparagaceae,1,12,12,1,0,Integrated Metabolomics and Transcriptomics Analysis of Flavonoid Biosynthesis Pathway in Polygonatum cyrtonema Hua,10.3390/molecules29102248,https://openalex.org/W4396858470,Integrated Metabolomics and Transcriptomics Analysis of Flavonoid Biosynthesis Pathway in Polygonatum cyrtonema Hua,unreviewed
B,212,Polygonatum kingianum,Asparagaceae,1,12,12,1,0,Combined Metabolomics and Transcriptomics Analysis of the Distribution of Flavonoids in the Fibrous Root and Taproot of Polygonatum kingianum Coll.et Hemsl,10.3390/genes15070828,https://openalex.org/W4399968957,Combined Metabolomics and Transcriptomics Analysis of the Distribution of Flavonoids in the Fibrous Root and Taproot of Polygonatum kingianum Coll.et Hemsl,unreviewed
B,213,Pterocymbium oceanicum,Malvaceae,1,12,12,1,0,"Distribution and Ecology of the Critically Endangered Tree, Pterocymbium oceanicum in Fiji: New Records and Implications for Conservation",10.1016/b978-0-12-821139-7.00153-7,https://openalex.org/W3208713863,"Distribution and Ecology of the Critically Endangered Tree, Pterocymbium oceanicum in Fiji: New Records and Implications for Conservation",unreviewed
B,214,Quercus petraea,Fagaceae,1,12,12,1,0,Intraspecific genetic structure in a mixed population of Quercus petraea (Matt.) Leibl and Q. robur L.,10.1038/hdy.1994.112,https://openalex.org/W2082499417,Intraspecific genetic structure in a mixed population of Quercus petraea (Matt.) Leibl and Q. robur L.,unreviewed
B,215,Quercus rubra,Fagaceae,1,12,12,1,0,"Macrogeographic and fine-scale genetic structure in a North American oak species, Quercus rubra L",10.1051/forest:19930726,https://openalex.org/W1965434738,"Macrogeographic and fine-scale genetic structure in a North American oak species, Quercus rubra L",unreviewed
B,216,Rhododendron longipedicellatum,Ericaceae,1,12,12,1,0,"Study on Reproductive Biology of Rhododendron longipedicellatum: A Newly Discovered and Special Threatened Plant Surviving in Limestone Habitat in Southeast Yunnan, China",10.3389/fpls.2018.00033,https://openalex.org/W2793644482,"Study on Reproductive Biology of Rhododendron longipedicellatum: A Newly Discovered and Special Threatened Plant Surviving in Limestone Habitat in Southeast Yunnan, China",unreviewed
B,217,Rhynchostele cervantesii,Orchidaceae,1,12,12,1,0,"Mating system and female reproductive success of the endemic and endangered epiphyte Rhynchostele cervantesii (Orchidaceae) in a cloud forest in Michoacan, Mexico",10.5091/plecevo.2021.1551,https://openalex.org/W3136289182,"Mating system and female reproductive success of the endemic and endangered epiphyte Rhynchostele cervantesii (Orchidaceae) in a cloud forest in Michoacan, Mexico",unreviewed
B,218,Sclerolaena diacantha,Amaranthaceae,1,12,12,1,0,Does ant dispersal of seeds in Sclerolaena diacantha (Chenopodiaceae) generate local spatial genetic structure?,10.1038/hdy.1995.146,https://openalex.org/W2314775506,Does ant dispersal of seeds in Sclerolaena diacantha (Chenopodiaceae) generate local spatial genetic structure?,unreviewed
B,219,Sesamum indicum,Pedaliaceae,1,12,12,1,0,Comparative metabolomics analysis of different sesame (Sesamum indicum L.) tissues reveals a tissue-specific accumulation of metabolites,10.1186/s12870-021-03132-0,https://openalex.org/W3184718777,Comparative metabolomics analysis of different sesame (Sesamum indicum L.) tissues reveals a tissue-specific accumulation of metabolites,unreviewed
B,220,Sorghum bicolor,Poaceae,1,12,12,1,0,Integrated metabolomics and transcriptomic analysis of the flavonoid regulatory networks in Sorghum bicolor seeds,10.1186/s12864-022-08852-7,https://openalex.org/W4293206928,Integrated metabolomics and transcriptomic analysis of the flavonoid regulatory networks in Sorghum bicolor seeds,unreviewed
B,221,Tagetes erecta,Asteraceae,1,12,12,1,0,In-vivo and in-vitro mutagenesis in marigold (Tagetes erecta) using 60Co gamma rays,10.56093/ijas.v86i7.59738,https://openalex.org/W3169447117,In-vivo and in-vitro mutagenesis in marigold (Tagetes erecta) using 60Co gamma rays,unreviewed
B,222,Vigna unguiculata,Fabaceae,1,12,12,1,0,Pollinators on Cowpea Vigna unguiculata: Implications for Intercropping to Enhance Biodiversity,10.3390/insects12010054,https://openalex.org/W3118904736,Pollinators on Cowpea Vigna unguiculata: Implications for Intercropping to Enhance Biodiversity,unreviewed
B,223,Arachis hypogaea,Fabaceae,1,9,9,1,1,Transcriptome and Metabolome Analysis Unveil Anthocyanin Metabolism in Pink and Red Testa of Peanut (Arachis hypogaea L.),10.1155/2021/5883901,https://openalex.org/W3191689703,"Peanut (Arachis hypogaea L.) is an important source of oil and food around the world, and the testa color affects its appearance and commercial value. However, few studies focused on the mechanism of pigment formation in peanut testa. In this s",unreviewed
B,224,Camellia sasanqua,Theaceae,1,9,9,1,1,Floral organ transcriptome in Camellia sasanqua provided insight into stamen petaloid,10.1186/s12870-022-03860-x,https://openalex.org/W4302283638,"BACKGROUND: The cultivated Camellia sasanqua forms a divergent double flower pattern, and the stamen petaloid is a vital factor in the phenomenon. However, the regulation mechanism remains largely unclear. RESULTS: Here, a comprehensive comparative transcriptome a",unreviewed
B,225,Canna glauca,Cannaceae,1,9,9,1,1,Integrated Metabolome and Transcriptome Analyses Reveal That the Flavonoid Metabolic Pathway Is Associated with Pigment Differential Accumulation in Two Colors of Petaloid Staminodes in Canna glauca,10.3390/horticulturae10040372,https://openalex.org/W4394580171,"Canna glauca, an ornamental plant widely cultivated in aquatic habitats, is notable for its long florescence and showy flowers. The flower of this species is distinguished by its petaloid staminodes, which comprise the majority of t",unreviewed
B,226,Gossypium hirsutum,Malvaceae,1,9,9,1,1,Comparative Metabolome and Transcriptome Analysis of Anthocyanin Biosynthesis in White and Pink Petals of Cotton (Gossypium hirsutum L.),10.3390/ijms231710137,https://openalex.org/W4294733137,"Upland cotton (Gossypium hirsutum L.) is one of the important fiber crops. Cotton flowers usually appear white (or cream-colored) without colored spots at the petal base, and turn pink on the next day after flowering. In this study, using a mutant showi",unreviewed
B,227,Iris germanica,Iridaceae,1,9,9,1,1,Association Analysis of Transcriptome and Targeted Metabolites Identifies Key Genes Involved in Iris germanica Anthocyanin Biosynthesis,10.3390/ijms242216462,https://openalex.org/W4388764888,"The anthocyanin biosynthetic pathway is the main pathway regulating floral coloration in Iris germanica, a well-known ornamental plant. We investigated the transcriptome profiles and targeted metabolites to elucidate the relationship between genes and metabolites in anthocyanin biosynthesis in the bitone flower cultivar ‘",unreviewed
B,228,Phalaenopsis amabilis,Orchidaceae,1,9,9,1,1,Identification of early flowering mutant gene in Phalaenopsis amabilis (L.) Blume for sgRNA construction in CRISPR/Cas9 genome editing system,10.1590/1519-6984.268133,https://openalex.org/W4379415922,"Phalaenopsis amabilis (L.) Blume commonly called Moth Orchid (Orchidaceae) is a natural orchid species designated as the National Flower of Indonesia for its beautiful flower shape and long-lasting flowering period. Basically, P. amabilis ha",unreviewed
B,229,Trachycarpus fortunei,Arecaceae,1,9,9,1,1,Comparative transcriptome analysis of dioecious floral development in Trachycarpus fortunei using Illumina and PacBio SMRT sequencing,10.1186/s12870-023-04551-x,https://openalex.org/W4388300827,"BACKGROUND: Trachycarpus fortunei is a plant with significant economic and ornamental value. Both male and female flowers of T. fortunei originate as bisexual flowers, and selective abortion occurs during floral development. However, the regulatory mech",unreviewed
B,230,Vitis vinifera,Vitaceae,1,9,9,1,1,"Colour variation in red grapevines (Vitis vinifera L.): genomic organisation, expression of flavonoid 3'-hydroxylase, flavonoid 3',5'-hydroxylase genes and related metabolite profiling of red cyanidin-/blue delphinidin-based anthocyanins in berry skin",10.1186/1471-2164-7-12,https://openalex.org/W1530636496,"ins is largely under genetic control and determines the colour variation among red/purple/blue berry grape varieties and their corresponding wines. RESULTS: Gene fragments of VvF3'H and VvF3'5'H, that were isolated from Vitis vinifera 'Cabernet Sauvignon' using degenerate primers designed on plant homologous genes, translated into 313 and 239 amino acid protein fragments, respectively, with up to 76% and 82% identity to plant CYP75 cytochrome P450 mo",unreviewed
B,246,Phlox cuspidata,Polemoniaceae,2,18,28,0,2,The Cost of Reinforcement: Selection on Flower Color in Allopatric Populations of Phlox drummondii,10.1086/675495,https://openalex.org/W2136138417,"erring greater reproductive isolation from spreading into allopatry. We investigate flower color divergence in the wildflower Phlox drummondii, which is caused by reinforcement in the regions sympatric with its congener Phlox cuspidata. Specifically, we performed common garden field experiments and pollinator observations to estimate selection acting on flower color variation in allopatry. We combine our estimates of maternal and paternal fitness usin",unreviewed
B,261,Curcuma caulina,Zingiberaceae,2,14,28,0,2,"A tale of three morphs I: Variations in nectar, reproductive compatibility, and abundance explain reproductive success of the morphs in a polymorphic ginger from Western Ghats, India",10.1101/2024.09.21.614269,https://openalex.org/W4402799074,"tive differences among sympatric morphs remain poorly understood. This is primarily because perennial individuals can carry signatures of past selection regimes. We studied bract color polymorphism in a nocturnal ginger Curcuma caulina to ask: (i) Do nectar rewards, reproductive compatibility and pollinator visitation differ among color morphs? (ii) Does morph abundance correlate with fitness via ecological (pollinator-mediated) or physiological (comp",unreviewed
B,262,Ionopsis utricularioides,Orchidaceae,2,14,27,0,2,A cognitive analysis of deceptive pollination: associative mechanisms underlying pollinators’ choices in non-rewarding colour polymorphic scenarios,10.1038/s41598-020-66356-4,https://openalex.org/W3035443009,"wers by pollinators. Here, we analysed the cognitive mechanisms underlying the choice of free-flying stingless bees Scaptotrigona aff. depilis trained to visit a patch of artificial flowers that displayed the colours of Ionopsis utricularioides, a food deceptive orchid. Bees were trained in the presence of a non-rewarding colour and later tested with that colour vs. alternative colours. We simulated a discrete-polymorphism scenario with two distinct non-reward",unreviewed
B,263,Epimedium pubescens,Berberidaceae,2,14,22,0,2,Pollen competition between morphs in a pollen-color dimorphic herb and the loss of phenotypic polymorphism within populations,10.1111/evo.13445,https://openalex.org/W2789602613,"enance of different color morphs within populations is difficult. To address the selective mechanisms shaping pollen-color dimorphism, pollinator preferences and reproductive performance were studied over three years in Epimedium pubescens in which some populations had plants with either green or yellow pollen (and anthers). Visitation rate and pollen removal and receipt by the bee pollinator (Andrena emeishanica) did not differ between the two color morp",unreviewed
B,271,Ophrys insectifera,Orchidaceae,2,13,26,0,2,"Lier génotypes, phénotypes et valeur sélective pour décrypter les traits et les régions génomiquesimpliquées dans l’adaptation et/ou l’isolement reproductif à travers des zones hybrides",,https://openalex.org/W7152949802,"renees shaped by a flower color dimorphism in Pedicularis comosa, where phenotypic and genetic variation follows a longitudinal gradient. The other two are mosaic hybrid zones involving sexually deceptive orchids of the Ophrys insectifera clade, where gene flow occurs across patchily distributed populations without a clear spatial structure. These orchids rely on mimicking insect sexual signals to attract specific pollinators, generating strong reproduct",unreviewed
B,272,Pedicularis comosa,Orobanchaceae,2,13,26,0,2,"Lier génotypes, phénotypes et valeur sélective pour décrypter les traits et les régions génomiquesimpliquées dans l’adaptation et/ou l’isolement reproductif à travers des zones hybrides",,https://openalex.org/W7152949802,"s question by integrating genomic, phenotypic, and fitness data across three hybrid zones involving two contrasting plant systems. The first is a clinal hybrid zone in the Pyrenees shaped by a flower color dimorphism in Pedicularis comosa, where phenotypic and genetic variation follows a longitudinal gradient. The other two are mosaic hybrid zones involving sexually deceptive orchids of the Ophrys insectifera clade, where gene flow occurs across patchily",unreviewed
B,290,Petunia axillaris,Solanaceae,3,10,30,0,3,Faculty Opinions recommendation of Single gene-mediated shift in pollinator attraction in Petunia.,10.3410/f.1083842.540460,https://openalex.org/W4245606850,"pollination syndromes in closely related plant species. We focus on ANTHOCYANIN2 (AN2), a well-defined myb-type transcription factor that is a major determinant of flower color variation between Petunia integrifolia and Petunia axillaris. Analysis of sequence variation in AN2 in wild P. axillaris accessions showed that loss-of-function alleles arose at least five times independently. DNA sequence analysis was complemented by functional assays for pollin",unreviewed
B,291,Petunia integrifolia,Solanaceae,3,10,30,0,3,Faculty Opinions recommendation of Single gene-mediated shift in pollinator attraction in Petunia.,10.3410/f.1083842.540460,https://openalex.org/W4245606850,"e evolution of divergent pollination syndromes in closely related plant species. We focus on ANTHOCYANIN2 (AN2), a well-defined myb-type transcription factor that is a major determinant of flower color variation between Petunia integrifolia and Petunia axillaris. Analysis of sequence variation in AN2 in wild P. axillaris accessions showed that loss-of-function alleles arose at least five times independently. DNA sequence analysis was complemented by functi",unreviewed
C,231,Abronia fragrans,Nyctaginaceae,1,27,27,0,1,"Pollinator, herbivore, and climatic selective pressures differ across a floral color transition zone",10.1002/ajb2.70142,https://openalex.org/W4417447151,"nd well-studied anthocyanins and carotenoids, may attract pollinators, deter herbivores, and protect against abiotic stress. METHODS: We investigated which selection pressures underlie betalain pigmentation variation in Abronia fragrans, a wildflower polymorphic in floral color across its range. RESULTS: While most populations produced white flowers, some in the south-central United States bore pink flowers with reduced floral display, suggesting a tra",unreviewed
C,232,Cosmos bipinnatus,Asteraceae,1,27,27,0,1,Pollinator response to flower color polymorphism and floral display in a plant with a single‐locus floral color polymorphism: consequences for plant reproduction,10.1007/s11284-011-0908-2,https://openalex.org/W2049016796,"of compatible pollen. To asses if flower color polymorphism and floral display influences pollinator preferences and movements within and among plants and fitness‐related variables we used the self‐incompatible species Cosmos bipinnatus Cav. (Asteraceae), a model system with single‐locus flower color polymorphism that comprises three morphs: white (recessive homozygous), pink (heterozygous co‐dominate), and purple (dominant homozygous) flowers. We meas",unreviewed
C,233,Epidendrum fulgens,Orchidaceae,1,27,27,0,1,The consequences of flower colour polymorphism on the reproductive success of a neotropical deceptive orchid,10.1111/plb.70020,https://openalex.org/W4409038671,"Deceptive plants often exhibit elevated levels of polymorphism. The basis of the association between flower polymorphism and deceptive strategies, however, remains unclear. Epidendrum fulgens, a Neotropical deceptive orchid pollinated by butterflies, has an unexplored intrapopulation flower colour polymorphism. Here, we investigate the consequences of this polymorphism on its reproductive success. We perform",unreviewed
C,234,Iris potaninii,Iridaceae,1,27,27,0,1,Flower color polymorphism of a wild Iris on the Qinghai-Tibet plateau,10.1186/s12870-023-04642-9,https://openalex.org/W4389498173,"netics can enhance our understanding of flower color polymorphism in wild plant. RESULTS: In this study, we examined the differences of potential male and female fitness between purple- and yellow- flower individuals in Iris potaninii on the Qinghai-Tibet Plateau, and screened key genes and positively selective genes involved in flower color change. Our results showed that yellow flower exhibited a higher pollen-to-ovule ratio. Yellow flowers were de",unreviewed
C,235,Leavenworthia exigua,Brassicaceae,1,27,27,0,1,Reproductive character displacement shapes a spatially structured petal color polymorphism in Leavenworthia stylosa,10.1111/evo.12659,https://openalex.org/W2005881429,"character displacement). We test these and alternative hypotheses to explain a yellow-white petal color polymorphism in Leavenworthia stylosa, where yellow morphs are spatially associated with a white-petaled congener (Leavenworthia exigua) that produces hybrids with complete pollen sterility. A reciprocal transplant experiment found limited evidence of local adaptation of yellow color morphs via increased survival and seed set. Pollinator observations re",unreviewed
C,236,Ophrys arachnitiformis,Orchidaceae,1,27,27,0,1,On the roles of colour and scent in a specialized floral mimicry system,10.1093/aob/mcp208,https://openalex.org/W2147066939,"ation mechanism is often highly specific as it is based primarily on the mimicry of mating signals, especially the female sex pheromones of the targeted pollinator. Like many deceptive orchids, the Mediterranean species Ophrys arachnitiformis shows high levels of floral trait variation, especially in the colour of the perianth, which is either green or white/pinkinsh within populations. The adaptive significance of perianth colour polymorphism and its influe",unreviewed
C,237,Penstemon whippleanus,Plantaginaceae,1,27,27,0,1,Genetics and Evolutionary Mechanisms of a balanced flower color polymorphism in Whipple’s Penstemon,10.52843/cassyni.grcx7q,https://openalex.org/W4402491049,"ction tends to favor a single optimal phenotype, leading to a reduction in genetic diversity over time. In contrast, balancing selection employs various mechanisms to maintain genetic diversity. The perennial wildflower Penstemon whippleanus exhibits within-population flower color polymorphism (FCP) across a wide geographic range in the Rocky Mountains, suggesting balancing selection is preserving genetic diversity. Here we examine the genetic basis and sou",unreviewed
C,238,Vinca minor,Apocynaceae,1,27,27,0,1,"Thermal regulation of flowers: color‐driven differences in radiation absorption, cooling, and heat tolerance",10.1111/nph.71163,https://openalex.org/W7151054309,"rmal environment of reproductive organs, with potential consequences for plant fitness under climate change. We examined how color polymorphism shapes the floral energy balance, cooling strategies, and heat tolerance in Vinca minor, which has three color morphs. By combining full-spectrum optical measurements, controlled temperature-response experiments under controlled and natural radiation, and modeling, we quantified petal energy balance compon",unreviewed
