priority_tier,rank,canonical_name,family,n_works,max_score,total_score,n_title_matches,n_context_matches,best_title,best_doi,best_openalex_id,best_match_evidence,review_status
A,136,Heliconia irrasa,Heliconiaceae,1,20,20,1,1,Long-Tailed Hermit Hummingbird Visits to Inflorescence Color Morphs of Heliconia irrasa,10.2307/1367077,https://openalex.org/W2328833611,Visits by Long-tailed Hermit hummingbirds (Phaethornis superciliosus) to flowers of different inflorescence color morphs in a natural population of Heliconia irrasa were monitored indirectly using fluorescent powder. The two color morphs (red and yellow) were indistinguishable with respect to amount and rate of reward (nectar) offered to pollinators. The birds did not appear to pre,unreviewed
A,137,Linum usitatissimum,Linaceae,1,20,20,1,0,QTL mapping and molecular characterization of the classical D locus controlling seed and flower color in Linum usitatissimum (flax),10.1038/s41598-017-11565-7,https://openalex.org/W2767959263,QTL mapping and molecular characterization of the classical D locus controlling seed and flower color in Linum usitatissimum (flax),unreviewed
A,138,Lupinus polyphyllus,Fabaceae,1,20,20,1,1,"Bumblebee visits to different colour morphs of the Washington lupine, Lupinus polyphyllus",10.33338/ef.83851,https://openalex.org/W2201993718,"We examined the flower visits of bumblebees (Hymenoptera, Apoidea, Bomb us spp.) to Lupinus polyphyllus Lindley (Fabaceae) in southern Finland. The racemes of the plant bear nectarless flowers which appear in three main colour morphs, blue, red and white, of which blue is the most common. Blue inflorescences had the great",unreviewed
A,139,Mikania micrantha,Asteraceae,1,20,20,1,0,Phenolic Acids and Flavonoids Play Important Roles in Flower Bud Differentiation in Mikania micrantha: Transcriptomics and Metabolomics,10.3390/ijms242316550,https://openalex.org/W4388849123,Phenolic Acids and Flavonoids Play Important Roles in Flower Bud Differentiation in Mikania micrantha: Transcriptomics and Metabolomics,unreviewed
A,140,Nigella degenii,Ranunculaceae,1,20,20,1,1,COMPARATIVE ANALYSES OF POPULATION STRUCTURE IN TWO SUBSPECIES OF NIGELLA DEGENII : EVIDENCE FOR DIVERSIFYING SELECTION ON POLLEN‐COLOR DIMORPHISMS,10.1111/j.0014-3820.2006.tb01133.x,https://openalex.org/W4320996989,"fferent environments may therefore favor different pigmentation phenotypes. We examined whether spatially varying selection has played a major role in shaping large‐scale patterns of differentiation in two subspecies of Nigella degenii (Ranunculaceae), with particular emphasis on pollen color. The two subspecies appear to have been genetically isolated for substantial periods of time and, therefore, provide a “replicated test” for the effect of natura",unreviewed
A,141,Osmanthus fragrans,Oleaceae,1,20,20,1,0,Recent Advances in Flower Color and Fragrance of Osmanthus fragrans,10.3390/f14071403,https://openalex.org/W4383723672,Recent Advances in Flower Color and Fragrance of Osmanthus fragrans,unreviewed
A,142,Phlox kelseyi,Polemoniaceae,1,20,20,1,1,Biosystematics of Phlox kelseyi (Polemoniaceae),,https://openalex.org/W2335835263,lysis for 34 multivariate analyses.Breeding system experimental design.38 Summary statistics for morphological characters of Phlox kelseyi and its infraspecific taxa.41 Significantly different discrete characters of the Phlox kelseyi infraspecific taxa.47 Salient morphological characters in Phlox kelseyi.50 Predicted taxon membership from discriminant analysis for Phlox kelseyi specimens examined.53 Mean seed set per flower from 1985 breeding system,unreviewed
A,143,Psychilis monensis,Orchidaceae,1,20,20,1,0,Does flower color variation matter in deception pollinated Psychilis monensis (Orchidaceae)?,10.1007/s00442-003-1443-9,https://openalex.org/W2015491842,Does flower color variation matter in deception pollinated Psychilis monensis (Orchidaceae)?,unreviewed
A,144,Saponaria officinalis,Caryophyllaceae,1,20,20,1,1,Sexual Dimorphism of Staminate- and Pistillate-Phase Flowers of Saponaria officinalis (Bouncing Bet) Affects Pollinator Behavior and Seed Set,10.1371/journal.pone.0093615,https://openalex.org/W2053488741,"le function in flowers of dichogamous species allows for the evolution of differing morphologies that maximize fitness through seed siring and seed set. We examined staminate- and pistillate-phase flowers of protandrous Saponaria officinalis for dimorphism in floral traits and their effects on pollinator attraction and seed set. Pistillate-phase flowers have larger petals, greater mass, and are pinker in color, but due to a shape change, pistillate-phase fl",unreviewed
A,145,Silene dioica,Caryophyllaceae,1,20,20,1,1,Inheritance and reproductive consequences of floral anthocyanin deficiency in Silene dioica ( Caryophyllaceae ),10.3732/ajb.1400136,https://openalex.org/W2065254881,"utations can persist because they can affect not only pollinator visitation but also plant fertility and performance.• METHODS: We collected rare white-flowered (anthocyanin-deficient) and common pink-flowered morphs of Silene dioica from natural populations in Switzerland. First- and second-generation hybrids between pink and white morphs, as well as backcrosses toward white morphs were produced, and the proportion of white-flowered offspring was d",unreviewed
A,146,Streptanthus polygaloides,Brassicaceae,1,20,20,1,1,"The role of elevation and soil chemistry in the distribution and ion accumulation of floral morphs of Streptanthus polygaloides Gray (Brassicaceae), a Californian nickel hyperaccumulator",10.1080/17550874.2013.783141,https://openalex.org/W2104618392,"Background: The flora of serpentine/ultramafic soils provides an excellent model system for the study of natural selection in plant populations. Streptanthus polygaloides is a nickel hyperaccumulator that is endemic to serpentine soils in the Sierra Nevada of California, and has four floral morphs (yellow, purple, yellow-to-purple and undulate).Aims: We investigate three hypotheses: (1)",unreviewed
