species,n_classifiable,H1_coarse_primary_morph,H1_coarse_secondary_morph,H1_coarse_second_fraction,continuous_major_n,continuous_minor_n,continuous_minor_fraction,continuous_hellinger_separation_ratio,continuous_vs_coarse_nmi,delta_norm,coarse_n_white,coarse_n_yellow_orange,coarse_n_red_pink,coarse_n_blue_purple,mu1_white,mu2_white,delta_white,mu1_yellow,mu2_yellow,delta_yellow,mu1_orange,mu2_orange,delta_orange,mu1_red,mu2_red,delta_red,mu1_pink,mu2_pink,delta_pink,mu1_magenta,mu2_magenta,delta_magenta,mu1_purple,mu2_purple,delta_purple,mu1_blue,mu2_blue,delta_blue,mu1_bronze,mu2_bronze,delta_bronze
Apocynum cannabinum,52,white,yellow_orange,0.21153846153846154,35,17,0.3269230769230769,2.288910796996729,0.531890316072095,0.6563252707103547,41,11,0,0,0.864063828838041,0.3711224854230432,-0.4929413434149978,0.08431897909240142,0.5122126077188714,0.42789362862647,4.410589379259143e-05,0.0013279439599839127,0.0012838380661913213,6.481413672316561e-06,3.568712207895295e-05,2.920570840663639e-05,0.002149682770804719,0.0010610441659828944,-0.0010886386048218246,0.0,1.4304173481011768e-05,1.4304173481011768e-05,0.00022245503852235722,1.907223130801765e-05,-0.00020338280721433956,0.003288738452428364,0.0,-0.003288738452428364,0.04590572850033705,0.11420685520525066,0.06830112670491362
Aquilegia vulgaris,49,blue_purple,white,0.30612244897959184,27,22,0.4489795918367347,1.9108107997180417,0.7410437317618639,0.7143778178239384,15,0,8,26,0.18391473215521112,0.6089841611561763,0.4250694290009651,0.01196689835672684,0.02505810419286149,0.01309120583613465,0.0,0.00011865571292966758,0.00011865571292966758,1.79236391167963e-05,0.0034916681270050283,0.003473744487888232,0.021062061995224975,0.25093110751519804,0.22986904551997306,0.0045080976313373305,0.02282277989354424,0.018314682262206908,0.3626467489158582,0.01940774326702413,-0.34323900564883403,0.40351105737681403,0.008373655203649995,-0.395137402173164,0.01237247992971076,0.06081212493161119,0.048439645001900435
Argemone albiflora,79,white,yellow_orange,0.31645569620253167,54,25,0.31645569620253167,3.524543774490845,1.0,1.0040804982835916,54,25,0,0,0.9232141279955647,0.054302416148761454,-0.8689117118468033,0.04976348525682002,0.4329707660091248,0.3832072807523048,0.008164056808682372,0.2503181277671733,0.24215407095849095,0.00036677147076021505,0.012089715362641171,0.011722943891880956,0.00026008271956258147,0.00621890730538339,0.005958824585820808,3.309739042731942e-07,0.0,-3.309739042731942e-07,0.0001000405809388713,0.005681007341126627,0.005580966760187755,9.697780043015662e-05,0.002500072130503933,0.0024030943300737766,0.018034126393336743,0.23591898793528532,0.21788486154194858
Astragalus missouriensis,59,blue_purple,red_pink,0.3559322033898305,36,23,0.3898305084745763,2.2432936777869554,0.8458822200975551,0.6233847473669236,0,1,21,37,0.1143889830799928,0.06852051518865329,-0.04586846789133951,0.0004121798035289196,0.03253196807156329,0.03211978826803437,7.456273379840002e-05,0.0007764479342249743,0.0007018852004265743,3.622518639752432e-05,0.001256997269514905,0.0012207720831173806,0.11479196724775312,0.21065330424820444,0.09586133700045132,0.04578408404474211,0.4579763325243841,0.412192248479642,0.6460071189247993,0.19716962956951367,-0.44883748935528567,0.06864014276856233,0.0013497153990735867,-0.06729042736948875,0.009864736210425433,0.02976508979486788,0.01990035358444245
Astragalus purshii,43,blue_purple,white,0.3953488372093023,26,17,0.3953488372093023,2.335592265025066,0.8491593473900132,0.8280195416649179,17,0,4,22,0.13975022817220395,0.8126437742895076,0.6728935461173037,0.0028024038757349093,0.0012252248074492,-0.0015771790682857093,5.944902642307693e-06,0.0,-5.944902642307693e-06,0.01655357829897578,0.0,-0.01655357829897578,0.15615925412084125,0.05538279033522102,-0.10077646378562023,0.0451565169204584,0.0027739651338555002,-0.0423825517866029,0.5194668881823843,0.05441913540813763,-0.46504775277424665,0.11041142767647567,0.046830776080177765,-0.06358065159629792,0.009693757850283514,0.026724333945651258,0.017030576095367744
Bituminaria bituminosa,44,blue_purple,white,0.4318181818181818,24,20,0.45454545454545453,1.7363794192364224,0.7837798961328718,0.689069663964021,19,3,1,21,0.17372042651724287,0.7306847669787786,0.5569643404615358,0.04923048585818147,0.019088706050685265,-0.030141779807496202,0.00459360980552768,0.0048213962196566465,0.00022778641412896615,0.0,0.0003274953723479951,0.0003274953723479951,0.0788696975388372,0.06269718112899672,-0.01617251640984048,0.040270424313613766,3.765431477943818e-05,-0.04023276999883433,0.4166190774693352,0.036398412092418606,-0.38022066537691657,0.2032808072836654,0.07687059160498094,-0.12641021567868446,0.03341547121359656,0.06907379623735573,0.035658325023759166
Boechera breweri,47,blue_purple,red_pink,0.3404255319148936,31,16,0.3404255319148936,1.7840933862471147,0.8033836727359506,0.5176589102692715,7,0,16,24,0.2378767791435654,0.1253600873307715,-0.11251669181279389,0.003997635089796457,0.0009040532914876555,-0.0030935817983088016,1.661644806805807e-05,3.570673976767731e-05,1.909029169961924e-05,7.278401752338348e-06,1.1843861914951176e-05,4.565460162612828e-06,0.13649702482919307,0.3225512283985218,0.18605420356932872,0.040357639760544926,0.363319569299432,0.3229619295388871,0.49681962059635965,0.1639015700051225,-0.33291805059123714,0.07400143096681132,0.0006449496492718544,-0.07335648131753947,0.010425974763908805,0.023270991423710054,0.012845016659801249
Caladenia latifolia,46,white,red_pink,0.30434782608695654,31,15,0.32608695652173914,1.6390480970476555,0.47422649452323024,0.6649908839875149,23,0,14,9,0.6570711547842344,0.1193133047065745,-0.5377578500776599,0.007396169385905997,0.00022241340939955592,-0.00717375597650644,0.0007303064145935768,0.0003702325903823401,-0.00036007382421123673,0.000139904410718171,0.00013919371744738,-7.106932707909926e-07,0.14696100836012507,0.41024064071720373,0.26327963235707863,0.0036942776769747685,0.238093495124511,0.23439921744753622,0.06851893002668871,0.21269267158077512,0.1441737415540864,0.10046500412590194,0.011745961226068333,-0.08871904289983361,0.015023244814857272,0.007182086927637934,-0.007841157887219338
Campanula persicifolia,61,blue_purple,white,0.2459016393442623,46,15,0.2459016393442623,2.2688742377169118,1.0,0.9401874532441892,15,0,0,46,0.1538887987356677,0.9005297394226256,0.7466409406869579,0.0072559680247488954,0.007684407330988889,0.0004284393062399935,9.587084504779353e-05,5.311338144780668e-05,-4.275746359998685e-05,5.087589032808045e-05,0.0,-5.087589032808045e-05,0.02415004944232241,0.03969785656211057,0.015547807119788159,0.0008358299576068632,3.696516033638002e-05,-0.0007988647972704832,0.30171881501721354,0.016479704919039977,-0.28523911009817354,0.5057357872859644,0.011215229507193562,-0.4945205577787708,0.006268004801100516,0.024302983716257283,0.018034978915156766
Castilleja latifolia,50,yellow_orange,red_pink,0.24,29,21,0.42,1.5248531174860025,0.2715392697095206,0.4549040335401677,3,35,12,0,0.04744877011837435,0.23547437839085347,0.1880256082724791,0.01152913872804345,0.21064649699582355,0.1991173582677801,0.1574377292393096,0.19686102844005887,0.03942329920074927,0.3763038889028414,0.019381412804468208,-0.3569224760983732,0.025488799286628408,0.006422951669399925,-0.019065847617228484,0.0,3.122499073398401e-07,3.122499073398401e-07,0.0,8.118497590833337e-06,8.118497590833337e-06,9.575884093496553e-06,0.0006536249974262392,0.0006440491133327425,0.3817820978407092,0.33055167595447155,-0.051230421886237665
