genus,discovery_n,reserve_n,discovery_mean_D_unbiased,reserve_mean_D_unbiased
Allium,4,2,0.28105678437417636,0.5661158121785299
Asclepias,5,3,0.2296010920200704,0.2092959292875336
Calochortus,4,2,0.1364965251581023,0.43219123920682434
Cardamine,3,2,0.05212448279091808,0.034911961141469244
Cornus,3,2,0.1360544217687075,0.07839994246527801
Delphinium,2,3,0.15749224448215227,0.22899476856133205
Erigeron,2,6,0.35221697981518185,0.19670576957600608
Erythranthe,2,3,0.32081260364842457,0.04868581813270131
Gentiana,2,2,0.18836757921264952,0.13412647069825584
Geranium,4,3,0.4639858217894271,0.24510905407359876
Ipomoea,2,4,0.573581560283688,0.36043146580119967
Lathyrus,3,3,0.4130960866543241,0.18812904522824248
Linum,2,2,0.32546199257735137,0.4625298117641584
Lupinus,3,3,0.3040576458174727,0.314499027774356
Lysimachia,2,4,0.10472270784770782,0.06807599511671092
Ranunculus,4,4,0.1274689494658441,0.1039962859738978
Rosa,2,2,0.3408278240873813,0.622921034241789
Rubus,3,3,0.2207851319596198,0.10487226852124897
Salvia,6,7,0.4733486284198234,0.34308892498319876
Senecio,4,2,0.07648896630349415,0.08489748228554181
Trifolium,2,4,0.17887908142672007,0.33976737239704496
Veronica,6,5,0.3688931324491543,0.28813988456828543
Viola,8,4,0.3206612776538728,0.2003722084367245
