metric,predictor,observed_median,observed_q025,observed_q975,fraction_observed_gt0,null_median,null_q025,null_q975,observed_minus_null_median,p_like_two_sided,informative_species_median,informative_species_min,informative_species_max
H,abs_latitude,0.0008008448538423683,-0.008799651478837184,0.012643418750565022,0.55,0.0005275224379813708,-0.01244379600228332,0.012433979328042074,0.00014000158658893533,0.9253731343283582,326.0,314,335
H,island_share,-0.001327873538443444,-0.020931126438668252,0.018428355020086266,0.44,9.798433337632514e-05,-0.028028042106648453,0.02769902539527535,-0.0015968749598545776,0.9353233830845771,117.0,108,123
TV,abs_latitude,0.0025448696769479837,-0.011269060335429558,0.017058521872565995,0.595,0.0003885258225807055,-0.014253787460586646,0.01632190136662812,0.0020689449496337125,0.7761194029850746,326.0,314,335
TV,island_share,-0.0007909921537762085,-0.02107645164787639,0.02094424813221198,0.475,0.000603906262436908,-0.028846516421448358,0.03379996796368173,-0.0008185082182548861,0.9601990049751243,117.0,108,123
