species,inat_taxon_id,raw_results,locally_eligible_before_exclusion,local_rejected,wrong_taxon,prior_excluded,fresh_duplicate,after_observer_cap,retained,full_fixed_n,request_error,prospective_rank
Ajuga australis,210141,193,193,0,0,2,0,156,100,True,,1
Aralia nudicaulis,119828,200,200,0,0,0,0,187,100,True,,2
Castilleja tenuiflora,143148,200,200,0,0,1,0,172,100,True,,3
Castanea mollissima,49192,189,189,0,0,3,0,184,100,True,,4
Chaetopappa ericoides,76235,150,150,0,0,1,0,121,100,True,,5
Salix discolor,54844,191,191,0,0,1,0,173,100,True,,6
Berberis repens,133104,200,200,0,0,1,0,190,100,True,,7
Lilium philadelphicum,61253,200,200,0,0,1,0,176,100,True,,8
Campanula punctata,128781,200,200,0,0,3,0,178,100,True,,9
Conium maculatum,52998,200,200,0,0,6,0,193,100,True,,10
Oreomecon radicata,1473095,165,165,0,0,17,0,108,100,True,,11
Lithotoma axillaris,916270,139,139,0,0,1,0,119,100,True,,12
Myosotis discolor,70265,200,200,0,0,0,0,186,100,True,,13
Oxalis pes-caprae,53169,200,200,0,0,3,0,161,100,True,,14
Coreopsis tripteris,123957,200,200,0,0,1,0,196,100,True,,15
Cistus salviifolius,76365,200,200,0,0,0,0,174,100,True,,16
Erythranthe cardinalis,319974,200,200,0,0,0,0,189,100,True,,17
Allium cratericola,59078,116,116,0,0,1,0,103,100,True,,18
Aronia arbutifolia,151797,158,158,0,0,1,0,119,100,True,,19
Byrsonima lucida,159613,200,200,0,0,2,0,173,100,True,,20
Rhinanthus serotinus,167803,189,189,0,0,3,0,134,100,True,,21
Momordica charantia,61369,200,200,0,0,10,0,181,100,True,,22
Caltha palustris,56224,200,200,0,0,10,0,190,100,True,,23
Linaria alpina,132608,200,200,0,0,1,0,181,100,True,,24
Indigofera spicata,164063,200,200,0,0,5,0,129,100,True,,25
Metrosideros umbellata,403879,200,200,0,0,3,0,113,100,True,,26
Nuphar polysepala,78234,200,200,0,0,0,0,187,100,True,,27
Frankenia salina,58168,200,200,0,0,1,0,184,100,True,,28
Astragalus purshii,59613,200,200,0,0,1,0,174,100,True,,29
Desmodium canadense,129505,200,200,0,0,0,0,186,100,True,,30
Paeonia californica,58223,200,200,0,0,1,0,193,100,True,,31
Macroptilium lathyroides,165060,200,200,0,0,5,0,178,100,True,,32
Hedychium gardnerianum,52495,200,200,0,0,12,0,179,100,True,,33
Genista hirsuta,338636,188,188,0,0,1,0,103,100,True,,34
