species,genus,D,n_classifiable,reserve_log1p_span,opportunity_adjusted_D_rank_residual
Abutilon fruticosum,Abutilon,0.2114571318723568,51,9.624954526948471,-17.688898335299342
Acacia saligna,Acacia,0.0350765306122449,56,9.88811876238647,-128.32966147812886
Achillea millefolium,Achillea,0.0496715269988784,79,9.903228922847974,-14.83339343162207
Actaea spicata,Actaea,0.1189216427311665,63,9.200179654256509,3.1020853658956753
Adenium multiflorum,Adenium,0.2662500000000001,40,7.808296183187895,-52.20134997870127
Adenostyles alliariae,Adenostyles,0.628099173553719,44,7.774197777741165,93.18934034954867
Aechmea distichantha,Aechmea,0.2586805555555556,48,8.94074323633193,-14.8173472142133
Aegiceras corniculatum,Aegiceras,0.2903033908387865,41,9.231702472010353,-39.81589708626689
Aethusa cynapium,Aethusa,0.0270219553387127,73,9.123082789408128,-66.67552026645451
Agrimonia pilosa,Agrimonia,0.1049382716049383,72,9.010223376066692,29.574593770186524
Aliciella latifolia,Aliciella,0.2790697674418604,43,6.707592920626762,-33.88999382468444
Alliaria petiolata,Alliaria,0.152647137866165,61,9.405072415335308,14.156209769966523
Allium scorodoprasum,Allium,0.6304,50,9.020743047525109,129.31745380676207
Allium vineale,Allium,0.4773242630385487,42,9.88057704253482,25.90874007031988
Amsonia tomentosa,Amsonia,0.0,63,6.733076042966434,-128.01188629982443
Anarrhinum bellidifolium,Anarrhinum,0.5051239669421488,55,7.284531892281505,121.02261599762778
Andersonglossum virginianum,Andersonglossum,0.0992865636147443,58,7.621163429799515,-43.091904357047326
Anemone palmata,Anemone,0.22840790842872,62,7.380163168698965,57.596953848916115
Anemone virginiana,Anemone,0.2659279778393353,57,8.129388011170967,50.01889666471061
Anemopsis californica,Anemopsis,0.1207075962539023,62,7.744568147560552,-3.232332078176313
Antennaria racemosa,Antennaria,0.2423668639053254,65,7.450507951348001,77.65064885931324
Aotus ericoides,Aotus,0.0370238519045924,53,7.641371916777654,-142.2654388461889
Aphyllanthes monspeliensis,Aphyllanthes,0.5058864265927977,76,7.300872491765535,217.38111479231446
Aquilegia brevistyla,Aquilegia,0.4400181077410593,47,8.190362791835238,41.26088453749341
Arabidopsis thaliana,Arabidopsis,0.1348760330578513,55,9.89835866746404,-28.71965311736153
Argentina pacifica,Argentina,0.0,68,8.181882320292592,-108.37195376186949
Arnica latifolia,Arnica,0.029405212742259,67,7.849453092848735,-86.61975812734744
Asclepias angustifolia,Asclepias,0.056710775047259,69,7.67053784190761,-34.576767491446034
Asclepias curassavica,Asclepias,0.21875,48,9.89150558439632,-30.520843824426464
Asclepias purpurascens,Asclepias,0.3399999999999998,50,7.584818005484668,31.017955433240076
Asphodelus albus,Asphodelus,0.2401297998918334,43,7.818611736289328,-51.518615841517146
Astragalus agrestis,Astragalus,0.5246876859012493,41,9.232546036729389,49.187097897468334
Bauera rubioides,Bauera,0.3354591836734693,56,7.404037023953663,71.02342203506356
Berberis aquifolium,Berberis,0.0,62,9.319294936053955,-135.4178587859782
Berberis nervosa,Berberis,0.1680384087791495,54,7.226548572963187,-14.507226491306
