species,genus,D,n_classifiable,log1p_span_primary,opportunity_adjusted_D_rank_residual
Acacia linifolia,Acacia,0.2230902777777778,48,5.181907002397573,-8.225423708450421
Acacia ulicifolia,Acacia,0.3324099722991689,76,7.645824377863306,152.92742424686406
Aciphylla glacialis,Aciphylla,0.1403621214548949,79,5.275986376341166,76.71228767423383
Aconitum delphiniifolium,Aconitum,0.1281241022694628,59,8.541734917587121,-36.74906565582236
Aconitum tauricum,Aconitum,0.0695153061224489,56,6.148412462614004,-72.46047998764018
Adoxa moschatellina,Adoxa,0.4834710743801652,44,9.392778127364858,24.16552531055936
Aegopodium podagraria,Aegopodium,0.0,80,9.869998122175328,-100.87663028756756
Agapanthus praecox,Agapanthus,0.5069419722321111,53,9.891436493306475,94.46008363417835
Ageratina havanensis,Ageratina,0.0,70,8.037367171092656,-106.84079638976958
Agrostemma githago,Agrostemma,0.5745817016731933,53,9.448402101223278,128.5121983135853
Ajuga genevensis,Ajuga,0.1499375260308204,49,9.169928428073572,-82.44008480325297
Alchemilla alpina,Alchemilla,0.3244170096021948,54,8.409696791628225,48.810762152525314
Allium drummondii,Allium,0.3386243386243387,63,7.0378257042214045,117.91809594098535
Allium praecox,Allium,0.1178698224852071,65,6.28895351156119,11.799682428740041
Allium schoenoprasum,Allium,0.5895999999999999,50,9.901968666624938,103.18249856541544
Allium tuberosum,Allium,0.0579193584317219,67,9.890200223503632,-76.7191526426065
Althaea officinalis,Althaea,0.1597242171789715,59,9.374403456297216,-26.377169483073516
Alyxia buxifolia,Alyxia,0.3930864197530864,45,8.152951619584393,20.349250963484593
Amsinckia tessellata,Amsinckia,0.0559183673469387,70,7.448083848024978,-35.86030511567468
Anchusa arvensis,Anchusa,0.5312,50,9.735577522590097,87.62970196741648
Andromeda polifolia,Andromeda,0.3021914648212226,51,9.16549683704536,11.462018211875517
Androsace villosa,Androsace,0.0253122945430637,78,8.373532976137636,-72.23982473834305
Andryala integrifolia,Andryala,0.3713505566057551,69,7.972109606088368,145.11324233647105
Anemone pavonina,Anemone,0.5748148148148149,45,6.828671586233839,106.53888287379922
