species,genus,D,n_classifiable,log1p_span_primary,opportunity_adjusted_D_rank_residual
Anemonoides blanda,Anemonoides,0.3698224852071006,52,9.3507688579969,47.216775030541896
Anemonoides quinquefolia,Anemonoides,0.0798611111111109,48,7.908775472991759,-126.6053694476717
Antennaria dioica,Antennaria,0.286042240587695,66,9.163528187862957,77.16152398673415
Aquilegia coerulea,Aquilegia,0.5506198347107437,44,6.590156266152955,91.06866359962598
Asclepias incarnata,Asclepias,0.4398167430237402,49,8.33780497197544,55.292930301404084
Asclepias ovalifolia,Asclepias,0.1575505350772887,58,7.635703392961142,-8.746685753136177
Asclepias perennis,Asclepias,0.0281632653061223,70,7.466544238291129,-73.50791766883093
Asclepias quadrifolia,Asclepias,0.059228650137741,66,7.718470986881079,-50.39632027238906
Asclepias viridis,Asclepias,0.43875,40,7.711238021819615,11.473668676173872
Astragalus glycyphyllos,Astragalus,0.4954648526077096,42,8.731914995533815,28.67351535084947
Austroflourensia thurifera,Austroflourensia,0.0350765306122449,56,6.685123081560312,-107.26511849760922
Baptisia australis,Baptisia,0.1472,75,7.878372133104917,50.683770551914876
Baptisia tinctoria,Baptisia,0.0,75,7.216144426494783,-78.24528796136511
Barbarea orthoceras,Barbarea,0.0277722674072604,71,9.398896190400086,-98.29746216695443
Bellis annua,Bellis,0.0721874999999998,80,8.311444509938553,-3.7535741214406073
Bidens aristosa,Bidens,0.0499671268902037,78,7.688558906408167,-24.906946017404394
Bidens bipinnata,Bidens,0.1207075962539023,62,9.843917565440211,-41.37677312961185
Bidens cernua,Bidens,0.03076171875,64,9.227297419067218,-112.08360204310881
Biscutella laevigata,Biscutella,0.177742511406467,71,7.879807338805077,58.44933208389138
Brodiaea coronaria,Brodiaea,0.0619803476946334,63,7.047850308653437,-51.877129165327204
Bryonia alba,Bryonia,0.5425342058298632,41,9.268893577240116,39.15647620665163
Buddleja davidii,Buddleja,0.5959978366684695,43,9.89899087521862,56.380958002975035
Bursaria spinosa,Bursaria,0.0416478044363965,47,7.55409927792225,-168.8486780513082
Calochortus concolor,Calochortus,0.1760856632956573,41,5.986515087602396,-83.23561061059428
Calochortus flexuosus,Calochortus,0.2190753852561433,49,6.779938091786517,-9.122349065687132
Calochortus leichtlinii,Calochortus,0.1392318244170095,54,6.3657753059821145,-25.357041045128057
Calochortus monophyllus,Calochortus,0.0,55,5.838536016857498,-151.4751882006791
Calycadenia multiglandulosa,Calycadenia,0.0,64,5.656928667062552,-108.23762609457337
Calystegia tuguriorum,Calystegia,0.0783007080383174,49,7.192320185702996,-108.9935633198439
Campanula latifolia,Campanula,0.4418402777777778,48,9.376411813455167,37.38589906726372
Campanula patula,Campanula,0.4470663265306123,56,8.470457194484295,99.37881023160682
Cardamine amara,Cardamine,0.029405212742259,67,8.397755352146385,-92.11997094491693
Cardamine concatenata,Cardamine,0.0886965927528393,43,7.712201946444884,-143.08711796211514
Cardamine hirsuta,Cardamine,0.0350765306122449,56,9.902962384080006,-155.09158572023958
Carlina hispanica,Carlina,0.0338882282996433,58,7.343680164300765,-107.81830915844822
Carlina vulgaris,Carlina,0.5275000000000001,40,8.088783605893322,43.27394144361068
Carthamus mitissimus,Carthamus,0.5805785123966942,44,6.78758175468273,103.85447530228194
Castilleja exserta,Castilleja,0.3411989795918367,56,7.334119504215325,85.35425384457747
Castilleja foliolosa,Castilleja,0.5207939508506616,46,6.929492532377336,88.722529792106
Centranthus calcitrapae,Centranthus,0.197869822485207,65,9.162382489153469,32.02969562804887
Centrosema virginianum,Centrosema,0.6489994591671173,43,9.824367167143006,77.61397310763209
Cerastium fontanum,Cerastium,0.0677131425053862,57,9.88645024148178,-114.93558677333158
Chaenorhinum origanifolium,Chaenorhinum,0.5539358600583091,49,7.655169206369414,113.77342157549904
Chelone lyonii,Chelone,0.4723032069970845,49,7.596832881256963,76.98760987284302
Chondrilla juncea,Chondrilla,0.2355371900826446,66,9.801470813561073,53.69044611629573
Cipura campanulata,Cipura,0.1975308641975308,54,8.297374726384046,-13.155949975380821
Cistus albidus,Cistus,0.6010701545778834,58,7.547766977719561,186.81988999105155
Cistus crispus,Cistus,0.17236328125,64,7.403995742232479,34.2724692276752
Clematis virginiana,Clematis,0.0399833402748854,49,7.945889295713461,-163.0406303381266
Clinopodium alpinum,Clinopodium,0.2043431826272694,53,7.797580278447214,-4.674431691381159
Cneoridium dumosum,Cneoridium,0.3064000000000001,50,5.947406419507938,41.66599174485859
Cochlospermum vitifolium,Cochlospermum,0.0807291666666665,48,9.0610383150994,-134.2906356154541
Coleogyne ramosissima,Coleogyne,0.0748861528082307,77,6.783662697153128,14.497091575421209
Coleostephus myconis,Coleostephus,0.0,79,9.450566157579004,-99.56206486898961
Collinsia grandiflora,Collinsia,0.2297668038408779,54,6.79578816017583,31.395482785434098
Commelina benghalensis,Commelina,0.5159554017685506,51,9.896826887623345,79.73405076834271
Commelina communis,Commelina,0.2078402366863906,52,9.762074634065586,-30.73547603258345
Commelina diffusa,Commelina,0.4757253662740591,59,9.896098690270572,100.061302433863
Conoclinium betonicifolium,Conoclinium,0.1977857008819665,73,7.200712646670951,85.85891163435753
Conopholis alpina,Conopholis,0.3106508875739644,52,7.939217378024021,36.0446060903563
Conospermum caeruleum,Conospermum,0.4038165589412126,57,5.760223085506126,120.6195298114236
Convolvulus elegantissimus,Convolvulus,0.5826397146254458,58,7.709658133118095,177.83435105583234
Cornus florida,Cornus,0.2149104539775095,49,7.8708695568951486,-26.212117359720168
Cornus sanguinea,Cornus,0.1499375260308204,49,9.193586903644334,-83.17814756903428
Cornus suecica,Cornus,0.0350765306122449,56,9.204026427723129,-139.00181742620654
Corydalis aurea,Corydalis,0.0281632653061223,70,8.59720922111039,-89.89291106917652
Cotula coronopifolia,Cotula,0.0240928019036288,82,9.902923432240334,-89.4419808451197
Crepis biennis,Crepis,0.0322493953238376,61,9.066022765936278,-118.2016320471692
Crepis sancta,Crepis,0.0579193584317219,67,8.299762763233131,-57.381908179135564
Cryptantha barbigera,Cryptantha,0.2230902777777778,48,6.838655911951009,-15.458438813107477
Cylindropuntia echinocarpa,Cylindropuntia,0.19013128112268,47,6.434293957261003,-45.18728635196314
Cypripedium guttatum,Cypripedium,0.3336483931947069,46,9.138229503935367,-8.404892116553128
Dalea candida,Dalea,0.0525931336742147,74,8.027429067331983,-36.81444178496986
Dampiera stricta,Dampiera,0.1842653420926132,79,7.477836013048154,88.393870018076
Delphinium glaucum,Delphinium,0.2014462809917354,44,8.356421040783426,-78.43502022431426
Delphinium sutherlandii,Delphinium,0.1067995728017088,53,6.274841916472096,-47.222862546847836
Desmanthus illinoensis,Desmanthus,0.2355371900826446,66,9.43996245680042,55.75702186048346
Diplacus mephiticus,Diplacus,0.5627162629757786,68,6.354001112318042,230.67180654131093
Diplotaxis tenuifolia,Diplotaxis,0.0973044049967126,78,9.898200782493818,-1.234095158626772
Disphyma crassifolium,Disphyma,0.4717066545948393,47,9.871047439133145,30.59552344534461
Distimake aegyptius,Distimake,0.0767999999999999,50,9.8793204922701,-140.76538675517762
Distimake dissectus,Distimake,0.2228377962449986,57,9.878427424616175,-1.549911454393964
Drosera spatulata,Drosera,0.6803677663601947,43,9.149570035541828,87.91356395647688
Dyssodia pinnata,Dyssodia,0.0,78,6.844397781830535,-68.18839197752813
Echium gaditanum,Echium,0.2814776274713838,62,5.877610156931575,90.72609239201799
Echium rosulatum,Echium,0.4841580633677466,53,7.092040138498167,121.24889724218255
Ehretia anacua,Ehretia,0.0,50,6.937635497093264,-189.62418570032966
Elephantopus carolinianus,Elephantopus,0.1227887617065557,62,7.751323786636931,-15.315926965140392
Epacris obtusifolia,Epacris,0.2141582391433669,41,7.620971251821025,-70.99686592622095
Erechtites hieraciifolius,Erechtites,0.4762335898596649,47,9.8879627986852,31.971785360625688
Erigeron foliosus,Erigeron,0.6024,50,7.287131118883942,147.77595068338874
Erigeron linearis,Erigeron,0.0886965927528393,86,7.291741601858699,46.434221154231466
Eriodictyon crassifolium,Eriodictyon,0.1680384087791495,54,5.860153852245376,-0.2904653009403262
Eriogonum jamesii,Eriogonum,0.1400367309458219,66,6.999032143331932,26.58417100170584
Eriogonum latifolium,Eriogonum,0.2240816326530612,70,6.576580196061828,103.17734849895147
Eriogonum niveum,Eriogonum,0.0878099173553718,44,6.646069032985306,-125.22656150668658
Eriophorum vaginatum,Eriophorum,0.345679012345679,45,9.103193040896462,-3.9742143537974925
Eriophyllum confertiflorum,Eriophyllum,0.0,82,6.707087482615456,-57.7059638351144
Eryngium planum,Eryngium,0.2137639369473281,51,9.860706920256536,-36.98518519012558
Erythranthe dentata,Erythranthe,0.0579193584317219,67,6.83394995619966,-36.1257005246332
Erythranthe erubescens,Erythranthe,0.5698765432098767,45,6.302241536805216,107.67203436217468
Erythrina humeana,Erythrina,0.2921597633136095,52,7.09244451673833,37.18212332126399
Eschscholzia minutiflora,Eschscholzia,0.0,72,7.0916824750980725,-84.42435175197268
Euonymus obovatus,Euonymus,0.4997025580011898,41,7.149106966512085,47.4980864126548
Eupatorium altissimum,Eupatorium,0.1943801652892562,55,7.713159363521775,-3.2791447920561723
Euphorbia cyparissias,Euphorbia,0.0,85,9.283665299257828,-88.04634885448196
Eurybia divaricata,Eurybia,0.086776859504132,44,7.440681881653157,-135.87853980237512
Eutrochium fistulosum,Eutrochium,0.2933454051607062,47,7.851440209109199,-9.343630390183904
Eutrochium maculatum,Eutrochium,0.2978723404255319,47,8.550958505672208,-14.405158473247383
Eysenhardtia texana,Eysenhardtia,0.0831758034026464,46,6.959489444735932,-120.5726953142065
Falcaria vulgaris,Falcaria,0.0285654274312119,69,8.28010066303249,-87.57707149243562
Fritillaria pyrenaica,Fritillaria,0.6889995473064736,47,6.910255022813143,141.08911194703634
Galinsoga parviflora,Galinsoga,0.35888671875,64,9.901092619161192,89.74559285388963
Gazania rigens,Gazania,0.0277722674072604,71,9.898242326776032,-108.03989067526803
Gentiana acaulis,Gentiana,0.2051180321364807,71,7.619873743342864,81.00144676329832
Gentiana parryi,Gentiana,0.1649382716049382,45,6.77970039491577,-71.42782925410691
Geranium macrorrhizum,Geranium,0.5244444444444445,45,9.226450474520831,54.983084370452104
Geranium molle,Geranium,0.6427514792899409,52,9.903579010318197,129.78403269332165
Geranium richardsonii,Geranium,0.0695153061224488,56,7.988767802772457,-95.3071378547676
Geranium yeoi,Geranium,0.5840262030738221,63,9.86041649614495,178.19585807716882
Geum canadense,Geum,0.0384467512495194,51,8.15579321411313,-153.09077838612345
Geum macrophyllum,Geum,0.0855424370683894,67,9.155786719288754,-29.172085624323813
Geum urbanum,Geum,0.1155029585798816,65,9.903735234445511,-40.42187351648445
Gompholobium huegelii,Gompholobium,0.3673094582185492,66,7.395153687429999,141.74624461964294
Goodenia ovata,Goodenia,0.0525931336742147,74,7.329123393779183,-24.562599872999726
Grevillea alpina,Grevillea,0.5770975056689343,42,6.461724795227876,92.5722878973838
Grevillea lavandulacea,Grevillea,0.1247637051039697,46,6.573026196183617,-89.70148106004973
Guzmania monostachia,Guzmania,0.4404938271604938,45,7.986373291781087,33.41582670767232
Hedypnois rhagadioloides,Hedypnois,0.0322493953238376,61,9.845737993035502,-129.56779864020172
Helenium autumnale,Helenium,0.0,81,9.045979395130292,-86.97844998060407
Helianthus divaricatus,Helianthus,0.0677131425053862,57,7.719891884845379,-87.62726443942222
Hepatica acutiloba,Hepatica,0.0333237575409364,59,7.642402813483986,-109.20199863753967
Hibbertia cuneiformis,Hibbertia,0.1222684703433923,62,7.805005380621406,-16.90637717776545
Hibiscus denudatus,Hibiscus,0.3565088757396449,52,7.444309602540218,68.49180949235733
Hofmeisteria fasciculata,Hofmeisteria,0.1670918367346938,56,6.781475020124178,-0.29840636970308765
Homogyne alpina,Homogyne,0.3656,50,7.767692242154183,48.919197494012764
Hyacinthoides non-scripta,Hyacinthoides,0.1504971781779092,61,9.061665363771496,-12.554019494012948
Hypocalymma robustum,Hypocalymma,0.2670891806247171,47,5.75612935290131,-0.53026039515035
Iliamna rivularis,Iliamna,0.2122781065088758,52,7.445863096343614,1.3441969392010833
Ipomoea cairica,Ipomoea,0.5720486111111112,48,9.893758600195085,82.56243374998161
Ipomoea pes-caprae,Ipomoea,0.5512152777777778,48,9.897223954819063,73.52914587788774
Jacobaea adonidifolia,Jacobaea,0.0263111111111109,75,6.820883184650039,-54.66929881352084
Jaumea carnosa,Jaumea,0.051911111111111,75,7.838571042869718,-32.28294157599126
Johnstonella angustifolia,Johnstonella,0.0,60,6.902314677626938,-136.355685861725
Lachenalia reflexa,Lachenalia,0.0713305898491085,54,9.075000242834284,-108.4700018890064
Lamprocapnos spectabilis,Lamprocapnos,0.1550000000000001,60,9.35419083576009,-24.182835002947314
Lantana involucrata,Lantana,0.1945153061224489,56,7.971228934386644,-2.7166876421425457
Lathyrus japonicus,Lathyrus,0.5015844273426889,47,9.344264730100846,52.352413018438995
Lathyrus palustris,Lathyrus,0.62819750148721,41,9.253490246807695,69.30408875980788
Lathyrus pratensis,Lathyrus,0.0817298155127951,71,9.897249711962802,-31.35899025001791
Lepidium campestre,Lepidium,0.2076124567474049,68,9.29532749252444,48.00673101802559
Lepidium fremontii,Lepidium,0.0798611111111109,72,6.770027182320619,12.208799736402781
Leucaena leucocephala,Leucaena,0.3898375676801332,49,9.903496525663016,18.49402137115132
Leucopogon affinis,Leucopogon,0.0596449704142012,65,7.332070193529695,-46.94274607957354
Leucopogon microphyllus,Leucopogon,0.028979238754325,68,6.891292312355327,-68.75657005337709
Ligustrum obtusifolium,Ligustrum,0.0322493953238376,61,9.451536812959228,-126.91077268338893
Linum catharticum,Linum,0.1009541397353033,57,9.901477102265554,-82.6020261338009
Linum lewisii,Linum,0.5402226423020373,69,8.520937206895066,198.06112765706408
Lithospermum canescens,Lithospermum,0.0,79,7.972940244927821,-81.55333338392504
Lobelia erinus,Lobelia,0.26806640625,64,9.892873626191024,50.435906682796286
Loeselia glandulosa,Loeselia,0.632396449704142,52,8.130861063152576,154.682805239856
Ludwigia peruviana,Ludwigia,0.0,43,9.896850365820653,-279.34769135914974
Lupinus arizonicus,Lupinus,0.2003780718336484,46,6.9267224808465,-46.12985765473769
Lupinus havardii,Lupinus,0.126111111111111,60,5.721319126564259,-3.6226707570679366
Lupinus microcarpus,Lupinus,0.5667722951561793,47,9.226466033216976,83.71421386893931
Lysimachia loeflingii,Lysimachia,0.14697265625,64,9.903024069610945,-22.435307571360482
Lysimachia quadrifolia,Lysimachia,0.059228650137741,66,7.607132887705549,-47.148844102951216
Malacothrix saxatilis,Malacothrix,0.0619803476946334,63,6.112668886266451,-44.496501507513855
Malva moschata,Malva,0.481310074759701,53,9.187877826092077,92.97386278036711
Malva thuringiaca,Malva,0.4114149821640903,58,9.171405304793767,92.85890744286169
Mazus miquelii,Mazus,0.4934157484547166,61,9.445830092200833,129.03206497607988
Mecardonia procumbens,Mecardonia,0.2688000000000001,50,9.888427080433576,-20.94628718042773
Medicago lupulina,Medicago,0.1361058601134215,69,9.903957920363954,-10.14733106056363
Medicago marina,Medicago,0.0767999999999999,75,8.289188762443386,-7.98266880855445
Melaleuca citrina,Melaleuca,0.40875,40,9.805118013763964,-20.03001514776639
Melastoma candidum,Melastoma,0.7071005917159763,52,8.905073501260658,156.48307800729282
Melastoma malabathricum,Melastoma,0.6329565734681737,41,9.47288506792605,67.46616237774498
Melothria pendula,Melothria,0.176775147928994,52,9.897527530884028,-59.116103690396756
Micranthes petiolaris,Micranthes,0.0,49,6.501449933265966,-192.40816076834315
Mitchella repens,Mitchella,0.0399833402748854,49,8.067520196990175,-164.5167558696892
Moraea flaccida,Moraea,0.3752402921953095,51,9.36424821351677,41.73841651087494
Muscari armeniacum,Muscari,0.0721874999999998,80,9.872336766038009,-21.171855393880065
Muscari botryoides,Muscari,0.0880473372781063,65,9.341203698178225,-38.89868096663915
Myosotis latifolia,Myosotis,0.375,76,9.828172694625565,147.50477723189238
Myosotis laxa,Myosotis,0.0889940828402365,65,9.899495882150404,-47.060072665984165
Myosotis sparsiflora,Myosotis,0.0777940102264427,74,8.441005592001263,-10.685656039126627
Myrica gale,Myrica,0.3037500000000001,40,9.03794230055555,-50.959073661046375
Myrtus communis,Myrtus,0.2102918244597906,67,9.281724536890795,47.13760054676948
Nama hispida,Nama,0.6057511421660844,61,7.606735541473425,202.569036672114
Navarretia heterodoxa,Navarretia,0.4373964497041419,65,4.846244864096015,167.60432093870907
Nelumbo nucifera,Nelumbo,0.6414277988101676,43,9.894673843293344,69.74275885347532
Nicandra physalodes,Nicandra,0.5175308641975308,45,9.898101132511249,37.69795458638811
Nicotiana longiflora,Nicotiana,0.075355632449058,51,9.596213317627496,-132.47577178646904
Ochna serrulata,Ochna,0.4699798908359667,59,9.835675585386069,101.93251668801983
Odontites luteus,Odontites,0.0298438934802571,66,8.243259654595219,-93.12933537704612
Olearia lirata,Olearia,0.028979238754325,68,6.865035183150432,-68.60895750022084
Olsynium biflorum,Olsynium,0.2978723404255319,47,6.892482755929157,8.031949606505151
Omphalodes verna,Omphalodes,0.3668054110301768,62,7.878332778026518,111.91272239698444
Oreomecon alpina,Oreomecon,0.2927378495027211,73,7.6070280434459745,126.84008482704445
Ornithopus compressus,Ornithopus,0.1420118343195264,52,9.901200384018066,-82.23984177511568
Oxalis violacea,Oxalis,0.6232,50,8.119227294595788,138.04798323985594
Oxytropis campestris,Oxytropis,0.4612345679012345,45,9.118616901997656,27.0829479867337
Papaver dubium,Papaver,0.5619834710743802,44,9.902679435273958,46.65174616437059
Parthenium confertum,Parthenium,0.0240928019036288,82,7.149133487506482,-47.07717808927117
Passiflora mixta,Passiflora,0.3367043426531826,41,8.988593593949485,-31.496184007628926
Pectis multiseta,Pectis,0.0,82,5.281591483803245,-52.3919119214888
Pectis papposa,Pectis,0.0,79,7.560963555231274,-72.99180530086161
Penstemon speciosus,Penstemon,0.0327777777777777,60,7.327338812556045,-99.98883735010045
Pentanema squarrosum,Pentanema,0.0464852607709751,42,8.296738157364556,-209.78378337340013
Persicaria nepalensis,Persicaria,0.2918570276807309,61,9.895839752802686,39.50382476511027
Persicaria pensylvanica,Persicaria,0.1315586419753086,72,9.104070941254506,18.867189530399614
Phlomoides tuberosa,Phlomoides,0.3764172335600906,63,9.16222944823391,109.93828658548242
Phlox diffusa,Phlox,0.2287968441814595,78,7.496589692061947,115.07859291781482
Phlox longifolia,Phlox,0.4784764927593732,71,7.585384718093896,191.7395095290796
Phlox roemeriana,Phlox,0.3335852859662385,63,5.896477714891707,121.4463361519549
Pimelea serpyllifolia,Pimelea,0.3061587753648984,53,7.166538306941997,54.65844702955749
Pinguicula vulgaris,Pinguicula,0.2576530612244898,56,9.180429106412028,19.736245339574822
Piqueria trinervia,Piqueria,0.0285654274312119,69,7.246004008086904,-71.78252830471514
Pittosporum revolutum,Pittosporum,0.1356335514574658,41,7.653650797997268,-127.17776635147106
Plantago media,Plantago,0.1420118343195264,52,9.136984197778744,-64.67394794951997
Polycalymma stuartii,Polycalymma,0.3168282548476453,76,7.410343878657321,151.20818828839583
Polygala comosa,Polygala,0.3796646836127636,43,8.682193445120229,-2.3961222146164687
Portulaca suffrutescens,Portulaca,0.2473246135552913,58,7.1954482007359335,47.80542892627071
Potentilla concinna,Potentilla,0.0478881618084474,82,7.63783588376027,-15.867355534459477
Potentilla indica,Potentilla,0.339753086419753,45,9.89731423308054,-23.711595200986835
Potentilla simplex,Potentilla,0.051911111111111,75,8.07195263701696,-35.97325540489791
Primula elatior,Primula,0.4851367419738407,58,8.924757124812457,120.8444463780809
Prunus mahaleb,Prunus,0.0739644970414201,52,9.883282047842464,-130.57340241464635
Pseudo-fumaria lutea,Pseudo-fumaria,0.028979238754325,68,9.154076848234803,-96.06489238728639
Pseudognaphalium affine,Pseudognaphalium,0.070493753718025,82,8.554823942892359,-5.004872765367168
Pulmonaria obscura,Pulmonaria,0.4092349479402445,47,9.033011517369246,28.880653229408637
Pultenaea villosa,Pultenaea,0.0302958579881655,65,7.085529466847053,-80.28572012276076
Purshia stansburyana,Purshia,0.3298611111111111,48,7.399345227247271,23.98944650748558
Pycnanthemum virginianum,Pycnanthemum,0.0459515570934256,85,7.683244929267367,-15.880591412604659
Pyrola elliptica,Pyrola,0.0,44,8.252081149214098,-250.16366958643903
Ranunculus kuepferi,Ranunculus,0.0730652139080274,79,6.347105572524681,20.760036611108518
Ranunculus lyallii,Ranunculus,0.0820408163265304,70,6.307754338251606,12.35824892420159
Ranunculus trichophyllus,Ranunculus,0.0777940102264427,74,9.893787186218022,-30.170513055753815
Ranunculus uncinatus,Ranunculus,0.2675619834710743,44,7.783608370841067,-38.46394235387584
Rhododendron canadense,Rhododendron,0.345679012345679,45,7.5771633537184355,14.329742237579552
Rhododendron catawbiense,Rhododendron,0.4765625,48,6.678787984646631,83.40336203739275
Rhododendron pseudochrysanthum,Rhododendron,0.2112,50,5.705375262352855,-1.0054952767349903
Rhododendron tomentosum,Rhododendron,0.0322493953238376,61,9.08685624311096,-118.4968571534817
Rhynchospora colorata,Rhynchospora,0.1107266435986158,51,8.295591727824155,-87.71451647084237
Rorippa palustris,Rorippa,0.1461325270849081,63,9.866842340394976,-20.24697958229993
Rosa blanda,Rosa,0.6135999999999999,50,7.85295335134773,140.73829706876265
Rosa multiflora,Rosa,0.0547510414600276,71,9.371371248232828,-59.059399401173124
Rubus chamaemorus,Rubus,0.1575505350772887,58,9.05612099786496,-24.541228940856712
Rubus odoratus,Rubus,0.4919999999999999,50,9.199169762293849,74.82942919997967
Rubus trivialis,Rubus,0.0,61,7.739525843961978,-143.21172736941776
Rudbeckia triloba,Rudbeckia,0.0263111111111109,75,9.118075132379516,-82.12523370058645
Sagittaria lancifolia,Sagittaria,0.0965239873599539,59,8.69170602782976,-54.92996608107248
Sagittaria latifolia,Sagittaria,0.0570934256055364,68,9.221699789691268,-65.27908068463037
Sairocarpus pusillus,Sairocarpus,0.2520281233098973,43,6.643125437943057,-35.67825009333225
Salvia amarissima,Salvia,0.4789670970428987,49,6.974907176987349,88.92539987118752
Salvia hispanica,Salvia,0.5020155872077399,61,9.863319857899455,130.34175114717323
Salvia lavanduloides,Salvia,0.501584427342689,47,7.699876958714701,74.46100811978513
Salvia polystachia,Salvia,0.505137912385073,43,7.928195708383527,46.57495565582195
Salvia prunelloides,Salvia,0.1866319444444444,48,7.39047679123558,-47.56771583304561
Salvia verticillata,Salvia,0.6064049586776861,44,8.622746915749094,88.49840403149801
Sambucus mexicana,Sambucus,0.3402646502835538,46,6.673164014934674,28.560456174168962
Sanguinaria canadensis,Sanguinaria,0.2076124567474049,68,7.862730519101032,65.42501229046505
Satureja montana,Satureja,0.0961111111111111,60,7.806872682061607,-41.14081564578893
Saxifraga granulata,Saxifraga,0.0285654274312119,69,8.07448127990875,-85.36288319509164
Saxifraga tridactylites,Saxifraga,0.3173076923076923,52,9.315447375578032,23.659612690010704
Scilla bifolia,Scilla,0.3152633602460591,51,9.221722624113164,14.838280127156537
Scilla luciliae,Scilla,0.4481470841712152,59,9.23487801757855,105.42746902689552
Scilla verna,Scilla,0.4303350970017637,63,7.8459045372285905,135.66625402901522
Senecio mohavensis,Senecio,0.1152433425160697,66,5.879581258748098,16.112411212675454
Senecio ovatus,Senecio,0.0,43,7.496668011041357,-244.51112881427088
Senecio triangularis,Senecio,0.1617122473246134,58,8.263472699147622,-15.284339367762328
Senecio vernalis,Senecio,0.0240928019036288,82,8.289664522737448,-64.34784680855438
Senegalia berlandieri,Senegalia,0.177742511406467,71,6.698308972294973,75.57238825001828
Senna artemisioides,Senna,0.0,75,9.72065368818365,-109.68676178364987
Senna hebecarpa,Senna,0.25350837483024,47,7.620851824157648,-21.324803582870828
Sericocarpus linifolius,Sericocarpus,0.0,52,7.641129918074437,-183.55089178339307
Sesbania drummondii,Sesbania,0.1652892561983472,44,7.398865669636063,-84.78808958975006
Sidalcea candida,Sidalcea,0.1395514417942327,53,8.927810190941248,-57.89298573125737
Sideranthus spinulosus,Sideranthus,0.0673336938885882,86,8.238372438907412,-1.8270341613952041
Sisymbrium irio,Sisymbrium,0.0880473372781063,65,9.822067441180929,-43.03183245501461
Sixalix atropurpurea,Sixalix,0.2573927530195752,49,9.892068786940737,-35.0443141620668
Solanum crispum,Solanum,0.5428681276432141,51,9.860393467759824,97.31003991618698
Solanum elaeagnifolium,Solanum,0.5475258098967605,53,9.783658165261388,115.88846022886636
Solanum furcatum,Solanum,0.2543402777777778,48,9.459061181011698,-37.942613911142644
Solanum laxum,Solanum,0.1918402777777776,48,9.898265926023711,-82.94697965367493
Solanum lycopersicum,Solanum,0.5094517958412098,46,9.902208355564406,38.733988951538606
Solanum pseudocapsicum,Solanum,0.5102880658436215,54,9.9007610898458,97.37365407277284
Solidago ptarmicoides,Solidago,0.1199868507560815,78,7.900692146905068,35.959902494220145
Solidago uliginosa,Solidago,0.1472,50,7.918008419114835,-63.942603356487524
Solidago virgaurea,Solidago,0.0,63,9.243039053497796,-150.66157703079918
Sparaxis tricolor,Sparaxis,0.5776627218934911,52,9.897278988690674,115.32673396907205
Sphaeralcea ambigua,Sphaeralcea,0.3224852071005917,52,7.645575601619375,46.65388311029443
Sphaeralcea coccinea,Sphaeralcea,0.193290243151739,57,7.999414232905934,-0.703253587266488
Stachys palustris,Stachys,0.6479177934018389,43,9.88232345160122,74.10455970397555
Stevia serrata,Stevia,0.0575259515570933,68,8.481617201945644,-56.750840473660816
Streptosolen jamesonii,Streptosolen,0.0649999999999999,60,9.807771779797704,-100.72553627869772
Stypandra glauca,Stypandra,0.2505386272699291,57,8.213083056652644,29.23017066854578
