batch_index,requested,api_results_returned,resolved_exact_photo,elapsed_seconds,first_breadth_rank,last_breadth_rank
1,200,200,200,5.736989259719849,1,200
2,200,200,200,5.0032639503479,201,400
3,200,200,200,5.724435806274414,401,600
4,200,200,200,4.6143105030059814,601,800
5,200,200,200,5.8567564487457275,801,1000
6,200,200,200,4.460526943206787,1001,1200
7,200,200,200,4.622748851776123,1201,1400
8,200,200,200,3.9170095920562744,1401,1600
9,200,200,200,4.196169853210449,1601,1800
10,200,200,200,4.274449348449707,1801,2000
11,200,200,200,3.8860764503479004,2001,2200
12,200,200,200,4.369246959686279,2201,2400
13,200,200,200,4.38483738899231,2401,2600
14,200,200,200,3.756566286087036,2601,2800
15,200,200,200,2.9807589054107666,2801,3000
16,200,200,200,2.48410701751709,3001,3200
17,200,200,199,3.337430238723755,3201,3400
18,200,200,200,4.675853490829468,3401,3600
19,200,200,200,4.434460163116455,3601,3800
20,200,200,200,3.3021063804626465,3801,4000
21,200,200,200,3.4433276653289795,4001,4200
22,200,200,200,2.993300199508667,4201,4400
23,200,200,200,2.989619493484497,4401,4600
24,200,200,200,3.7926485538482666,4601,4800
25,200,200,200,4.265312433242798,4801,5000
26,200,200,200,4.213140487670898,5001,5200
27,200,200,200,3.400665521621704,5201,5400
28,200,200,200,3.26804518699646,5401,5600
29,200,200,200,2.566011428833008,5601,5800
30,200,200,200,3.575310468673706,5801,6000
31,200,200,200,3.4215891361236572,6001,6200
32,200,200,200,3.183973550796509,6201,6400
33,200,200,200,3.180114984512329,6401,6600
34,200,200,200,4.095594167709351,6601,6800
35,200,200,200,3.055140972137451,6801,7000
36,200,200,200,3.5434722900390625,7001,7200
37,200,200,200,2.659976005554199,7201,7400
38,200,200,200,2.8032193183898926,7401,7600
39,200,200,200,3.7181315422058105,7601,7800
40,200,200,200,4.246858596801758,7801,8000
41,200,200,200,3.911363363265991,8001,8200
42,200,200,200,3.9044761657714844,8201,8400
43,200,200,200,3.0562491416931152,8401,8600
44,200,200,200,2.8526926040649414,8601,8800
45,200,200,200,3.470738649368286,8801,9000
46,200,200,200,2.9894800186157227,9001,9200
47,200,200,200,3.078254222869873,9201,9400
48,200,200,200,3.2758371829986572,9401,9600
49,200,200,200,3.105881452560425,9601,9800
50,200,200,200,3.050076961517334,9801,10000
51,200,200,200,3.0120110511779785,10001,10200
52,200,200,200,3.068938970565796,10201,10400
53,200,200,200,2.918482542037964,10401,10600
54,200,200,200,3.5027174949645996,10601,10800
55,200,200,200,3.568901300430298,10801,11000
56,200,200,200,3.466923475265503,11001,11200
57,200,200,200,7.647493600845337,11201,11400
58,200,200,200,4.455159425735474,11401,11600
59,200,200,200,5.498806476593018,11601,11800
60,200,200,200,4.107986927032471,11801,12000
61,200,200,200,3.993657350540161,12001,12200
62,200,200,200,3.900118350982666,12201,12400
