inat_taxon_id,species,photos,rho_primary,rho_flower12_descriptive,rho_background12_descriptive,rho_observer_pair_exclusion,rho_calendar_quarter_stratification,rho_matched_background_differential,maximum_direct_check_error,direct_checks,n_classifiable,D,second_fraction,primary_second_ge_0_10,sensitivity_second_ge_0_20
47687,Erodium cicutarium,46,0.122294366882711,0.1449561422734411,0.0122377251886965,0.122294366882711,0.122294366882711,0.1149619554799943,2.775557561562892e-17,7,46,0.5907372400756143,0.43478260869565216,True,True
47894,Opuntia humifusa,61,0.1351985175808135,0.1340019236760264,-0.0266479349251651,0.1347444319813628,0.1351985175808135,0.1208996307320753,3.469446951953614e-18,7,61,0.06342381080354742,0.03278688524590164,False,False
47908,Asclepias angustifolia,69,-0.0389991286820023,-0.066421593730622,-0.0323263068765644,-0.0412209647109663,-0.0389991286820023,-0.0211568097459434,5.551115123125783e-17,7,69,0.05671077504725908,0.014492753623188406,False,False
48152,Cynoglossum officinale,41,-0.0091103137477279,0.0384700155711117,-0.0531378744741389,-0.0091103137477279,-0.0091103137477279,0.056021354045774,2.775557561562892e-17,7,41,0.4878048780487805,0.1951219512195122,True,False
48363,Tecoma stans,55,0.2472550451571261,0.0596794601263988,-0.0661030390023,0.2472550451571261,0.2472550451571261,0.1048608433813746,1.3877787807814457e-17,7,55,0.03570247933884296,0.01818181818181818,False,False
48625,Oenothera speciosa,47,0.0722160189946059,0.035463272807691,-0.0050530656198886,0.0728440077347269,0.0722160189946059,0.0625517038546837,2.775557561562892e-17,7,47,0.32775011317338165,0.1276595744680851,True,False
48651,Cosmos sulphureus,54,-0.0193158121899783,0.0022942489739158,-0.0214928226733855,-0.0193158121899783,-0.0193158121899783,0.0098919398065598,1.3877787807814457e-17,7,54,0.036351165980795574,0.018518518518518517,False,False
49322,Carpobrotus edulis,61,0.0272611247626171,0.0062067504358503,0.0113699898208287,0.0272611247626171,0.0272611247626171,-0.0120984602137823,3.469446951953614e-18,7,61,0.5772641762966945,0.39344262295081966,True,True
50612,Lupinus nanus,58,0.1117141187275611,0.0522297688019222,0.0806338328483716,0.1127778427364707,0.1117141187275611,-0.0155724525806136,2.775557561562892e-17,7,58,0.15755053507728878,0.08620689655172414,False,False
50642,Delphinium nudicaule,57,0.0234732378141015,0.0642964727553913,-0.0038533105867843,0.0256546290419695,0.0234732378141015,0.0743378685484289,2.775557561562892e-17,7,57,0.3594952293013235,0.21052631578947367,True,True
50832,Gilia tricolor,67,0.0167907852585729,0.0241966666267352,0.0670720706372677,0.016109260246018,0.0167907852585729,-0.0249299904927204,1.3877787807814457e-17,7,67,0.18712408108710177,0.1044776119402985,True,False
50878,Erigeron glaucus,52,0.0642793034694187,0.0167067771522003,-0.0342984482361395,0.0642793034694187,0.0642793034694187,0.0861765365336796,3.469446951953614e-18,7,52,0.3616863905325445,0.09615384615384616,False,False
51082,Quincula lobata,73,0.0391979446064372,0.0865065815890728,0.034339030678851,0.0391979446064373,0.0391979446064373,0.0708907705792436,1.3877787807814457e-17,7,73,0.1542503283918184,0.0410958904109589,False,False
51306,Linum usitatissimum,58,-0.104634909266074,-0.1049068697778423,0.0386820010571676,-0.1051484513391973,-0.104634909266074,-0.0874872414644881,1.3877787807814457e-17,7,58,0.3662306777645661,0.2413793103448276,True,True
