cell_id,unique_species_across_baseline_and_fresh_rounds
0,0
1,0
2,0
3,0
4,0
5,233
6,37
7,18
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,9
17,48
18,291
19,0
20,0
21,0
22,1
23,809
24,582
25,0
26,1
27,905
28,1003
29,2
30,7
31,0
32,738
33,614
34,1022
35,867
36,37
37,40
38,6
39,8
40,0
41,900
42,1169
43,11
44,0
45,973
46,1110
47,512
48,12
49,0
50,899
51,655
52,919
53,525
54,72
55,74
56,9
57,0
58,0
59,926
60,929
61,806
62,16
63,281
64,965
65,567
66,62
67,17
68,350
69,561
70,642
71,133
72,2
73,0
74,0
75,0
76,287
77,1149
78,975
79,539
80,87
81,295
82,628
83,69
84,60
85,174
86,635
87,190
88,65
89,5
90,34
91,181
92,0
93,586
94,1093
95,900
96,59
97,54
98,250
99,272
100,180
101,263
102,846
103,655
104,531
105,351
106,275
107,14
108,10
109,391
110,0
111,1056
112,1008
113,619
114,0
115,0
116,759
117,92
118,649
119,324
120,667
121,876
122,758
123,949
124,8
125,0
126,0
127,0
128,838
129,1018
130,781
131,679
132,282
133,253
134,952
135,1046
136,1030
137,850
138,696
139,499
140,682
141,655
142,455
143,0
144,182
145,325
146,491
147,527
148,334
149,162
150,285
151,214
152,466
153,633
154,578
155,612
156,511
157,560
158,399
159,152
160,333
161,162
