observation_id,photo_id,observer_id,source
100001972,166838521,2438113,pr21_terminal_60000
100012168,166856454,2883853,pr21_terminal_60000
10001336,13750486,18780,pr21_terminal_60000
100016642,166864388,443108,random_photo_first_candidate_pool_v1
100017027,166865836,572980,pr21_terminal_60000
100018664,166869233,2366151,pr21_terminal_60000
100020571,166871764,30735,pr21_terminal_60000
100021095,166873388,4747001,pr21_terminal_60000
100027040,166883902,5176094,random_photo_first_candidate_pool_v1
100033823,166897101,339803,pr21_terminal_60000
100034998,166899532,5302,pr21_terminal_60000
100039308,166907064,55236,pr21_terminal_60000
100039892,166907780,55236,pr21_terminal_60000
100045574,166915391,2201591,pr21_terminal_60000
100046183,166920016,2404803,pr21_terminal_60000
10004619,13756518,533892,pr21_terminal_60000
100057306,166941833,4464942,pr21_terminal_60000
10005952,13758460,13355,pr21_terminal_60000
100062357,166950378,3373525,pr21_terminal_60000
100063256,166953419,3541448,pr21_terminal_60000
100063914,166954978,3905448,pr21_terminal_60000
100067914,166963265,2192717,pr21_terminal_60000
10007108,13760410,16431,pr21_terminal_60000
100080446,166986660,2826522,pr21_terminal_60000
10008148,13761971,765379,pr21_terminal_60000
100081556,166987440,4660910,pr21_terminal_60000
100082048,166987966,4660910,pr21_terminal_60000
100097506,167017623,3502842,pr21_terminal_60000
100099372,167021011,5180545,random_photo_first_candidate_pool_v1
10009951,13764842,41386,pr21_terminal_60000
100113391,167037072,819122,pr21_terminal_60000
100118102,167052819,3924821,random_photo_first_candidate_pool_v1
100119870,167059709,4068067,pr21_terminal_60000
100121406,167060446,1870902,pr21_terminal_60000
100125487,167069471,5176094,random_photo_first_candidate_pool_v1
100125854,167070569,3208595,random_photo_first_candidate_pool_v1
100127452,167074028,5091639,pr21_terminal_60000
100128022,167073887,3637508,random_photo_first_candidate_pool_v1
100134222,167086813,1305186,pr21_terminal_60000
100135688,167089042,1114533,random_photo_first_candidate_pool_v1
100138567,167093987,1944404,pr21_terminal_60000
100139808,167126196,3587835,pr21_terminal_60000
100153116,167116563,3608399,pr21_terminal_60000
100153843,167118065,5170150,pr21_terminal_60000
100174376,167155502,1235939,random_photo_first_candidate_pool_v1
100174503,167155794,1235939,random_photo_first_candidate_pool_v1
100177757,167161949,2826522,pr21_terminal_60000
100178408,167164894,5182532,pr21_terminal_60000
