species,inat_taxon_id,raw_results,locally_eligible_before_exclusion,local_rejected,wrong_taxon,prior_excluded,fresh_duplicate,after_observer_cap,retained,full_fixed_n,request_error
Taraxacum officinale,47602,200,200,0,0,3,0,179,60,True,
Lantana camara,50333,200,200,0,0,7,0,122,60,True,
Veronica chamaedrys,51610,200,200,0,0,3,0,197,60,True,
Trifolium pratense,51875,200,200,0,0,7,0,189,60,True,
Achillea millefolium,52821,200,200,0,0,3,0,193,60,True,
Anaphalis margaritacea,52833,200,200,0,0,14,0,184,60,True,
Convolvulus arvensis,53021,200,200,0,0,2,0,198,60,True,
Bellis perennis,55563,200,200,0,0,6,0,192,60,True,
Veronica persica,55666,200,200,0,0,10,0,189,60,True,
Lathyrus tuberosus,55729,200,200,0,0,4,0,189,60,True,
Trifolium repens,55745,200,200,0,0,7,0,185,60,True,
Lamium purpureum,55851,200,200,0,0,5,0,191,60,True,
Caltha palustris,56224,200,200,0,0,8,0,190,60,True,
Nicotiana glauca,58334,200,200,0,0,24,0,166,60,True,
Ipomoea pes-caprae,60879,200,200,0,0,32,0,167,60,True,
Delonix regia,62839,200,200,0,0,44,0,155,60,True,
Hibiscus tiliaceus,62868,200,200,0,0,69,0,130,60,True,
Arctostaphylos uva-ursi,68049,200,200,0,0,7,0,193,60,True,
Asclepias curassavica,75602,200,200,0,0,33,0,166,60,True,
Commelina benghalensis,76425,200,200,0,0,67,0,129,60,True,
Ipomoea cairica,77494,200,200,0,0,64,0,109,60,True,
Parnassia palustris,78352,200,200,0,0,8,0,190,60,True,
Arundina graminifolia,117504,200,200,0,0,72,0,121,60,True,
Calotropis procera,120917,200,200,0,0,36,0,154,60,True,
Ruellia simplex,126633,200,200,0,0,27,0,163,60,True,
Fritillaria camschatcensis,128770,200,200,0,0,37,0,143,60,True,
Saxifraga oppositifolia,128880,200,200,0,0,31,0,158,60,True,
Emilia fosbergii,129103,200,200,0,0,31,0,161,60,True,
Cyanthillium cinereum,130374,200,200,0,0,37,0,138,60,True,
Spathoglottis plicata,132672,200,200,0,0,82,0,111,60,True,
Rubus chamaemorus,153003,200,200,0,0,34,0,157,60,True,
Tridax procumbens,169944,200,200,0,0,17,0,166,60,True,
Ficaria verna,204321,200,200,0,0,0,0,199,60,True,
Turnera subulata,327909,200,200,0,0,22,0,164,60,True,
Scaevola taccada,363481,200,200,0,0,57,0,141,60,True,
Chamaenerion angustifolium,564969,200,200,0,0,2,0,198,60,True,
Chamaenerion latifolium,564970,200,200,0,0,20,0,176,60,True,
Bidens alba,1095846,200,200,0,0,36,0,159,60,True,
