canonical_name,family,spatial_scale,classification_source,n_climate_cells,temperature_breadth,moisture_breadth,climatic_heterogeneity,pca_dispersion,pca_hull_area
Agave lechuguilla,Asparagaceae,among_population,baseline_unambiguous,65,7.698733270168303,123.84939956665038,0.2893199991095825,0.7366651914836733,2.632251962371005
Anemone palmata,Ranunculaceae,within_population,baseline_unambiguous,87,9.125229236483577,142.76147603988647,0.3106768720313708,0.8905244850138937,2.851793917832377
Antirrhinum majus,Plantaginaceae,among_population,baseline_unambiguous,195,11.63045445680618,376.00388777256,0.5683943652507478,1.4348284635524642,18.488843064561884
Aquilegia coerulea,Ranunculaceae,among_population,baseline_unambiguous,104,9.23384067416191,138.62942414283748,0.3314579022130454,0.9468698643125788,3.006984948155859
Bletilla striata,Orchidaceae,within_population,baseline_unambiguous,179,8.124420881271362,371.3552114009857,0.4753271386554806,1.1205621757668642,19.97240623605044
Calceolaria uniflora,Calceolariaceae,among_population,baseline_unambiguous,87,5.829474717378617,273.6762875318528,0.4269869611251544,0.943789147747238,13.220837423420772
Campanula americana,Campanulaceae,among_population,baseline_unambiguous,37,9.26363673210144,200.3217775821685,0.4039247310127438,1.0904151901847312,3.890361393696697
Convolvulus arvensis,Convolvulaceae,among_population,baseline_unambiguous,188,16.795335477590562,292.3797321200371,0.6965379369046638,1.8930696453823217,20.05098932870192
Corydalis cava,Papaveraceae,within_population,baseline_unambiguous,168,6.649583827145398,268.52656189203265,0.3322233956569789,0.8731060129250849,3.016640939041752
Dactylorhiza sambucina,Orchidaceae,within_population,baseline_unambiguous,165,8.865956062078475,305.4682463169097,0.3953417705664568,1.0211614407617615,8.593672761027209
Disa porrecta,Orchidaceae,among_population,baseline_unambiguous,48,8.107894414663313,141.00904493331907,0.3370289606933176,0.7802930198045684,2.747834538352549
Encelia farinosa,Asteraceae,among_population,baseline_unambiguous,93,8.071565920114516,115.0546878814697,0.2900492688567606,0.7347064327408754,1.3994258490546476
Eschscholzia californica,Papaveraceae,among_population,baseline_unambiguous,124,15.3997433334589,335.13783075809465,0.6900831480633407,1.9491986375679704,11.303285418969727
Heliconia irrasa,Heliconiaceae,within_population,baseline_unambiguous,70,6.877578723430633,476.1158835649491,0.5751251503202126,1.8254511177823405,10.34005716998738
Hesperis matronalis,Brassicaceae,within_population,baseline_unambiguous,188,11.72304030507803,162.49579796791073,0.4581474345217284,1.200701358814216,7.548565772902793
Ipomoea purpurea,Convolvulaceae,within_population,baseline_unambiguous,170,14.357788722962132,563.2938544034944,0.7128461216036186,1.7921101199092524,26.845104638294323
Ipomopsis aggregata,Polemoniaceae,within_population,baseline_unambiguous,141,10.546609789133072,230.3780436515808,0.4079399633998263,1.0138044469599452,6.616371305268041
Iris lutescens,Iridaceae,among_population,baseline_unambiguous,91,6.36912252381444,166.7890703678131,0.2591144259929175,0.6017756783110485,2.8870348380277644
Kadsura longipedunculata,Schisandraceae,among_population,baseline_unambiguous,121,7.943109810352325,230.87141513824463,0.3685326765173781,0.8906616196001483,5.918108677233171
Lantana camara,Verbenaceae,within_population,baseline_unambiguous,175,14.220454728603354,686.235649585723,0.7433738191910635,1.750227029839577,35.755659964916724
Leptosiphon parviflorus,Polemoniaceae,within_population,baseline_unambiguous,54,8.29198011863045,185.52919120788567,0.2696596398995328,0.7707036906140592,1.2423685587657824
Lotus corniculatus,Fabaceae,among_population,baseline_unambiguous,178,10.747135680913928,262.62612437009824,0.4592679074824146,0.9573074467400638,18.399477662123527
Lupinus perennis,Fabaceae,within_population,baseline_unambiguous,125,14.075757122039796,296.3026452064514,0.5454809057873408,1.4787382994135043,9.74370995070208
Lupinus polyphyllus,Fabaceae,within_population,baseline_unambiguous,177,11.85276156067848,471.0636019229884,0.6611036984495817,1.4141403975850897,30.35188093906244
Lysimachia monelli,Primulaceae,within_population,baseline_unambiguous,95,9.962135717365893,208.4852074623108,0.3339728026270823,0.90699139657851,3.3467237283722104
Mimulus ringens,Phrymaceae,among_population,baseline_unambiguous,239,10.552013504505156,220.46968438625333,0.4271320881109817,1.0760818810386452,13.466497964623615
Mirabilis jalapa,Nyctaginaceae,within_population,baseline_unambiguous,186,16.502877231687307,657.3788803815842,0.8361809125204703,2.1951515352216737,41.551308009407954
Opuntia streptacantha,Cactaceae,within_population,baseline_unambiguous,155,8.521292029321192,189.2653277397156,0.3604902301673611,0.797289167205452,9.258840199930091
Pedicularis comosa,Orobanchaceae,among_population,baseline_unambiguous,102,10.315345852077003,233.93619556426995,0.3968232970813143,1.054397842758749,6.9204171904080924
Raphanus sativus,Brassicaceae,within_population,baseline_unambiguous,140,5.095711442828154,139.77821232080407,0.4276024919228085,0.541791614002069,21.519118228938016
Rhododendron arboreum,Ericaceae,within_population,baseline_unambiguous,102,20.01100989878177,598.1715185880655,0.8063080259013282,1.906911107303646,33.202112509483605
Silene littorea,Caryophyllaceae,within_population,baseline_unambiguous,52,8.01887165009975,337.1693716526032,0.3718582676833266,1.0475550225427288,2.1323122453561685
Solanum carolinense,Solanaceae,within_population,baseline_unambiguous,241,8.674780562520027,224.7966151237488,0.3850270835829119,0.95870201159297,14.066506196882436
Stellera chamaejasme,Thymelaeaceae,within_population,baseline_unambiguous,133,18.87699445486068,149.93610515594474,0.589229930143226,1.6864666042940335,9.125446119483197
