species,inat_taxon_id,target_cells,full_cells,retained_photos,request_error_cells,passes_premeasurement_species_gate
Achillea millefolium,52821,6,4,139,0,False
Ageratum conyzoides,143422,6,0,45,0,False
Anaphalis margaritacea,52833,6,3,121,0,False
Arctostaphylos uva-ursi,68049,6,3,118,0,False
Arundina graminifolia,117504,6,1,83,0,False
Asclepias curassavica,75602,6,5,150,0,True
Asystasia intrusa,344320,6,1,50,0,False
Bellis perennis,55563,6,3,116,0,False
Bidens alba,1095846,6,2,120,0,False
Calotropis gigantea,67574,6,0,59,0,False
Calotropis procera,120917,6,2,94,0,False
Caltha palustris,56224,6,3,123,0,False
Catharanthus roseus,62924,6,0,29,0,False
Chamaenerion angustifolium,564969,6,4,153,0,False
Chamaenerion latifolium,564970,6,3,144,0,False
Clitoria ternatea,160759,6,0,38,0,False
Commelina benghalensis,76425,6,0,91,0,False
Convolvulus arvensis,53021,6,4,138,0,False
Cyanthillium cinereum,130374,6,0,81,0,False
Delonix regia,62839,6,1,89,0,False
Eclipta prostrata,76765,6,0,28,0,False
Emilia fosbergii,129103,6,2,99,0,False
Ficaria verna,204321,6,5,158,0,True
Fritillaria camschatcensis,128770,6,3,114,0,False
Gloriosa superba,141177,6,1,45,0,False
Hibiscus tiliaceus,62868,6,1,75,0,False
Hippobroma longiflora,154827,6,0,28,0,False
Ipomoea cairica,77494,6,3,126,0,False
Ipomoea pes-caprae,60879,6,1,77,0,False
Lamium purpureum,55851,6,6,180,0,True
Lantana camara,50333,6,1,66,0,False
Lathyrus tuberosus,55729,6,5,165,0,True
Mimosa pudica,51921,6,1,48,0,False
Morinda citrifolia,121022,6,1,55,0,False
Nicotiana glauca,58334,6,2,95,0,False
Oxalis corniculata,53168,6,0,41,0,False
Parnassia palustris,78352,6,3,128,0,False
Pemphis acidula,425753,6,0,16,0,False
Rubus chamaemorus,153003,6,4,140,0,False
Ruellia simplex,126633,6,2,73,0,False
Saxifraga oppositifolia,128880,6,3,131,0,False
Scaevola taccada,363481,6,2,75,0,False
Spathoglottis plicata,132672,6,1,74,0,False
Sphagneticola trilobata,246102,6,1,43,0,False
Synedrella nodiflora,169500,6,0,36,0,False
Taraxacum officinale,47602,6,2,94,0,False
Tridax procumbens,169944,6,1,78,0,False
Trifolium pratense,51875,6,3,114,0,False
Trifolium repens,55745,6,3,135,0,False
Turnera subulata,327909,6,3,103,0,False
Veronica chamaedrys,51610,6,5,179,0,True
Veronica persica,55666,6,3,142,0,False
